交易代号,交易名称,证券名称,市值（百万元）,板块,GTI 得分
T24,Tuan Sing ,传慎,375.32,Real Estate,102
U13,UOI ,大华保险,374.269,Insurance,93
P9D,Civmec ,CIVMEC公司,372.779,Industrial & Commercial Services,84
HKB,AMTD IDEA OV,AMTD IDEA OV,366.825,Banking & Investment Services,
5EN,Midas ,麦达斯,364.527,Mineral Resources,9
CMOU,KepPacOakReitUSD ,吉宝-KBS美国房地产信托,360.335,Real Estate,100
L03,Lian Beng ,联明,360.237,Industrial & Commercial Services,70
QNS,SouthernAlliance,SouthernAlliance,354.588,Mineral Resources,65
BTE,Bund Center ,外滩中心,353.628,Real Estate,54
F83,COSCO SHP SG ,中远海运国际,349.322,Transportation,69
BDX,GSH ,群策环球,346.707,Industrial & Commercial Services,69
5JK,Hiap Hoe ,协和,339.309,Real Estate,74
OU8,Centurion ,胜捷企业,336.311,Real Estate,84
G20,GP Industries ,GP工业,325.849,Industrial Goods,75
RE4,Geo Energy Res ,天然煤矿,325.038,Energy - Fossil Fuels,72
B58,Banyan Tree ,悦榕,316.796,Cyclical Consumer Services,82
AVM,Boustead Proj ,宝德工程,305.6,Industrial & Commercial Services,81
BTOU,ManulifeReit USD ,宏利美国房地产投资信托,303.934,Real Estate,87.8
N02,NSL,NSL,302.582,Mineral Resources,59
QC7,Q&M Dental ,全民,289.759,Healthcare Services,90
EH5,UOA ,澳洲海外投资,287.035,Real Estate,
F1E,Low Keng Huat ,刘景发,284.444,Industrial & Commercial Services,73
BDR,Willas-Array ,威雅利电子,283.895,Technology Equipment,71
579,Oceanus ,欧圣,281.24,Food & Drug Retailing,60
P52,PanUnited ,泛联,280.798,Mineral Resources,89
5DD,Micro-Mechanics ,微机械,272.503,Technology Equipment,104
B0Z,China Fishery ,中渔,268.359,Food & Beverages,45
A34,Amara ,安国,268.275,Cyclical Consumer Services,63
OXMU,Prime US ReitUSD,Prime US ReitUSD,261.173,Real Estate,65.9
BBW,Azeus ,中环电脑系统,257.929,Software & IT Services,59
40T,ISEC ,国际眼科中心,255.364,Healthcare Services,71
5GD,Sunpower ,中圣,250.308,Industrial Goods,61
ODBU,UtdHampshReitUSD,UtdHampshReitUSD,248.996,Real Estate,77.6
BMGU,BHG Retail Reit ,北京华联商业信托,248.393,Real Estate,74.7
544,CSE Global ,CSE环球,247.419,Software & IT Services,80
T43,Yunnan Energy ,雲能國際股份,245.139,Cyclical Consumer Products,43
BWCU,EC World Reit ,运通网城,242.951,Real Estate,70.2
H12,Hotel Royal ,京华大酒店,241.92,Cyclical Consumer Services,77
573,Challenger ,挑战者科技,241.056,Retailers,69
S35,Sing Inv & Fin ,星金融发展,236.439,Banking & Investment Services,108
BN2,Valuetronics ,鸿通电子,235.981,Technology Equipment,89
T6I,ValueMax ,方圆,234.14,Retailers,81
TCU,CreditBureauAsia ,亚洲征信,217.719,Industrial & Commercial Services,63
5LY,MarcoPolo Marine ,马可波罗海业,214.197,Transportation,60
B73,Global Inv ,环球投资,213.756,Collective Investments,96
5NG,Healthway Med ,康威医疗,213.172,Healthcare Services,83
CLN,APAC Realty ,APAC产业,209.567,Real Estate,81
L02,Metis Energy,Metis Energy,207.176,Utilities,66
5UF,Aspial Lifestyle,Aspial Lifestyle,205.279,Retailers,72
