logoid,dr_name
cellnex-telecom,Cellnex
celltrion,Celltrion
celsius-holdings,燃力士控股
cemex,西麦斯
cenovus,西诺沃斯能源
centene,康西哥
centerpoint-energy,中点能源
centrais-eletr-bras-sa,巴西电力
central-japan-railway,东海旅客铁道
ceridian-hcm,Ceridian HCM Holding
cf-industries,CF实业
cgi,CGI
cgn-power-co-ltd,中国广核
chailease-holding,中租-KY
charles-river-laboratories,查尔斯河
charter,特许通讯
check-point-software-technologies,Check Point Software Technologies
cheniere-energy-partners,Cheniere Energy
chesapeake-energy,切萨皮克能源
chevron,雪佛龙
chewy,Chewy
china-citic-bank-limited,中信银行
china-coal-energy-co-ltd,中煤能源
china-communications-construction-coltd,中国交建
china-construction-bank,建设银行
china-eastern-airlines,中国东航
china-everbright-bank-company-limited,光大银行
china-international-capital-limited,中金
china-life,中国人寿
china-longyuan-power-group-corp-ltd,龙源电力
china-merchants-bank,招商银行
china-merchants-securities-coltd,招商证券
china-merchants-sh,招商蛇口
china-minsheng-bank,民生银行
china-mobile,中国移动
china-national-nuclear-power,中国核电
china-northern-rare-earth-high-tech-coltd,北方稀土
china-overseas-land-and-investmnts,中国海外发展
china-pacific-insurance,中国太保
china-petroleum-and-chemical,中国石化
china-railway-construction,中国铁建
china-railway-limited,中国中铁
china-resources-beer-co,华润啤酒
china-resources-land,华润置地
china-resources-mixc-lifest-svs-ltd,华润万象生活
china-resources-power-hldgs-co,华润电力
china-securities,中信建投
china-shenhua,中国神华
china-southern-airlines,南方航空
china-state-construction-engineering-limited,中国建筑
china-steel,中钢
china-telecom,中国电信
china-three-gorges-renewables,三峡能源
china-tourism-duty-free-limited,中国中免
china-tower,中国铁塔
china-unicom,中国联通
china-united-network-communications,中国联通
china-vanke-co,万科企业
china-yangtze-power-coltd,长江电力
chipotle-mexican-grill,墨式烧烤
chong-qing-changan,长安汽车
chongqing-zhifei-b,智飞生物
chow-tai-fook-jewellery-group-ltd,周大福
ch-robinson,罗宾逊全球物流
chubb,安达保险
chugai-pharmaceutical,中外制药
chunghwa-telecom,中华电信
church-and-dwight,丘奇&德怀特
churchill-downs,Churchill Downs
cigna,信诺
cincinnati-financial,辛辛那提金融
cintas,信达思
cisco,思科
citic-limited,中信股份
citic-sec,中信证券
citigroup,花旗集团
citizens-financial-group,Citizens Financial Group
ck-asset-holdings-ltd,长实集团
ck-hutchison-holding,长和
