logoid,dr_name
sap,SAP
sartorius,Sartorius
saudi-arabian-oil,沙特阿美
saudi-basic,沙特基础工业
saudi-british-bank,沙特英国银行
saudi-national-bank,沙特国家银行
saudi-telecom-co,沙特电信
sba-communications,SBA通信
sberbank,俄罗斯联邦储蓄银行
schindler-n,迅达集团
schlumberger,斯伦贝谢
schneider,施耐德电气
schwab,嘉信理财
sd-gold,山东黄金
sdic-power-co-ltd,国投电力
seagate,希捷科技
sea-limited,Sea
seattle-genetics,Seagen
secom,SECOM
segro-plc,思格卢
sekisui-house,积水房屋
semiconductor-manufacturing-international,中芯国际
sempra-energy,桑普拉能源
servicenow,现在服务
seven-and-i-holdings,7&I控股
sf-co,顺丰控股
shaanxi-coal-industry-company-limited,陕西煤业
shanghai-baosight-software,宝信软件
shanghai-fosun-pharmaceutical-co-ltd,复星医药
shanghai-international-port-co-ltd,上港集团
shanghai-pudong-development-bank,浦发银行
shanxi-xinghuacun-fen-wine-factory-coltd,山西汾酒
shell,壳牌
shenzhen-inovance,汇川技术
shenzhen-mindray-b,迈瑞医疗
shenzhou-intl,申洲国际
sherwin-williams,宣伟
shimano,禧玛诺
shin-etsu-chemical,信越化学
shinhan-financial,新韩金融
shionogi,盐野义制药
shiseido,资生堂
shopify,Shopify
siemens,西门子
siemens-energy,西门子能源
siemens-health-ag-na-o-n,西门子医疗
sika,西卡
simon-property,西蒙地产
singapore-airlines,新加坡航空
singtel,新电信
sirius-xm,天狼星XM
skandinaviska-enskilda-banken-ser-a,北欧斯安銀行
sk-innovation,SK Innovation
sk-telecom,SK海力士
skyworks-solutions,思佳讯
smc,SMC
smith-and-nephew,施乐辉
smith-a-o,A.O.史密斯
sm-prime,SM集团
smucker,JM斯马克
snap,Snap
snap-on,实耐宝
snowflake,Snowflake
societe-generale,法国兴业银行
softbank,软银
solaredge-technologies,SolarEdge Technologies
sompo-holdings,损保控股
sony,索尼
southern,南方电力
southern-copper,南方铜业
southwest,西南航空
splunk,Splunk
spotify-technology,Spotify Technology SA
sqm,智利矿业化工
ss-and-c,SS&C Technologies Holdings
sse-plc,苏格兰和南方能源
standard-chartered,渣打集团
stanley-black-and-decker,史丹利百得
starbucks,星巴克
state-bank,印度国家银行
state-street,道富
steel-dynamics,Steel Dynamics
stellantis,Stellantis
steris,思泰瑞医疗
stmicroelectronics,意法半导体
stora-enso,芬兰斯道拉恩索
straumann-n,Straumann
stryker,史赛克
subaru,斯巴鲁
sumitomo,住友商事
sumitomo-mitsui,三井住友金融
sumitomo-mitsui-trust-holdings,三井住友信託控股
sumitomo-realty-and-development,住友不动产
sun-communities,Sunmmunities
suncor-energy,森科能源
suncorp-group-limited,新却集团
sun-hung-kai-properties-ltd,新鸿基地产
sun-life,永明金融
sunny-optical,舜宇光学科技
suntory,三得利
super-micro-computer,超微电脑
suzano,Suzano SA
suzuki,铃木
svenska-handelsbanken-ser-a,瑞典商业银行
swatch-group,Swatch
swedbank-ab-ser-a,瑞典银行
swire-properties-ltd,太古地产
swisscom-n,瑞士电信
swiss-life-ag-n,瑞士人寿
swiss-re-n,瑞士再保险
synchrony,Synchrony Financial
synopsys,新思科技
sysco,西斯科
sysmex,希森美康
taiwan-cooperative-financial-hldgs,合库金
taiwan-semiconductor,台积电
takeda,武田制药
take-two-interactive-software,Take-Two Interactive Software
talanx,Talanx
tapestry,Tapestry
targa-resources,Targa Resources
target,塔吉特
tata,印度塔塔
tc-energy,TC Energy
tcl-technology-gro,TCL科技
tdk,TDK
techtronic-ind,创科实业
teck-resources,泰克资源
te-connectivity,泰科电子
teledyne-technologies,Teledyne Technologies
teleflex,泰利福
telefonica,西班牙电信
telekom-indonesia,印尼电信
telus,泰勒斯
tenaris,泰纳瑞斯钢铁
tencent,腾讯控股
tencent-music-entertainment,腾讯音乐
teradyne,泰瑞达
terumo,泰尔茂
tesco,乐购
tesla,特斯拉
texas-instruments,德州仪器
texas-pacific-land-corporation,Texas Pacific Land
textron,德事隆
tfi-international,TFI International
thaibev,泰国酿酒
thales,Thales
the-carlyle-group,凯雷集团
the-people-s-insurance-company-of-china-limited,中国人保
thermo-fisher-scientific,赛默飞世尔科技
the-trade-desk,The Trade Desk
thomson-reuters,汤森路透
tianjin-zhonghua,TCL中环
tianqi-lithium-corp,天齐锂业
tjx-cos,The TJXmpanies
t-mobile,T-Mobile US
toast,Toast
tokio-marine,东京海上控股
tokyo-electron,东京电子
tongwei-coltd,通威股份
toronto-dominion-bank,多伦多道明银行
toshiba,东芝
total,道达尔
toyota,丰田
toyota-industries,丰田自动织机
toyota-tsusho,丰田通商
tractor-supply,拖拉机供应
tradeweb,Tradeweb Markets
trane-technologies,特灵科技
transdigm-group,TransDigm Group
transunion,TransUnion
traton-se-inh-o-n,Traton
travelers,旅行者保险
trimble,天宝导航
trina-solar,天合光能
truist-financial,Truist Financial
tsingtao-brew,青岛啤酒
turk-hava-yollari,土耳其航空
twilio,Twilio
tyler-technologies,泰勒科技
tyson-foods,泰森食品
uber,优步
ubiquiti-networks,优倍快
ubs-group,瑞银集团
ucb,优时比
udr,UDR不动产信托
uipath,UiPath
ulta-beauty,ULTA美妆
unicharm,娇联
unicredit,裕信银行
unilever,联合利华
union-pacific,联合太平洋
uniper-se-na-o-n,Uniper
uni-president,统一
united-airlines,联合航空
unitedhealth,联合健康
united-micro-electronics,联华电子
united-parcel,联合包裹服务
united-rentals,联合租赁
united-therapeutics,联合治疗
unity,Unity Software
universal-music-group-n-v,环球音乐集团
uob,大华银行
us-bancorp,美国合众银行
us-foods,美国食品控股
vale,淡水河谷
valero-energy,瓦莱罗能源
vantage-towers-ag-na-o-n,Vantage Towers
veeva-systems,Veeva Systems
ventas,芬塔
veolia-environnement,Veolia
verisign,威瑞信
verisk-analytics,Verisk分析
verizon,威瑞森通讯
vertex-pharmaceutical,福泰制药
vertiv-holdings,Vertiv Holdings
vestas,维斯塔斯
viacomcbs,派拉蒙全球
viatris,Viatris
vici-properties,VICI Properties
vinci,万喜
vinhomes,Vinhomes
visa,维萨
vmware,威睿
vodafone,沃达丰
volkswagen,大众
volvo-car,沃尔沃
vonovia,福诺菲亚
vulcan-materials,火神材料
wabtec,美国西屋制动
walgreens-boots-alliance,沃尔格林-联合博姿
walmart,沃尔玛
walt-disney,迪士尼
wanhua-chemical-coltd,万华化学
warner-bros-discovery,华纳兄弟探索
waste-connections-ca,Wastennections
waste-management,美国废物管理
waters,沃特世
watsco,华斯科
wec-energy,WEC能源
weichai-power-company-ltd,潍柴动力
wells-fargo,富国银行
welltower-indrn,Welltower
wens-foodstuff-gro,温氏股份
western-digital,西部数据
western-midstream-partners,Western Midstream Partners LP
west-japan-railway,西日本旅客铁道
westlake-chemical,Westlake
westpac,西太平洋银行
west-pharmaceutical-services,西氏医药服务
weyerhaeuserdrn,惠好
wharf-real-estate-investment-co-ltd,九龙仓置业
wheaton-precious-metals,惠顿贵金属
williams,威廉姆斯
willis-towers-watson,Willis Towers Watson
will-semiconductor-co-ltd-shanghai,韦尔股份
wilmar,丰益国际
wipro,维布络
wistron,纬创
wiwynn,纬颖
wmg,华纳音乐
wolters-kluwer,威科集团
woodside-petroleum,Woodside Energy Group
workday,Workday
w-p-carey,W. P. Carey
wpp,WPP集团
wuliangye-yibin-co,五粮液
wuxi-apptec,药明康德
wuxi-bio,药明生物
wynn-resorts,永利度假村
xcel-energy,埃克西尔能源
xiaomi,小米集团
xp,XP
xpeng,小鹏汽车
xylem,赛莱默
yahoo-japan,Z控股
yakult-honsha,养乐多本社
yankuang-energy-company-limited,兖矿能源
yaskawa-electric,安川电机
yihai-kerry-arawh,金龙鱼
ypf,阿根廷YPF
yum-brands,百胜餐饮
yum-china-holdings,百胜中国
yunnan-energy-new,恩捷股份
zebra,斑马技术
zhangzhou-pientzehuang-pharmaceutical-coltd,片仔癀
zijin-mining,紫金矿业
zillow-group,Zillow Group
zimmer-biomet,捷迈邦美
zoetis,硕腾
zoominfo,ZoomInfo Technologies
zoom-video-communications,Zoom Video通讯
zscaler,Zscaler
zte,中兴通讯
zto-express-cayman,中通快递
zurich,苏黎世保险
