证券代码,证券名称
GMS,GULF MARINE SERVICES PLC ORD 2P
0HI1,ARROW ELECTRONICS ORD SHS
PSN,柿子公司
SCLP,SCANCELL HOLDINGS PLC ORD 0.1P
EDOG,GLOBAL X ETFS ICAV GLOBAL X TEL
CURE,VANECK VANECK GENOMICS & HEALTH
BBH,BELLEVUE HEALTHCARE TRUST PLC R
SOYB,WISDOMTREE COMMODITY SECURITIES
CURG,VANECK VANECK GENOMICS & HEALTH
DAPP,VANECK CRYPTO AND BLOCKCHAIN UC
MCG,MOBICO GROUP PLC ORD 5P
ADM,Admiral集团
EDOC,GLOBAL X ETFS ICAV GLOBAL X TEL
0L13,SPDR S&P METALS & MINING ETF
STM,STM GROUP PLC ORD 0.1P
IGR,IG DESIGN GROUP PLC ORD 5P
0I21,SIEM OFFSHORE INC SIEM OFFSHORE
DWL,DOWLAIS GROUP PLC ORD 1P
QUIZ,QUIZ PLC ORD 0.3P
DOCT,LEGAL & GENERAL UCITS ETF PLC L
MIDW,MIDWICH GROUP PLC ORD GBP0.01
SCF,SCHRODER INCOME GROWTH FUND PLC
0KUT,REGENCY CENTERS REIT ORD SHS
CTG,CHRISTIE GROUP PLC ORD 2P
IAG,国际航空集团
GYM,THE GYM GROUP PLC ORD 0.01P
KCT,KIN AND CARTA PLC ORD 10P
EUP5,WISDOMTREE FOREIGN EXCHANGE LIM
FAN,VOLUTION GROUP PLC ORD GBP0.01
EOG,EUROPA OIL & GAS (HOLDINGS) PLC
CPX,CAP-XX LIMITED ORD NPV
WELP,HANETF ICAV HANGINS INDX HCARE
CVSG,CVS GROUP PLC ORD 0.2P
AGY,ALLERGY THERAPEUTICS PLC ORD 0.
SOYU,UBS AG UBS ETC (CMCI SOYBEANS)
0FGL,NEXUS AG NEXUS ORD SHS
CKN,克拉克森
KIE,KIER GROUP PLC ORD 1P
PINT,PANTHEON INFRASTRUCTURE PLC ORD
CAUG,GLOBAL X ETFS II ICAV GX CHINA
PETZ,RIZE UCITS ICAV RIZE PET CARE U
COD,COMPAGNIE DE SAINT-GOBAIN COMPA
PAWZ,RIZE UCITS ICAV RIZE PET CARE U
AWE,ALPHAWAVE IP GROUP PLC ORD GBP1
XPS,XPS PENSIONS GROUP PLC ORD GBP0
AOF,AFRICA OPPORTUNITY FUND LIMITED
PFC,PETROFAC LIMITED ORD USD0.02
CAUT,GLOBAL X ETFS II ICAV GX CHINA
YU.,YU GROUP PLC ORD GBP0.005
ANG,ANGLING DIRECT PLC ORD 1P
WRKS,THEWORKS.CO.UK PLC ORD 1P
BGEO,BANK OF GEORGIA GROUP PLC ORD 1
BOO,BOOHOO GROUP PLC ORD 1P
ATOM,ATOME ENERGY PLC ORD 0.2P
WELL,HANETF ICAV HANGINS INDX HCARE
MLPQ,INVESCO MARKETS PLC INVESCO MOR
EMG,英仕曼集团
0KT6,RCI HOSPITALITY HOLDINGS ORD SH
0U95,ESSENT GROUP ORD SHS
0VIK,STANDARD LITHIUM ORD SHS
GAL,GALANTAS GOLD CORPORATION COM S
RNO,瑞诺德集团
888,888 HOLDINGS PLC ORD 0.5P
SVT,赛文特
GDR,GENEDRIVE PLC ORD 1.5P
AIEA,AIREA PLC ORD 25P
ROO,DELIVEROO PLC CLASS A ORD 0.5P
PPTX,WISDOMTREE WISDOMTREE PHYSICAL
FDOC,FIDELITY UCITS ICAV FIDELITY DI
MLPS,INVESCO MARKETS PLC INVESCO MOR
SNWS,SMITHS NEWS PLC ORD 5P
BLU,BLUE STAR CAPITAL PLC ORD 0.1P
MCTS,INVESCO MARKETS II PLC IVZ MSCI
IMI,皇家金属工业(IMI)
MLPX,LEGAL & GENERAL UCITS ETF PUBLI
MLPP,INVESCO MARKETS PLC INVESCO MOR
FDM,FDM GROUP (HOLDINGS) PLC ORD 1P
MLPD,INVESCO MARKETS PLC INVESCO MOR
BUG,GLOBAL X ETFS ICAV GLOBAL X CYB
0J66,HOST HOTELS & RESORTS REIT ORD
CYBG,VANECK VANECK BIONIC ENGINEERIN
BEG,BEGBIES TRAYNOR GROUP PLC ORD 5
BUGG,GLOBAL X ETFS ICAV GLOBAL X CYB
JEMA,"JPMORGAN EMERGING EUROPE, MIDDL"
MCHT,INVESCO MARKETS II PLC IVZ MSCI
MKUW,INVESCO MARKETS PLC INVESCO MSC
HOC,HOCHSCHILD MINING PLC ORD 25P
HWDN,HOWDEN JOINERY GROUP PLC ORD 10
FDHT,FIDELITY UCITS ICAV FIDELITY DI
XGES,DB-XTRACKERS X MSCI GENOMIC HC
XLM,XLMEDIA PLC ORD USD0.000001
CNEG,AMUNDI INDEX SOLUTIONS AMUNDI M
PNN,PENNON GROUP PLC ORD 61 1/20P
SFR,SEVERFIELD PLC ORD 2.5P
CTPT,CT PROPERTY TRUST LIMITED ORD 1
ENSI,ENSILICA PLC ORD 0.1P
0IZ6,GOLUB CAPITAL BDC ORD SHS
PLTU,UBS AG UBS ETC (CMCI PLATINUM)
ECK,ECKOH PLC ORD 0.25P
XGEN,DB-XTRACKERS X MSCI GENOMIC HC
LSL,LSL PROPERTY SERVICES PLC ORD 0
WCLD,WISDOMTREE ISSUER PLC WT CLOUD
CYSE,WISDOMTREE ISSUER ICAV WT CYBER
BNC,桑坦德银行(UK)
PHPT,WISDOMTREE METAL SECURITIES WIS
TRMR,TREMOR INTERNATIONAL LTD ORD NI
DOCG,LEGAL & GENERAL UCITS ETF PLC L
NICL,NICHOLS PLC ORD 10P
