股票代码,股票简称,主营
600684.SH,珠江股份,"旧有物业销售,合肥中侨中心,珠江嘉园,旅游酒店,房地产开发,长沙珠江花城,开平天玺湾,珠江新岸公寓,长沙新地东方明珠,翰林国际公馆,物业管理,长沙珠江悦界商业中心,健康管理咨询,物业出租及管理,工程结算及服务,珠江颐德大厦项目,物业经营,房地产业,御东雅轩,健康管理,长沙柏悦湾,长沙珠江郦城,珠江�Z园"
002831.SZ,裕同科技,"纸制品包装,纸质品包装,不干胶,纸箱,环保纸塑,包装配套,纸制精品包装,精品盒,说明书"
301052.SZ,果麦文化,"图书策划与,数字内容,新闻和业,图书代理,IP衍生与运营"
300369.SZ,绿盟科技,"金融,信息安全,能源及企业,安全服务,电信运营商,第三方和服务,安全"
600295.SH,鄂尔多斯,"服装板块,煤炭,烧碱,多晶硅,硅铁,电石,PVC树脂,电冶板块,分部间抵销,硅锰合金,化肥,羊绒板块,服装"
300406.SZ,九强生物,"体外检测试剂,检验服务及实验辅助,--体外检测仪器,仪器租赁,生物医药,--体外检测试剂,体外检测仪器"
600755.SH,厦门国贸,"供应链管理,金融服务,房地产经营"
601899.SH,紫金矿业,"内部抵消数,矿山产锌,矿山产铜,电解铜,铜精矿,金锭(加工金),冶炼加工及贸易金,矿山产电解铜,锌锭,阴极铜,铁精矿（不含非控股企业）,冶炼产锌,加工冶炼及贸易金,冶炼加工金,内部销售抵消数,矿山产银,冶炼产铜,铜精矿（不含卡莫阿）,矿山产铜精矿,矿山产电积铜,金精矿,矿山产金,铁精矿,金锭,矿山产阴极铜,冶炼铜,抵消,电积铜"
605098.SH,行动教育,"图书音像制品销售,销售图书,图书销售,管理培训及管理咨询,管理培训,管理咨询"
002278.SZ,神开股份,"制造业,租赁及物业管理,测井仪器及服务,录井设备及服务,石油测井仪器,随钻设备及服务,石油分析仪器,石油钻采设备"
603298.SH,杭叉集团,"叉车及配件,叉车配件,分部"
300026.SZ,红日药业,"药品,智慧供应链,中药配方颗粒,辅料及原料药,原料药,原辅料,成品药,盐酸法舒地尔注射液,血必净注射液,低分子量肝素钙注射液,中药配方颗粒及饮片,医疗器械,盐酸莫西沙星氯化钠注射液,药械智慧供应链,辅料药"
002586.SZ,*ST围海,"海堤及配套,设计及技术服务,城市防洪工程,河道工程,海堤工程,市政工程,工程勘察设计,建筑施工,技术服务,水库工程"
600193.SH,创兴资源,"系统门窗幕,铝合金门窗安装,建筑装饰,系统门窗幕墙工程,建筑业,建材及家居家电贸易,玻璃幕墙,土建施工"
002462.SZ,嘉事堂,"医药物流,医药连锁,医药批发,商业"
300579.SZ,数字认证,"网络安全服务,安全咨询与运维服务,网络安全集成,安全集成,网络安全,电子认证服务,软件和信息技术服务业"
300349.SZ,金卡智能,"智慧公用事业物联网解决方案,无线智能燃气表及系统软件,气体流量计,仪器仪表,智能水务终端及系统,软件及信息技术服务,IC卡智能燃气表及系统软件,智能民用燃气终端及系统,智能工商业燃气终端及系统"
002823.SZ,凯中精密,"气控组件,通信及消费领域（管线材）,新能源汽车零组件,气控零件,电气机械及器材制造业,汽车通信消费互联及精密零组件,消费及通讯领域,换向器及集电环,高强弹性零件,通信及消费领域"
600621.SH,华鑫股份,"房屋租赁及物业服务,融资租赁,软件业,期货业,软件,分部间抵销,期货,房地产业,融资租赁利息,摩根华鑫,技术服务,证券业,融资租赁业,证券"
002195.SZ,二三四五,",PC端,互联网信息服务,移动端,多元投资,金融科技服务"
603317.SH,天味食品,"鸡精,香辣酱,定制餐调,火锅底料,电商,食品制造业,香肠腊肉调料,中式菜品调料,经销商,川菜调料,直营商超,火锅调料,食品,外贸"
002030.SZ,达安基因,"新型冠状病毒-nCoV核酸检测试剂盒,销售商品,生物制品业,金融服务,提供劳务,试剂,仪器,耗材,服务"
003040.SZ,楚天龙,"智能卡,制造业,智能终端,软件及服务"
600665.SH,天地源,"物业,房地产,物业服务,分部间抵销,房地产业"
002932.SZ,明德生物,"代理,供氧服务,急危重症信息化解决方案,体外诊断试剂,医药制造业,软件,技术服务费,第三方医学检验,咨询服务,试剂,快速诊断试剂,检验服务,仪器,体外诊断仪器"
000035.SZ,中国天楹,"城市环境服务,垃圾处理,工业废弃物处理,水处理"
601665.SH,齐鲁银行,"公司银行,资金营运,资金,平衡项目,个人银行"
002551.SZ,尚荣医疗,"医院设计与建设,医院建设,医疗,医院运营,医用耗材,健康产业运营,医疗服务,医疗设备及专业工程,医疗生产销售,建设"
000683.SZ,远兴能源,"尿素-贸易,煤炭-贸易,碱业-贸易,化肥-自产,尿素-自产,碱业-自产,小苏打-自产,小苏打-贸易,煤炭-自产,甲醇-贸易,纯碱-贸易,甲醇-自产,纯碱-自产,玻璃-贸易"
600055.SH,万东医疗,"劳务及服务,医疗器械制造"
603486.SH,科沃斯,"自有品牌服务机器人,添可品牌智能生活电器,服务机器人ODM,清洁电器OEM/ODM,智能生活电器,添可品牌智能电器,科沃斯品牌服务机器人,服务机器人,家电,小家电,清洁小家电OEM/ODM,自有品牌清洁小家电"
002482.SZ,ST广田,"工程金融,装饰设计,智能,园林绿化,装饰施工,智能工程,土建施工,建筑及建筑装饰业,装饰施工_装配化,建筑装饰业,装饰施工_非装配化"
000606.SZ,*ST顺利,"人力资本,企业互联网服务,企业综合服务,顾问咨询"
688005.SH,容百科技,"原材料,锂电,前驱体,正极材料,三元正极材料"
603501.SH,韦尔股份,"电子元器件代理,MOS,MOSFET,TVS,半导体代理销售,半导体分销,半导体设计及销售,电子元器件代理及销售,肖特基,卫星直播芯片,CMOS图像传感器,TDDI,射频及微传感,特定用途集成电路（ASIC）,半导体设计,射频及微传感器,半导体设计销售,技术服务,电源IC,分部间抵销,硅基液晶投影显示芯片（LCOS）,微型影像模组封装（CameraCubeChip）"
000923.SZ,河钢资源,"阳极泥硫酸,蛭石,金属矿开采及加工,铜,磁铁矿"
000756.SZ,新华制药,"解热镇痛原料药,化学原料药,片剂针剂胶囊剂制剂,制剂,医药中间体"
603324.SH,盛剑环境,"废气治理系统,湿电子化学品供应与回收再生系统,集成电路,湿电子化学品供应与回收系统,垃圾焚烧发电,印制电路板,废气治理设备,印刷电路板,光电显示"
300109.SZ,新开源,"分子诊断服务,基因检测技术服务,精准医疗服务,医疗服务,生命科学研究试剂,肿瘤早期诊断,PVP-I,PVPK,精细化工,生命科学研究,欧瑞姿"
603993.SH,洛阳钼业,"精炼金属（矿产贸易）,矿山采掘及加工铜钴,铌磷,钼钨（矿山采掘及加工）,矿产贸易精炼金属,铜钴,钼钨相关,铜钴相关,矿山采掘及加工铜金,精矿,铜金（矿山采掘及加工）,矿山采掘及加工,铌磷相关,矿物金属,铌磷（矿山采掘及加工）,铜钴（矿山采掘及加工）,精矿（矿产贸易）,矿产贸易,矿山采掘及加工铌磷,矿山采掘及加工钼钨,铜金,铜金相关,矿产贸易矿物金属,钼钨,精炼金属"
600510.SH,黑牡丹,"商品房销售,新基建,万顷良田工程项目收益,IDC分部,安置房销售,投资分部,纺织服装自营,安置房,纺织服装,数字能源基础设施,建筑,IDC基础设施,工程施工,土地前期开发项目收益,IDC基础设施制造,房地产,纺织分部,土地前期开发项目,纺织品贸易,分部间抵销,土地一级开发项目收益,万顷良田工程项目,纺织服装分部,新基建分部,城建分部,商品房"
301017.SZ,漱玉平民,"健康器械,中药饮片,保健食品,中西成药,批发,促销陈列与咨询服务,零售"
300869.SZ,康泰医学,"健康一体机,血氧,分析测试,超声,心电,血压,医疗器械,监护"
600638.SH,新黄浦,"服务业,金融业,房产销售,房地产出租,旅游饮食服务业,金融服务,房地产销售,批发和零售业,房地产业,提供劳务,酒店业,住宿和餐饮业,贸易,物业管理服务"
600059.SH,古越龙山,"玻璃制品,酒,中高档酒,酒及酒原料生产与销售,普通酒"
601788.SH,光大证券,"财富管理,经纪和财富管理,股权投资,机构证券,机构客户集群,资产管理集群,财富管理集群,机构客户,股权投资集群,投资交易,海外,企业融资集群,投资交易集群,企业融资,分部间抵销,抵销,机构证券服务,信用,投资管理,资产管理"
600284.SH,浦东建设,"保理,环保,施工工程项目,沥青砼及相关销售,分部间抵销,物业项目,沥青砼销售,建筑施工"
000948.SZ,南天信息,"IT销售及产业互联网,智能渠道解决方案,软件和信息技术服务,软件及服务,软件开发及服务,软件及信息技术服务业,云计算和数据智能,智慧城市,集成及服务,信息及服务,软件和信息技术服务业,集成解决方案"
600604.SH,市北高新,"园区产业载体销售,住宅销售,房地产业,园区产业载体租赁,住宅销售（车位）"
300079.SZ,数码视讯,"软件技术服务,金融,网络传输系统,金融科技,传媒科技,特种需求,信息服务终端,通信,新媒体技术服务及应用,电信,数字电视系统及服务,信息服务,金融及互联网金融技术服务及应用,视频技术及服务,公共安全,智能网关及终端,宽带网改,广播电视信息"
002614.SZ,奥佳华,"按摩椅,健康环境,按摩保健,家用医疗,按摩小电器,按摩保健器具,保健按摩"
002047.SZ,宝鹰股份,"装饰工程施工,装修装饰,装饰工程设计"
002797.SZ,第一创业,"未分配金额,抵消,自营投资及交易,投资银行,抵销,私募股权基金管理与另投资,固定收益,证券经纪及信用,资产管理"
300773.SZ,拉卡拉,"第三方支付,支付,商户科技服务,商户经营,科技服务"
600460.SH,士兰微,"分立器件,集成电路,电子元器件,发光二极管"
600113.SH,浙江东日,"批发交易市场,运输,商铺与市场配套用房开发与销售,分部间抵销,租赁,软件开发,批发市场管理,批发交易市场管理,制造业,商品销售"
000546.SZ,金圆股份,"固危废资源综合利用,水泥及熟料,商砼,商品混凝土,环保业,建材业,固废危废资源化综合利用,固危废处置,固废危废无害化处置,水泥,熟料"
000792.SZ,盐湖股份,"百货,PVC,运输业,运输,盐湖资源综合利用化工,百货业,酒店业,水泥,碳酸锂,氯化钾,制造业,贸易"
300303.SZ,聚飞光电,"LED,照明LED,背光LED"
300463.SZ,迈克生物,"代理,代理仪器,自产试剂,其中新型冠状病毒-nCoV核酸检测试剂盒荧光PCR法,自主,代理试剂,体外诊断,自产仪器"
301155.SZ,海力风电,"桩基,风电塔筒,风电设备,导管架"
600398.SH,海澜之家,"T恤衫,服饰商品销售,针织衫,裤子,爱居兔,海澜之家品牌,圣凯诺品牌,西服,材料销售,圣凯诺,电汽销售,羽绒服,服装,茄克衫,衬衫,海澜之家"
000757.SZ,浩物股份,"机械,整车销售,汽车服务,汽车后市场服务,机械配件,制造业,汽车服务业"
300587.SZ,天铁股份,"锂化物,轨道工程制品,橡胶制品,轨道工程橡胶制品,基础化学材料"
601728.SH,中国电信,"出售商品,固网及智慧家庭服务,电信服务,电信业,产业数字化服务,移动通信服务,产业数字化,服务"
601088.SH,中国神华,"发电,煤化工,运输,铁路,港口,未分配项目,航运,分部抵销,煤炭"
601555.SH,东吴证券,"财富管理,投资与交易,资管与基金管理,投资交易,经纪及财富管理,投资银行,经纪与财富管理,国际,信用交易,资管及基金管理,资产管理"
831832.BJ,科达自控,"自动控制相关,在现(线)技术服务,矿山数据监测与自动控制系统,市政设备远程监测及控制系统,在现（线）自动化技术服务,市政数据远程监测系统"
300941.SZ,创识科技,"金融,商户端硬件-云音箱,商户端支付解决方案-商户端软件及服务,商户端支付解决方案-商户端硬件-云音箱,商户端服务,销售商品,银行端及服务,商户端硬件-POS终端及配件,商户端电子支付解决方案,商户端支付解决方案-商户端硬件-POS终端及配件,商户端支付解决方案-商户端硬件,服务,商户端支付解决方案"
002838.SZ,道恩股份,"橡胶和塑料制品,热塑性弹性体,改性塑料,色母粒,橡胶和塑料制品业"
002949.SZ,华阳国际,"建筑设计,商业综合体设计,居住建筑设计,造价咨询,设计,公共建筑设计,工程总承包"
003013.SZ,地铁设计,",规划咨询,勘察设计,勘察设计服务,规划咨询服务,工程总承包服务,工程总承包"
301015.SZ,百洋医药,"药品,品牌服务,策划咨询服务,房屋租赁,物流服务,迪巧,批发配送,品牌销售推广,医药批发配送,医疗器械,医药及健康零售,品牌运营,零售,药品医疗器械销售"
600569.SH,安阳钢铁,"钢材,建材,高线,铸管,材料,型材,板带材,板材,黑色金属"
000060.SZ,中金岭南,"铝镍锌加工及销售,分部间抵消,间抵销,幕墙门窗,有色金属贸易,精矿,铝型材,冶炼,铅锌铜采掘冶炼及销售,电池材料"
600790.SH,轻纺城,"仓储租赁,仓储服务业,仓储租赁业,市场租赁,担保业,网络服务业,租赁业,市场服务业,市场租赁业"
300019.SZ,硅宝科技,"硅烷偶联剂,防腐材料及工程,化工销售,化工设备制造销售,建筑用胶,工业用胶"
300653.SZ,正海生物,"可吸收硬脑（脊）膜补片,口腔修复膜,医疗器械,生物膜,骨修复材料"
002935.SZ,天奥电子,"时间同步产,频率,时间同步,北斗卫星应用"
002057.SZ,中钢天源,"服务业,检验检测,电子元器件,金属制品检测,工业原料,金属制品,电子元件,生产制造业,冶金矿山机电工程专用设备,金属制品检测服务"
002428.SZ,云南锗业,"锗材料级,有色金属（压延加工业）,光伏级锗,有色金属,红外级锗,光纤级锗,非锗半导体材料级,材料级锗,半导体材料,贸易,化合物半导体材料"
603027.SH,千禾味业,"酱油,食品制造业,原辅料包材广宣品,焦糖色,醋,食醋"
300073.SZ,当升科技,"锂电材料,钴酸锂,智能装备,多元材料"
000698.SZ,沈阳化工,"糊树脂,烧碱,聚醚,丙烯酸及脂,聚醚化工,聚乙烯,丙烯,石油化工,氯碱化工"
600655.SH,豫园股份,"文化食品饮料及商品,度假村,餐饮管理与服务,酒业,白酒,商业经营管理与物业租赁服务,商业经营管理与租赁,珠宝时尚,商业,医药,化妆品,商业经营管理及物业租赁服务,时尚表业,商业与物业综合服务,物业开发与销售,商业综合运营与物业综合,食品百货及工艺品,物业开发及销售,商业综合及物业综合服务,产业运营,餐饮管理及服务,食品百货及工艺品销售,商业运营及物业综合服务,文化食品饮料与商业,分部间抵销,商业综合运营与物业综合服务"
002645.SZ,华宏科技,"电梯零部件,电梯零部件销售,废钢加工及贸易,再生资源板块,再生资源运营-稀土氧化物及磁材,再生资源运营-废钢及报废汽车,再生资源加工设备,再生资源加工设备销售,磁性材料,废料回收加工及贸易,再生资源,再生资源运营-稀土回收料综合利用,再生资源运营-稀土废料综合利用,电梯零部件板块"
002072.SZ,*ST凯瑞,"互联网接入及服务器托管,租赁,互联网,煤炭贸易,煤炭,租赁服务,贸易"
002020.SZ,京新药业,",原料药,成品药,医用器械,医药制造,分部间抵销,医疗器械"
002196.SZ,方正电机,"智能控制器,缝纫机应用,机械,汽车应用"
000596.SZ,古井贡酒,"酒店,制造业,白酒"
600887.SH,伊利股份,"经销,直营,液体乳及乳制品制造业,液体乳,奶粉及奶制品,冷饮"
601377.SH,兴业证券,"一证券及期货经纪,财富管理,证券及期货经纪,机构服务,三机构服务,证券自营,四自营投资,分部间抵销,海外,投资银行,五海外,二资产管理,资产管理,自营投资"
603026.SH,石大胜华,"气体,甲基叔丁基醚,液化气,碳酸二甲酯,混合芳烃"
600297.SH,广汇汽车,"广告费,维修服务,整车销售,佣金代理,汽车租赁,汽车销售服务,服务费,分部间抵销,汽车租赁服务,租赁及物业,汽车租赁贷后"
600111.SH,北方稀土,"商业,稀土应用,稀土原料,工业,环保及服务,环保板块,水电费转供,材料销售,分部间抵销,贸易分部,稀土功能材料,生产分部,稀土,贸易,稀土功能材料及应用分部,环保产业分部"
605376.SH,博迁新材,"铜粉,硅粉,合金粉,镍粉,合金,银粉,金属粉体材料"
600746.SH,江苏索普,"醋酸及衍生品,ADC发泡剂,XPE(含母粒),离子膜碱,化工,醋酸,醋酸乙酯,硫酸及衍生品"
300622.SZ,博士眼镜,"隐形眼镜,零售-线下,成镜,镜片,光学眼镜及验配服务,太阳镜,镜架,零售-线上,零售"
600197.SH,伊力特,"包装,酒,高档酒,白酒,低档酒,中档酒"
600223.SH,鲁商发展,"原料及衍生添加剂,药品,物业管理,化妆品,房地产,原料及添加剂,房地产销售,物业服务,生物医药,酒店,添加剂,保健品,房地产及物业"
002082.SZ,万邦德,"铜/锌贸易,铝锭/铝棒,铝型材,板材,铝制品,化学原料药,铝板带,医疗器械,化学药,粉末涂料,有色金属贸易,铝锭/铝棒贸易,有色金属加工,专用设备制造及服务,化学制剂,中药（含植物提取物）,医药制造,型材,化学制剂及化学原料药,医药器械,专业设备制造及服务"
600511.SH,国药股份,"内部抵消数,商业分部,销售,仓储物流,商品销售"
600381.SH,青海春天,"虫草参芪膏,医药,广告,酒,冬虫夏草（原草）,冬虫夏草,内部抵减抵销,分部间抵销,酒水快销,净制冬虫夏草,中成药,酒水,酒销售,广告代理,食品,大健康"
600663.SH,陆家嘴,"金融业,房地产租赁,物业管理,信托,房地产,房地产销售,投资性房地产转让,分部间抵销,酒店业,证券"
300749.SZ,顶固集创,"定制生态门,定制衣柜及配套家居,精品五金,集创门窗,家具制造业"
300564.SZ,筑博设计,"建筑设计,城市规划,设计咨询"
600503.SH,华丽家族,"石墨烯衍生品,非金属矿物制品业,机械制造业,装修及绿化工程,房地产,搬卸机器人,房地产业,建筑装饰业"
600822.SH,上海物贸,"商业,金属,销售商品及提供服务,租赁,汽车"
300358.SZ,楚天科技,"冻干制剂生产整体解决方案,后包装线,生物工程解决方案及单机,无菌制剂解决方案及单机,固体制剂设备,固体制剂解决方案及单机,工程设计服务,配件及售后服务,EPC工程设计服务,制药用水装备及工程系统集成,检测包装解决方案及单机,制药装备"
601528.SH,瑞丰银行,"资金,公司,个人"
000686.SZ,东北证券,"证券自营,证券承销与保荐,基金管理,投资银行,证券资产管理,抵销,证券投资,证券经纪,渤海期货,信用交易,抵消,资产管理"
688198.SH,佰仁医疗,"心脏瓣膜置换与修复治疗,先天性心脏病植（介）入治疗,医疗器械制造,外科软组织修复治疗,外科软组织修复,医疗器械"
600019.SH,宝钢股份,"热轧碳钢板卷,钢管,分部间抵消,分部间抵销,加工配送,长材,冷轧碳钢板卷,钢铁制造"
603093.SH,南华期货,"财富管理,风险管理,公募基金,期货经纪,期货经纪手续费,期货投资咨询,基金销售,证券经纪佣金,外汇,基金管理费及销售,投资咨询,境外金融服务,基金管理费和销售,股票期权手续费,交易所减收手续费,境外,期货经济手续费,基金管理,风险管理（总额法）,证券经济佣金,资产管理"
600406.SH,国电南瑞,"电工电气装备制造业,电力自动化信息通信,继电保护及柔性输电,电网自动化及工业控制,发电及水利环保"
601718.SH,际华集团,"职业装,皮革皮鞋,职业鞋靴,民品,分部间抵销,纺织印染,军需品,内部抵销数,防护装具"
002096.SZ,南岭民爆,"运输配送,工业雷管,工业导爆索（管）,工业炸药,民爆器材,工程爆破"
301178.SZ,天亿马,"信息系统集成,软件开发及技术服务,信息设备销售,信息系统集成服务,智慧教育,软件及技术服务,智慧政务,智慧医疗,硬件销售,信息系统运维服务"
600927.SH,永安期货,"期货经纪,代理销售金融,公允价值变动收益,投资咨询,投资收益,分部间抵销,汇兑收益,风险管理,基金销售,利息净,经纪手续费,结构化主体,资产管理,境外,资产处置收益"
600367.SH,红星发展,"硫酸钡,电解二氧化锰,碳酸锶,高纯硫酸锰,电池级碳酸锂,无机盐,锰盐,硝酸锶,高纯碳酸钡,硫磺,碳酸钡,硫脲(含精制高纯品),高纯氯化钡"
600311.SH,*ST荣华,"白银,焦炭,销售黄金,销售焦炭,黄金"
300377.SZ,赢时胜,"金融,软件技术运行服务,保理,软件技术服务费,供应链,服务费,软件开发,定制软件开发和销售,商品销售,非金融"
301289.SZ,国缆检测,"检验检测,检验检测服务,通信电缆及光缆检测,中高压线缆检测,专业技术服务,技术服务,计量,低压线缆检测"
600613.SH,神奇制药,"抗菌消炎,枇杷止咳颗粒,中药经典止咳,银丹心泰滴丸,枇杷止咳胶囊,心脑血管,二医药商业,风湿骨病,风湿骨通,经典滋补,三高慢病,抗肿瘤,金乌骨通胶囊,苗药强筋健骨,神奇娃娃儿药,斑蝥酸钠维生素B注射液,珊瑚癣净,斑蝥酸钠注射液,医药制造业,补益安神,一医药制造,全天麻胶囊,精乌胶囊,感冒止咳,一医药制造业,医药制造,风湿骨疼,医药商业,皮肤外用抗菌,强力枇杷露,抗肿瘤药"
300133.SZ,华策影视,"广告业,广告,游戏,影视,经纪,综艺,全网剧销售,电视剧销售,影院票房,分部间抵销,电影销售,音乐"
002053.SZ,云南能投,"盐硝,天然气,化工,风电,电力,食品"
600177.SH,雅戈尔,"地产开发,纺织,裤子,纺织板块,品牌裤子,房地产开发,线上销售,服装板块,服装纺织板块,旅游,品牌西服,投资板块,品牌衬衫,品牌上衣,自营网点,房地产旅游,房地产旅游板块,YOUNGOR,HANP,服装,购物中心网点,衬衫,房地产/康旅板块,MAYOR,品牌服装,西服,分部间抵销,HartSchaffnerMarx,上衣"
600708.SH,光明地产,"房地产开发及配套,物业及租赁,房地产开发"
600064.SH,南京高科,"土地成片开发转让,园区管理及服务,药品销售,市政基础设施承建,房地产开发销售"
601187.SH,厦门银行,"资金,公司,个人"
688621.SH,阳光诺和,"临床试验及生物分析服务,临床试验和生物分析服务,CRO,药学研究服务"
688279.SH,峰岹科技,"智能功率模块IPM,电机主控芯片ASIC,功率器件MOSFET,电机主控芯片MCU,电机驱动芯片HVIC"
600649.SH,城投控股,"房产销售,房产,房地产,代建,特许经营权项目,管理,租赁"
000667.SZ,美好置业,"PPP项目,房地产,PCEPC,装配式建筑,城中村综合改造项目,现代农业,设计施工混凝土预制构件及总承包,农业"
603456.SH,九洲药业,"化学原料药及中间体的生产销售及服务,专利药原料药及中间体,特色原料药及中间体,工程服务,抗感染,特色原料药及中间体（API）,非甾体药物,专利原料药及中间体,中枢神经药物,降血糖药,合同定制,专利药原料药及中间体（CDMO）"
601995.SH,中金公司,"期货经纪,股票,财富管理,投资咨询,基金管理,投资银行,私募股权,证券经纪,固定收益,资产管理"
601828.SH,美凯龙,"商品销售及相关服务,家居商业服务业,项目年度品牌咨询委托管理服务,家装相关服务及商品销售,合营联营商场,商品销售及相关服务业,商业咨询费及招商佣金,自营及租赁,建造施工及设计,项目前期品牌咨询委托管理服务,家装相关服务及商品销售业,自有商场,建造施工及设计服务业,租赁商场,工程项目商业管理咨询费"
300981.SZ,中红医疗,"丁腈手套,防护手套,PVC手套,丁睛手套"
300832.SZ,新产业,"试剂,仪器及配套软件,仪器,体外诊断"
300248.SZ,新开普,"智慧政企应用解决方案,运维服务,智慧校园云平台解决方案,智慧校园应用解决方案,软件和信息技术服务业"
605033.SH,美邦股份,"杀虫剂,农药,杀菌剂"
002568.SZ,百润股份,"食用香精,预调鸡尾酒（含气泡水）"
301117.SZ,佳缘科技,"医疗,信息化综合解决方案,军工,网络信息安全服务,信息化综合解决方案服务,技术服务,政务"
002775.SZ,文科园林,"园林养护,景观设计,生态景观,苗木销售,生态工程,科教文旅"
603979.SH,金诚信,"采掘服务业,矿山工程设计与研究,矿山工程建设,采矿运营管理,矿山工程设计"
603960.SH,克来机电,"柔性自动化装备与工业机器人系统应用,非汽车,汽车发动机配套管路,非汽车领域,分部间抵销,汽车,柔性自动化装备与工业机器人系统,汽车高压燃油分配器高压油管和冷却水管,智能装备,汽车零部件"
600662.SH,外服控股,"外包服务,房产销售,汽车服务业,人才派遣服务,出租车营运,出租汽车业,汽车服务,房地产业,薪酬福利服务,旅游,招聘及灵活用工服务,旅游服务业,人力资源,人事管理服务,招聘灵活用工服务,汽车租赁业"
603703.SH,盛洋科技,"显示器件,高端消费通信,射频电缆,射频电缆通信,销售,G通讯基站服务,高频头及相关配件"
600759.SH,ST洲际,"油气销售,分部间抵销,租赁服务,总部,油气"
601699.SH,潞安环能,"采掘业,煤化工业,焦化,焦炭,煤炭"
688358.SH,祥生医疗,"超声医学影像设备,技术服务费,主机,医疗器械,黑白超,彩超"
002919.SZ,名臣健康,"化学原料和化学制品制造业,网络游戏,印刷和记录媒介复制业,印刷品,日化用品,软件和信息技术服务业"
600850.SH,电科数字,"数字新基建,专项服务和常续服务,内部抵消数,信息化解决方案,内部抵销数,数据中心智能化解决方案,软件及信息技术,数字化"
600983.SH,惠而浦,"生活电器,厨电&小电,冰箱,电机,洗衣机,家电制造"
000617.SZ,中油资本,"信托,财务公司,商业银行,手续费及佣金,金融租赁,利息,已赚保费"
002287.SZ,奇正藏药,"软膏剂,丸剂及散剂,医药业,保健品,贴膏剂"
301096.SZ,百诚医药,"临床服务,CDMO,临床前药学研究,CRO,CRO（含受托及自研转让）,研发技术成果转化,权益分成"
688363.SH,华熙生物,"原料,生物科技,咨询服务,平台服务,医药制造,功能性护肤品,医疗终端"
000997.SZ,新大陆,"服务业,房地产及物业费,商户运营及增值服务,应用与软件开发及服务,电子支付及信息识读,制造业"
000737.SZ,北方铜业,"磺化,硫酸,硫酸钡,元明粉,有色金属冶炼业,化工,阴极铜,贵金属,有色金属冶炼及压延加工业,硫化碱"
300783.SZ,三只松鼠,"烘焙,果干,零食,肉制品,干果,花茶,礼盒,坚果,休闲食品,综合"
601236.SH,红塔证券,"期货经纪,私募投资,证券研究所,财富管理,未分配支出,机构服务,私募投资基金,基金管理,投资银行,分部间抵销,期货,证券投资,证券经纪,证券研究,信用交易,零售与网络金融,资产管理,自营投资"
601108.SH,财通证券,"财富管理,证券自营,投资银行,分部间抵销,证券信用,证券经纪,境外证券,总部后台及其,资产管理,境外"
301056.SZ,森赫股份,"直梯,安装维保及备件,电梯,客户合同产生的,电梯销售,租赁,扶梯自动人行道,电梯及配件,投资性房地产处置,安装"
300286.SZ,安科瑞,"能效管理及系统,企业微电网系统及,消防及系统,分部间抵销,能源互联网,消防及用电安全及系统,合同能源管理,电量传感器,用电监控及系统,电力监控及变电站综合监控及系统,企业微电网和系统小计,用户端智能电力仪表"
300956.SZ,英力股份,"结构性模组,结构件模组,消费电子,精密模具"
600998.SH,九州通,"商业分销（不含总代总销及自产）,西药中成药,医药分销与供应链（不含自产及总代理）,总代总销及自产,中药材中药饮片,医疗健康及技术服务,三方物流,医疗器械计生用品,医药工业,总代品牌推广,医药工业自产及OEM,食品保健品化妆品,医药批发及相关,医药零售,零售,医药批发及相关服务"
300485.SZ,赛升药业,"心脑血管用药,医疗设备销售,医药制造业,神经系统用药,免疫系统用药"
002679.SZ,福建金森,"林业服务,杉小径,房屋租赁,杉原木,杉薪材,杂元木,林业技术服务,松单板,松原木,松薪材,林业,杉短材,杂小径,种苗,松小径,杂薪材,短材薪材,碳汇,杂原木"
688319.SH,欧林生物,"吸附破伤风疫苗,b型流感嗜血杆菌结合疫苗,医药制造业,A群C群脑膜炎球菌多糖结合疫苗,A群C群脑膜炎多糖结合疫苗,破伤风毒素浓缩原液"
002355.SZ,兴民智通,"钢制车轮,智驾服务,车载信息服务,租赁费,边角料,智驾设计及服务,交通运输设备制造,车载信息,车载无线及集成"
603045.SH,福达合金,"工业,复层触头,销售商品,机器人视觉分选系统,柔性摆盘工作站,服务费,柔性供料器,材料销售,租赁,模具,触头元件,触头材料,废料销售,充电桩"
600535.SH,天士力,"化学原料药,化学制剂,化学制剂药,医药工业,医药商业,中药,心脑血管,感冒发烧,抗肿瘤,医药工业小计,肝病治疗,生物药,医药商业小计"
002317.SZ,众生药业,"医药贸易,中药材及中药饮片销售,原料药及中间体销售,中成药销售,医药制造,化学药销售"
600566.SH,济川药业,"商业,西药,工业,儿科,清热解毒,消化,心脑血管,中药,妇科,呼吸"
000980.SZ,ST众泰,"交通运输设备及服务,汽车制造业,门业,交通运输设备制造及服务,汽车整车,家具制造业,交通运输设备制造业"
002736.SZ,国信证券,"资本中介,投资与交易,经纪及财富管理,投资银行,资产管理"
605136.SH,丽人丽妆,"美妆洗护品,天猫国际,电商零售,品牌营销运营服务,天猫国内"
