isin,euronext_code,stock_name,degiro_symbol,symbol,category,currency,exchangeId,exchange_degiro,exchange_mic_code,exchange_name,market,isShortable,feedQuality,feedQualitySecondary,icb_industry,name,description,logoid,type,close,Value.Traded,market_cap_basic,fundamental_currency_code,sector,industry,is_primary,exchange,country,currency_id,forex_rate,market_cap_USD,Traded_USD,turnover_rate,plate,证券代码,证券名称,en_description,dr_name,code,correct_industry,exchange_code,trade_currency,last_price,change,last_traded_at,close_price,trading_date
FR0000071946,FR0000071946-XPAR,Alten,ATE,ATE,A,EUR,710,EPA,XPAR,Euronext Paris,france,True,R,CX,Computer Services,ATE,ALTEN,alten,stock,139.2,563203.2,5299743566.2688,USD,Industrial Services,Engineering & Construction,True,EURONEXT,France,EUR,1.11261,52.997435662688,0.00626625512352,0.0001,欧洲,,,ALTEN,,,,XPAR,EUR,139.30,0.07,11:20 CEST21 Jul 2023,139.20,20 Jul 2023
BE0003837540,BE0003837540-XBRU,Atenor,ATEB,ATEB,D,EUR,320,EBR,XBRU,Euronext Brussels,belgium,False,R,,Real Estate Holding and Development,ATEB,ATENOR,atenor,stock,27.2,1305.6,216936667.50118,USD,Finance,Real Estate Development,True,EURONEXT,Belgium,EUR,1.11261,2.1693666750118,1.452623616e-05,0.0,欧洲,,,ATENOR,,,,XBRU,EUR,27.20,-0.73,09:00 CEST21 Jul 2023,27.40,20 Jul 2023
FR0011992700,FR0011992700-XPAR,Ateme SA,ATEME,ATEME,D,EUR,710,EPA,XPAR,Euronext Paris,france,False,R,,Software,ATEME,ATEME,ateme-sa,stock,9.5,33829.5,120845235.929,USD,Electronic Technology,Telecommunications Equipment,True,EURONEXT,France,EUR,1.11261,1.20845235929,0.00037639039995,0.0003,欧洲,,,ATEME,,,,XPAR,EUR,9.50,0,10:14 CEST21 Jul 2023,9.50,20 Jul 2023
FR0013455482,FR0013455482-XPAR,Fonciere Atland SA,FATL,ATLD,D,EUR,710,EPA,XPAR,Euronext Paris,france,False,R,,Industrial REITs,ATLD,ATLAND,atland,fund,39.6,554.4,193691374.81485,USD,Finance,Real Estate Investment Trusts,True,EURONEXT,France,EUR,1.11261,1.9369137481485,6.168309840000001e-06,0.0,欧洲,,,ATLAND,,,,XPAR,EUR,39.60,-0.5,10:08 CEST21 Jul 2023,39.80,20 Jul 2023
FR0000051732,FR0000051732-XPAR,Atos,ATO,ATO,C,EUR,710,EPA,XPAR,Euronext Paris,france,False,R,,Computer Services,ATO,ATOS,atos,stock,14.37,1453008.18,1768623962.68052,USD,Technology Services,Information Technology Services,True,EURONEXT,France,EUR,1.11261,17.6862396268052,0.016166314311498,0.0009,欧洲,,,ATOS,,,,XPAR,EUR,14.31,-0.1,11:20 CEST21 Jul 2023,14.325,20 Jul 2023
FR0000063737,FR0000063737-XPAR,Aubay,AUB,AUB,D,EUR,710,EPA,XPAR,Euronext Paris,france,False,R,,Computer Services,AUB,AUBAY,aubay,stock,44.8,228166.4,689617827.05552,USD,Commercial Services,Miscellaneous Commercial Services,True,EURONEXT,France,EUR,1.11261,6.8961782705552,0.00253860218304,0.0004,欧洲,,,AUBAY,,,,XPAR,EUR,44.70,-4.08,11:18 CEST21 Jul 2023,46.60,20 Jul 2023
FR0000061780,FR0000061780-XPAR,Augros Cosmetic Packaging,AUGR,AUGR,D,EUR,710,EPA,XPAR,Euronext Paris,france,False,R,,Containers and Packaging,AUGR,AUGROS COSMETICS,,stock,6.65,133.0,10479952.19568,USD,Process Industries,Containers/Packaging,True,EURONEXT,France,EUR,1.11261,0.1047995219567999,1.4797713e-06,0.0,欧洲,,,AUGROS COSMETICS,,,,,,,,,,
FR0000039232,FR0000039232-XPAR,Aurea,AURE,AURE,D,EUR,710,EPA,XPAR,Euronext Paris,france,False,R,,Waste and Disposal Services,AURE,AUREA,aurea,stock,6.56,3280.0,67584430.97681001,USD,Industrial Services,Environmental Services,True,EURONEXT,France,EUR,1.11261,0.6758443097681001,3.6493608e-05,0.0001,欧洲,,,AUREA,,,,XPAR,EUR,6.56,3.47,09:00 CEST21 Jul 2023,6.34,20 Jul 2023
IT0000084043,IT0000084043-MTAA,Autostrade Meridionali SpA,AUTME,AUTME,D,EUR,608,MIL,MTAA,Borsa Italiana S.p.A.,italy,False,D15,,Transportation Services,AUTME,AUTOSTRADE MERID,autostrade-meridionali-spa,stock,12.45,154155.9,60153533.16412,USD,Transportation,Other Transportation,True,MIL,Italy,EUR,1.11261,0.6015353316412,0.00171515395899,0.0029,欧洲,,,AUTOSTRADE MERID,,,,MTAA,EUR,12.40,0.4,11:20 CEST21 Jul 2023,12.35,20 Jul 2023
IT0005366601,IT0005366601-MTAA,ANTARES VISION,AV,AV,D,EUR,608,MIL,MTAA,Borsa Italiana S.p.A.,italy,False,D15,,Electronic Equipment: Control and Filter,AV,ANTARES VISION,antares-vision,stock,6.42,24537.24,493268496.98082,USD,Electronic Technology,Electronic Equipment/Instruments,True,MIL,Italy,EUR,1.11261,4.9326849698082,0.000273003785964,0.0001,欧洲,,,ANTARES VISION,,,,MTAA,EUR,6.42,0.47,11:16 CEST21 Jul 2023,6.39,20 Jul 2023
IT0005119810,IT0005119810-MTAA,Avio SpA,AVIO,AVIO,C,EUR,608,MIL,MTAA,Borsa Italiana S.p.A.,italy,False,CX,D15,Aerospace,AVIO,AVIO,avio-spa,stock,9.07,126671.62,260821366.00938,USD,Electronic Technology,Aerospace & Defense,True,MIL,Italy,EUR,1.11261,2.6082136600938,0.001409361111282,0.0005,欧洲,,,AVIO,,,,MTAA,EUR,9.07,-0.55,11:20 CEST21 Jul 2023,9.12,20 Jul 2023
NL0012047823,NL0012047823-XAMS,Avantium NV,AVTX,AVTX,D,EUR,200,EAM,XAMS,Euronext Amsterdam,netherlands,False,R,,Specialty Chemicals,AVTX,AVANTIUM,avantium,stock,3.49,71503.12,165599730.14090002,USD,Producer Manufacturing,Industrial Machinery,True,EURONEXT,Netherlands,EUR,1.11261,1.655997301409,0.000795550863432,0.0005,欧洲,,,AVANTIUM,,,,"XAMS, XBRU",EUR,3.495,0.29,11:20 CEST21 Jul 2023,3.485,20 Jul 2023
GB00BQQFX454,GB00BQQFX454-XAMS,Accsys Technologies PLC,AXS,AXS,D,EUR,200,EAM,XAMS,Euronext Amsterdam,netherlands,False,R,,Building Materials: Other,AXS,ACCSYS TECHNOLOGIES,accsys-technologies-plc,stock,1.044,28437.516,246494475.80579996,USD,Process Industries,Industrial Specialties,False,EURONEXT,United Kingdom,EUR,1.11261,2.4649447580579995,0.0003163986467676,0.0001,欧洲,,,ACCSYS TECHNOLOGIES,,,,XAMS,EUR,1.044,0,10:54 CEST21 Jul 2023,1.044,20 Jul 2023
FR0011040500,FR0011040500-XPAR,Axway Software SA,AXW,AXW,D,EUR,710,EPA,XPAR,Euronext Paris,france,False,R,,Software,AXW,AXWAY SOFTWARE,axway-software-sa,stock,21.7,151.9,524153328.4537,USD,Technology Services,Packaged Software,True,EURONEXT,United States,EUR,1.11261,5.241533284537,1.6900545900000004e-06,0.0,欧洲,,,AXWAY SOFTWARE,,,,XPAR,EUR,21.70,-0.46,10:51 CEST21 Jul 2023,21.80,20 Jul 2023
BE0974400328,BE0974400328-XBRU,AZELIS GROUP NV,AZE,AZE,B,EUR,320,EBR,XBRU,Euronext Brussels,belgium,False,R,CX,Chemicals: Diversified,AZE,AZELIS GROUP NV,azelis-nv,stock,22.66,143415.14,6137267240.8762,USD,Distribution Services,Wholesale Distributors,True,EURONEXT,Belgium,EUR,1.11261,61.372672408762,0.001595651189154,0.0,欧洲,,,AZELIS GROUP NV,,,,XBRU,EUR,22.64,0.18,11:19 CEST21 Jul 2023,22.60,20 Jul 2023
IT0003261697,IT0003261697-MTAA,Azimut Holding,AZM,AZM,C,EUR,608,MIL,MTAA,Borsa Italiana S.p.A.,italy,False,CX,D15,Asset Managers and Custodians,AZM,AZIMUT,azimut,stock,20.13,2957016.48,3147432210.4027,USD,Finance,Financial Conglomerates,True,MIL,Italy,EUR,1.11261,31.474322104027,0.032900061058128,0.001,欧洲,,,AZIMUT,,,,MTAA,EUR,20.13,-0.59,11:14 CEST21 Jul 2023,20.25,20 Jul 2023
NL00150006Z9,NL00150006Z9-XAMS,Azerion Group N.V.,AZRN,AZRN,D,EUR,200,EAM,XAMS,Euronext Amsterdam,netherlands,False,R,,Electronic Entertainment,AZRN,AZERION GROUP,azerion-group-n-v,stock,2.35,787.25,475016090.14431,USD,Finance,Finance/Rental/Leasing,True,EURONEXT,Netherlands,EUR,1.11261,4.7501609014431,8.759022225000002e-06,0.0,欧洲,,,AZERION GROUP,,,,XAMS,EUR,2.36,0.43,11:16 CEST21 Jul 2023,2.35,20 Jul 2023
IT0004412497,IT0004412497-MTAA,BASTOGI SPA,B,B,D,EUR,608,MIL,MTAA,Borsa Italiana S.p.A.,italy,False,D15,,Professional Business Support Services,B,BASTOGI SPA,bastogi-spa,stock,0.57,171.0,71567079.29304999,USD,Finance,Real Estate Development,True,MIL,Italy,EUR,1.11261,0.7156707929305,1.9025631e-06,0.0,欧洲,,,BASTOGI SPA,,,,MTAA,EUR,0.57,-1.38,10:28 CEST21 Jul 2023,0.578,20 Jul 2023
LU2355630455,LU2355630455-XAMS,BenevolentAI,BAI,BAI,D,EUR,200,EAM,XAMS,Euronext Amsterdam,netherlands,False,R,,Biotechnology,BAI,BENEVOLENTAI,,stock,1.4,168.0,187018267.04,USD,Health Technology,Biotechnology,True,EURONEXT,United Kingdom,EUR,1.11261,1.8701826704,1.8691848e-06,0.0,欧洲,,,BENEVOLENTAI,,,,XAMS,EUR,1.40,0,11:18 CEST21 Jul 2023,1.40,20 Jul 2023
