stock-id,name,trading-status,industry,business,child-business,market-cap,update-date,一级行业,二级行业,三级行业,证券名称,证券代码,总市值,asset_subtype,sym,mktcap,ls,am,ric,product_subtype,am_u,yld,pc,pe,nc,ccy,nm,mktcap_u,suspend,涨跌幅,最新价
00025,其士國際,N,綜合企業,綜合企業,綜合企業,2113499080.0,2023-07-18T18:15:50,综合企业,综合企业,综合企业,其士国际,00025.HK,21.1,ODSH,25,2.11,7.000,,0025.HK,,,5.43,0.00,9.04,0.000,HKD,CHEVALIER INT'L,B,,0.0,7.000
00026,中華汽車,N,地產建築,地產,地產投資,3078826208.0,2023-07-18T18:15:50,地产建筑,地产,地产投资,中华汽车,00026.HK,30.8,ODSH,26,3.07,68.000,,0026.HK,,,4.71,0.00,42.59,0.000,HKD,中華汽車,B,,0.0,68.000
00027,銀河娛樂,N,非必需性消費,旅遊及休閒設施,賭場及博彩,235284667585.8,2023-07-18T18:15:50,非必需性消费,旅游及休闲设施,赌场及博彩,银河娱乐,00027.HK,2352.8,ODSH,27,235.28,53.850,,0027.HK,,,,0.00,,0.000,HKD,銀河娛樂,B,,0.0,53.850
00028,天安,N,地產建築,地產,地產發展商,5864277964.0,2023-07-18T18:15:50,地产建筑,地产,地产发展商,天安,00028.HK,58.6,ODSH,28,5.86,4.000,,0028.HK,,,6.25,0.00,3.84,0.000,HKD,天安,B,,0.0,4.000
00029,達力集團,N,地產建築,地產,地產投資,2638510859.1,2023-07-18T18:15:50,地产建筑,地产,地产投资,达力集团,00029.HK,26.4,ODSH,29,2.63,11.100,,0029.HK,,,0.09,0.00,84.67,0.000,HKD,達力集團,B,,0.0,11.100
00030,萬隆控股集團,S,必需性消費,食品飲料,食品添加劑,1693178625.84,2023-07-18T18:15:50,必需性消费,食品饮料,食品添加剂,万隆控股集团,00030.HK,16.9,ODSH,30,1.69,0.249,,0030.HK,,,,0.00,124.50,0.000,HKD,萬隆控股集團,B,True,0.0,0.249
00031,航天科技,N,工業,工業工程,航空、航天及國防,1187733424.57,2023-07-18T18:15:50,工业,工业工程,航空、航天及国防,航天科技,00031.HK,11.9,ODSH,31,1.18,0.385,,0031.HK,,,6.49,0.00,,0.000,HKD,航天控股,B,,0.0,0.385
00032,港通控股,N,非必需性消費,支援服務,教育,3041135760.96,2023-07-18T18:15:50,非必需性消费,支援服务,教育,港通控股,00032.HK,30.4,ODSH,32,3.04,8.160,,0032.HK,,,5.15,0.00,,0.000,HKD,港通控股,B,,0.0,8.160
00033,INTL GENIUS,N,非必需性消費,家庭電器及用品,玩具及消閒用品,4872813093.28,2023-07-18T18:15:50,非必需性消费,家庭电器及用品,玩具及消闲用品,INTL GENIUS,00033.HK,48.7,ODSH,33,4.87,9.070,,0033.HK,,,,0.00,117.79,0.000,HKD,INTL GENIUS,B,,0.0,9.070
00034,九龍建業,N,地產建築,地產,地產發展商,9695441879.04,2023-07-18T18:15:50,地产建筑,地产,地产发展商,九龙建业,00034.HK,97.0,ODSH,34,9.69,8.240,,0034.HK,,,10.07,0.00,7.98,0.000,HKD,九龍建業,B,,0.0,8.240
00035,遠東發展,N,地產建築,地產,地產發展商,5005924586.7,2023-07-18T18:15:50,地产建筑,地产,地产发展商,远东发展,00035.HK,50.1,ODSH,35,5.00,1.850,,0035.HK,,,7.57,0.00,28.73,0.000,HKD,遠東發展,B,,0.0,1.850
00036,遠東控股國際,N,地產建築,地產,地產投資,147031010.055,2023-07-18T18:15:50,地产建筑,地产,地产投资,远东控股国际,00036.HK,1.5,ODSH,36,147.03,0.135,,0036.HK,,,,0.00,,0.000,HKD,遠東控股國際,M,,0.0,0.135
00037,遠東酒店實業,N,地產建築,地產,地產投資,1000864647.3,2023-07-18T18:15:50,地产建筑,地产,地产投资,远东酒店实业,00037.HK,10.0,ODSH,37,1.00,1.330,,0037.HK,,,,0.00,,0.000,HKD,遠東酒店實業,B,,0.0,1.330
00038,第一拖拉機,N,工業,工業工程,重型機械,1540324200.0,2023-07-18T18:15:50,工业,工业工程,重型机械,第一拖拉机,00038.HK,15.4,ODSH,38,1.54,3.930,,0038.HK,,,6.56,0.00,5.74,0.000,HKD,第一拖拉機股份,B,,0.0,3.930
00039,中國北大荒,N,必需性消費,消費零售,超市及便利店,861194443.288,2023-07-18T18:15:50,必需性消费,消费零售,超市及便利店,中国北大荒,00039.HK,8.6,ODSH,39,861.19,0.136,,0039.HK,,,,0.00,,0.000,HKD,中國北大荒,M,,0.0,0.136
00040,金山科技工業,N,非必需性消費,家庭電器及用品,消費電子產品,494356559.4,2023-07-18T18:15:50,非必需性消费,家庭电器及用品,消费电子产品,金山科技工业,00040.HK,4.9,ODSH,40,494.35,0.540,,0040.HK,,,,0.00,13.40,0.000,HKD,金山科技工業,M,,0.0,0.540
