证券代码,股票简称,流通市值,PE,扣非PE,PB,扣非ROE,ROE,ROA,股息率,分红比例,扣非净利润增速,营收增速,资产负债率,现金,扣非PEG,扣非市赚率,市赚率,财务健康度
301101.SZ,明月镜片,69.53,36.92,44.48,4.27,7.7,8.77,9.34,,0.0,10.99,10.43,12.26,0.02,4.26,11.56,8.42,0.1
300339.SZ,润和软件,349.18,341.33,361.18,9.93,1.76,2.23,1.89,0.14,0.0,26.88,7.23,38.64,0.02,49.98,410.04,306.13,0.02
002518.SZ,科士达,303.42,52.59,71.78,6.72,9.32,9.89,6.65,,0.0,27.7,18.97,35.05,0.02,3.78,15.4,10.63,0.08
603838.SH,*ST四通,30.34,-63.31,-47.07,3.24,-4.59,-3.77,-3.82,,0.0,-89.65,-1.8,8.07,0.02,扣非亏损,扣非亏损,亏损,-0.98
603843.SH,*ST正平,46.87,-35.24,-8.05,16.75,-58.06,-13.26,0.3,,0.0,-128.37,-32.88,92.49,0.02,扣非亏损,扣非亏损,亏损,-0.98
688031.SH,星环科技,265.92,-93.53,-91.04,29.73,-22.94,-21.31,-16.59,,0.0,27.71,6.68,23.76,0.02,扣非亏损,扣非亏损,亏损,-0.98
688700.SH,东威科技,143.89,126.41,171.38,8.01,4.62,4.84,3.22,,0.0,38.1,-0.64,42.91,0.02,-269.84,74.17,52.24,0.03
600900.SH,长江电力,6709.19,17.85,20.5,3.03,13.08,13.01,7.19,0.77,0.0,0.79,5.04,59.04,0.02,4.07,3.14,2.74,0.33
002842.SZ,翔鹭钨业,92.43,163.18,-1086.56,10.09,4.91,5.89,4.02,,0.0,172.16,4.83,51.91,0.02,扣非亏损,危险信号,55.41,0.01
002888.SZ,惠威科技,15.04,223.79,171.48,7.8,2.21,2.61,2.23,,0.0,23.04,-0.56,14.91,0.02,-305.92,155.33,171.49,0.02
603083.SH,剑桥科技,324.4,120.07,151.76,16.46,10.56,10.66,4.39,0.03,10.04,91.93,9.84,62.37,0.02,15.42,14.36,11.26,0.08
300287.SZ,飞利信,62.35,-50.41,-33.17,6.32,-9.78,-8.98,-4.49,,0.0,13.56,-30.02,49.52,0.02,扣非亏损,扣非亏损,亏损,-0.98
603701.SH,德宏股份,61.16,414.65,366.2,7.62,1.23,1.38,1.66,,0.0,827.22,7.96,41.94,0.02,46.02,593.28,600.94,0.02
603738.SH,泰晶科技,88.79,190.14,385.21,5.04,1.39,2.01,1.55,,0.0,-61.5,-12.02,17.14,0.02,-32.05,555.38,189.2,0.02
920576.BJ,天力复合,73.92,250.93,263.09,16.77,4.2,4.98,3.28,,0.0,-52.74,4.53,36.97,0.02,58.07,125.37,100.77,0.02
