证券代码,股票简称,流通市值,PE,扣非PE,PB,扣非ROE,ROE,ROA,股息率,分红比例,扣非净利润增速,营收增速,资产负债率,现金,扣非PEG,扣非市赚率,市赚率,财务健康度
600153.SH,建发股份,274.01,17.89,17.45,0.49,1.37,1.35,0.55,2.16,0.0,-25.34,0.39,74.27,3.81,44.25,25.54,26.51,3.85
600170.SH,上海建工,268.36,16.62,109.94,0.85,0.87,2.52,0.89,,0.0,-46.77,2.27,85.54,3.28,48.34,252.42,13.19,3.28
600918.SH,中泰证券,244.97,28.51,29.53,1.29,3.0,3.11,,,0.0,163.1,-2.29,80.63,3.16,-12.87,19.71,18.33,3.21
600325.SH,华发股份,111.19,81.51,-21.38,0.59,0.42,0.52,0.66,0.47,33.33,-93.54,6.01,69.72,3.12,扣非亏损,危险信号,156.76,3.1
603093.SH,南华期货,129.58,32.53,33.85,3.47,8.27,8.27,,,0.0,-1.16,-17.37,93.13,3.06,-1.95,8.19,7.87,3.18
300999.SZ,金龙鱼,171.48,46.75,62.28,1.78,2.12,2.89,2.09,,0.0,745.88,2.16,56.22,2.94,28.87,58.64,32.35,2.96
601083.SH,锦江航运,23.45,9.9,10.67,1.71,13.15,13.18,13.56,1.79,32.79,70.77,5.89,18.57,2.73,1.81,0.81,0.75,3.96
300226.SZ,上海钢联,84.74,39.46,80.18,4.11,4.9,8.09,1.48,0.2,13.45,-2.03,7.79,85.89,2.44,10.29,16.36,4.88,2.5
002060.SZ,广东建工,65.17,21.03,14.23,1.14,3.99,4.05,0.99,,0.0,-14.84,0.04,89.2,2.29,376.04,7.13,10.38,2.43
600061.SH,国投资本,466.76,12.27,13.73,0.87,5.12,5.3,1.38,,0.0,38.32,24.51,81.31,2.16,0.56,5.37,4.63,2.35
600502.SH,安徽建工,85.83,7.96,7.53,0.77,4.62,5.15,1.36,2.13,0.0,-13.74,10.65,86.36,2.03,0.71,3.26,3.09,2.34
601186.SH,中国铁建,863.89,5.16,4.99,0.37,4.14,4.84,1.43,,0.0,-6.14,1.69,79.14,2.0,2.96,2.41,2.13,2.41
600938.SH,中国海油,1255.8,14.68,16.85,2.54,13.16,13.01,12.79,2.21,45.62,-12.91,23.72,30.09,1.93,0.71,1.28,1.13,2.71
600248.SH,陕建股份,138.59,9.35,33.43,0.48,2.41,4.18,0.91,,0.0,-69.09,-2.67,88.13,1.91,-12.5,27.79,4.48,1.94
600941.SH,中国移动,883.72,13.78,16.39,1.55,7.87,8.3,7.02,2.48,64.17,6.57,7.1,33.96,1.82,2.31,2.08,1.66,2.3
601211.SH,国泰海通,2421.35,10.75,16.05,1.01,6.59,8.1,,0.73,13.51,80.46,1.6,83.13,1.77,10.01,2.44,1.33,2.18
601881.SH,中国银河,1016.98,10.5,10.95,1.31,7.49,8.77,,0.8,23.15,58.05,-0.36,82.3,1.76,-30.64,1.46,1.2,2.45
002314.SZ,南山控股,35.2,16.19,-6.68,0.78,3.85,3.16,2.27,,0.0,194.72,-7.48,73.92,1.71,扣非亏损,危险信号,10.25,1.42
000776.SZ,广发证券,1140.66,10.37,11.51,1.19,7.11,8.18,,0.45,12.66,65.14,-5.73,83.27,1.68,-2.01,1.62,1.27,2.3
000521.SZ,长虹美菱,55.95,10.11,10.49,1.06,7.34,7.86,2.53,,0.0,-12.47,16.46,72.51,1.64,0.64,2.86,2.57,1.99
000031.SZ,大悦城,138.02,-19.42,-4.61,1.36,-5.52,-5.14,1.43,,0.0,64.8,-5.63,75.39,1.63,扣非亏损,扣非亏损,亏损,0.63
601800.SH,中国交建,1001.17,7.6,7.69,0.47,3.64,4.45,1.19,1.43,21.04,-13.45,3.95,76.2,1.62,1.94,2.11,1.71,2.1
601668.SH,中国建筑,2128.0,4.18,5.35,0.44,7.38,8.03,2.28,,0.0,-4.92,5.12,76.07,1.62,1.05,1.45,1.04,2.31
002926.SZ,华西证券,229.95,16.28,15.26,0.94,4.4,4.41,,0.43,20.0,310.39,-5.55,78.52,1.61,-2.75,3.46,3.69,1.9
301559.SZ,中集环科,16.24,81.59,49.96,2.38,1.66,2.14,1.83,,0.0,-57.39,-3.52,14.43,1.59,-14.2,60.05,76.25,1.61
600048.SH,保利发展,773.29,30.07,-51.94,0.4,0.88,0.98,0.94,,0.0,-76.76,3.97,73.27,1.59,扣非亏损,危险信号,61.37,1.58
601390.SH,中国中铁,1216.44,6.29,7.15,0.46,4.19,5.09,1.28,1.52,19.9,-20.04,2.96,77.88,1.57,2.42,1.71,1.24,2.16
600638.SH,新黄浦,43.43,23.8,35.0,0.94,2.48,3.0,1.27,,0.0,120.08,-4.4,77.15,1.56,-7.96,28.18,15.86,1.6
601995.SH,中金公司,998.97,18.84,17.73,1.69,5.62,6.29,,0.26,11.06,128.46,-10.83,84.6,1.55,-1.64,3.16,3.0,1.87
600958.SH,东方证券,729.02,12.17,16.33,1.05,6.15,6.35,,1.1,30.0,57.63,-6.54,81.95,1.5,-2.5,2.66,1.92,1.88
000783.SZ,长江证券,417.52,9.28,10.97,1.17,8.42,9.23,,,0.0,142.04,-6.45,78.23,1.5,-1.7,2.61,2.01,1.88
000906.SZ,浙商中拓,42.71,17.06,-18.03,0.91,-2.17,3.46,2.14,,0.0,-2090.6,4.3,82.12,1.49,扣非亏损,扣非亏损,9.86,0.49
603202.SH,天有为,30.4,14.08,,2.21,15.08,15.36,12.01,1.09,25.38,,57.7,27.58,1.47,,,0.92,2.56
000002.SZ,万科A,452.78,-1.49,-0.97,0.32,-14.0,-14.81,-1.71,,0.0,-83.07,-7.54,73.51,1.45,扣非亏损,扣非亏损,亏损,0.45
601788.SH,光大证券,630.15,20.83,20.6,1.24,3.75,4.0,,0.62,34.22,30.99,-15.58,77.68,1.44,-1.32,5.5,5.21,1.62
601588.SH,北辰实业,50.01,-2.18,-1.52,0.84,-25.69,-25.24,-2.86,,0.0,-120.72,-24.92,77.45,1.44,扣非亏损,扣非亏损,亏损,0.44
600927.SH,永安期货,211.93,33.47,33.6,1.61,3.66,3.66,,0.12,16.67,15.35,-16.12,81.41,1.44,-2.08,9.17,9.15,1.54
688459.SH,哈铁科技,17.0,61.66,35.42,1.37,1.55,1.66,1.26,0.31,42.98,8.96,3.5,14.78,1.43,10.12,22.85,37.15,1.47
000686.SZ,东北证券,201.51,14.17,13.76,1.01,5.37,5.47,,1.07,0.0,135.04,-1.37,81.44,1.43,-10.04,5.12,5.18,1.62
601688.SH,华泰证券,1435.78,10.45,11.55,1.03,6.37,7.21,,0.64,18.75,100.04,4.02,79.97,1.42,2.87,1.81,1.45,1.97
600030.SH,中信证券,3135.46,12.36,13.71,1.36,7.56,8.15,,1.01,32.58,37.41,-5.49,84.17,1.41,-2.5,1.81,1.52,1.96
000069.SZ,华侨城A,171.09,-3.42,-1.85,0.43,-8.73,-9.36,-0.73,,0.0,-77.37,-18.32,77.24,1.38,扣非亏损,扣非亏损,亏损,0.38
601061.SH,中信金属,68.11,21.47,24.1,2.82,9.87,10.26,5.88,0.83,0.0,72.06,4.89,55.25,1.38,4.93,4.88,4.19,1.58
601377.SH,兴业证券,555.29,16.52,17.27,0.99,4.14,4.37,,0.67,0.0,92.81,-9.29,78.75,1.37,-1.86,8.34,7.56,1.49
601375.SH,中原证券,146.52,38.0,43.85,1.38,2.7,2.74,,0.19,14.26,168.08,-22.32,74.65,1.36,-1.96,16.25,13.87,1.42
301584.SZ,建发致新,14.65,39.94,,5.89,12.73,14.38,3.53,,0.0,,21.52,83.52,1.33,,,5.55,1.51
002500.SZ,山西证券,210.0,21.52,23.79,1.15,3.88,4.02,,0.83,33.33,34.81,-7.2,77.18,1.33,-3.31,6.14,5.35,1.49
601878.SH,浙商证券,469.73,18.62,18.55,1.29,5.2,5.26,,0.65,0.0,49.75,-1.01,78.55,1.31,-18.44,7.13,7.08,1.45
600827.SH,百联股份,139.11,39.32,145.65,0.78,0.77,1.49,1.03,,0.0,-3.08,-7.22,60.64,1.29,-20.17,376.07,52.78,1.29
603257.SH,中国瑞林,16.26,66.55,,3.21,3.65,4.02,1.52,,0.0,,8.81,54.04,1.28,,,33.11,1.31
600906.SH,财达证券,142.96,24.67,22.32,1.78,5.48,5.41,,0.45,25.0,80.45,3.85,77.32,1.27,5.8,4.08,4.56,1.52
000166.SZ,申万宏源,1111.0,11.55,13.3,1.11,7.36,7.41,,0.66,20.59,112.51,-6.85,80.67,1.27,-1.94,1.81,1.56,1.82
000539.SZ,粤电力A,135.69,35.81,-614.47,1.19,2.2,2.52,1.63,,0.0,-65.68,9.19,79.45,1.26,扣非亏损,危险信号,28.42,1.26
601686.SH,友发集团,92.68,13.86,13.13,1.38,6.07,7.41,2.46,4.78,0.0,1309.88,-6.28,71.44,1.25,-2.09,4.33,3.74,1.48
600339.SH,中油工程,246.22,35.28,116.68,0.92,1.78,1.96,0.94,0.39,15.44,-20.65,2.59,78.38,1.25,45.1,65.62,18.0,1.27
600057.SH,厦门象屿,182.68,11.39,19.53,1.53,4.23,7.83,2.72,1.17,0.0,302.47,-6.16,71.55,1.25,-3.17,9.23,2.91,1.36
000090.SZ,天健集团,74.55,277.79,25.02,0.66,0.01,-0.07,0.48,,0.0,-99.58,-1.71,76.5,1.24,-14.59,5686.78,-7936.84,1.24
000402.SZ,金融街,81.89,-4.55,-0.95,0.35,-5.05,-5.57,-0.21,,0.0,52.87,-0.69,77.11,1.24,扣非亏损,扣非亏损,亏损,0.24
603049.SH,中策橡胶,45.0,9.61,,1.86,16.49,16.91,8.22,,0.0,,8.7,52.73,1.24,,,1.14,2.12
601669.SH,中国电建,939.84,12.43,12.76,0.86,3.88,4.98,1.51,,0.0,-17.53,3.89,80.19,1.23,3.28,6.58,4.99,1.39
600109.SH,国金证券,326.81,14.42,13.62,0.94,4.79,4.94,,,0.0,94.1,-1.54,75.95,1.19,-8.82,5.69,5.84,1.37
600742.SH,富维股份,77.87,14.88,14.73,0.9,4.26,4.58,2.8,4.2,78.45,7.22,-1.41,56.07,1.19,-10.48,3.45,3.25,1.47
301491.SZ,汉桑科技,15.77,34.15,,3.4,9.86,11.68,7.3,,0.0,,17.15,27.99,1.18,,,5.85,1.35
601901.SH,方正证券,610.0,12.04,13.14,1.21,7.66,7.67,,0.91,21.03,95.91,-3.28,80.39,1.16,-4.01,1.71,1.57,1.74
301656.SZ,联合动力,42.44,57.91,,6.61,10.48,15.01,3.72,,0.0,,77.41,61.94,1.15,,,7.72,1.28
600376.SH,首开股份,144.46,-3.49,-2.1,2.22,-23.66,-19.77,0.13,,0.0,28.92,-26.32,76.83,1.15,扣非亏损,扣非亏损,亏损,0.15
000498.SZ,山东路桥,91.02,5.19,4.45,0.61,5.44,6.72,1.56,0.58,4.38,2.57,4.68,76.28,1.15,0.95,0.82,0.77,2.37
000550.SZ,江铃汽车,92.8,15.47,20.92,1.37,4.14,6.58,3.38,,0.0,-56.95,3.78,65.33,1.15,5.53,10.1,4.7,1.25
600861.SH,北京人力,61.91,7.12,16.91,1.34,6.35,14.68,9.9,,0.0,7.94,0.06,49.91,1.15,306.74,5.33,0.97,1.33
000404.SZ,长虹华意,50.85,10.09,12.81,1.2,7.81,9.08,4.35,,0.0,-5.59,-3.17,62.83,1.14,-4.04,3.28,2.22,1.44
600104.SH,上汽集团,1681.76,15.57,253.37,0.57,2.44,2.77,1.6,,0.0,578.58,-6.61,62.3,1.13,-38.31,207.53,11.24,1.14
301260.SZ,格力博,32.93,-65.55,-218.55,1.74,-1.72,-2.02,-1.61,,0.0,-454.03,3.42,57.22,1.13,扣非亏损,扣非亏损,亏损,0.13
601066.SH,中信建投,1490.11,18.83,17.75,2.17,6.34,7.99,,0.62,31.73,65.28,-10.83,82.52,1.12,-1.64,2.8,2.36,1.47
688755.SH,汉邦科技,7.06,71.57,,2.91,3.14,3.86,2.25,0.25,25.0,,30.14,34.37,1.11,,,18.54,1.16
600729.SH,重庆百货,45.02,7.8,8.06,1.31,12.41,12.76,5.68,0.61,9.03,5.68,-6.48,58.79,1.1,-1.24,0.65,0.61,2.64
688428.SH,诺诚健华,62.42,-477.9,-133.06,6.16,-2.02,-0.96,-1.47,,0.0,49.32,4.91,29.88,1.09,扣非亏损,扣非亏损,亏损,0.09
301287.SZ,康力源,7.31,37.84,33.74,2.47,3.88,4.89,3.22,0.43,40.91,8.63,-0.15,29.06,1.09,-227.24,8.7,7.74,1.21
600999.SH,招商证券,1186.04,11.75,11.49,1.18,6.69,7.18,,0.72,21.25,24.02,-8.72,81.93,1.08,-1.32,1.72,1.64,1.66
601318.SH,中国平安,6523.96,6.26,7.51,1.12,14.84,13.7,,1.39,24.55,26.87,3.49,89.94,1.08,2.15,0.51,0.46,3.05
600704.SH,物产中大,290.62,7.14,9.78,0.71,5.79,7.38,3.46,1.8,0.0,23.57,2.15,73.11,1.07,4.54,3.38,1.94,1.37
000728.SZ,国元证券,347.36,12.93,12.91,0.93,5.42,5.37,,0.96,25.0,29.34,9.96,79.68,1.07,1.3,2.38,2.41,1.48
001979.SZ,招商蛇口,807.75,26.0,31.63,0.87,1.82,2.26,0.95,,0.0,17.11,3.93,67.79,1.05,8.04,34.72,23.01,1.08
603014.SH,威高血净,15.57,36.35,,2.37,5.3,5.44,5.26,0.4,27.17,,7.61,17.55,1.05,,,6.68,1.2
000042.SZ,中洲控股,56.78,69.31,-4.07,1.72,1.03,1.88,1.25,,0.0,107.83,-18.01,91.07,1.05,扣非亏损,危险信号,73.74,0.92
000789.SZ,万年青,45.85,459.4,-116.04,0.71,-0.57,0.11,0.64,,0.0,-30.76,-25.08,37.07,1.05,扣非亏损,扣非亏损,8352.68,0.05
002736.SZ,国信证券,1173.68,10.26,10.04,1.29,7.43,9.05,,0.76,0.0,88.02,-2.6,77.3,1.04,-3.86,2.7,2.27,1.41
600383.SH,金地集团,139.95,-2.34,-2.38,0.26,-7.3,-7.9,-1.16,,0.0,-56.05,-6.74,63.57,1.02,扣非亏损,扣非亏损,亏损,0.02
600853.SH,龙建股份,44.1,12.88,10.31,1.29,6.61,6.71,1.46,,0.0,11.86,6.43,81.38,1.01,1.6,3.12,3.84,1.33
001236.SZ,弘业期货,76.04,3627.75,692.0,5.41,0.11,0.11,,,0.0,-85.82,22.78,85.1,1.01,30.37,13130.91,65959.12,1.01
600820.SH,隧道股份,210.34,13.04,9.17,0.68,2.67,3.61,1.58,1.23,38.1,-24.26,0.08,75.62,1.0,112.07,3.44,3.61,1.29
603418.SH,友升股份,22.18,22.13,,2.4,11.29,16.78,8.3,,0.0,,38.37,30.53,0.99,,,2.64,1.37
601696.SH,中银证券,377.53,33.15,35.75,2.02,4.46,4.64,,0.14,10.2,35.05,-4.55,79.44,0.99,-7.86,8.02,7.14,1.12
002589.SZ,瑞康医药,43.15,293.83,-36.57,0.89,0.12,0.22,0.69,,0.0,184.63,-25.71,64.42,0.98,扣非亏损,危险信号,2671.23,0.98
002244.SZ,滨江集团,291.15,10.56,10.13,1.14,8.36,8.34,2.59,,0.0,60.38,25.73,76.43,0.98,0.39,2.42,2.53,1.39
002061.SZ,浙江交科,110.2,11.9,12.63,0.72,4.5,4.61,1.45,,0.0,-15.17,1.19,76.03,0.98,10.62,5.61,5.16,1.16
000709.SZ,河钢股份,272.85,24.87,64.7,0.53,0.75,1.3,1.78,,0.0,59.39,-6.49,74.84,0.98,-9.96,173.01,38.26,0.98
600390.SH,五矿资本,250.99,24.96,126.91,0.59,1.9,1.28,0.78,0.11,7.5,-25.66,2.2,65.08,0.96,57.81,66.95,19.5,0.98
002761.SZ,浙江建投,92.28,56.17,-19036.87,1.7,0.8,1.31,0.17,,0.0,-53.17,-5.19,91.91,0.96,扣非亏损,危险信号,85.75,0.96
601992.SH,金隅集团,160.02,-10.79,-5.11,0.5,-4.64,-1.97,0.52,,0.0,-51.89,-3.1,66.33,0.95,扣非亏损,扣非亏损,亏损,-0.05
600266.SH,城建发展,112.3,11.01,-10.06,0.58,1.06,3.22,1.57,,0.0,222.16,3.14,76.88,0.95,扣非亏损,危险信号,6.84,0.9
605158.SH,华达新材,40.96,45.74,29.52,1.66,2.03,2.69,0.55,,0.0,-55.71,-6.6,70.59,0.95,-4.47,29.02,34.01,0.98
601456.SH,国联民生,411.94,22.79,31.15,1.03,4.88,3.74,,,0.0,348.81,-2.71,72.26,0.94,-11.5,12.76,12.19,1.02
000750.SZ,国海证券,235.33,27.57,25.98,1.15,3.15,3.16,,0.28,20.0,290.84,-4.51,68.74,0.93,-5.76,8.24,8.72,1.06
601555.SH,东吴证券,461.59,11.8,13.34,1.09,6.96,6.93,,1.52,35.38,59.98,7.75,80.26,0.93,1.72,1.92,1.7,1.45
600606.SH,绿地控股,230.49,-2.58,-1.14,0.4,-9.95,-11.04,-0.17,,0.0,-1584.98,-23.49,89.52,0.93,扣非亏损,扣非亏损,亏损,-0.07
600858.SH,银座股份,31.21,26.69,-530.24,1.15,1.7,3.28,3.12,0.24,7.49,-29.19,-1.45,76.24,0.91,扣非亏损,危险信号,8.14,0.91
002961.SZ,瑞达期货,124.48,24.2,25.15,4.16,12.78,12.64,,0.66,35.29,45.29,12.15,84.6,0.9,2.07,1.97,1.91,1.41
000039.SZ,中集集团,282.61,31.72,20.61,1.36,2.79,3.13,2.84,,0.0,-14.01,5.26,60.62,0.89,3.92,14.77,20.27,0.96
001386.SZ,马可波罗,22.02,18.98,,2.51,9.58,10.42,8.48,1.32,0.0,,-7.47,28.32,0.89,,,3.64,1.16
601618.SH,中国中冶,590.92,12.96,27.1,0.66,1.97,2.56,0.97,,0.0,-45.74,4.15,78.71,0.87,6.54,27.46,10.12,0.91
600814.SH,杭州解百,59.47,23.69,31.3,1.59,4.85,5.1,4.69,0.51,19.52,-20.09,-6.07,43.86,0.87,-5.16,6.46,4.65,1.03
601919.SH,中远海控,1981.37,6.69,6.37,1.04,11.55,11.37,6.9,3.69,50.0,-29.15,-1.55,43.46,0.87,-4.11,0.55,0.59,2.68
600720.SH,中交设计,74.47,16.88,11.83,1.11,4.53,4.94,2.74,,0.0,-22.95,-0.63,48.5,0.86,-18.78,5.23,6.84,1.05
002939.SZ,长城证券,338.29,14.72,15.71,1.2,6.26,6.26,,0.75,22.35,76.44,-10.43,76.4,0.86,-1.51,2.51,2.35,1.26
600621.SH,华鑫股份,163.17,24.21,29.86,1.82,5.61,5.8,,0.26,18.57,61.79,-41.51,84.5,0.86,-0.72,5.32,4.17,1.05
001285.SZ,瑞立科密,21.74,30.47,,2.61,8.3,13.06,6.54,,0.0,,13.65,25.04,0.85,,,4.67,1.06
600675.SH,中华企业,168.69,35.96,38.36,1.15,2.21,2.42,3.04,,0.0,158.25,98.42,66.03,0.85,0.39,34.73,29.72,0.88
600649.SH,城投控股,122.22,31.98,18.83,0.58,1.45,1.37,1.35,,0.0,227.56,63.64,74.45,0.84,0.3,25.97,46.69,0.88
002091.SZ,江苏国泰,151.38,12.37,14.33,0.98,5.53,5.87,4.85,1.88,0.0,3.07,0.08,49.6,0.82,171.17,5.18,4.22,1.01
002183.SZ,怡亚通,134.0,285.57,342.1,1.45,-0.23,0.38,1.42,,0.0,-166.39,4.8,80.49,0.82,71.25,-3003.55,1502.97,0.82
600909.SH,华安证券,308.49,12.29,13.93,1.32,8.14,8.16,,0.59,18.18,64.68,10.23,77.73,0.81,1.36,1.71,1.51,1.4
601108.SH,财通证券,385.43,14.19,13.41,1.04,5.43,5.51,,0.69,0.0,44.37,2.27,74.78,0.8,5.92,4.94,5.15,1.0
601811.SH,新华文轩,108.17,12.94,10.08,1.12,6.35,6.59,3.67,1.42,27.54,1.57,5.65,38.15,0.8,1.78,1.59,1.96,1.43
600612.SH,老凤祥,134.23,11.55,16.06,1.72,10.05,11.15,10.77,0.74,14.15,-24.99,0.08,39.25,0.8,206.4,1.6,1.04,1.42
002746.SZ,仙坛股份,45.99,21.66,20.7,1.22,3.6,4.16,2.51,1.65,62.93,189.15,19.63,39.24,0.79,1.05,5.75,5.21,0.96
000928.SZ,中钢国际,102.58,13.84,14.29,1.21,6.56,6.47,2.52,,0.0,-5.02,8.61,66.04,0.79,1.66,4.36,4.28,1.02
301575.SZ,艾芬达,8.57,33.18,,3.11,8.97,9.16,7.11,,0.0,,10.21,28.29,0.78,,,7.24,0.91
001333.SZ,光华股份,11.97,33.1,29.58,2.03,4.24,4.63,3.48,,0.0,-23.85,9.62,38.81,0.77,3.08,13.97,14.3,0.84
001221.SZ,悍高集团,23.49,40.48,,9.52,21.3,23.01,16.48,0.62,0.0,,25.2,35.65,0.77,,,3.52,1.05
600569.SH,安阳钢铁,77.84,100.08,-7.32,2.85,1.0,2.16,1.47,,0.0,101.21,-15.87,89.48,0.77,扣非亏损,危险信号,92.67,0.7
300621.SZ,维业股份,18.57,-144.16,-67.82,2.22,-2.0,-1.14,1.08,,0.0,-222.54,9.4,94.27,0.76,扣非亏损,扣非亏损,亏损,-0.24
601607.SH,上海医药,482.25,9.34,20.83,0.85,3.66,6.96,4.11,0.67,10.0,-26.79,8.48,62.14,0.76,2.46,5.69,1.34,0.94
301632.SZ,广东建科,17.0,476.15,,3.64,0.54,0.71,0.1,,0.0,,1.44,21.04,0.76,,,1341.28,0.76
603373.SH,安邦护卫,18.71,36.91,34.91,2.45,4.81,5.0,7.27,0.53,37.74,6.55,6.55,24.81,0.76,5.33,7.26,7.38,0.9
600155.SH,华创云信,150.52,55.16,48.04,0.75,0.97,1.03,,,0.0,39.89,-0.85,64.72,0.76,-56.52,99.11,107.1,0.77
002301.SZ,齐心集团,51.98,27.9,142.85,1.66,4.33,4.46,1.33,0.91,58.33,-14.43,12.02,64.21,0.75,11.88,33.01,6.25,0.78
920029.BJ,开发科技,33.33,16.27,17.37,3.36,20.37,17.77,14.55,,0.0,22.62,26.28,21.03,0.75,0.66,1.71,1.83,1.34
002024.SZ,ST易购,139.74,143.08,-6.47,1.11,-15.79,0.59,1.92,,0.0,-135.3,-23.4,90.14,0.75,扣非亏损,扣非亏损,485.03,-0.25
600665.SH,天地源,30.42,-10.39,-2.24,1.15,-8.55,-7.94,0.37,,0.0,-2626.23,18.15,85.82,0.75,扣非亏损,扣非亏损,亏损,-0.25
000797.SZ,中国武夷,47.43,-24.1,-22.52,0.94,-2.98,-2.88,-0.09,,0.0,-326.5,-4.78,76.8,0.75,扣非亏损,扣非亏损,亏损,-0.25
301598.SZ,博科测试,10.94,35.32,32.66,3.88,7.87,7.9,3.94,1.12,86.01,17.35,8.42,52.44,0.74,3.88,4.15,4.47,0.98
300616.SZ,尚品宅配,20.35,-27.82,-15.85,0.94,-2.78,-2.42,-0.97,,0.0,31.75,-19.26,56.35,0.74,扣非亏损,扣非亏损,亏损,-0.26
003038.SZ,鑫铂股份,26.61,448.99,-239.31,1.32,-1.23,0.22,0.4,,0.0,-130.82,49.95,72.64,0.74,扣非亏损,扣非亏损,4081.71,-0.26
920015.BJ,锦华新材,17.29,30.51,31.86,4.0,12.5,16.53,10.13,,0.0,-6.78,3.18,21.46,0.74,10.03,5.1,3.69,0.93
000712.SZ,锦龙股份,100.14,49.37,-180.7,3.95,-2.74,6.15,,,0.0,17.98,49.11,80.12,0.73,扣非亏损,扣非亏损,16.06,-0.27
600369.SH,西南证券,289.73,30.79,32.79,1.12,2.64,2.72,,0.45,16.67,39.64,-0.6,73.14,0.73,-55.08,12.4,11.32,0.81
600835.SH,上海机电,198.24,26.75,35.93,1.8,4.73,5.05,2.56,0.67,41.67,-4.71,-5.76,51.72,0.72,-6.24,7.6,5.3,0.86
300737.SZ,科顺股份,58.09,271.45,-23.11,1.61,-1.22,0.42,0.57,0.91,125.0,-1624.52,-3.92,69.17,0.72,扣非亏损,扣非亏损,646.3,-0.28
600657.SH,信达地产,92.69,-1.31,-1.55,0.5,-24.89,-25.06,-6.09,,0.0,-4963.95,-28.19,70.83,0.71,扣非亏损,扣非亏损,亏损,-0.29
600864.SH,哈投股份,134.4,18.52,22.53,1.02,3.99,4.16,1.54,,0.0,161.12,1.81,72.17,0.71,12.47,11.29,8.9,0.8
605166.SH,聚合顺,34.97,18.79,17.48,1.79,6.91,7.14,2.38,,0.0,-40.29,9.8,61.84,0.71,1.78,5.06,5.26,0.91
600380.SH,健康元,204.9,14.08,15.71,1.38,7.2,7.46,7.22,,0.0,-1.42,-0.42,33.13,0.71,-37.02,4.37,3.78,0.94
002996.SZ,顺博合金,32.5,16.41,26.74,1.67,5.68,7.55,2.69,,0.0,133.71,11.93,77.96,0.7,2.24,9.42,4.35,0.8
688729.SH,屹唐股份,50.76,101.5,,7.94,5.61,7.41,4.97,,0.0,,15.78,24.48,0.69,,,27.4,0.72
600662.SH,外服控股,124.98,18.04,29.21,2.49,7.31,10.16,4.53,,0.0,-6.96,25.04,63.55,0.68,1.17,7.99,3.55,0.81
601868.SH,中国能建,1212.83,37.05,24.73,1.42,2.24,2.68,1.43,,0.0,-7.76,10.68,77.83,0.68,2.31,22.11,27.65,0.73
600998.SH,九州通,267.76,10.17,16.19,1.01,5.3,7.3,3.16,,0.0,-9.8,7.58,68.77,0.67,2.13,6.11,2.79,0.84
600710.SH,苏美达,176.15,11.97,14.79,2.14,13.26,14.0,5.82,,0.0,16.43,-11.32,73.86,0.67,-1.31,2.23,1.71,1.12
000913.SZ,钱江摩托,73.52,19.62,21.19,1.78,5.78,6.61,2.66,3.24,97.48,-37.67,13.21,55.18,0.67,1.6,3.66,2.97,0.94
600755.SH,厦门国贸,137.52,17.92,-13.52,0.7,-1.51,1.11,1.56,1.39,0.0,31.86,-7.43,71.3,0.67,扣非亏损,扣非亏损,32.28,-0.33
601801.SH,皖新传媒,132.94,10.43,17.42,1.09,6.59,8.0,4.44,1.52,0.0,0.76,2.53,37.83,0.67,6.89,5.29,2.61,0.86
920112.BJ,巴兰仕,8.51,19.37,21.86,3.4,16.76,20.51,16.15,1.32,0.0,14.41,14.36,19.96,0.67,1.52,2.61,1.89,1.05
600741.SH,华域汽车,597.76,9.56,10.09,0.92,6.71,7.35,3.39,,0.0,4.07,6.59,65.41,0.67,1.53,3.01,2.6,1.0
000910.SZ,大亚圣象,40.93,41.97,78.54,0.61,0.91,1.09,0.56,,0.0,-48.63,-15.08,29.54,0.67,-5.21,172.45,77.0,0.67
600335.SH,国机汽车,95.43,19.82,23.89,0.82,2.92,3.13,1.29,0.46,21.1,62.3,-1.14,68.87,0.67,-21.02,8.2,6.33,0.79
603341.SH,龙旗科技,110.4,32.04,67.03,3.78,4.77,8.94,1.92,,0.0,-18.35,27.52,78.98,0.67,2.44,28.08,7.17,0.7
000016.SZ,深康佳A,52.69,-6.07,-2.64,6.28,-83.72,-53.45,-1.83,,0.0,11.4,-39.05,96.78,0.66,扣非亏损,扣非亏损,亏损,-0.34
688570.SH,天玛智控,35.34,77.35,65.21,1.9,1.54,1.83,1.22,,0.0,-73.7,7.72,25.78,0.66,8.44,84.63,84.53,0.67
601238.SH,广汽集团,581.1,-13.96,-11.06,0.73,-4.25,-3.84,-2.93,,0.0,-155.3,15.33,45.32,0.65,扣非亏损,扣非亏损,亏损,-0.35
301665.SZ,泰禾股份,11.71,28.12,,3.92,11.09,11.05,10.33,0.71,46.51,,9.28,36.24,0.65,,,2.55,1.05
600623.SH,华谊集团,217.32,46.8,84.5,1.11,1.62,1.59,1.25,,0.0,-24.59,4.15,58.3,0.65,20.35,104.03,58.87,0.66
002673.SZ,西部证券,343.26,20.7,18.08,1.16,4.2,4.25,,0.38,5.69,71.81,1.95,72.96,0.65,9.25,4.3,4.87,0.88
603075.SH,热威股份,9.33,27.74,29.57,4.35,11.49,11.69,8.87,,0.0,9.93,2.58,30.53,0.65,11.45,5.15,4.75,0.84
301668.SZ,昊创瑞通,12.81,49.7,,5.85,12.29,19.11,10.53,1.04,0.0,,32.03,19.01,0.64,,,5.2,0.84
