证券代码,股票简称,所属同花顺行业,沪深指数,公司亮点,所属概念,机构持股占流通股比例,最终控制人持股比例,企业性质,最终控制人类型,最终控制人,控制人,三级行业,二级行业,一级行业,主营产品,投资逻辑,index,国家队机构名称,国家队持股比例
600531.SH,豫光金铅,有色金属-工业金属-铅锌,中证1000,我国大型电解铅、阴极铜、白银生产企业,"地方国企改革,小金属,金属回收,股权转让(并购重组),白银,黄金,金属铅,固废处理,国企改革,金属铜",43.12,29.61,地市国资控股,地方政府,济源产城融合示范区国资办,济源产城融合示范区国资办,铅锌,有色金属,资源,铅,我国大型电解铅、阴极铜、白银生产企业,,,
000828.SZ,东莞控股,交通运输-公路铁路运输-高速公路,中证1000,从事东莞市的高速公路投资、建设、经营，涉足保理业务租赁业务,"充电桩,小额再贷款,期货,高股息精选,地方国企改革,广东国企改革,蔚来汽车,动力电池回收,互联网金融,PPP,粤港澳大湾区,国企改革",71.88,69.82,地市国资控股,地方国资委,东莞市国资委,东莞市国资委,高速公路,公路,交通运输,公路收费,经营管理的莞深高速是广东省珠三角环线高速的重要组成,,,
002811.SZ,郑中设计,建筑装饰-建筑装饰-工程咨询服务,,国际一流室内设计机构同场竞技的极少数亚洲企业之一,"精装修,人工智能,一带一路,装配式建筑",58.25,64.23,外资企业,境外,"邱艾,郑忠",境外,建筑装饰,家居装修,建筑业,酒店装饰,中国高端公共建筑装饰行业的领先企业之一,,,
688236.SH,春立医疗,医药生物-医疗器械-医疗耗材,中证2000,国内领先的骨科医疗器械厂商,"3D打印,京津冀一体化,牙科医疗,专精特新,医疗器械,机器人",41.07,54.8,民营企业,个人,"岳术俊,史春宝",个人,骨科,医疗服务,生物医药,植入性骨科器械,国产关节类植入医疗器械行业第二,,,
300420.SZ,五洋自控,机械设备-通用设备-其他通用设备,中证2000,国内重要机械式停车设备制造商,"储能,物联网,智慧停车,充电桩,军民融合,融资租赁,智能交通,工业机器人,机器人,智能物流,区块链",,19.74,民营企业,个人,"蔡敏,侯友夫",个人,充电桩,电气设备,电力设备,立体车库及其安装服务,国内重要机械式停车设备制造商,,,
002249.SZ,大洋电机,电力设备-电机-电机Ⅲ,中证1000,已形成了“电机+电控+氢燃料电池”的完整产业链,"氢能源,海上风电,充电桩,电机电控,家用电器,节能电机,芯片封装测试,长安汽车,比亚迪,新能源汽车,芯片,新能源整车,风电,IGBT,扁线电机,燃料电池,回购增持再贷款,小鹏汽车,北汽新能源",10.12,27.28,民营企业,个人,"鲁楚平,彭惠",个人,电机,电气设备,电力设备,电机,电机及驱动系统技术处于国际领先水平,,,
301516.SZ,中远通,电力设备-其他电源设备-其他电源设备Ⅲ,中证2000,中国广核集团旗下，主营通信电源、新能源电源和工控电源,"氢能源,储能,充电桩,光伏,比亚迪,5G,换电,新能源汽车,粤港澳大湾区,燃料电池,国企改革,新型工业化",3.85,69.11,其他,"个人,中央国有企业","中国广核,吉学龙,张学军","中国广核,吉学龙,张学军",电源设备,电气设备,电力设备,通信电源,,,,
002193.SZ,如意集团,纺织服饰-服装家纺-服装,,国内高档职业服装、著名品牌服装的首选面料,"工业互联网,数字经济,环渤海",30.64,6.37,民营企业,个人,邱亚夫,个人,服装,纺织,可选消费,毛纺织,专注精纺呢绒的纺织行业高端企业,,,
688553.SH,汇宇制药,医药生物-化学制药-化学制剂,,注射用阿扎胞苷产品视同通过一致性评价的国内两家首仿企业之一,"重组蛋白,抗癌,西部大开发,创新药,仿制药一致性评价,CRO",7.65,30.27,民营企业,个人,丁兆,个人,制药,生物,生物医药,肿瘤治疗,公司有10款高端注射剂获批生产并视同过评,,,
002104.SZ,恒宝股份,通信-通信设备-通信终端及配件,中证2000,从事智能卡、安全数字化、物联网、大数据、区块链的服务商,"金融IC,物联网,移动支付,数据安全,数字经济,华为,电子身份证,一带一路,移动金融,电子信息,车联网(车路协同),国产操作系统,电子标签,区块链,物联网传输层,5G,数字货币,ETC,互联网金融,换芯,金融信息服务,NFC,网络安全,智慧政务,中非合作",1.55,20.45,民营企业,个人,钱京,个人,智能卡,通信,科技,智能卡产品,智能卡行业的领军企业,,,
601068.SH,中铝国际,建筑装饰-建筑装饰-专业工程,中证1000,中国铝业集团旗下，中国有色金属行业领先的技术、工程服务设备提供商,"央企国企改革,盐湖提锂,PPP,一带一路,稀土永磁,国企改革",89.39,75.81,央企国资控股,国资委,国资委,国资委,建筑工程,基建,建筑业,有色金属领域工程,在有色金属领域工程设计以及工程承包业务位于行业前列,,,
688506.SH,百利天恒,医药生物-化学制药-化学制剂,,全麻药丙泊酚国内市占率排名居前，黄芪颗粒国内样本医院中市占率第一,"西部大开发,中医药,创新药",72.48,74.35,民营企业,个人,朱义,个人,制药,生物,生物医药,麻醉类,公司具有“原料药—制剂”一体化成本优势,,,
603538.SH,美诺华,医药生物-化学制药-原料药,中证2000,国内出口欧洲特色原料药品种最多的企业之一,"宠物经济,辅助生殖,人民币贬值受益,合成生物,肝炎,CRO",26.27,24.15,民营企业,个人,姚成志,个人,原料药,生物,生物医药,心血管类,国内出口欧洲特色原料药品种最多的企业之一,,,
001317.SZ,三羊马,交通运输-物流-物流Ⅲ,中证2000,主营整车物流运输，业内较早从事以公铁联运为主的多式联运业务的第三方物流企业,"统一大市场,一带一路,西部大开发,智能物流,新疆振兴",5.14,62.65,民营企业,个人,邱红阳,个人,汽车物流,汽车相关,汽车,汽车综合物流服务,多式联运高质量物流企业,,,
002940.SZ,昂利康,医药生物-化学制药-化学制剂,中证2000,拥有完整的制药业务产业链，在化学制药领域积累了一批核心技术,"幽门螺杆菌,维生素,仿制药一致性评价,共同富裕示范区,合成生物,高血压药",53.42,30.49,民营企业,个人,"吕慧浩,方南平",个人,制药,生物,生物医药,制剂(产品),努力成为具有较高品牌知名度的现代化医药企业,,,
002594.SZ,比亚迪,汽车-汽车整车-乘用车,沪深300,中国新能源汽车技术综合实力第一,"储能,3D玻璃,超级品牌,大消费,同花顺漂亮100,轨道交通,证金持股,无人驾驶,车联网(车路协同),光伏,比亚迪,锂矿,智能汽车,芯片,新能源汽车,新能源整车,锂电制造,磷酸铁锂,盐湖提锂,IGBT,汽车制造,锂电池,电动汽车,汽车电商",34.72,17.65,民营企业,个人,王传福,个人,乘用车,汽车整车,汽车,电动车、燃油车,中国新能源汽车技术综合实力第一,133.0,中央汇金,1.03
603155.SH,新亚强,基础化工-化学制品-有机硅,,中国氟硅行业十大品牌,"气凝胶,有机硅",24.08,47.9,民营企业,个人,"初亚军,初琳",个人,硅,新能源,化工,六甲基二硅氮烷,中国氟硅行业十大品牌,,,
600563.SH,法拉电子,电子-元件-被动元件,中证500,全国最大的薄膜电容器制造厂商,"元器件,蔚来汽车,新能源汽车,超级电容,央视财经50,福建自贸区",64.18,,其他,职工持股会(工会),集体股所有人大会(全体职工),集体股所有人大会(全体职工),电容,半导体,科技,电容器,薄膜电容器产量排名世界前三位,,,
870299.BJ,灿能电力,电力设备-电网设备-电气自控设备,,聚焦电力系统电能质量，主营电能质量监测设备及系统,"智能电网,特高压",,47.67,民营企业,个人,"金耘岭,章晓敏,林宇",个人,电控设备,电气设备,电力设备,电能质量监测系统,电能质量监测领域龙头,,,
