证券代码,股票简称,所属同花顺行业,沪深指数,公司亮点,所属概念,机构持股占流通股比例,最终控制人持股比例,企业性质,最终控制人类型,最终控制人,控制人,三级行业,二级行业,一级行业,主营产品,投资逻辑,index,国家队机构名称,国家队持股比例
870976.BJ,视声智能,计算机-计算机设备-安防设备,,主营智能家居、可视对讲、液晶显示屏及模组,"网络安全,数据安全,智能家居,人脸识别",3.33,48.64,民营企业,个人,朱湘军,个人,视听技术,计算机,科技,智能家居,,,,
833030.BJ,立方控股,计算机-IT服务-IT服务Ⅲ,,国家级专精特新“小巨人”，国内出入口控制与管理行业最早进入者之一,"专精特新,智慧城市,安防,网约车,人工智能",,48.37,民营企业,个人,"周林健,包晓莺",个人,安防,计算机,科技,出入口控制与管理,,,,
838227.BJ,美登科技,计算机-IT服务-IT服务Ⅲ,,主要为电商商家提供SaaS软件与短信等服务，帮助电商卖家降低营销成本，进行订单管理等,"拼多多,电子商务,抖音,网络直播",8.59,36.26,民营企业,个人,邹宇,个人,云计算,计算机,科技,电商软件,国内较早从事电商SaaS软件开发的企业,,,
870436.BJ,大地电气,汽车-汽车零部件-汽车电子电气系统,,在商用车汽车线束领域有较为领先的市场地位,"专精特新,新能源汽车,无人驾驶,百度",37.15,22.5,民营企业,个人,蒋明泉,个人,汽车电气,汽车零部件,汽车,汽车线束,商用车汽车线束领域较为领先,,,
834475.BJ,三友科技,机械设备-专用设备-其他专用设备,,国内不锈钢阴极板龙头企业,"专精特新,机器人,无人驾驶,AIGC",,71.4,民营企业,个人,"吴俊义,吴用,李彩球",个人,特钢,钢铁,资源,阴极板,国内主要的不锈钢阴极板制造基地之一,,,
838924.BJ,广脉科技,通信-通信服务-通信工程及服务,,专业从事通信网络技术服务的高新技术企业,"养老,5G,信创,高铁,华为,专精特新,网络安全,算力租赁,智慧城市,东数西算(算力),抖音,车联网(车路协同),安防",8.09,39.94,民营企业,个人,赵国民,个人,通信基建,通信,科技,网络工程施工和优化,ICT综合解决方案提供商之一,,,
836699.BJ,海达尔,家用电器-白色家电-家电零部件,,主营精密滑轨,"华为,比亚迪,家用电器",2.6,72.33,民营企业,个人,"朱全海,陆斌武,朱光达",个人,小家电,家电,可选消费,精密滑轨制造,家电领域国内知名的滑轨供应商,,,
300071.SZ,福石控股,传媒-文化传媒-广告营销,中证2000,国内大型整合营销服务集团，线下营销服务供应商,"虚拟数字人,文化传媒,多模态AI,数字经济,AIGC,华为,数据要素,比亚迪,Sora(文生视频),京津冀一体化,广告营销,百度,股权转让(并购重组),元宇宙,ChatGPT,人工智能,AI语料,抖音,Web3.0",14.58,10.02,民营企业,个人,陈永亮,个人,广告营销,传媒,科技,整合营销,国内大型整合营销服务集团，线下营销服务供应商,,,
300840.SZ,酷特智能,纺织服饰-服装家纺-服装,中证2000,被工信部、中国互联网协会指定为工业大数据与智能制造的学习、培训基地,"固态电池,华为,数据中心,工业互联网,三胎,C2M",8.06,14.93,民营企业,个人,张代理,个人,服装,纺织,可选消费,个性化定制服装,国内服装行业智能制造模式的领先者,,,
300694.SZ,蠡湖股份,汽车-汽车零部件-底盘与发动机系统,,公司属于行业排名前五大涡轮增压器制造商的合格供应商,"固态电池,人民币贬值受益,燃料电池,新能源汽车,国企改革,地方国企改革",30.96,28.95,地市国资控股,地方国资委,泉州市人民政府国资委,泉州市人民政府国资委,动力系统,汽车零部件,汽车,压气机壳(产品),全球具有重要影响力的压气机壳生产商,,,
301101.SZ,明月镜片,轻工制造-家居用品-文娱用品,中证2000,综合类眼镜镜片品牌企业，国内市占率第一,"电子商务,智能穿戴,AI眼镜",30.56,61.21,民营企业,个人,"谢公晚,谢公兴,曾少华",个人,娱乐,社会服务,可选消费,眼镜镜片,中国镜片领导品牌，全国销量领先,,,
301021.SZ,英诺激光,机械设备-自动化设备-激光设备,中证2000,全球少数实现工业深紫外纳秒激光器批量供应的生产商之一,"第三代半导体,激光,TOPCON电池,高端装备,消费电子,CRO,激光器,光伏,先进封装,3D打印,芯片,BC电池,医疗器械,国产替代,MicroLED",63.68,21.57,外资企业,境外,赵晓杰,境外,激光设备,机械设备,机械,微加工激光器,国内首家微加工激光器上市公司,,,
300870.SZ,欧陆通,电力设备-其他电源设备-其他电源设备Ⅲ,中证2000,国家高新技术企业，中国电源协会会员单位,"充电桩,WiFi 6,第三代半导体,华为,数据中心,无人机,阿里巴巴,消费电子,富士康,比亚迪,人民币贬值受益,国产替代,氮化镓,液冷服务器",66.84,58.26,民营企业,个人,"王玉琳,王合球,王越天,王越飞,尚韵思",个人,电源设备,电气设备,电力设备,电源适配器,全球电源方案提供商和制造商的领先企业之一,,,
300010.SZ,豆神教育,社会服务-教育-教育Ⅲ,,在语文学习、高考升学、智慧校园等教育领域的领先企业,"人工智能,在线教育,幼儿教育,智谱AI,PPP,托育服务,抖音,网络直播,信创,财税数字化",12.57,18.29,民营企业,个人,窦昕,个人,教育,社会服务,可选消费,教育,语文教育龙头企业之一,,,
300959.SZ,线上线下,通信-通信服务-通信应用增值服务,中证2000,中国领先的移动互联网运营支撑服务商,"拼多多,文化传媒,快手,广告营销,腾讯,华为,抖音,阿里巴巴,富媒体",25.09,53.28,民营企业,个人,"门庆娟,汪坤",个人,电信服务,通信,科技,短信业务,企业短信业务领军企业之一,,,
300173.SZ,福能东方,电力设备-电池-锂电专用设备,中证2000,在自动化设备领域的项目经验丰富,"固态电池,3D玻璃,环保包装,数字经济,数据中心,华为,算力租赁,数据要素,高端装备,工业机器人,消费电子,无线耳机,宁德时代,地方国企改革,锂电设备,广东国企改革,新能源汽车,网络安全,锂电池,国企改革,新型工业化,石墨烯",24.26,18.96,地市国资控股,地方国资委,佛山市人民政府国资委,佛山市人民政府国资委,锂电设备,储能,电力设备,锂电池自动化生产设备,中段锂电设备领先厂商,,,
300464.SZ,星徽股份,商贸零售-互联网电商-互联网电商Ⅲ,,专业精密金属连接件供应商，国家高新技术企业，广东省名牌产品,"家用电器,人民币贬值受益,露营经济,电子商务,无线耳机,跨境电商",25.72,38.76,民营企业,个人,"谢晓华,蔡耿锡",个人,电商,传媒,科技,消费电子贸易,专业精密金属连接件供应商,,,
300344.SZ,立方数科,计算机-软件开发-垂直应用软件,中证2000,工程数字化云服务商，BIM咨询领域龙头企业,"数字孪生,数据安全,数字经济,光伏建筑一体化,人工智能,智慧城市,东数西算(算力),信创",23.28,20.88,民营企业,个人,古钰瑭,个人,建筑软件,计算机,科技,建筑软件服务,数字科技云服务商和BIM软件市场领先企业,,,
830779.BJ,武汉蓝电,电力设备-电池-锂电专用设备,,主营研究级电池测试设备，主要客户为高校、科研院所及企业的研发质检部门,"固态电池,消费电子,锂电池",14.26,74.13,民营企业,个人,"叶文杰,吴伟",个人,锂电设备,储能,电力设备,电池测试设备,公司是众多知名高校、科研所供应商,,,
873570.BJ,坤博精工,机械设备-通用设备-其他通用设备,,国家级专精特新“小巨人”，主营单晶硅生长真空炉体和精密成型零部件，主要供货晶盛机电等公司,"海工装备,芯片,新型工业化,风电,专精特新,高端装备,机器人,光伏",3.6,43.64,民营企业,个人,厉全明,个人,光伏加工设备,光伏,电力设备,单晶炉,0,,,
301558.SZ,三态股份,商贸零售-互联网电商-互联网电商Ⅲ,中证1000,业内少有的同时布局出口跨境电商零售及物流业务的企业,"人民币贬值受益,多模态AI,AIGC,跨境电商,粤港澳大湾区,电子商务,知识产权保护",27.81,50.38,外资企业,境外,ZHONGBIN SUN,境外,电商,传媒,科技,跨境电商零售及物流,,,,
832110.BJ,雷特科技,电力设备-其他电源设备-其他电源设备Ⅲ,,国家级专精特新“小巨人”，深耕智能照明控制领域,,14.99,66.05,民营企业,个人,"卓颖钊,雷建文",个人,LED,消费电子,科技,LED控制器,照明LED控制器的领先者,,,
831010.BJ,凯添燃气,公用事业-燃气-燃气Ⅲ,,专业的城镇燃气运营商和服务提供商,"氢能源,储能,西部大开发,天然气",27.93,36.2,民营企业,个人,龚晓科,个人,燃气,石油,资源,燃气,专业的城镇燃气运营商和服务提供商,,,
870357.BJ,雅葆轩,电子-消费电子-消费电子零部件及组装,,主要向深天马等公司供货的PCBA电子制造商,"消费电子,专精特新,小鹏汽车,汽车电子,PCB",2.94,57.59,民营企业,个人,"胡啸宇,胡啸天",个人,PCB,半导体,科技,PCBA,专业的小批量领域PCBA电子制造服务,,,
835237.BJ,力佳科技,电力设备-电池-锂电池,,国家级专精特新“小巨人”，主营锂锰扣式电池，在锂一次电池领域销售规模国内居前,"固态电池,专精特新,锂电池",71.88,31.62,民营企业,个人,"王启明,王建",个人,锂电池,储能,电力设备,锂微型电源,公司是国内锂锰扣式电池最大生产商之一,,,
835207.BJ,众诚科技,计算机-软件开发-垂直应用软件,,主要从事政务、教育领域系统集成服务,"数据安全,数字经济,职业教育,AIGC,数据中心,华为,数据要素,智慧城市,东数西算(算力),空间计算,数字孪生,人工智能,虚拟现实,元宇宙,新基建,华为鲲鹏,专精特新,网络安全,智能医疗,智慧政务,信创",25.43,44.95,民营企业,个人,"梁友,靳一,梁侃",个人,电子政务,计算机,科技,信息系统集成,河南省具有核心竞争力的信息系统集成服务提供商之一,,,
872541.BJ,铁大科技,机械设备-轨交设备-轨交设备Ⅲ,,国家级专精特新“小巨人”，专注于轨道交通行业的通信信号领域,"专精特新,高铁,机器人,无人驾驶",41.29,3.11,民营企业,个人,成远,个人,高铁,铁路,交通运输,轨道交通信号监控系统、雷电防护系统,曾2次参与原铁道部信号集中监测（CSM）技术攻关,,,
300242.SZ,佳云科技,传媒-文化传媒-广告营销,,国内基于手机厂商广告商业化代理资质最全的供应商,"互联网保险,小米,文化传媒,广告营销,百度,网络视频,网络直播,华为,化妆护肤品,粤港澳大湾区,电子商务,抖音,数字营销,网络游戏",21.48,8.17,外资企业,境外,"郭英智,郭英成",境外,广告营销,传媒,科技,互联网营销,领先的移动互联网营销公司,,,
871478.BJ,巨能股份,机械设备-自动化设备-机器人,,国家重点专精特新“小巨人”，以机器人及相关智能技术为核心的智能制造整体解决方案供应商,"专精特新,西部大开发,新能源汽车,机器人,新型工业化",,36.17,民营企业,个人,"孙文靖,宋明安,刘学平,党桂玲,同彦恒,麻辉,孙洁,李志博,王玉婷",个人,机器人,机械设备,机械,工业机器人,公司是国内零部件加工自动化领域里起步最早的企业之一,,,
873679.BJ,前进科技,机械设备-通用设备-金属制品,,国内较早进入全预混冷凝式燃气壁挂炉用热交换器行业的外销型企业,"人民币贬值受益,节能环保",2.07,50.86,民营企业,个人,"杨俊,杨文生,李乐,杨杰",个人,通用设备,机械设备,机械,热交换器,,,,
832651.BJ,天罡股份,机械设备-通用设备-仪器仪表,,国家级专精特新小巨人，专注于供热计量及节能业务二十余年,"物联网,专精特新",14.89,64.92,民营企业,个人,"付成林,付涛",个人,仪器仪表,机械设备,机械,物联网超声计量仪表,公司是热量表行业龙头企业,,,
300280.SZ,紫天科技,传媒-文化传媒-广告营销,中证2000,主营楼宇媒体广告和互联网广告,"小米,文化传媒,快手,短剧游戏,广告营销,ChatGPT,数据中心,抖音,网络游戏,福建自贸区",22.62,9.34,民营企业,个人,"郑岚,姚海燕",个人,广告营销,传媒,科技,广告服务,广告传媒服务行业领先企业,,,
301396.SZ,宏景科技,计算机-IT服务-IT服务Ⅲ,中证2000,智慧城市综合服务商,"物联网,多模态AI,数字经济,职业教育,数据中心,华为,数据要素,智慧城市,东数西算(算力),算力租赁,新型城镇化,空间计算,安防,旅游,信创,人工智能,MR(混合现实),ChatGPT,专精特新,智能医疗,太空望远镜,智能物流,智慧政务,互联网医疗,财税数字化",17.39,39.39,民营企业,个人,欧阳华,个人,智慧城市,计算机,科技,智慧城市,中国智能建筑行业十佳企业,,,
873833.BJ,美心翼申,机械设备-通用设备-其他通用设备,,国家级专精特新“小巨人”，主营通机曲轴、压缩机曲轴等,"西部大开发,新能源汽车,专精特新",36.28,31.65,民营企业,个人,"徐争鸣,王安庆",个人,通用设备,机械设备,机械,曲轴,,,,
002131.SZ,利欧股份,机械设备-通用设备-其他通用设备,,为数不多的能够提供一站式整合数字营销服务的机构,"虚拟数字人,小米,文化传媒,多模态AI,抗旱,智能汽车,影视娱乐,新能源汽车,广告营销,小额贷款,百度,ChatGPT,理想汽车,抖音,节水灌溉,网络直播,快手,区块链应用,南水北调,AIGC,数字经济,数字营销,区块链,人工智能,跨境电商,腾讯,IGBT,水利,独角兽",4.12,9.41,民营企业,个人,王相荣,个人,广告营销,传媒,科技,媒介代理服务,国内数字营销行业的领先梯队,,,
002354.SZ,天娱数科,传媒-文化传媒-广告营销,中证1000,网页网游和移动网游领域拥有庞大的用户资源及研发团队,"虚拟数字人,文化传媒,数据确权,多模态AI,东北亚经贸中心,手机游戏,IP,东数西算(算力),影视娱乐,Sora(文生视频),数字孪生,短剧游戏,百度,虚拟现实,元宇宙,互联网金融,ChatGPT,电子竞技,抖音,网络直播,信创,快手,乡村振兴,数字经济,AIGC,数据要素,算力租赁,在线教育,人工智能,跨境电商,MR(混合现实),腾讯,网络游戏,Web3.0",7.76,,外资企业,,,,游戏,传媒,科技,移动终端游戏,国内重要的“棋牌+电竞”游戏开发商,,,
002467.SZ,二六三,通信-通信服务-通信应用增值服务,中证1000,面向中小企业和商务人士的虚拟运营通信服务商，已服务了15万+企业，超700万企业用户，用户包括海外华人,"网红经济,虚拟数字人,小米,物联网,数据中心,电信业整合,富媒体,语音技术,VR平台,虚拟现实,元宇宙,智谱AI,SAAS,网络直播,信创,数字经济,AIGC,电子信息,阿里巴巴,区块链,物联网传输层,VPN,人民币贬值受益,在线教育,人工智能,云办公,腾讯,网络安全,云通信,Web3.0",4.19,15.78,民营企业,个人,李小龙,个人,互联网应用,计算机,科技,虚拟通信服务,面向中小企业和商务人士的虚拟运营通信服务商,,,
600676.SH,交运股份,综合-综合-综合Ⅲ,,从事运输业与物流服务、汽车零部件制造与汽车后服务等产业,"比亚迪,汽车拆解,冷链物流,上海国企改革,迪士尼,统一大市场,国企改革,自由贸易港,上海自贸区,地方国企改革",52.98,51.2,省属国资控股,地方国资委,上海市国资委,上海市国资委,汽车贸易,汽车相关,汽车,汽车销售与零部件制造,布局货运物流、汽车零部件制造与汽车后服务的综合企业,,,
000803.SZ,山高环能,环保-环境治理-固废治理,中证2000,下属公司北控十方是环保能源领域的龙头企业,"节能环保,物联网,芯片,西部大开发,山东国企改革,数字经济,国企改革,固废处理,工业互联网,地方国企改革",35.59,4.06,省属国资控股,地方国资委,山东省国资委,山东省国资委,垃圾处理,环保,公共事业,固废处理,公司主要从事餐厨废弃物无害化处理与资源化利用业务,,,
920111.BJ,聚星科技,电力设备-电网设备-输变电设备,,铆钉型电触头国内市占率居前,"2024三季报预增,新能源汽车,白银",,46.91,民营企业,个人,"陈林霞,陈静",个人,输变电,电气设备,电力设备,铆钉型电触头,,,,
002103.SZ,广博股份,轻工制造-家居用品-文娱用品,中证2000,国内纸制品文具行业龙头企业,"文化传媒,快手,数字经济,网络直播,王者荣耀,一带一路,电子商务,滴滴,人民币贬值受益,广告营销,虚拟现实,跨境电商,腾讯,文具",18.55,24.92,民营企业,个人,王利平,个人,娱乐,社会服务,可选消费,文具+互联网营销,国内文具用品龙头企业之一,,,
002469.SZ,三维化学,基础化工-化学原料-其他化学原料,中证2000,服务石化、化工、油品储运和煤化工行业的国家高新技术企业,"氢能源,硫磺,储能,煤化工,垃圾分类,节能环保,光热发电,油品升级,一带一路,高股息精选,固废处理",22.51,12.66,民营企业,个人,曲思秋,个人,石油化工,石油,资源,醇醛酯类,耐硫变换催化剂和无在线炉硫磺回收工艺技术国际领先,,,
601949.SH,中国出版,传媒-文化传媒-出版,中证1000,全国图书零售市占率、版权贸易及输出规模等位居全国第一，旗下商务印书馆在出版工具书领域具有垄断优势,"虚拟数字人,融媒体,文化传媒,知识产权保护,数据要素,一带一路,同花顺中特估100,NFT,平面媒体,国企改革",78.56,69.79,央企国资控股,中央国有企业,中国出版,中国出版,出版,传媒,科技,出版,集出版、发行、物资供应、印刷等于一体的大型出版企业,,,
600654.SH,中安科,社会服务-其他社会服务-专业服务,,行业领先的安防消防系统集成技术及丰富的行业资质,"消防装备,比亚迪,信创,华为,智能交通,网络安全,服务机器人,智慧城市,物业管理,安防",52.89,11.82,民营企业,个人,涂国身,个人,安防,计算机,科技,安保运营,行业领先的安保综合运营服务商和智慧城市系统集成商,,,
600817.SH,宇通重工,环保-环保设备-环保设备Ⅲ,,公司强夯设备为国内第一品牌，桥梁检测车处于国内前列,"氢能源,节能环保,新能源汽车,汽车热管理,高股息精选,无人驾驶,军工,融资租赁",73.79,10.36,民营企业,个人,汤玉祥,个人,环保设备,环保,公共事业,环卫及工程机械,中国专业化环卫设备的主要供应商之一,,,
600787.SH,中储股份,交通运输-物流-物流Ⅲ,中证1000,特大型全国性仓储物流企业,"冷链物流,央企国企改革,诚通系,物联网,环渤海,中俄贸易,物流电商平台,国企改革,一带一路,证金持股,高股息精选,车联网(车路协同),双十一,滨海新区,京津冀一体化,小额贷款,京东金融,统一大市场,智能物流",67.06,46.26,央企国资控股,国资委,国资委,国资委,物流,物流,交通运输,大宗商品供应链,我国特大型全国性仓储物流企业,285.0,中央汇金,0.95
002045.SZ,国光电器,电子-消费电子-品牌消费电子,中证2000,国内音响电声行业龙头企业，苹果智能音箱扬声器的主力供应商,"苹果,智能穿戴,家用电器,华为,消费电子,无线耳机,宁德时代,人民币贬值受益,元器件,百度,虚拟现实,元宇宙,ChatGPT,NFT,智能家居,新型烟草(电子烟),锂电池,智能音箱,机器人,智慧政务,正极材料,AI眼镜",32.84,,民营企业,,,,声学电子,消费电子,科技,电声器件,国内电声器材行业的领先企业,,,
002356.SZ,赫美集团,商贸零售-零售-百货零售,,电子式电能计量仪表研发、制造的专业制造商,"氢能源,铝离子电池,电子商务,移动支付,天然气,风电",37.46,19.54,民营企业,个人,郑梓豪,个人,百货,零售,可选消费,奢侈品品牌运营,奢侈品运营行业龙头,,,
600206.SH,有研新材,电子-半导体-半导体材料,中证1000,中国最大的具有国际水平的半导体材料研究、开发、生产基地,"固态电池,央企国企改革,砷化镓,OLED材料,军工,华为,雄安新区,稀土永磁,中芯国际,5G,小金属,OLED,靶材,芯片,京津冀一体化,牙科医疗,钌催化剂,医疗器械,国企改革",40.69,33.09,央企国资控股,国资委,国资委,国资委,材料,半导体,科技,高纯溅射靶材,国内半导体高纯溅射靶材龙头企业之一,,,
603079.SH,圣达生物,基础化工-化学制品-食品及饲料添加剂,,国内最早开始生物素、乳酸链球菌素等产品生产的企业之一,"合成生物,专精特新,维生素",54.91,24.85,外资企业,境外,洪爱,境外,添加剂,食品,必需消费,生物素,全球生物素和叶酸的最大供应商,,,
000880.SZ,潍柴重机,汽车-汽车零部件-底盘与发动机系统,中证2000,山东国资委旗下，国内船舶动力和发电机组行业龙头,"地方国企改革,国企改革,海工装备,海上风电",20.55,27.53,省属国资控股,地方国资委,山东省国资委,山东省国资委,船舶,军工,公共事业,柴油机,在船用柴油机排放控制方面走在行业前列,,,
603955.SH,大千生态,建筑装饰-建筑装饰-装饰园林,,第一批获得城市园林绿化一级资质的企业之一,"节能环保,园林开发,美丽中国,碳中和,PPP,新型城镇化,雄安新区,特色小镇,旅游",49.63,23.09,民营企业,个人,"栾剑洪,范荷娣",个人,园林景观,家居装修,建筑业,园林景观施工,综合性园林工程商，第一批获得城市园林绿化一级资质,,,
603366.SH,日出东方,家用电器-厨卫电器-厨卫电器Ⅲ,中证2000,太阳能热水器行业龙头，切入厨电领域，拥有“太阳雨”、“四季沐歌”、“帅康”三大品牌,"储能,快手,充电桩,太阳能热水器,家用电器,华为,光伏,区块链,空气能热泵,智能家居,建筑节能,太阳能",59.6,53.36,民营企业,个人,徐新建,个人,厨卫电器,家电,可选消费,热水器,中国最大的太阳能热利用企业，切入厨电领域,,,
002403.SZ,爱仕达,家用电器-小家电-小家电Ⅲ,,国内炊具行业龙头企业,"特斯拉,土地流转,空气净化,人形机器人,减速器,家用电器,电子商务,共同富裕示范区,机器视觉,工业机器人,工业互联网,互联网保险,人民币贬值受益,C2M,跨境电商,独角兽,机器人,网络直播,智能物流,新型工业化",49.92,55.61,民营企业,个人,"林菊香,陈文君,陈灵巧,陈合林",个人,小家电,家电,可选消费,炊具,国内炊具行业龙头企业,,,
000833.SZ,粤桂股份,综合-综合-综合Ⅲ,中证2000,主营有机制糖，拥有多项具有国内领先水平的环保自主知识产权,"广东自贸区,化肥,调味品,甘蔗废料利用,乡村振兴,白糖,光伏,地方国企改革,广东国企改革,纸浆,农业种植,磷化工,西部大开发,循环经济,2024三季报预增,锂电池,国企改革",18.28,53.78,省属国资控股,地方政府,广东省,广东省,食品加工,农业,必需消费,贸易糖,公司是中国最大的制糖综合生产企业之一,,,
603877.SH,太平鸟,纺织服饰-服装家纺-服装,中证1000,聚焦时尚青年群体的品牌服饰生产商、零售商,"回购增持再贷款,电子商务,共同富裕示范区,抖音小店",54.44,58.27,民营企业,个人,"张江平,张江波",个人,服装,纺织,可选消费,外套、衬衫等,以零售为导向的多品牌时尚服饰公司,,,
002757.SZ,南兴股份,机械设备-专用设备-其他专用设备,中证2000,国内板式家具生产设备领军企业，国内领先的数字经济基础设施服务提供商,"数字经济,AIGC,中俄贸易,华为,数据中心,算力租赁,东数西算(算力),高股息精选,工业互联网,VPN,工业母机,人工智能,专精特新,网络安全,粤港澳大湾区,机器人,智慧政务,新型工业化",39.7,40.73,民营企业,个人,"詹谏醒,林旺南",个人,家具,家居装修,建筑业,板式家具生产线成套设备,板式家具机械行业领先,,,
002611.SZ,东方精工,机械设备-专用设备-印刷包装机械,中证2000,综合实力国际领先的瓦楞纸包装装备供应商,"物联网,核电,华为,无人机,可控核聚变,工业机器人,工业互联网,英伟达,人民币贬值受益,3D打印,机器人,智能物流,新型工业化,毫米波雷达",11.11,30.16,民营企业,个人,"唐灼林,唐灼棉",个人,印刷设备,包装印刷,可选消费,智能瓦楞纸包装装备,国内智能瓦楞纸箱包装自动化设备行业的龙头企业,,,
600822.SH,上海物贸,汽车-汽车服务及其他-汽车服务,中证2000,上海国资委所属百联集团旗下，国内生产资料流通行业知名企业，上海市拥有多家交易市场,"智能物流,二手车,网络直播,上海国企改革,数据要素,统一大市场,油品改革,国企改革,上海自贸区,地方国企改革",60.5,34.15,省属国资控股,地方国资委,上海市国资委,上海市国资委,汽车贸易,汽车相关,汽车,汽车贸易、有色金属贸易,拥有在国内具有一定影响的有色、汽车、危化交易平台,,,
601360.SH,三六零,计算机-软件开发-横向通用软件,沪深300,中国最大的互联网安全公司，PC安全产品市场持续排名第一，持股哪吒汽车,"EDR,虚拟数字人,文化传媒,物联网,多模态AI,同花顺漂亮100,比亚迪,空铁WIFI,新能源汽车,广告营销,ChatGPT,智谱AI,SAAS,信创,数据安全,智能穿戴,智慧城市,鸿蒙,车联网(车路协同),国产操作系统,安防,区块链,人工智能,云办公,AI语料,网络安全,机器人,网络游戏",52.11,13.26,民营企业,个人,周鸿祎,个人,信息安全,计算机,科技,互联网安全软件,中国互联网络安全龙头,,,
600421.SH,华嵘控股,机械设备-通用设备-金属制品,,从事房屋建筑PC构件所需配套设施的研产销,"传感器,数据要素,智慧城市",49.46,10.49,民营企业,个人,楼永良,个人,精密模具,机械设备,机械,模台、模具,提供智能化、模块化、柔性化、信息化整体解决方案,,,
600650.SH,锦江在线,交通运输-公路铁路运输-公交,,上海国资委控股企业，以客运业和物流业为核心业务,"冷链物流,网约车,汽车关税下调,旅游,预制菜,上海国企改革,迪士尼,无人驾驶,共享经济,国企改革,自由贸易港,上海自贸区,地方国企改革",56.55,34.69,省属国资控股,地方国资委,上海市国资委,上海市国资委,公交客运,公路,交通运输,出租汽车,运营“锦江系”三大核心产业之一的锦江客运物流,,,
003030.SZ,祖名股份,农林牧渔-农产品加工-其他农产品加工,,豆制品国家标准和国际标准的主要起草单位之一,"宠物经济,网红经济,海底捞,休闲零食,社区团购,大消费,网络直播,预制菜,人造肉,共同富裕示范区,电子商务,大豆,抖音小店",21.79,50.78,民营企业,个人,"蔡水埼,王茶英,蔡祖明",个人,食品加工,农业,必需消费,豆制品,公司是江浙沪地区的豆制品领导品牌之一,,,
002993.SZ,奥海科技,电子-消费电子-消费电子零部件及组装,中证1000,全球领先的智能便携能源产品提供商,"网红经济,储能,广东自贸区,无线充电,小米,露营经济,苹果,充电桩,第三代半导体,数据存储,华为,电子商务,一带一路,消费电子,光伏,新能源汽车,汽车电子,跨境电商,专精特新,氮化镓,抖音,AI PC,网络直播",58.68,53.05,民营企业,个人,"刘昊,刘蕾",个人,电子配件,消费电子,科技,充电器,全球领先的智能便携能源产品提供商,,,
002866.SZ,传艺科技,电子-消费电子-消费电子零部件及组装,中证2000,笔记本电脑键盘隐形冠军，拟设立孙公司布局钠电池、锂电池相关业务,"固态电池,储能,人民币贬值受益,小米,PCB,华为,专精特新,机器人,钠离子电池,消费电子,富士康",4.85,51.85,民营企业,个人,"邹伟民,陈敏",个人,电子配件,消费电子,科技,笔记本电脑零组件,笔记本电脑键盘配套及钠电池行业龙头,,,
001212.SZ,中旗新材,建筑材料-建筑材料-其他建材,中证2000,中国最具规模的人造石英石面材制造企业与出口基地之一,"粤港澳大湾区,有机硅,装配式建筑",37.82,42.4,民营企业,个人,周军,个人,石英,光伏,电力设备,人造石英石饰材,国内知名的人造石英石产品制造商,,,
603039.SH,泛微网络,计算机-软件开发-横向通用软件,中证1000,业界领先的协同管理软件及相关解决方案供应商,"数字经济,云办公,华为,腾讯,鸿蒙,信创,财税数字化",12.1,32.95,民营企业,个人,韦利东,个人,办公软件,计算机,科技,协同管理软件,移动办公OA软件龙头企业之一,,,
002717.SZ,岭南股份,环保-环境治理-综合环境治理,,集生态景观与水土治理、文化与旅游为一体的全国性集团化公司,"网红经济,虚拟数字人,文化传媒,数据确权,预制菜,IP,数字水印,雄安新区,特色小镇,地方国企改革,海绵城市,农业种植,VR平台,广告营销,虚拟现实,元宇宙,ChatGPT,PPP,迪士尼,抖音,网络直播,国企改革,节能环保,园林开发,美丽中国,污水处理,环球主题公园,数字经济,乡村振兴,AIGC,华为,一带一路,新型城镇化,横琴新区,光伏,旅游,广东国企改革,土壤修复,人工智能,MR(混合现实),腾讯,水利,粤港澳大湾区",7.12,5.44,地市国资控股,地方政府,中山火炬高技术产业开发区管理委员会,中山火炬高技术产业开发区管理委员会,综合环保,环保,公共事业,园林工程,在生态园林领域处于行业领先地位,,,
000973.SZ,佛塑科技,基础化工-塑料制品-膜材料,中证2000,全国唯一的BOPA(双向拉伸尼龙)薄膜生产基地,"煤化工,OLED材料,体感3D,物流电商平台,证金持股,分离膜,地方国企改革,广东国企改革,OLED,跨境电商,特高压,锂电池,线型,国企改革,AI眼镜",28.18,24.08,省属国资控股,地方政府,广东省,广东省,膜材料,合成材料,化工,高分子功能薄膜,国内塑料新材料行业的龙头企业,60.0,中央汇金,1.43
603569.SH,长久物流,交通运输-物流-物流Ⅲ,中证2000,深耕于整车运输物流行业，全国主要的汽车企业均为公司的客户,"储能,数字经济,航运,中俄贸易,北京自贸区,数据要素,一带一路,雄安新区,无人驾驶,动力电池回收,汽车关税下调,统一大市场,新能源物流车",71.63,62.18,民营企业,个人,"薄世久,李桂屏",个人,汽车物流,汽车相关,汽车,整车运输,在整车运输领域，公司处于行业领先地位,,,
603090.SH,宏盛股份,机械设备-通用设备-其他通用设备,中证2000,拥有行业内领先的大型风洞实验系统,"储能,煤化工,人民币贬值受益,新能源汽车,乡村振兴,牙科医疗,碳中和,风电,锂电池,数据要素,农机",4.02,50.32,民营企业,个人,"钮玉霞,钮法清",个人,通用设备,机械设备,机械,铝制板翅式换热器,拥有行业内领先的大型风洞实验系统,,,
