证券代码,股票简称,PE,扣非PE,PB,扣非ROE,ROE,ROA,股息率,分红比例,扣非净利润增速,营收增速,资产负债率,现金,扣非PEG,扣非市赚率,市赚率,财务健康度
600007.SH,中国国贸,16.18,17.23,2.14,9.78,9.89,10.54,4.5,0.0,-7.01,3.27,17.54,0.17,5.28,3.52,3.27,0.45
000739.SZ,普洛药业,22.13,25.82,3.19,9.78,10.21,6.53,2.19,71.66,-22.14,10.5,46.34,0.17,2.46,2.64,2.17,0.55
603111.SH,康尼机电,17.12,13.8,1.5,6.82,6.54,3.97,4.15,0.0,22.51,4.34,43.82,0.17,3.18,4.05,5.23,0.42
601007.SH,金陵饭店,60.29,100.42,2.03,2.29,2.54,2.36,1.0,0.0,-1.2,11.01,30.79,0.17,9.12,87.85,47.47,0.18
301168.SZ,通灵股份,87.74,272.66,2.42,1.14,2.09,1.61,0.54,0.0,-59.25,12.22,35.32,0.17,22.31,476.72,83.96,0.17
920305.BJ,*ST云创,-19.45,-4.59,1.37,-5.17,-5.14,-4.76,,0.0,-15.44,-41.81,26.83,0.17,扣非亏损,扣非亏损,亏损,-0.83
301037.SZ,保立佳,232.11,-26.32,3.46,-0.68,1.12,1.43,,0.0,93.8,-9.05,73.95,0.17,扣非亏损,扣非亏损,414.48,-0.83
600029.SH,南方航空,42.77,-67.6,3.55,3.97,6.43,3.03,,0.0,345.77,26.1,83.39,0.17,扣非亏损,危险信号,13.3,0.14
601336.SH,新华保险,5.76,6.75,2.51,32.3,33.1,,5.09,14.14,53.38,15.95,94.52,0.17,0.42,0.21,0.17,4.95
002334.SZ,英威腾,37.39,31.96,2.45,4.34,4.96,3.23,0.8,0.0,-18.58,14.12,48.92,0.17,2.26,14.74,15.08,0.24
300543.SZ,朗科智能,84.15,104.94,2.3,2.19,2.64,1.75,0.95,0.0,-32.48,-9.01,29.07,0.17,-11.65,95.99,63.75,0.18
002799.SZ,环球印务,-112.47,-29.31,2.37,-1.7,-1.57,-0.65,,0.0,-184.3,-21.36,30.57,0.17,扣非亏损,扣非亏损,亏损,-0.83
002431.SZ,棕榈股份,-6.67,-3.3,4.02,-38.1,-36.74,-1.17,,0.0,30.36,-8.0,92.85,0.17,扣非亏损,扣非亏损,亏损,-0.83
300793.SZ,佳禾智能,156.34,-180.37,2.01,0.11,0.94,0.61,0.61,0.0,-92.8,-2.45,31.83,0.17,扣非亏损,危险信号,332.64,0.17
002749.SZ,国光股份,16.54,16.75,3.18,13.38,13.82,12.74,6.33,80.0,1.92,13.65,13.26,0.17,1.23,1.25,1.2,0.97
002929.SZ,润建股份,1525.69,-3239.49,2.07,0.71,0.1,0.1,0.39,0.0,-84.21,11.99,70.6,0.17,扣非亏损,危险信号,30513.71,0.17
001338.SZ,永顺泰,18.89,19.97,1.71,6.84,6.84,6.13,2.76,0.0,17.6,14.17,13.38,0.17,1.41,5.84,5.52,0.34
688727.SH,恒坤新材,243.08,266.26,15.1,4.05,4.79,2.5,,0.0,-6.5,63.74,47.03,0.17,4.18,131.49,101.49,0.18
605088.SH,冠盛股份,25.11,26.29,2.62,8.05,8.27,3.88,2.39,0.0,4.29,17.6,55.95,0.17,1.49,6.53,6.07,0.32
601136.SH,首创证券,45.33,47.49,3.54,5.94,5.94,,0.68,0.0,7.21,7.32,74.14,0.17,6.49,16.0,15.26,0.23
300892.SZ,品渥食品,194.52,150.1,3.0,0.88,1.16,0.59,0.31,0.0,190.98,-18.59,16.84,0.17,-8.08,339.47,335.37,0.17
600812.SH,华北制药,44.98,54.74,1.73,2.63,2.9,2.55,0.58,0.0,73.61,-1.66,69.01,0.17,-32.96,41.61,31.04,0.19
600661.SH,昂立教育,51.09,-85.71,23.26,41.11,62.75,4.76,,0.0,578.42,0.74,86.05,0.17,扣非亏损,危险信号,1.63,-0.07
301386.SZ,未来电器,40.96,48.84,2.63,3.98,4.78,4.99,2.37,0.0,18.66,3.84,11.95,0.17,12.73,24.55,17.14,0.21
300197.SZ,节能铁汉,-4.33,-1.82,5.17,-37.19,-90.63,-2.33,,0.0,-41.7,-23.55,91.21,0.17,扣非亏损,扣非亏损,亏损,-0.83
300769.SZ,德方纳米,-15.18,-10.52,2.12,-9.82,-10.13,-3.51,,0.0,38.27,91.8,62.0,0.17,扣非亏损,扣非亏损,亏损,-0.83
000333.SZ,美的集团,11.71,13.92,2.68,16.99,16.79,6.53,4.65,14.66,22.26,6.13,60.54,0.17,2.27,0.82,0.7,1.39
605066.SH,天正电气,30.27,37.65,2.38,5.43,5.83,3.17,5.81,0.0,-9.33,0.97,44.58,0.17,38.73,13.88,10.38,0.24
000423.SZ,东阿阿胶,19.49,21.63,3.33,11.4,12.14,11.3,3.86,100.02,8.23,15.75,21.77,0.17,1.37,1.9,1.61,0.7
600059.SH,古越龙山,52.25,61.28,1.62,1.48,2.29,2.34,0.9,0.0,-34.07,7.14,8.07,0.17,8.59,82.67,45.64,0.18
002835.SZ,同为股份,23.61,23.13,3.0,8.57,9.63,8.12,1.67,0.0,-23.47,5.19,20.38,0.17,4.46,5.4,4.9,0.35
301488.SZ,豪恩汽电,157.16,159.1,10.0,4.26,4.77,2.68,0.9,0.0,1.44,12.88,44.94,0.17,12.35,74.74,65.89,0.18
002057.SZ,中钢天源,26.31,34.24,2.4,6.67,6.94,5.59,1.58,30.99,62.2,1.27,30.87,0.17,26.89,5.13,3.79,0.36
301387.SZ,光大同创,166.44,180.41,3.8,1.56,1.71,1.84,0.44,0.0,125.8,7.53,33.83,0.17,23.95,231.38,194.67,0.17
001216.SZ,华瓷股份,18.06,21.08,2.52,10.29,10.59,9.76,3.14,0.0,19.92,4.22,17.04,0.17,4.99,4.1,3.41,0.41
600749.SH,西藏旅游,85.74,224.62,3.46,1.99,1.99,2.29,,0.0,104.83,15.39,25.91,0.17,14.6,226.01,86.27,0.17
002295.SZ,精艺股份,155.53,512.49,2.16,0.66,1.04,1.33,0.56,0.0,-60.97,-6.57,46.12,0.17,-78.0,1557.01,299.09,0.17
000717.SZ,中南股份,-67.05,-13.22,0.77,-1.48,-0.85,-0.03,,0.0,87.26,-11.51,60.81,0.17,扣非亏损,扣非亏损,亏损,-0.83
920149.BJ,旭杰科技,-137.22,-21.37,6.08,-6.46,-3.32,1.86,,0.0,-511.74,23.73,78.56,0.17,扣非亏损,扣非亏损,亏损,-0.83
301122.SZ,采纳股份,316.51,-337.68,1.95,-0.1,0.46,0.35,1.24,0.0,-104.65,-4.01,6.99,0.17,扣非亏损,扣非亏损,1376.12,-0.83
000921.SZ,海信家电,8.7,12.33,1.93,14.37,17.09,6.81,4.26,0.0,1.65,11.18,71.31,0.17,1.1,1.72,1.02,0.75
603352.SH,至信股份,45.56,46.32,5.74,9.31,9.95,5.14,,0.0,25.76,21.52,65.43,0.17,2.15,9.95,9.16,0.27
603628.SH,清源股份,28.34,46.88,2.79,7.33,7.47,2.72,0.53,0.0,0.17,25.02,61.89,0.17,1.87,12.79,7.59,0.25
002264.SZ,新华都,33.07,38.93,3.93,8.14,9.09,5.59,,47.62,-17.54,-5.44,41.95,0.17,-7.16,4.79,3.64,0.38
600370.SH,三房巷,-15.09,-16.75,1.9,-8.32,-8.52,-1.86,,0.0,-55.02,7.62,73.14,0.17,扣非亏损,扣非亏损,亏损,-0.83
688151.SH,华强科技,1238.51,-94.59,1.75,-1.24,0.11,-0.07,0.38,0.0,-31.9,-16.51,13.37,0.17,扣非亏损,扣非亏损,22518.38,-0.83
300560.SZ,中富通,169.51,-27.58,3.75,0.6,1.68,1.61,,0.0,-17.62,7.92,62.82,0.17,扣非亏损,危险信号,201.8,0.16
301115.SZ,联检科技,72.59,-490.34,1.33,0.37,1.36,1.44,2.5,0.0,292.0,7.57,29.77,0.17,扣非亏损,危险信号,106.74,0.17
688236.SH,春立医疗,34.7,38.31,2.97,6.23,6.6,5.77,1.03,0.0,311.07,-8.1,15.65,0.17,-4.73,12.31,10.51,0.25
688475.SH,萤石网络,41.8,46.49,4.17,7.02,7.56,4.47,1.16,0.0,6.22,8.8,33.85,0.17,5.28,13.25,11.06,0.24
301518.SZ,长华化学,55.65,56.77,3.83,5.18,5.24,3.86,1.04,0.0,168.81,2.03,43.98,0.17,27.93,21.9,21.24,0.21
603338.SH,浙江鼎力,12.88,15.99,2.46,14.71,15.04,10.12,1.55,0.0,4.96,16.57,34.79,0.17,0.96,2.17,1.71,0.63
001373.SZ,翔腾新材,-118.95,-156.23,3.33,-2.11,-2.06,-2.02,0.34,0.0,-266.63,-19.79,10.62,0.17,扣非亏损,扣非亏损,亏损,-0.83
601021.SH,春秋航空,17.35,27.39,2.97,13.01,12.93,7.34,1.42,35.83,-10.89,34.3,60.93,0.17,0.8,2.11,1.34,0.64
002300.SZ,太阳电缆,55.44,129.14,3.32,3.34,4.41,2.2,2.06,0.0,-27.51,7.13,65.93,0.17,18.1,77.38,25.14,0.18
300118.SZ,东方日升,-19.15,-7.44,2.27,-10.96,-8.48,-2.29,,0.0,30.44,11.19,70.83,0.17,扣非亏损,扣非亏损,亏损,-0.83
920267.BJ,鑫汇科,652.71,136.96,4.4,0.69,0.5,0.03,1.0,0.0,-81.81,-5.36,60.52,0.17,-25.55,395.77,2610.82,0.17
603194.SH,中力股份,16.68,17.96,2.89,13.18,13.59,9.53,1.76,0.0,5.49,15.99,37.66,0.17,1.12,2.73,2.46,0.53
002787.SZ,华源控股,36.3,48.57,2.22,4.39,4.56,3.83,1.27,0.0,47.0,1.5,30.7,0.17,32.4,22.14,15.92,0.21
002772.SZ,众兴菌业,24.68,31.97,1.98,5.49,6.11,3.43,4.07,0.0,181.09,8.28,48.13,0.17,3.86,11.66,8.08,0.25
601199.SH,江南水务,14.87,13.92,1.2,5.95,6.13,4.44,2.35,17.08,-4.09,11.28,35.38,0.17,1.23,2.34,2.43,0.59
300205.SZ,*ST天喻,-11.04,-6.17,1.86,-11.78,-11.91,-6.91,,0.0,0.0,-10.01,42.9,0.17,扣非亏损,扣非亏损,亏损,-0.83
600469.SH,风神股份,18.47,30.07,1.56,5.82,6.57,3.49,2.6,0.0,-20.94,7.23,55.07,0.17,4.16,10.33,5.62,0.26
603377.SH,ST东时,-19.17,-4.54,3.25,-9.29,-11.74,-1.59,,0.0,25.94,-11.62,73.52,0.16,扣非亏损,扣非亏损,亏损,-0.84
600272.SH,开开实业,208.5,3566.5,4.61,0.02,2.04,2.37,0.29,0.0,-87.35,18.4,53.45,0.16,193.83,315619.51,204.42,0.16
002731.SZ,萃华珠宝,12.77,23.59,1.58,9.75,9.71,5.09,0.96,0.0,54.95,6.68,68.78,0.16,3.53,4.84,2.63,0.37
300087.SZ,荃银高科,-34.58,-207.35,4.76,-12.34,-9.63,-2.74,0.42,0.0,-113.23,23.6,69.33,0.16,扣非亏损,扣非亏损,亏损,-0.84
603801.SH,志邦家居,17.83,18.24,1.24,3.49,5.02,2.83,4.68,0.0,-48.92,1.35,46.72,0.16,13.53,10.45,7.11,0.26
300951.SZ,博硕科技,31.3,32.93,2.58,5.89,6.12,5.08,2.01,0.0,-8.28,20.55,19.69,0.16,1.6,11.17,10.23,0.25
601678.SH,滨化股份,40.83,81.8,0.92,0.84,1.69,2.57,1.06,20.0,-48.58,6.03,52.37,0.16,13.56,97.41,24.16,0.17
002111.SZ,威海广泰,32.59,92.26,1.84,3.7,4.0,2.73,1.36,50.0,-8.27,-0.41,52.42,0.16,-225.91,24.96,8.15,0.2
300681.SZ,英搏尔,37.99,117.06,3.27,2.33,6.79,2.66,0.12,0.0,100.64,42.4,62.49,0.16,2.76,100.63,11.19,0.17
000014.SZ,沙河股份,-72.28,-49.57,1.95,-2.0,-2.0,-1.88,,0.0,-168.11,8.89,29.14,0.16,扣非亏损,扣非亏损,亏损,-0.84
301032.SZ,新柴股份,40.17,38.6,2.63,4.56,4.97,2.08,1.06,0.0,28.31,-2.49,57.62,0.16,-15.52,16.92,16.17,0.22
300937.SZ,药易购,-388.55,-454.23,3.9,-1.21,-0.99,0.6,0.4,0.0,-208.41,9.07,56.02,0.16,扣非亏损,扣非亏损,亏损,-0.84
002884.SZ,凌霄泵业,13.33,14.17,2.7,14.47,15.05,15.71,5.47,0.0,3.41,-6.13,6.85,0.16,-2.31,1.96,1.77,0.67
000882.SZ,华联股份,-28.72,-25.07,0.78,-2.29,-2.01,0.34,,0.0,-2469.21,-2.5,46.48,0.16,扣非亏损,扣非亏损,亏损,-0.84
002664.SZ,信质集团,65.56,226.42,3.01,3.35,3.51,1.52,,0.0,32.09,21.06,67.83,0.16,10.75,135.08,37.36,0.17
002830.SZ,名雕股份,160.84,84.2,5.22,2.4,2.4,1.8,2.0,0.0,2.38,-8.58,52.86,0.16,-9.81,70.18,134.03,0.18
601857.SH,中国石油,11.61,11.85,1.25,8.26,8.1,6.79,5.26,47.83,-6.36,4.79,38.38,0.16,2.47,1.44,1.43,0.86
603758.SH,秦安股份,36.74,37.36,2.54,4.92,5.34,4.7,3.63,0.0,-19.15,6.24,11.22,0.16,5.98,15.19,13.76,0.23
002495.SZ,佳隆股份,168.8,122.46,2.28,0.95,1.0,1.12,0.31,0.0,-28.58,0.78,8.26,0.16,156.5,257.8,337.59,0.17
002783.SZ,凯龙股份,26.73,23.64,1.84,4.63,5.25,4.46,1.23,0.0,29.82,10.64,55.44,0.16,2.22,10.21,10.18,0.26
603192.SH,汇得科技,35.61,30.6,2.27,4.66,4.85,3.9,2.53,0.0,6.56,-5.7,29.97,0.16,-5.37,13.14,14.68,0.24
002947.SZ,恒铭达,20.95,21.1,3.49,12.31,12.7,11.17,1.8,0.0,30.05,30.39,23.71,0.16,0.69,3.43,3.3,0.45
688633.SH,星球石墨,34.47,34.01,2.31,3.98,4.94,3.8,1.26,0.0,-21.87,9.0,45.51,0.16,3.78,17.07,13.96,0.22
600168.SH,武汉控股,46.54,67.88,0.96,1.04,1.55,1.72,0.61,0.0,33.96,10.0,73.05,0.16,6.79,129.99,60.05,0.17
300031.SZ,宝通科技,33.92,65.36,2.32,4.58,5.29,3.93,0.55,0.0,-30.71,6.86,31.27,0.16,9.52,28.51,12.82,0.2
300519.SZ,新光药业,41.34,46.0,3.02,5.24,5.45,4.72,2.26,0.0,25.86,-4.85,7.33,0.16,-9.49,17.54,15.17,0.22
002980.SZ,华盛昌,47.74,46.05,3.83,5.7,5.93,4.48,2.85,0.0,-39.92,4.48,26.09,0.16,10.28,16.14,16.1,0.22
300981.SZ,中红医疗,-558.52,-29.73,1.0,-0.69,-0.13,-0.36,1.94,0.0,-20229.69,-5.8,28.02,0.16,扣非亏损,扣非亏损,亏损,-0.84
000997.SZ,新大陆,22.08,24.49,3.76,13.34,12.92,7.83,2.76,0.0,14.03,1.49,44.76,0.16,16.38,3.67,3.42,0.44
002470.SZ,金正大,-158.02,-18.42,3.02,-1.59,-1.44,0.67,,0.0,-48.56,-3.27,81.72,0.16,扣非亏损,扣非亏损,亏损,-0.84
002171.SZ,楚江新材,43.11,37.41,2.35,4.0,4.51,3.04,0.85,0.0,1963.68,12.94,57.76,0.16,2.89,18.69,19.12,0.22
600487.SH,亨通光电,27.14,31.74,2.79,7.89,7.99,4.21,1.34,0.0,5.97,13.68,53.69,0.16,2.32,8.05,6.79,0.29
301289.SZ,国缆检测,51.88,51.63,4.62,6.7,6.54,6.16,0.84,0.0,25.6,9.18,19.09,0.16,5.63,15.41,15.86,0.23
600778.SH,友好集团,121.63,-200.1,9.97,1.69,6.3,1.49,,0.0,6.39,-4.83,92.91,0.16,扣非亏损,危险信号,38.61,0.16
002421.SZ,达实智能,-10.62,-30.47,1.98,-5.05,-13.03,-4.44,0.15,0.0,-576.42,0.99,59.88,0.16,扣非亏损,扣非亏损,亏损,-0.84
300062.SZ,中能电气,821.55,-83.45,4.63,0.51,0.41,0.63,,0.0,167.57,7.69,57.88,0.16,扣非亏损,危险信号,4007.56,0.16
601333.SH,广深铁路,11.38,23.7,0.78,3.99,5.26,5.1,2.04,0.0,-7.56,11.15,23.89,0.16,2.12,11.87,4.33,0.25
002696.SZ,百洋股份,53.86,73.87,1.89,2.04,2.63,1.61,,0.0,190.78,2.8,60.04,0.16,26.37,72.43,40.95,0.18
002481.SZ,双塔食品,136.46,120.91,2.55,1.06,1.33,0.96,0.74,22.68,-53.86,4.26,48.0,0.16,28.38,113.67,102.6,0.17
920057.BJ,百甲科技,114.18,-341.05,1.74,1.14,1.15,1.19,,0.0,46.82,-0.43,61.54,0.16,扣非亏损,危险信号,198.58,0.16
600101.SH,明星电力,22.94,37.41,1.75,5.76,5.82,4.79,1.36,0.0,-19.11,14.02,25.76,0.16,2.67,13.0,7.88,0.24
000607.SZ,华媒控股,-65.72,-40.42,3.28,-5.2,-3.68,-1.33,,0.0,-4671.83,-9.73,49.48,0.16,扣非亏损,扣非亏损,亏损,-0.84
301365.SZ,矩阵股份,47.81,152.54,2.52,2.84,3.87,3.55,3.4,159.09,58.45,-14.54,19.63,0.16,-10.49,53.81,12.35,0.18
601231.SH,环旭电子,46.09,50.83,4.18,6.13,6.86,4.13,1.39,0.0,7.23,4.15,55.09,0.16,12.24,16.57,13.44,0.22
601339.SH,百隆东方,13.69,21.19,1.09,5.42,5.79,4.6,4.78,57.69,99.55,1.23,32.27,0.16,17.23,3.91,2.36,0.42
300686.SZ,智动力,-46.1,-32.5,4.21,-6.27,-6.32,-3.15,,0.0,27.39,-9.59,51.84,0.16,扣非亏损,扣非亏损,亏损,-0.84
300741.SZ,华宝股份,111.18,-29.84,1.67,1.5,1.13,1.11,0.69,0.0,3.53,-10.89,6.57,0.16,扣非亏损,危险信号,196.77,0.14
920242.BJ,建邦科技,19.53,19.01,2.86,11.3,11.32,11.14,0.84,26.67,-5.69,18.2,22.83,0.16,1.04,1.68,1.73,0.76
688779.SH,五矿新能,-688.11,-45.63,2.75,-0.78,-0.29,0.68,,0.0,73.5,24.69,50.27,0.16,扣非亏损,扣非亏损,亏损,-0.84
300289.SZ,利德曼,-403.73,-36.4,2.32,-0.88,-0.43,-0.42,,0.0,-123.72,-9.75,5.33,0.16,扣非亏损,扣非亏损,亏损,-0.84
002775.SZ,文科股份,157.42,-6.07,10.27,-57.83,5.75,1.91,,0.0,-670.76,-24.28,93.82,0.16,扣非亏损,扣非亏损,54.75,-0.84
600027.SH,华电国际,6.55,8.76,1.15,9.07,12.73,5.17,3.74,27.27,20.74,2.74,60.41,0.16,3.19,0.97,0.51,1.2
688207.SH,格灵深瞳,-24.6,-19.16,2.18,-6.92,-6.45,-6.56,,0.0,5.87,-20.22,6.96,0.16,扣非亏损,扣非亏损,亏损,-0.84
000060.SZ,中金岭南,27.45,28.44,1.93,5.38,5.63,3.21,1.86,0.0,7.5,11.41,65.43,0.16,2.49,10.58,9.75,0.26
002422.SZ,科伦药业,30.09,30.05,2.03,4.97,5.18,4.38,2.55,20.0,-53.12,7.94,28.63,0.16,3.78,6.05,5.81,0.33
000967.SZ,盈峰环境,35.07,65.04,1.29,2.53,2.69,2.3,3.8,0.0,-27.03,3.4,46.7,0.16,19.13,51.43,26.08,0.18
603605.SH,珀莱雅,20.42,18.04,4.97,18.02,18.25,15.43,1.4,39.6,2.72,32.77,32.61,0.16,0.55,1.0,1.12,1.16
301291.SZ,明阳电气,22.6,20.66,2.87,9.58,9.62,5.64,1.64,7.14,6.51,47.31,47.55,0.16,0.44,2.16,2.35,0.62
688115.SH,思林杰,-271.08,-1449.54,2.43,-0.87,-0.67,-1.04,1.22,-95.65,-53492.16,-3.8,11.68,0.16,扣非亏损,扣非亏损,亏损,-0.84
600782.SH,新钢股份,24.67,22.87,0.45,0.45,2.48,0.92,0.3,0.0,109.79,-25.0,44.41,0.16,-0.91,100.96,19.9,0.17
300422.SZ,博世科,-9.28,-2.55,2.37,-18.41,-17.56,-0.67,,0.0,-97.51,-15.59,86.53,0.16,扣非亏损,扣非亏损,亏损,-0.84
300933.SZ,中辰股份,116.77,-427.09,2.34,0.61,1.79,1.97,0.36,0.0,-71.66,6.94,51.28,0.16,扣非亏损,危险信号,130.46,0.16
600433.SH,冠豪高新,-46.9,-75.42,1.33,-2.12,-2.08,-0.91,1.89,0.0,-392.95,1.12,49.33,0.16,扣非亏损,扣非亏损,亏损,-0.84
300755.SZ,华致酒行,-27.24,-19.86,2.47,-7.87,-6.54,-3.82,7.25,0.0,-260.03,8.82,40.84,0.16,扣非亏损,扣非亏损,亏损,-0.84
600336.SH,澳柯玛,-520.61,-74.59,2.59,-1.24,-0.37,-0.03,0.3,21.1,-38.68,-2.61,65.13,0.16,扣非亏损,扣非亏损,亏损,-0.84
603916.SH,苏博特,44.6,61.15,1.33,1.78,2.19,2.6,1.34,0.0,15.25,-7.39,44.24,0.16,-8.28,68.63,40.73,0.17
002344.SZ,海宁皮城,78.92,100.56,0.75,0.78,0.71,1.02,0.82,0.0,11.84,-10.18,33.13,0.16,-9.88,257.9,222.3,0.16
002331.SZ,皖通科技,-50.45,-206.28,2.36,-3.75,-3.46,-1.94,0.41,0.0,-139.28,6.75,41.75,0.16,扣非亏损,扣非亏损,亏损,-0.84
603713.SH,密尔克卫,13.56,16.62,2.04,10.83,11.69,5.34,1.39,0.0,8.45,14.14,73.63,0.16,1.18,3.07,2.32,0.48
001328.SZ,登康口腔,38.85,45.88,4.82,7.59,9.19,7.38,2.36,0.0,19.78,11.03,26.41,0.16,4.16,12.08,8.45,0.24
301071.SZ,力量钻石,170.56,629.89,1.99,0.19,0.87,0.53,0.97,0.0,-92.07,18.69,21.21,0.16,33.69,6493.68,392.08,0.16
688716.SH,中研股份,335.3,492.22,3.94,0.4,0.89,0.99,0.55,0.0,-76.22,11.6,12.72,0.16,42.45,2466.65,753.49,0.16
600452.SH,涪陵电力,46.78,48.6,3.37,5.32,5.46,5.01,0.99,31.82,-30.23,0.14,14.63,0.16,347.62,9.13,8.57,0.27
300190.SZ,维尔利,341.83,-4.98,1.26,-0.03,0.29,1.39,,0.0,98.82,-12.1,56.67,0.16,扣非亏损,扣非亏损,2357.45,-0.84
688092.SH,爱科科技,49.11,46.87,3.76,5.63,5.79,4.38,1.76,31.25,-26.1,13.34,21.79,0.16,3.51,8.32,8.48,0.28
603611.SH,诺力股份,11.32,14.78,1.9,10.46,12.87,4.32,5.0,0.0,2.69,5.99,66.61,0.16,2.47,2.83,1.76,0.51
605123.SH,派克新材,43.59,58.4,2.99,4.9,5.26,2.78,1.45,34.54,-5.4,26.45,43.64,0.16,2.21,11.92,8.29,0.24
301311.SZ,昆船智能,-77.42,-119.6,2.4,-2.42,-2.29,-0.77,0.3,0.0,-551.6,1.61,57.28,0.16,扣非亏损,扣非亏损,亏损,-0.84
920802.BJ,保丽洁,63.69,60.58,3.0,3.14,3.56,3.37,1.03,0.0,13.92,0.15,20.04,0.16,407.12,38.65,35.78,0.18
002641.SZ,公元股份,89.59,407.1,0.99,-0.09,0.83,0.52,1.14,0.0,-103.76,-9.38,32.83,0.16,-43.38,-8811.6,215.88,0.16
688576.SH,西山科技,60.5,58.51,2.04,1.98,2.51,1.79,1.61,0.0,-25.58,18.79,8.11,0.16,3.11,58.98,48.21,0.18
600400.SH,红豆股份,-18.39,-10.96,2.3,-9.21,-8.97,-5.03,0.4,0.0,-1000.09,-5.49,35.17,0.16,扣非亏损,扣非亏损,亏损,-0.84
600159.SH,大龙地产,-168.16,-11.93,1.38,-0.78,-0.61,-0.26,,0.0,14.26,-20.41,44.75,0.16,扣非亏损,扣非亏损,亏损,-0.84
300022.SZ,吉峰科技,-408.43,-676.99,7.49,-2.06,-1.37,1.38,,0.0,57.49,4.52,60.22,0.16,扣非亏损,扣非亏损,亏损,-0.84
301132.SZ,满坤科技,38.33,44.96,2.87,5.22,5.68,3.68,1.52,0.0,40.88,2.86,38.9,0.16,15.72,17.23,13.5,0.22
300676.SZ,华大基因,-719.4,-24.23,2.22,-0.73,-0.23,-0.91,,0.0,52.04,-15.1,23.82,0.16,扣非亏损,扣非亏损,亏损,-0.84
603408.SH,建霖家居,12.44,14.56,1.68,8.95,10.31,7.38,5.83,0.0,-18.36,2.63,37.55,0.16,5.54,3.26,2.41,0.46
603889.SH,新澳股份,12.55,14.76,1.76,10.61,10.75,8.01,4.28,0.0,5.25,12.02,39.98,0.16,1.23,2.78,2.34,0.52
301662.SZ,宏工科技,336.0,107.73,9.14,2.29,2.28,0.71,,0.0,-73.89,96.09,68.66,0.16,1.12,94.0,294.73,0.17
000756.SZ,新华制药,32.08,29.97,2.13,4.71,5.01,3.61,1.75,0.0,-25.62,8.95,40.72,0.16,3.35,12.71,12.81,0.24
688369.SH,致远互联,-10.68,-9.03,3.69,-23.04,-22.69,-15.73,,0.0,-93.79,-5.89,37.72,0.16,扣非亏损,扣非亏损,亏损,-0.84
300315.SZ,掌趣科技,152.51,-858.77,3.15,1.54,1.56,-0.07,,0.0,-54.01,-17.76,7.73,0.16,扣非亏损,危险信号,195.53,0.16
300642.SZ,透景生命,386.52,229.56,2.02,0.09,0.38,-0.01,1.06,0.0,-90.45,-11.45,23.63,0.16,-20.05,4979.59,2034.32,0.16
603020.SH,爱普股份,27.43,63.48,1.24,1.79,3.4,4.71,2.33,0.0,-18.01,-6.97,6.91,0.16,-9.1,70.88,16.13,0.17
301600.SZ,慧翰股份,70.24,76.74,10.12,9.95,10.56,8.95,1.27,0.0,-2.96,34.46,24.25,0.16,2.23,15.42,13.3,0.22
601038.SH,一拖股份,11.96,22.38,2.02,12.06,13.02,7.64,2.03,10.0,-14.82,10.36,48.14,0.16,2.16,1.86,0.92,0.7
002991.SZ,甘源食品,26.86,24.0,3.37,8.27,8.98,7.99,3.08,70.73,-43.68,20.55,22.42,0.16,1.17,2.9,2.99,0.5
601619.SH,嘉泽新能,21.23,24.38,2.09,7.95,8.62,4.48,3.31,31.58,8.73,19.52,66.53,0.16,1.25,3.07,2.46,0.48
001965.SZ,招商公路,12.21,13.98,0.98,5.5,5.87,3.72,2.99,0.0,-4.55,14.7,44.26,0.16,0.95,5.08,4.16,0.35
001306.SZ,夏厦精密,146.23,141.64,3.68,1.63,1.9,1.5,0.58,0.0,-48.23,7.79,41.81,0.16,18.19,173.51,153.93,0.16
600021.SH,上海电力,14.52,24.37,2.79,9.63,13.91,4.26,3.05,0.0,22.42,11.94,69.8,0.16,2.04,5.06,2.09,0.35
002965.SZ,祥鑫科技,42.69,38.58,2.12,3.45,3.73,2.08,1.56,0.0,-43.91,44.05,50.83,0.16,0.88,22.36,22.89,0.2
603810.SH,丰山集团,47.08,112.19,1.73,2.25,2.65,1.77,,0.0,252.88,-10.06,41.16,0.16,-11.15,99.66,35.53,0.17
688159.SH,有方科技,42.51,73.23,4.98,8.76,9.25,5.46,0.33,0.0,-11.22,74.09,62.7,0.16,0.99,16.72,9.19,0.22
002406.SZ,远东传动,45.78,55.55,1.45,1.78,2.36,2.46,2.33,0.0,47.35,-9.03,17.12,0.16,-6.15,62.56,38.8,0.17
300106.SZ,西部牧业,-48.12,-14.52,6.1,-12.33,-4.41,-1.95,,0.0,-2.76,-4.75,50.65,0.16,扣非亏损,扣非亏损,亏损,-0.84
600326.SH,西藏天路,479.27,-231.84,3.68,-0.73,0.58,0.8,,0.0,72.52,-16.73,52.94,0.16,扣非亏损,扣非亏损,1652.66,-0.84
688435.SH,英方软件,-247.42,-180.0,4.42,-2.39,-1.33,-1.47,,0.0,40.17,8.35,6.27,0.16,扣非亏损,扣非亏损,亏损,-0.84
002562.SZ,兄弟科技,61.09,78.05,2.25,2.91,3.22,2.73,,0.0,298.45,9.84,42.72,0.16,7.94,53.64,37.94,0.17
600718.SH,东软集团,179.95,-69.91,1.3,-0.46,0.54,0.38,1.39,0.0,-145.87,9.8,49.54,0.16,扣非亏损,扣非亏损,666.49,-0.84
