证券代码,股票简称,PE,扣非PE,PB,扣非ROE,ROE,ROA,股息率,分红比例,扣非净利润增速,营收增速,资产负债率,现金,扣非PEG,扣非市赚率,市赚率,财务健康度
000031.SZ,大悦城,-22.02,-5.22,1.54,-5.52,-5.14,1.43,,0.0,64.8,-5.63,75.39,1.43,扣非亏损,扣非亏损,亏损,0.43
600057.SH,厦门象屿,9.98,17.11,1.34,4.23,7.83,2.72,3.85,0.0,302.47,-6.16,71.55,1.43,-2.78,8.09,2.55,1.55
000783.SZ,长江证券,9.9,11.7,1.25,8.42,9.23,,2.2,0.0,142.04,-6.45,78.23,1.41,-1.81,2.78,2.15,1.77
688459.SH,哈铁科技,62.87,36.12,1.39,1.55,1.66,1.26,1.04,42.98,8.96,3.5,14.78,1.4,10.32,23.3,37.88,1.45
600638.SH,新黄浦,26.53,39.01,1.05,2.48,3.0,1.27,0.73,0.0,120.08,-4.4,77.15,1.4,-8.87,31.42,17.68,1.43
601788.SH,光大证券,21.51,21.28,1.28,3.75,4.0,,1.1,34.22,30.99,-15.58,77.68,1.39,-1.37,5.68,5.38,1.57
000539.SZ,粤电力A,32.37,-555.45,1.08,2.2,2.52,1.63,0.44,0.0,-65.68,9.19,79.45,1.39,扣非亏损,危险信号,25.69,1.39
000686.SZ,东北证券,14.76,14.33,1.05,5.37,5.47,,1.51,0.0,135.04,-1.37,81.44,1.37,-10.46,5.33,5.4,1.56
600927.SH,永安期货,35.31,35.44,1.7,3.66,3.66,,0.91,16.67,15.35,-16.12,81.41,1.36,-2.2,9.67,9.65,1.46
601375.SH,中原证券,38.45,44.36,1.39,2.7,2.74,,0.53,14.26,168.08,-22.32,74.65,1.34,-1.99,16.44,14.03,1.4
601061.SH,中信金属,22.26,24.99,2.92,9.87,10.26,5.88,2.31,0.0,72.06,4.89,55.25,1.33,5.11,5.06,4.34,1.53
301584.SZ,建发致新,40.09,,5.91,12.73,14.38,3.53,,0.0,,21.52,83.52,1.33,,,5.58,1.51
000069.SZ,华侨城A,-3.58,-1.93,0.45,-8.73,-9.36,-0.73,,0.0,-77.37,-18.32,77.24,1.32,扣非亏损,扣非亏损,亏损,0.32
002500.SZ,山西证券,21.78,24.08,1.16,3.88,4.02,,1.59,33.33,34.81,-7.2,77.18,1.32,-3.35,6.21,5.42,1.48
601686.SH,友发集团,13.22,12.53,1.32,6.07,7.41,2.46,5.49,0.0,1309.88,-6.28,71.44,1.31,-2.0,4.13,3.57,1.56
600742.SH,富维股份,13.48,13.34,0.81,4.26,4.58,2.8,3.95,78.45,7.22,-1.41,56.07,1.31,-9.49,3.13,2.94,1.63
600030.SH,中信证券,13.37,14.84,1.47,7.56,8.15,,1.78,32.58,37.41,-5.49,84.17,1.3,-2.7,1.96,1.64,1.81
