product,isin,exchange,benchmark,region,esgRating,totalExpanseRation,translateView,linkKid
iShares Digitalisation UCITS ETF USD (Acc),IE00BYZK4883,Xetra,iSTOXX FactSet Digitalisation Index,Wereldwijd,BBB,0.4,Bekijk,https://www.ishares.com/uk/individual/en/literature/kiid/kiid-ishares-digitalisation-ucits-etf-usd-acc-gb-ie00byzk4883-en.pdf
Xtrackers ESG MSCI World UCITS ETF - 1C,IE00BZ02LR44,Xetra,MSCI World Low Carbon SRI Leader,Wereldwijd,AA,0.2,Bekijk,https://etf.dws.com/CHE/ENG/Download/KIID/c4651f30-b779-4061-9c83-858f0c3e4335/IE00BZ02LR44-2019-02-19-CHB-KI-EN.pdf
Xtrackers USD Corporate Bond UCITS ETF 1D,IE00BZ036J45,Xetra,BBgBarc USD Liquid IG Corporate TR USD,Wereldwijd,A,0.21,Bekijk,https://etf.dws.com/LUX/ENG/Download/KIID/IE00BZ036J45/-/USD-Corporate-Bond-UCITS-ETF
VANGUARD EURGVBD,IE00BZ163H91,Euronext Amsterdam,Bloomberg Barclays Euro Aggregate: Treasury Index,Europa,A,0.07,Bekijk,https://www.vanguardinvestor.co.uk/rs/gre/gls/1.3.0/documents/6703/gb
VANGUARD USDTRBOND,IE00BZ163M45,Euronext Amsterdam,BBgBarc Glb Agg US Treas Fl Adj TR USD,Verenigde Staten,A,0.07,Bekijk,https://www.vanguardinvestor.co.uk/rs/gre/gls/1.3.0/documents/6706/gb
WISDOMTREE GLOB QUAL DIV GROW UCITS ETF,IE00BZ56SW52,Borsa Italiana S.p.A.,WisdomTree Gbl Dev Qua Div Growth TR USD,Wereldwijd,A,0.38,Bekijk,https://www.wisdomtree.eu/en-gb/-/media/eu-media-files/key-documents/kiids/wt/kiid-en-wisdomtree-global-quality-dividend-growth---acc-ie00bz56sw52_20022017.pdf
iShares MSCI India UCITS ETF USD Acc,IE00BZCQB185,Xetra,MSCI India NR USD,India,BBB,0.65,Bekijk,https://www.ishares.com/ch/individual/en/literature/kiid/kiid-ishares-msci-india-ucits-etf-usd-acc-ch-ie00bzcqb185-en.pdf
LYXOR ETF DAX,LU0252633754,Euronext Paris,DAX Index,Europa,AA,0.15,Bekijk,https://www.lyxoretf.co.uk/en/instit/resources/documents/kiid/lyxor-dax-dr-ucits-etf-acc-capi/lu0252633754/gbp?documentLanguage=English
Xtrackers II Global Government Bond UCITS ETF 5C,LU0378818131,Xetra,FTSE World Government Bond Index - Developed Markets,Wereldwijd,A,0.25,Bekijk,https://etf.dws.com/en-lu/EmeaAssetDownload/Index/38230e94-bcd3-43e2-bcb0-5eb6228e9a46/KIID.pdf/
Xtrackers II ESG EUR Corporate Bond UCITS ETF 1C,LU0484968812,Xetra,Bloomberg Barclays MSCI Euro Corporate Sustainable and SRI Index,Europa,AA,0.16,Bekijk,https://etf.dws.com/CHE/ENG/Download/KIID/5995002a-bb8b-4144-bbd6-cd19b9041f93/LU0484968812-2019-02-18-CHB-KI-EN.pdf
