股票代码,股票简称,美股@最新价,美股@最新涨跌幅,美股@gics行业(三级),美股@所属概念,美股@总市值[20230919],美股@gics行业(一级),美股@gics行业(二级),美股@gics行业(四级),美股@上市日期,美股@总股本[20230919],美股@流通股[20230919],美股@上市板块,market_code,code
TPYP.P,Tortoise北美管道指数,25.510,-0.353,,,,,,,20150630,,,主板,169,TPYP
ANGL.P,美高收益约束指数ETF,27.490,-0.290,,,,,,,20120410,,,主板,169,ANGL
SAA.P,标普小盘600两倍做多,20.420,-0.454,,,,,,,20070123,,,主板,169,SAA
OIH.P,美国上市石油服务25,351.340,-2.074,,,,,,,20010226,,,主板,169,OIH
DSEP.B,美股深度缓冲ETF-9月,34.750,-0.115,,,,,,,20200921,,,主板,171,DSEP
SCHY.P,道琼斯国际股息100ETF,23.800,-0.126,,,,,,,20210429,,,主板,169,SCHY
ZHDG.P,ZEGA买入对冲ETF,17.450,-0.369,,,,,,,20210707,,,主板,169,ZHDG
SFY.P,美国500成长指数ETF,15.840,-0.315,,,,,,,20190411,,,主板,169,SFY
PPHPU.O,PHP Ventures-U,,,,,,,,,20210812,,,Nasdaq Capital Market,186,PPHPU
JSMD.O,小/中盘增长阿尔法ETF,59.190,-0.186,,,,,,,20160225,,,Nasdaq Global Market,185,JSMD
TUSI.B,超短收益ETF,25.080,0.060,,,,,,,20220809,,,主板,171,TUSI
CEFS.B,萨巴封闭式基金ETF,18.190,0.276,,,,,,,20170321,,,主板,171,CEFS
HYDB.B,高收益防守债券指数,44.335,-0.158,,,,,,,20170713,,,主板,171,HYDB
