证券代码,股票简称,PE,扣非PE,PB,扣非ROE,ROE,ROA,股息率,分红比例,毛利率,净利率,扣非净利润增速,营收增速,商誉占比,资产负债率,扣非PEG,扣非市赚率,市赚率
000807.SZ,云铝股份,10.46,10.37,1.9,13.71,14.22,12.96,1.88,31.67,14.65,11.28,48.81,15.01,,24.99,0.69,0.76,0.74
300441.SZ,鲍斯股份,6.42,17.07,2.54,11.74,32.36,28.31,1.02,51.29,34.79,41.78,50.6,7.45,1.97,25.92,2.29,1.45,0.2
603787.SH,新日股份,23.11,42.53,1.61,3.98,5.27,2.14,1.2,23.04,15.56,2.91,-32.75,-5.75,,56.98,-7.39,10.7,4.39
300770.SZ,新媒股份,17.22,15.72,2.67,11.62,11.21,9.6,4.81,65.95,49.31,36.41,-12.32,7.82,,28.2,2.01,1.35,1.54
300525.SZ,博思软件,310.14,45.92,6.45,0.94,1.42,-0.15,1.21,-78.38,63.79,-0.95,148.58,22.29,12.37,31.62,2.06,97.45,436.82
300748.SZ,金力永磁,112.84,204.83,4.39,1.3,2.82,1.7,1.29,89.39,10.03,4.0,-79.63,45.91,,38.95,4.46,157.93,40.01
603551.SH,奥普科技,18.27,16.15,3.37,11.68,11.71,8.72,7.55,93.31,45.24,14.69,-10.67,8.91,,32.87,1.81,1.38,1.56
832000.BJ,安徽凤凰,35.26,41.8,4.16,8.72,9.11,7.96,1.07,19.03,26.83,15.05,39.92,10.88,,22.46,3.84,4.8,3.87
688028.SH,沃尔德,29.1,31.21,1.55,3.68,3.94,4.14,0.92,33.62,45.6,15.31,20.31,35.8,20.24,14.97,0.87,8.48,7.39
603577.SH,汇金通,19.91,69.41,1.47,4.82,5.66,3.7,,30.87,13.65,3.37,333.18,30.55,5.74,67.88,2.27,14.39,3.52
600918.SH,中泰证券,74.76,131.79,1.35,1.19,1.09,,0.44,17.37,,8.4,-57.42,11.6,1.77,78.98,11.36,110.51,68.59
