证券代码,股票简称,PE,扣非PE,PB,扣非ROE,ROE,ROA,股息率,分红比例,毛利率,净利率,扣非净利润增速,营收增速,商誉占比,资产负债率,扣非PEG,扣非市赚率,市赚率
605136.SH,丽人丽妆,-86.22,141.68,1.29,-1.83,-1.11,-1.46,0.5,89.19,36.33,-2.37,18.95,-15.48,,7.37,-9.15,扣非亏损,亏损
002661.SZ,克明食品,16.19,44.6,1.34,5.95,6.17,4.01,,63.05,18.87,4.27,2191.92,3.64,0.87,53.61,12.25,7.5,2.62
301078.SZ,孩子王,92.66,233.38,4.47,2.88,4.03,2.97,0.61,27.71,29.5,2.27,8.15,1.73,22.5,63.77,135.05,81.08,22.99
600056.SH,中国医药,32.89,42.07,1.68,3.52,3.83,2.58,1.88,10.0,10.66,2.38,-26.53,-0.27,7.98,62.8,-157.2,11.95,8.59
600839.SH,四川长虹,133.74,137.27,4.32,1.29,2.45,1.57,,82.3,9.93,1.49,42.72,1.23,0.58,74.17,111.59,106.67,54.58
301031.SZ,中熔电气,48.47,52.18,7.14,11.41,10.55,7.7,0.46,10.13,38.63,12.42,40.69,68.87,,43.75,0.76,4.57,4.59
300187.SZ,永清环保,32.1,-1461.4,3.33,1.38,7.81,3.84,0.56,28.34,28.04,16.6,810.95,-1.67,8.7,69.05,扣非亏损,扣非转亏,4.11
000756.SZ,新华制药,26.1,28.5,2.46,6.82,7.21,4.71,1.23,6.43,23.5,5.28,-11.39,10.52,,42.25,2.71,4.18,3.62
001231.SZ,农心科技,37.45,34.42,1.86,3.65,3.74,2.47,0.38,11.54,33.05,6.73,9.68,8.5,0.1,33.15,4.05,9.44,10.01
301121.SZ,紫建电子,51.38,51.64,2.22,2.88,3.25,1.93,0.36,48.98,28.45,6.63,239.75,15.32,,37.01,3.37,17.92,15.81
002863.SZ,今飞凯达,35.36,121.22,1.04,1.07,2.16,2.13,0.21,6.85,14.0,1.83,8.55,12.72,0.0,65.07,9.53,113.27,16.37
300373.SZ,扬杰科技,30.68,36.78,3.25,7.85,7.82,5.53,1.63,33.1,31.02,15.13,6.59,30.34,3.55,35.4,1.21,4.69,3.92
605086.SH,龙高股份,39.91,46.74,4.2,7.36,7.93,8.41,1.3,30.43,63.84,41.48,1.89,12.13,,6.52,3.85,6.35,5.03
301418.SZ,协昌科技,57.61,114.25,1.81,1.43,2.35,2.27,0.46,27.57,21.18,13.52,-67.75,-7.04,0.01,5.77,-16.23,79.72,24.51
603095.SH,越剑智能,43.81,83.98,1.73,2.76,2.9,1.7,3.39,129.32,13.86,8.0,12.49,15.86,,26.8,5.3,30.43,15.11
301000.SZ,肇民科技,36.2,42.17,4.49,8.1,9.0,9.05,2.11,62.47,34.43,19.91,53.02,6.7,,13.01,6.29,5.21,4.02
000915.SZ,华特达因,13.53,13.75,2.39,12.02,12.36,16.4,6.91,35.3,84.04,50.26,-20.93,10.97,0.64,10.33,1.25,1.14,1.09
002558.SZ,巨人网络,18.16,16.94,2.17,10.67,8.85,8.15,1.89,36.91,88.92,48.54,14.16,11.74,1.08,11.87,1.44,1.59,2.05
603083.SH,剑桥科技,75.44,145.96,6.78,6.06,6.91,3.89,0.35,10.05,21.54,5.59,15.71,6.33,4.12,50.06,23.06,24.07,10.92
001323.SZ,慕思股份,21.13,19.07,3.38,10.91,11.12,8.21,3.28,79.12,50.8,13.47,-2.3,10.41,,40.77,1.83,1.75,1.9
002315.SZ,焦点科技,22.23,24.91,4.41,14.49,14.46,9.19,3.02,74.66,80.08,29.03,19.76,11.06,,35.63,2.25,1.72,1.54
301446.SZ,福事特,33.94,39.94,2.09,4.15,4.65,3.94,1.02,26.5,36.35,16.67,-12.33,-8.84,,13.52,-4.52,9.62,7.3
836221.BJ,易实精密,30.08,31.65,4.72,11.68,11.98,11.0,1.16,30.36,33.12,20.08,45.82,46.38,,20.27,0.68,2.71,2.51
301606.SZ,绿联科技,35.99,,5.62,13.82,15.37,11.55,,60.15,37.73,7.44,,25.09,,22.84,,,2.34
002444.SZ,巨星科技,13.69,16.96,2.14,12.32,12.21,10.75,1.22,25.01,32.39,17.85,24.95,9.99,16.33,27.35,1.7,1.38,1.12
601966.SH,玲珑轮胎,13.23,16.76,1.39,6.53,7.94,4.7,1.49,15.82,24.35,10.73,56.72,3.73,,52.42,4.5,2.57,1.67
002985.SZ,北摩高科,77.01,-142.81,3.36,2.57,2.6,2.86,0.2,124.48,57.54,20.94,-78.48,16.21,7.34,35.63,扣非亏损,扣非转亏,29.62
301179.SZ,泽宇智能,35.76,32.59,2.71,3.68,5.6,4.49,2.12,47.51,32.48,17.7,-27.57,22.08,,25.28,1.48,8.87,6.38
301202.SZ,朗威股份,64.54,66.95,4.04,4.72,4.89,4.16,1.87,72.4,18.76,6.2,33.76,10.94,,29.74,6.12,14.2,13.2
688205.SH,德科立,85.69,124.56,3.95,2.41,3.44,3.2,1.01,44.61,31.97,12.7,35.44,7.43,,13.82,16.77,51.68,24.91
600754.SH,锦江酒店,20.61,49.76,1.79,3.8,6.49,4.83,1.67,15.04,41.48,11.9,-20.39,13.55,66.77,63.26,3.67,13.11,3.18
603348.SH,文灿股份,68.5,103.87,2.14,2.19,2.83,3.12,,56.52,14.99,2.07,100.96,27.58,6.74,52.74,3.77,47.51,24.21
603236.SH,移远通信,30.72,36.86,3.87,8.75,9.52,3.74,0.2,32.49,17.93,2.62,601.13,36.07,,67.72,1.02,4.21,3.23
002372.SZ,伟星新材,27.44,21.95,4.79,11.81,11.74,10.27,5.53,46.26,42.49,16.8,-13.8,8.57,1.78,24.04,2.56,1.86,2.34
300580.SZ,贝斯特,36.24,38.62,3.6,7.1,7.6,7.01,0.66,10.42,34.92,21.59,22.38,13.25,0.49,14.9,2.92,5.44,4.77
688150.SH,莱特光电,56.6,73.69,5.55,6.69,7.36,7.37,0.28,52.1,66.39,36.43,195.01,4.01,,14.8,18.4,11.01,7.69
301608.SZ,博实结,34.22,37.72,3.12,8.43,10.61,7.85,,61.93,23.3,12.89,-1.74,-7.18,,16.29,-5.25,4.47,3.22
300751.SZ,迈为股份,36.66,42.02,4.98,9.43,10.39,3.64,0.85,30.24,30.67,10.55,3.79,54.81,,68.43,0.77,4.46,3.53
688682.SH,霍莱沃,226.6,248.52,4.79,1.05,1.57,1.12,0.25,94.47,36.69,7.42,-8.59,21.02,9.05,26.76,11.82,237.77,144.33
002027.SZ,分众传媒,19.74,22.42,6.61,21.15,22.61,19.6,5.22,57.92,66.22,42.15,8.71,4.16,1.07,28.69,5.39,1.06,0.87
301336.SZ,趣睡科技,55.39,113.06,1.76,1.39,2.38,1.72,0.23,13.55,25.57,9.89,-3.07,-12.83,,9.75,-8.81,81.42,23.27
301392.SZ,汇成真空,98.16,,11.5,8.57,13.07,7.56,,42.31,32.06,14.96,,-8.53,,31.8,,,7.51
002540.SZ,亚太科技,15.68,14.15,1.37,6.1,6.19,5.2,7.34,80.26,12.73,6.38,-5.6,22.77,,27.67,0.62,2.32,2.53
688289.SH,圣湘生物,53.31,68.61,1.92,2.1,2.69,1.64,2.36,91.53,77.5,15.79,637.21,-15.57,0.1,14.21,-4.41,32.73,19.82
603685.SH,晨丰科技,117.88,112.24,1.96,0.71,1.2,1.63,0.98,19.83,15.13,1.13,-28.45,4.68,0.6,66.59,24.01,158.53,98.24
002271.SZ,东方雨虹,21.46,47.6,1.4,4.03,4.68,3.76,3.12,154.97,29.13,5.81,-49.41,16.62,1.3,44.14,2.86,11.82,4.59
301325.SZ,曼恩斯特,103.79,74.08,3.03,1.2,2.15,1.27,0.64,41.77,27.95,4.91,-84.42,76.45,1.76,37.21,0.97,61.75,48.27
002683.SZ,广东宏大,25.86,28.01,3.54,9.52,10.3,6.38,2.79,36.5,21.36,9.43,26.95,22.03,27.29,56.6,1.27,2.94,2.51
003000.SZ,劲仔食品,20.26,21.78,4.32,14.29,16.09,12.59,2.45,31.23,30.28,12.24,72.89,31.69,,31.33,0.69,1.52,1.26
000936.SZ,华西股份,39.78,61.89,1.32,2.46,2.49,2.55,0.25,22.32,5.6,5.22,47.64,7.12,0.04,20.99,8.7,25.13,15.98
870299.BJ,灿能电力,74.37,57.43,5.08,4.52,4.73,4.27,2.53,270.97,54.03,18.71,-4.53,10.07,,10.11,5.7,12.71,15.72
603960.SH,克来机电,144.06,87.09,5.98,2.85,3.09,2.8,0.71,29.7,23.88,8.87,-24.37,-1.48,10.31,13.54,-59.02,30.55,46.62
301061.SZ,匠心家居,17.21,21.21,2.98,12.43,13.49,11.79,2.01,29.16,33.72,23.3,39.03,17.8,,16.97,1.19,1.71,1.28
000681.SZ,视觉中国,95.26,91.07,2.96,2.28,2.35,2.52,0.14,11.01,46.22,14.91,6.16,11.1,38.19,16.18,8.21,40.01,40.53
300758.SZ,七彩化学,36.35,46.78,3.41,6.64,7.22,4.76,,29.7,31.9,10.91,783.99,8.03,8.07,47.87,5.83,7.04,5.03
300628.SZ,亿联网络,18.94,23.0,6.28,23.35,24.1,24.83,4.74,55.69,65.81,50.24,33.26,18.24,,9.0,1.26,0.99,0.79
603885.SH,吉祥航空,17.23,36.71,3.17,13.44,13.98,5.92,0.57,40.25,17.56,7.26,6.2,43.67,,80.06,0.84,2.73,1.23
001337.SZ,四川黄金,37.05,40.29,6.9,13.56,13.96,12.6,0.9,29.88,53.44,37.34,25.41,6.62,,27.58,6.09,2.97,2.65
839790.BJ,联迪信息,192.06,183.58,7.89,2.6,3.01,2.9,0.83,2535.25,28.38,6.68,756.02,-1.76,,6.4,-104.51,70.65,63.81
603976.SH,正川股份,37.12,50.3,2.15,3.94,4.23,3.45,1.01,34.07,22.06,8.52,79.28,23.92,,38.18,2.1,12.76,8.77
002043.SZ,兔宝宝,15.85,16.02,3.45,13.86,15.13,10.16,6.21,94.21,17.31,7.62,14.14,14.01,24.84,45.72,1.14,1.16,1.05
002003.SZ,伟星股份,18.13,23.58,3.54,14.13,14.0,12.03,4.15,56.22,42.7,17.56,21.09,16.74,,34.54,1.41,1.67,1.3
688720.SH,艾森股份,150.4,182.44,4.71,1.67,2.33,1.41,0.25,28.77,26.28,7.63,-5.42,7.08,,17.15,25.77,109.12,64.55
603307.SH,扬州金泉,14.95,16.81,1.62,7.82,7.99,6.46,2.19,29.06,27.07,18.89,-46.99,16.77,6.75,14.99,1.0,2.15,1.87
600019.SH,宝钢股份,18.53,16.88,0.73,2.75,3.43,2.52,5.23,52.05,5.26,2.84,-25.78,8.01,0.27,40.51,2.11,6.14,5.4
605118.SH,力鼎光电,45.36,50.89,4.86,7.43,7.8,7.23,1.03,46.8,42.22,25.56,1.37,13.38,,16.31,3.8,6.85,5.82
002111.SZ,威海广泰,37.1,36.97,2.08,3.96,4.1,2.56,1.1,23.99,26.18,6.17,127.55,-5.27,2.15,50.24,-7.01,9.34,9.05
830799.BJ,艾融软件,262.59,222.12,38.44,10.71,10.75,5.46,1.12,50.12,33.87,10.09,14.19,32.33,51.53,59.16,6.87,20.74,24.43
001234.SZ,泰慕士,22.47,30.28,2.18,6.14,6.99,6.16,2.04,41.48,20.49,9.78,32.17,6.12,,24.27,4.95,4.93,3.21
601825.SH,沪农商行,5.34,6.39,0.62,8.66,8.9,,6.6,33.07,,52.31,1.63,6.25,,91.63,1.02,0.74,0.6
688088.SH,虹软科技,125.92,209.63,5.69,2.95,3.29,2.1,0.54,97.8,90.49,15.39,3.51,0.91,,11.71,230.72,70.99,38.27
688531.SH,日联科技,49.12,83.61,2.16,2.1,3.25,2.98,0.79,29.41,45.21,20.52,44.78,44.67,,11.05,1.87,39.8,15.12
603345.SH,安井食品,19.49,20.32,2.13,7.88,8.14,7.89,2.42,50.23,22.64,9.59,-2.46,26.6,5.89,20.71,0.76,2.58,2.39
002019.SZ,亿帆医药,32.2,,1.85,3.0,4.26,3.64,,48.04,47.65,7.98,122.3,-8.44,32.51,31.94,,,7.56
873152.BJ,天宏锂电,318.72,446.55,6.41,0.95,1.49,0.67,0.33,62.63,10.76,0.92,-20.66,11.47,,46.0,38.95,469.46,213.9
832982.BJ,锦波生物,30.85,34.89,16.24,44.98,44.22,37.47,0.57,28.59,92.37,52.6,178.14,83.56,,28.84,0.42,0.78,0.7
000048.SZ,京基智农,11.53,9.23,2.24,15.33,14.56,6.58,,83.82,29.43,13.44,-54.25,57.45,,62.26,0.16,0.6,0.79
601607.SH,上海医药,14.49,19.69,1.1,5.29,5.74,3.58,2.45,10.07,11.06,2.4,11.56,10.72,13.72,62.83,1.84,3.72,2.52
830779.BJ,武汉蓝电,26.94,25.2,4.05,9.98,10.64,10.91,4.98,82.11,62.88,46.29,-16.86,32.43,,11.36,0.78,2.52,2.53
301499.SZ,维科精密,99.72,94.27,3.21,1.71,2.42,2.43,0.48,18.46,20.18,5.08,-40.44,5.67,,12.92,16.64,54.98,41.21
605066.SH,天正电气,21.98,25.77,1.7,5.93,5.78,2.96,2.72,68.3,26.08,4.72,-12.55,6.56,,43.78,3.93,4.35,3.8
000554.SZ,泰山石油,42.68,42.53,3.04,5.65,5.5,4.18,0.4,26.77,11.13,2.13,129.76,14.59,2.25,46.71,2.91,7.52,7.76
300496.SZ,中科创达,138.94,-460.14,2.93,1.33,1.58,1.15,0.31,55.0,36.46,4.19,-75.98,28.42,4.26,14.04,扣非亏损,扣非转亏,87.94
600980.SH,北矿科技,29.96,34.73,2.31,5.5,5.9,3.58,0.29,11.56,27.7,10.69,13.54,12.51,,46.68,2.78,6.32,5.08
603197.SH,保隆科技,28.2,41.31,3.02,6.93,8.24,4.45,1.13,30.03,26.2,5.25,-24.29,21.01,9.92,64.44,1.97,5.96,3.42
600282.SH,南钢股份,11.36,13.85,1.03,6.0,6.71,3.49,6.76,49.99,11.88,3.58,1.78,12.47,1.34,59.33,1.11,2.31,1.69
600508.SH,上海能源,11.98,40.23,0.78,4.78,4.91,4.37,2.96,30.65,22.92,7.96,-53.79,14.66,,36.11,2.74,8.41,2.44
002988.SZ,豪美新材,22.57,22.55,2.04,6.52,6.69,4.1,,48.54,11.72,3.54,41.84,23.39,,58.19,0.96,3.46,3.37
301381.SZ,赛维时代,40.6,40.17,4.38,6.75,7.84,4.82,1.65,50.95,44.93,2.87,-21.47,9.29,,51.5,4.33,5.95,5.18
831834.BJ,三维股份,31.6,34.01,4.1,8.47,9.25,8.23,6.29,72.81,31.1,13.48,-1.78,5.69,,20.17,5.98,4.02,3.42
300701.SZ,森霸传感,59.6,68.45,3.13,4.29,4.0,4.34,0.44,53.94,37.87,13.58,25.62,-3.78,12.99,10.6,-18.12,15.94,14.9
300448.SZ,浩云科技,412.47,-133.88,3.55,0.5,0.64,0.29,0.33,161.07,44.1,1.51,119.29,-9.59,0.96,4.9,扣非亏损,扣非转亏,644.48
301023.SZ,江南奕帆,32.86,39.33,3.85,8.61,8.71,8.16,2.24,51.09,44.31,35.17,89.82,-1.35,,9.85,-29.11,4.57,3.77
600400.SH,红豆股份,1417.58,-170.32,2.2,-0.71,0.11,0.98,0.36,51.82,39.66,0.27,-173.77,-0.75,,37.46,扣非亏损,扣非亏损,12887.07
830879.BJ,基康仪器,30.87,28.75,3.46,7.71,8.35,7.97,2.15,71.68,56.02,20.1,-2.85,15.78,,15.59,1.82,3.73,3.7
003028.SZ,振邦智能,21.69,21.58,2.3,7.83,8.07,5.73,,55.63,23.45,12.63,-12.42,9.74,,28.94,2.21,2.76,2.69
600032.SH,浙江新能,23.37,30.25,1.61,4.88,5.18,3.41,0.87,30.17,50.51,23.86,11.55,21.5,0.25,65.74,1.41,6.19,4.51
301377.SZ,鼎泰高科,38.39,46.5,3.64,6.16,7.16,6.2,0.63,92.28,35.58,15.29,10.27,11.47,,26.89,4.05,7.55,5.36
002165.SZ,红宝丽,64.6,281.46,1.97,1.46,2.26,1.71,1.65,58.33,15.34,2.44,-22.68,3.29,,60.36,85.47,193.14,28.59
600235.SH,民丰特纸,25.58,25.93,1.4,4.13,4.15,2.62,0.24,32.64,15.33,5.24,135.06,6.36,,48.18,4.08,6.28,6.16
301050.SZ,雷电微力,30.26,39.41,5.22,12.71,13.36,10.14,0.7,57.61,44.03,31.9,51.87,44.97,,20.82,0.88,3.1,2.27
833533.BJ,骏创科技,54.18,45.0,9.45,13.51,13.4,7.22,1.41,26.32,23.84,7.24,-22.91,60.58,,53.23,0.74,3.33,4.04
300563.SZ,神宇股份,109.8,269.17,9.6,2.45,6.67,5.7,1.25,21.38,15.6,10.41,-25.03,8.29,,20.11,32.46,109.82,16.46
873679.BJ,前进科技,42.29,44.8,2.09,3.05,3.46,3.1,4.26,92.89,36.41,21.73,-52.48,-5.41,,3.73,-8.28,14.69,12.22
300626.SZ,华瑞股份,87.52,-20.91,3.62,2.67,3.0,2.41,,29.02,18.23,3.02,79.13,0.79,,50.07,扣非亏损,扣非转亏,29.17
300233.SZ,金城医药,27.45,31.2,1.49,3.73,4.07,3.45,1.2,29.05,40.13,6.44,15.9,6.2,,32.87,5.03,8.36,6.74
002322.SZ,理工能科,21.73,19.3,1.86,5.51,5.95,5.76,6.64,99.35,68.93,30.52,39.33,-0.63,45.58,8.85,-30.61,3.5,3.65
001376.SZ,百通能源,34.26,41.58,6.34,13.16,14.33,13.01,0.9,21.61,31.49,18.24,43.26,18.49,,34.56,2.25,3.16,2.39
688293.SH,奥浦迈,138.91,250.89,2.4,0.8,1.26,1.21,0.8,103.64,57.45,12.34,-46.12,30.4,,7.0,8.25,312.91,110.25
300003.SZ,乐普医疗,23.3,43.65,1.6,4.62,5.01,3.75,2.05,37.54,62.8,16.37,-42.91,2.45,22.2,30.81,17.82,9.45,4.65
300907.SZ,康平科技,23.56,29.88,2.88,8.35,8.66,5.98,2.25,105.9,19.52,7.72,60.55,6.15,,45.81,4.86,3.58,2.72
605368.SH,蓝天燃气,13.86,15.34,2.4,11.9,13.01,9.81,7.89,92.94,21.34,12.76,-10.28,11.92,6.27,39.84,1.29,1.29,1.07
300493.SZ,润欣科技,192.14,252.41,8.87,3.23,3.47,2.58,0.41,20.25,9.21,1.9,22.69,16.63,,41.92,15.18,78.09,55.37
300244.SZ,迪安诊断,52.05,-170.35,1.29,1.83,1.77,3.29,0.25,554.06,28.05,3.27,-72.18,14.66,9.07,44.5,扣非亏损,扣非转亏,29.41
600999.SH,招商证券,19.02,19.08,1.63,5.76,6.12,,1.85,18.5,,50.09,12.14,-3.45,0.01,81.09,-5.53,3.31,3.11
600420.SH,国药现代,13.59,16.02,1.32,7.28,7.45,7.05,1.02,18.67,39.69,13.96,74.87,-0.96,1.05,24.29,-16.74,2.2,1.82
002174.SZ,游族网络,1382.36,51.11,2.15,0.26,0.11,0.48,0.44,19.82,43.31,0.52,112.04,-29.33,4.62,27.14,-1.74,195.22,12566.91
002236.SZ,大华股份,17.3,20.81,1.64,6.42,7.16,4.49,3.75,33.28,40.81,11.58,-5.87,7.52,0.02,27.52,2.77,3.24,2.42
603001.SH,奥康国际,-12.48,-11.73,0.83,-6.48,-4.79,-3.06,,-242.71,40.9,-7.26,-23.82,4.4,,26.27,扣非亏损,扣非亏损,亏损
300801.SZ,泰和科技,38.79,47.8,1.82,3.23,3.55,3.06,0.97,19.84,14.04,5.05,-24.74,16.27,,26.86,2.94,14.8,10.93
000963.SZ,华东医药,18.66,20.85,2.89,11.52,11.7,8.93,1.4,36.2,32.55,8.14,14.9,6.48,12.89,39.8,3.22,1.81,1.6
603897.SH,长城科技,17.95,15.48,1.8,6.96,6.58,4.5,9.77,125.11,4.18,1.99,98.58,24.99,,61.69,0.62,2.22,2.73
300774.SZ,倍杰特,19.22,35.28,2.63,9.76,12.28,6.54,1.46,30.19,33.31,23.43,19.12,6.11,0.18,33.87,5.77,3.62,1.57
301326.SZ,捷邦科技,5396.08,-95.79,4.18,-0.91,0.06,0.23,,-254.04,25.67,0.22,53.64,-4.75,6.19,22.3,扣非亏损,扣非亏损,179869.37
601857.SH,中国石油,8.29,7.8,0.98,9.21,8.9,7.36,6.23,45.44,21.57,6.57,0.49,17.35,0.44,39.54,0.45,0.85,0.93
603387.SH,基蛋生物,16.87,20.77,1.75,6.84,7.77,5.48,1.82,31.09,69.43,23.72,-11.29,9.97,0.94,29.71,2.08,3.04,2.17
600577.SH,精达股份,21.45,24.29,2.22,7.22,7.8,5.32,3.14,29.19,5.95,2.66,31.0,15.01,1.76,56.77,1.62,3.36,2.75
002632.SZ,道明光学,28.5,36.68,2.61,5.93,6.51,6.73,3.04,86.78,33.41,13.99,13.6,1.46,,23.26,25.05,6.19,4.38
835438.BJ,戈碧迦,48.66,39.32,4.09,6.81,6.95,5.42,,29.5,31.7,13.12,-34.08,88.26,,30.01,0.45,5.77,7.0
603130.SH,云中马,30.8,32.87,2.13,4.48,5.09,3.23,1.25,34.76,9.87,3.65,-17.58,28.29,,53.52,1.16,7.34,6.05
300960.SZ,通业科技,57.78,49.89,4.06,4.75,5.09,3.61,2.71,72.22,46.09,12.01,152.33,4.81,,34.01,10.37,10.49,11.35
300532.SZ,今天国际,14.68,16.81,3.18,15.56,15.59,6.35,3.65,121.54,28.66,13.3,-18.37,49.83,,62.62,0.34,1.08,0.94
300650.SZ,太龙股份,59.49,75.9,2.28,2.01,2.89,2.44,0.28,19.62,8.29,1.76,-6.21,94.64,39.7,39.99,0.8,37.82,20.59
603132.SH,金徽股份,25.74,23.35,3.83,11.3,10.84,7.88,3.95,77.51,61.19,31.75,43.09,4.69,5.42,48.98,4.98,2.07,2.37
688106.SH,金宏气体,35.02,43.2,3.34,5.38,6.46,4.4,1.45,44.94,33.09,11.96,-25.92,25.47,9.72,51.02,1.7,8.03,5.42
002978.SZ,安宁股份,13.6,13.54,1.97,11.13,11.08,10.5,3.16,45.62,66.93,50.25,-2.64,6.8,,17.8,1.99,1.22,1.23
688519.SH,南亚新材,78.89,377.84,2.43,1.54,2.29,1.32,,40.39,8.91,2.3,131.65,22.38,,47.68,16.88,244.99,34.45
603291.SH,联合水务,27.09,44.45,2.67,4.36,7.46,5.62,0.99,17.83,33.91,16.86,-16.66,13.05,,51.04,3.41,10.19,3.63
603390.SH,通达电气,159.49,162.94,2.25,0.53,1.05,0.71,0.5,74.08,28.3,3.84,430.38,-2.63,,10.72,-61.98,305.94,151.9
300170.SZ,汉得信息,54.12,662.38,1.96,2.31,2.76,1.91,0.12,11.8,32.79,5.99,632.84,6.27,2.31,18.43,105.61,286.66,19.61
603928.SH,兴业股份,54.43,55.27,1.76,2.44,2.4,2.34,0.86,37.29,11.97,3.37,-38.74,3.19,,12.41,17.35,22.62,22.68
603166.SH,福达股份,27.71,27.46,1.92,5.0,5.38,4.03,1.16,85.59,24.74,10.89,124.27,-5.26,,38.63,-5.22,5.5,5.15
002303.SZ,美盈森,18.69,16.62,1.18,4.85,4.27,3.29,3.7,326.36,27.76,7.56,60.08,2.25,,37.5,7.39,3.43,4.38
002653.SZ,海思科,76.99,123.56,9.35,5.14,9.01,7.24,0.86,98.08,72.56,16.43,44.55,1.1,,39.49,112.79,24.02,8.55
688155.SH,先惠技术,22.44,29.56,2.92,11.33,11.83,6.87,0.54,28.95,27.2,15.13,1077.62,72.94,26.97,53.24,0.41,2.61,1.9
301035.SZ,润丰股份,31.54,37.15,2.19,5.22,5.2,6.78,1.43,27.59,20.36,4.09,-52.43,20.47,1.38,57.15,1.81,7.12,6.07
002991.SZ,甘源食品,18.45,19.36,4.22,15.02,15.65,15.48,3.05,60.07,35.59,17.27,32.01,16.61,,21.46,1.17,1.29,1.18
300707.SZ,威唐工业,82.72,116.55,2.92,2.39,2.49,2.36,0.11,19.28,21.56,4.32,176.09,14.56,,38.31,8.0,48.79,33.22
603444.SH,吉比特,17.56,16.94,3.25,13.34,13.91,13.45,2.86,62.36,88.46,29.06,-25.54,20.43,0.07,19.68,0.83,1.27,1.26
002083.SZ,孚日股份,9.87,12.34,1.02,8.3,8.44,6.02,1.98,52.88,19.0,8.09,34.26,6.63,3.61,48.36,1.86,1.49,1.17
603078.SH,江化微,57.17,72.8,3.96,5.14,5.41,2.78,0.53,20.33,25.87,8.79,-11.52,22.91,,30.61,3.18,14.16,10.57
605389.SH,长龄液压,28.59,30.89,1.67,4.24,4.33,4.45,1.49,76.69,27.13,14.94,24.35,-2.21,10.28,8.18,-14.0,7.28,6.6
605016.SH,百龙创园,24.48,27.71,3.68,11.05,11.42,11.25,0.85,8.11,33.14,22.26,29.6,20.51,,15.89,1.35,2.51,2.14
603866.SH,桃李面包,18.09,20.07,2.08,8.18,8.45,8.29,2.35,66.21,23.81,9.36,-6.54,4.29,,29.6,4.68,2.45,2.14
600028.SH,中国石化,12.75,13.83,0.92,5.41,5.45,3.49,6.18,49.78,15.2,2.15,-12.55,16.03,0.66,53.45,0.86,2.56,2.34
301003.SZ,江苏博云,17.69,19.29,2.04,8.05,8.53,9.33,2.4,42.03,31.85,21.04,31.23,8.61,,4.17,2.24,2.4,2.07
002797.SZ,第一创业,46.56,62.34,2.55,4.16,4.2,,0.55,10.51,,28.85,99.48,-6.71,0.05,65.79,-9.29,14.98,11.08
300099.SZ,尤洛卡,66.02,45.16,2.12,2.67,,2.01,2.16,95.76,48.29,12.19,-16.47,9.7,19.65,11.67,4.66,16.94,
688285.SH,高铁电气,96.02,300.82,1.86,1.06,1.45,0.98,0.25,10.63,19.97,4.31,-67.62,-3.18,,45.97,-94.71,282.77,66.22
002646.SZ,天佑德酒,68.72,113.59,1.86,1.93,2.03,2.38,0.96,19.98,59.36,5.83,-45.44,18.15,,14.84,6.26,58.98,33.85
002154.SZ,报喜鸟,11.04,12.71,1.42,8.33,9.47,7.72,4.4,29.7,65.76,12.23,-25.6,12.07,1.87,32.03,1.05,1.53,1.17
688163.SH,赛伦生物,27.19,63.6,2.05,4.57,5.69,6.35,1.0,40.2,78.83,36.32,30.93,1.7,,2.73,37.51,13.9,4.78
300757.SZ,罗博特科,377.34,308.71,35.07,7.11,7.03,3.67,0.22,15.15,29.41,7.0,133.5,54.25,0.76,57.87,5.69,43.39,53.68
605580.SH,恒盛能源,18.14,23.19,2.93,8.59,11.96,10.24,2.15,54.04,23.45,18.73,-6.01,16.78,,33.6,1.38,2.7,1.52
301310.SZ,鑫宏业,28.0,27.5,1.58,3.92,4.19,2.81,2.06,63.03,11.24,5.5,-10.46,44.39,1.03,43.14,0.62,7.01,6.68
300884.SZ,狄耐克,129.06,101.66,2.34,-0.02,1.29,0.38,2.29,95.17,42.27,3.21,-100.55,5.14,0.21,25.49,19.77,转盈,100.04
688484.SH,南芯科技,43.8,46.13,4.1,7.1,7.16,4.87,0.7,20.56,40.86,14.31,52.9,173.67,,16.41,0.27,6.5,6.12
300818.SZ,耐普矿机,29.67,38.26,3.25,8.23,8.65,6.46,0.55,18.07,37.36,13.29,70.9,60.8,0.02,37.08,0.63,4.65,3.43
603496.SH,恒为科技,90.02,75.98,6.66,5.79,5.65,4.02,0.18,8.93,31.88,8.89,262.8,13.65,,25.45,5.57,13.13,15.93
300227.SZ,光韵达,116.48,229.37,3.17,1.42,2.06,2.04,,92.63,31.05,4.28,-38.75,6.57,18.63,41.92,34.89,161.53,56.54
301262.SZ,海看股份,25.59,27.38,3.09,8.4,9.24,9.13,3.35,18.05,56.89,44.33,15.69,2.05,,12.24,13.35,3.26,2.77
300866.SZ,安克创新,24.4,27.78,5.78,16.01,17.8,11.62,2.26,36.56,44.28,9.3,41.13,23.54,,47.77,1.18,1.74,1.37
600273.SH,嘉化能源,10.48,11.65,1.11,7.44,7.86,7.37,4.66,51.37,16.99,11.16,-16.09,21.35,5.04,22.04,0.55,1.57,1.33
000895.SZ,双汇发展,17.34,20.49,4.41,18.03,17.99,13.97,5.43,99.58,18.23,8.77,-10.66,-6.72,,47.24,-3.05,1.14,0.96
