日期,概念名称,成分股数量,网址,代码
2013-05-06,足球概念,22,http://q.10jqka.com.cn/gn/detail/code/301100/,301100
2013-04-25,芯片概念,388,http://q.10jqka.com.cn/gn/detail/code/301085/,301085
2013-04-24,光伏概念,436,http://q.10jqka.com.cn/gn/detail/code/301079/,301079
2013-04-17,手机游戏,54,http://q.10jqka.com.cn/gn/detail/code/301050/,301050
2013-04-15,净水概念,16,http://q.10jqka.com.cn/gn/detail/code/301032/,301032
2013-04-01,乳业,31,http://q.10jqka.com.cn/gn/detail/code/300983/,300983
2013-03-28,航运概念,31,http://q.10jqka.com.cn/gn/detail/code/300973/,300973
2013-03-06,超级电容,29,http://q.10jqka.com.cn/gn/detail/code/300926/,300926
2013-02-27,语音技术,13,http://q.10jqka.com.cn/gn/detail/code/300917/,300917
2013-02-05,融资融券,3181,http://q.10jqka.com.cn/gn/detail/code/300900/,300900
2013-01-24,三胎概念,125,http://q.10jqka.com.cn/gn/detail/code/300891/,300891
2013-01-21,高端装备,206,http://q.10jqka.com.cn/gn/detail/code/300890/,300890
2013-01-11,无人机,109,http://q.10jqka.com.cn/gn/detail/code/300889/,300889
2012-12-20,ST板块,133,http://q.10jqka.com.cn/gn/detail/code/300862/,300862
2012-12-19,土地流转,38,http://q.10jqka.com.cn/gn/detail/code/300858/,300858
2012-12-05,5G,308,http://q.10jqka.com.cn/gn/detail/code/300843/,300843
2012-11-23,乡村振兴,207,http://q.10jqka.com.cn/gn/detail/code/300836/,300836
2012-11-22,大数据,266,http://q.10jqka.com.cn/gn/detail/code/300835/,300835
2012-11-10,量子科技,37,http://q.10jqka.com.cn/gn/detail/code/300830/,300830
2012-11-02,小金属概念,129,http://q.10jqka.com.cn/gn/detail/code/300809/,300809
2012-11-02,家用电器,80,http://q.10jqka.com.cn/gn/detail/code/300814/,300814
2012-10-31,文化传媒,184,http://q.10jqka.com.cn/gn/detail/code/300806/,300806
2012-10-09,充电桩,191,http://q.10jqka.com.cn/gn/detail/code/300786/,300786
2012-10-07,稀缺资源,44,http://q.10jqka.com.cn/gn/detail/code/300777/,300777
2012-09-26,生物医药,175,http://q.10jqka.com.cn/gn/detail/code/300769/,300769
2012-09-21,锂电池,346,http://q.10jqka.com.cn/gn/detail/code/300733/,300733
2012-09-20,卫星导航,92,http://q.10jqka.com.cn/gn/detail/code/300722/,300722
2012-09-19,中字头股票,130,http://q.10jqka.com.cn/gn/detail/code/300704/,300704
2012-09-19,世界杯,42,http://q.10jqka.com.cn/gn/detail/code/300714/,300714
2012-09-18,智能医疗,71,http://q.10jqka.com.cn/gn/detail/code/300682/,300682
2012-09-11,智慧城市,226,http://q.10jqka.com.cn/gn/detail/code/300642/,300642
2012-09-10,电子商务,329,http://q.10jqka.com.cn/gn/detail/code/300186/,300186
2012-09-10,移动支付,69,http://q.10jqka.com.cn/gn/detail/code/300188/,300188
2012-09-10,风电,220,http://q.10jqka.com.cn/gn/detail/code/300200/,300200
2012-09-10,固废处理,106,http://q.10jqka.com.cn/gn/detail/code/300221/,300221
2012-09-10,光热发电,29,http://q.10jqka.com.cn/gn/detail/code/300223/,300223
2012-09-10,石墨烯,70,http://q.10jqka.com.cn/gn/detail/code/300337/,300337
2012-09-10,碳纤维,30,http://q.10jqka.com.cn/gn/detail/code/300352/,300352
2012-09-10,特高压,86,http://q.10jqka.com.cn/gn/detail/code/300353/,300353
2012-09-10,通用航空,30,http://q.10jqka.com.cn/gn/detail/code/300362/,300362
2012-09-10,污水处理,161,http://q.10jqka.com.cn/gn/detail/code/300374/,300374
2012-09-10,物联网,265,http://q.10jqka.com.cn/gn/detail/code/300378/,300378
2012-09-10,稀土永磁,50,http://q.10jqka.com.cn/gn/detail/code/300382/,300382
2012-09-10,新疆振兴,57,http://q.10jqka.com.cn/gn/detail/code/300386/,300386
2012-09-10,参股新三板,168,http://q.10jqka.com.cn/gn/detail/code/300389/,300389
2012-09-10,页岩气,36,http://q.10jqka.com.cn/gn/detail/code/300402/,300402
2012-09-05,网络游戏,60,http://q.10jqka.com.cn/gn/detail/code/300019/,300019
2012-09-05,智能电网,152,http://q.10jqka.com.cn/gn/detail/code/300037/,300037
2012-09-05,流感,109,http://q.10jqka.com.cn/gn/detail/code/300038/,300038
2012-09-05,节能照明,80,http://q.10jqka.com.cn/gn/detail/code/300053/,300053
2012-09-05,京津冀一体化,75,http://q.10jqka.com.cn/gn/detail/code/300061/,300061
2012-09-05,海峡两岸,25,http://q.10jqka.com.cn/gn/detail/code/300066/,300066
2012-09-05,军工,478,http://q.10jqka.com.cn/gn/detail/code/300082/,300082
2012-09-05,氟化工概念,24,http://q.10jqka.com.cn/gn/detail/code/300085/,300085
2012-09-05,横琴新区,47,http://q.10jqka.com.cn/gn/detail/code/300087/,300087
2012-09-05,磷化工,44,http://q.10jqka.com.cn/gn/detail/code/300098/,300098
2012-09-05,参股券商,118,http://q.10jqka.com.cn/gn/detail/code/300100/,300100
2012-09-05,生物疫苗,55,http://q.10jqka.com.cn/gn/detail/code/300106/,300106
,草甘膦,,http://q.10jqka.com.cn/gn/detail/code/300157/,300157
,创投,,http://q.10jqka.com.cn/gn/detail/code/300168/,300168
,国家大基金持股 ,,http://q.10jqka.com.cn/gn/detail/code/307816/,307816
,核电,,http://q.10jqka.com.cn/gn/detail/code/300238/,300238
,黄金概念,,http://q.10jqka.com.cn/gn/detail/code/300248/,300248
,建筑节能,,http://q.10jqka.com.cn/gn/detail/code/300261/,300261
,金改,,http://q.10jqka.com.cn/gn/detail/code/300265/,300265
,苹果概念,,http://q.10jqka.com.cn/gn/detail/code/300309/,300309
,PM2.5,,http://q.10jqka.com.cn/gn/detail/code/300134/,300134
,水利,,http://q.10jqka.com.cn/gn/detail/code/300345/,300345
,钛白粉概念,,http://q.10jqka.com.cn/gn/detail/code/300351/,300351
,新能源汽车,,http://q.10jqka.com.cn/gn/detail/code/300008/,300008
