证券代码,证券名称,流通市值,总市值,最新价,涨跌幅,振幅,成交额,换手率,明星股,高分红,中概股,中概种类,SEC摘牌,SPAC,空壳公司,所属概念,三级行业,二级行业,一级行业,上市板块,异动值
ADVM,Adverum Biotechnologies,3.07,3.07,14.75,-2.96,20.59,0.04,1.23,,,,,,,,,生物科技,生物科技,医疗保健,Nasdaq Capital Market,0.5348218687703156
OSCR,Oscar Health,31.61,31.61,13.76,-2.96,4.37,0.25,0.78,,,,,,,,,人寿与健康保险,保险,金融,主板,0.22652676724230947
BLNK,Blink Charging Co,2.65,2.65,2.62,-2.96,7.78,0.15,5.77,,,,,,,,充电桩,电气部件与设备,资本品,工业,Nasdaq Capital Market,0.5886057956539846
FBLG,FibroBiologics,3.95,3.95,12.1,-2.97,15.88,0.01,0.21,,,,,,,,次新上市股,制药,制药,医疗保健,Nasdaq Global Market,0.08867870695363811
LEGN,Legend Biotech,105.94,105.94,58.24,-2.98,5.41,0.73,0.69,,,热门中概股,,,,,,制药,制药,医疗保健,Nasdaq Global Select Market,0.7050647137346513
SKLZ,Skillz,1.17,1.17,6.14,-3.0,5.37,0.01,0.82,,,,,,,,,应用软件,软件,科技,主板,0.03055335929720794
GETY,Getty Images,19.64,19.64,4.84,-3.01,7.01,0.06,0.29,,,,,,SPAC（特殊目的收购公司）,,,互联网服务和基础设施,信息技术服务,科技,主板,0.11649641340471219
EPAM,EPAM Systems,164.06,164.06,283.71,-3.02,2.04,3.13,1.9,,,,,,,,,信息科技咨询与其它服务,信息技术服务,科技,主板,1.2254557961326913
FMS,费森尤斯医疗,111.85,111.85,19.06,-3.05,1.68,0.11,0.1,,,,,,,,医疗保健,管理型保健护理,医疗保健设备与服务,医疗保健,主板,0.04659437523207921
PMEC,Primech,1.35,1.35,3.8,-3.06,13.01,0.02,1.29,,,,,,,,次新上市股,环境与设施服务,商业服务,工业,Nasdaq Capital Market,0.19200213398995478
CCO,Clear Channel Outdoor,7.64,7.64,1.58,-3.07,6.75,0.08,1.01,,,,,,,,,广告,媒体娱乐,科技,主板,0.1882428937019536
SLNH,Soluna,0.05,0.05,3.15,-3.08,18.46,0.04,75.33,,,,,,,,,信息科技咨询与其它服务,信息技术服务,科技,Nasdaq Capital Market,1.0664984319988666
MTTR,Matterport,5.88,5.88,1.89,-3.08,5.13,0.05,0.85,,,,,,,,,信息科技咨询与其它服务,信息技术服务,科技,Nasdaq Global Market,0.08687284411307741
PHUN,Phunware,0.8,0.8,10.01,-3.1,11.23,0.08,10.33,,,,,,,,,应用软件,软件,科技,Nasdaq Capital Market,0.73976148057349
PAR,PAR Technology,14.08,14.08,41.58,-3.1,5.22,0.2,1.43,,,,,,,,,应用软件,软件,科技,主板,0.2807724664654399
EXFY,Expensify,1.58,1.58,1.86,-3.13,7.29,0.01,0.42,,,,,,,,,应用软件,软件,科技,Nasdaq Global Market,0.042336656443495935
CAN,嘉楠科技,3.9,3.9,1.55,-3.13,9.38,0.32,7.97,,,中概股,回港中概股,SEC确定摘牌名单,,,,半导体产品,半导体,科技,Nasdaq Global Market,1.429879083277882
MAG,MAG Silver,9.54,9.54,9.26,-3.14,6.07,0.12,1.25,,,,,,,,白银,白银,金属与采矿,原材料,主板,0.22969874272391516
IHS,IHS Holding,11.27,11.27,3.39,-3.14,8.57,0.02,0.21,,,,,,,,,综合电信业务,电信业务,科技,主板,0.05848007929773226
CRT,CRT信托,0.76,0.76,12.62,-3.15,6.22,0.02,2.33,,,,,,,,,石油与天然气的勘探与生产,石油,能源,主板,0.08485554379928512
SLQT,SelectQuote,3.11,3.11,1.84,-3.16,5.79,0.01,0.4,,,,,,,,,保险经纪商,保险,金融,主板,0.024935305533654147
TSE,Trinseo PLC,1.4,1.4,3.97,-3.17,7.32,0.02,1.24,,,,,,,,,特种化学制品,化学制品,原材料,主板,0.08842927079941082
EHTH,易康,1.67,1.67,5.78,-3.18,4.86,0.01,0.63,,,,,,,,,保险经纪商,保险,金融,Nasdaq Global Select Market,0.023804992053466024
EAT,布林克国际,20.17,20.17,45.6,-3.18,3.93,1.03,5.08,,,,,,,,餐饮连锁,餐馆,酒店餐饮,可选消费,主板,0.8884329638666681
EXK,Endeavour Silver,4.94,4.94,2.12,-3.2,6.85,0.12,2.47,,,,,,,,,贵重金属与矿石,金属与采矿,原材料,主板,0.32688369570803977
GERN,杰龙,19.58,19.58,3.33,-3.2,7.27,0.46,2.37,,,,,,,,抗癌医药,生物科技,生物科技,医疗保健,Nasdaq Global Select Market,0.9390882725468555
CABA,Cabaletta Bio,8.46,8.46,17.54,-3.2,11.04,0.27,3.24,,,,,,,,,生物科技,生物科技,医疗保健,Nasdaq Global Market,1.1937387123348715
LXRX,莱斯康制药,5.88,5.88,2.41,-3.21,8.03,0.07,1.19,,,,,,,,,生物科技,生物科技,医疗保健,Nasdaq Global Select Market,0.2246000414870374
TARA,Protara Therapeutics,0.45,0.45,3.9,-3.23,8.93,0.01,1.28,,,,,,,,,生物科技,生物科技,医疗保健,Nasdaq Capital Market,0.07899999212801777
OLPX,Olaplex,11.89,11.89,1.8,-3.23,5.38,0.02,0.13,,,,,,,,,个人护理用品,日常用品,日常消费品,Nasdaq Global Select Market,0.030572085979493194
TZOO,旅行动物园,1.45,1.45,10.38,-3.26,3.82,0.01,0.61,,,,,,,,,广告,媒体娱乐,科技,Nasdaq Global Select Market,0.017703792869739644
EDN,恩普雷萨电力,7.77,7.77,17.75,-3.27,5.56,0.03,0.42,,,,,,,,,电力公用事业,电力,公用事业,主板,0.053827000353826704
ATLX,Atlas Lithium,1.61,1.61,14.49,-3.27,11.55,0.02,1.29,,,,,,,,,多种金属与采矿,金属与采矿,原材料,Nasdaq Capital Market,0.15550818562987634
EYEN,Eyenovia,0.56,0.56,1.18,-3.28,9.02,0.02,3.33,,,,,,,,,制药,制药,医疗保健,Nasdaq Capital Market,0.15202536562083777
TNGX,Tango Therapeutics,8.77,8.77,8.22,-3.29,5.18,0.04,0.49,,,,,,,,,生物科技,生物科技,医疗保健,Nasdaq Capital Market,0.06291005326750904
ZVRA,Zevra Therapeutics,2.42,2.42,5.84,-3.31,4.64,0.01,0.54,,,,,,,,,制药,制药,医疗保健,Nasdaq Global Select Market,0.0198309636848015
OPRX,OptimizeRx,2.22,2.22,12.24,-3.32,5.21,0.02,0.69,,,,,,,,,医疗保健技术,医疗保健设备与服务,医疗保健,Nasdaq Capital Market,0.04793227755386877
NAK,Northern Dynasty Minerals,1.54,1.54,0.29,-3.33,3.33,0.01,0.44,,,,,,,,,黄金,金属与采矿,原材料,主板,0.01426143833456514
ADTH,AdTheorent Holding Co,2.9,2.9,3.19,-3.33,7.58,0.01,0.35,,,,,,,,,应用软件,软件,科技,Nasdaq Capital Market,0.03682130718563393
PBT,帕米亚盆地皇室信托,6.46,6.46,13.86,-3.35,5.44,0.02,0.25,,,,,,,,,石油与天然气的勘探与生产,石油,能源,主板,0.03668777150991767
GIB,CGI,265.95,265.95,114.24,-3.35,3.65,0.25,0.09,,,,,,,,信息技术,信息科技咨询与其它服务,信息技术服务,科技,主板,0.11936193173195642
SSTI,SoundThinking,1.91,1.91,15.0,-3.35,5.28,0.01,0.43,,,,,,,,,应用软件,软件,科技,Nasdaq Capital Market,0.02561015068240582
GOTU,高途,18.61,18.61,7.21,-3.35,3.35,0.18,0.98,,,热门中概股,,SEC确定摘牌名单,,,"在线教育,内地教育",教育服务,社会服务,可选消费,主板,0.12583182298900458
AMLX,Amylyx Pharmaceuticals,1.95,1.95,2.87,-3.37,6.06,0.06,2.83,,,,,,,,,制药,制药,医疗保健,Nasdaq Global Select Market,0.18467993265409322
CDMO,Avid Bioservices,4.34,4.34,6.87,-3.38,6.89,0.13,2.91,,,,,,,,,生物科技,生物科技,医疗保健,Nasdaq Capital Market,0.3711500883171816
RIOT,Riot Platforms,30.37,30.37,11.98,-3.39,5.56,2.65,8.54,,,,,,,,区块链,应用软件,软件,科技,Nasdaq Capital Market,3.391658849261015
LUMN,Lumen Technologies,17.27,17.27,1.71,-3.39,5.65,0.24,1.36,,,,,,,,元宇宙,综合电信业务,电信业务,科技,主板,0.35754353976750114
VEON,VEON,16.97,16.97,22.94,-3.41,3.92,0.02,0.13,,,,,,,,,无线电信业务,电信业务,科技,Nasdaq Capital Market,0.017912965452606733
ABAT,American Battery Technology Co,1.03,1.03,1.98,-3.41,8.78,0.01,1.04,,,,,,,,,电子元件,计算机设备,科技,Nasdaq Capital Market,0.0620170607371023
CTSH,高知特,361.33,361.33,72.58,-3.42,4.38,5.6,1.53,明星股,,,,,,,"软件外包,信息技术",数据处理和外包服务,信息技术服务,科技,Nasdaq Global Select Market,3.3121843870186036
CAKE,起司工坊,18.0,18.0,35.22,-3.43,2.55,0.36,1.99,,,,,,,,餐饮连锁,餐馆,酒店餐饮,可选消费,Nasdaq Global Select Market,0.2624762413888441
LAES,SEALSQ,0.34,0.34,1.69,-3.43,9.14,0.03,7.51,,,,,,,,次新上市股,半导体产品,半导体,科技,Nasdaq Capital Market,0.25938970399387085
ASXC,Asensus Surgical,0.76,0.76,0.28,-3.45,13.79,0.01,1.02,,,,,,,,,医疗保健设备,医疗保健设备与服务,医疗保健,主板,0.12268533137976048
OPTN,OptiNose,1.87,1.87,1.66,-3.49,5.81,0.01,0.38,,,,,,,,,制药,制药,医疗保健,Nasdaq Global Select Market,0.029433887246757624
BGNE,百济神州,170.95,170.95,163.7,-3.49,3.15,0.32,0.18,,,,,SEC确定摘牌名单,,,,制药,制药,医疗保健,Nasdaq Global Select Market,0.15349807905768342
CBRL,CB乡村店,14.64,14.64,65.96,-3.51,3.15,0.47,3.16,,,,,,,,餐饮连锁,餐馆,酒店餐饮,可选消费,Nasdaq Global Select Market,0.37264108050348443
MIRM,Mirum Pharmaceuticals,12.24,12.24,26.04,-3.52,5.19,0.13,1.06,,,,,,,,,制药,制药,医疗保健,Nasdaq Global Market,0.18761885850963364
NG,NOVAGOLD Resources,9.03,9.03,2.7,-3.57,6.79,0.06,0.63,,,,,,,,黄金,黄金,金属与采矿,原材料,主板,0.13590083393208946
