证券代码,证券名称,最新价,涨跌额,涨跌幅,开盘价,最高价,最低价,昨收价,成交额,总市值,name,market,一级行业,二级行业,三级行业
GMS,GULF MARINE SERVICES PLC ORD 2P,11.1,0.025,0.23,11.1,11.35,11.0,11.075,0.0,1.13,GMS,uk,资源,能源,油服工程
FAN,VOLUTION GROUP PLC ORD GBP0.01,363.0,0.8,0.22,362.4,363.8,357.0,362.2,0.01,7.17,FAN,uk,制造业,机械,机械加工设备
VTY,VISTRY GROUP PLC ORD 50P,927.5,2.0,0.22,930.0,930.0,908.5,925.5,0.1,32.21,VTY,uk,制造业,建筑业,住宅建筑
HWDN,HOWDEN JOINERY GROUP PLC ORD 10,745.2,1.6,0.22,740.0,747.0,733.2,743.6,0.06,40.89,HWDN,uk,消费,可选消费,电子电器
APH,ALLIANCE PHARMA PLC ORD 1P,47.3,0.1,0.21,47.6,48.0,46.55,47.2,0.01,2.55,APH,uk,医药,制药,主要
SRT,SRT MARINE SYSTEMS PLC ORD 0.1P,47.5,0.1,0.21,47.3,47.5,47.3,47.4,0.0,0.91,SRT,uk,科技,通信,通信设备
SN.,施乐辉公司,1040.5,2.0,0.19,1039.0,1042.0,1034.0,1038.5,0.49,90.88,SN.,uk,医药,医疗,医疗器械
NXT,耐斯特,7312.0,14.0,0.19,7252.0,7318.0,7222.0,7298.0,0.12,92.71,NXT,uk,消费,零售,百货商店
SOHO,TRIPLE POINT SOCIAL HOUSING REI,54.9,0.1,0.18,55.0,55.8,54.8,54.8,0.0,2.16,SOHO,uk,金融,房地产,房地产投资信托
CTEC,CONVATEC GROUP PLC ORD 10P,221.8,0.4,0.18,221.2,221.8,219.2,221.4,0.16,45.46,CTEC,uk,医药,医疗,医疗器械
BNC,桑坦德银行(UK),302.0,0.5,0.17,301.5,304.5,297.5,301.5,0.28,488.38,BNC,uk,金融,银行,主要银行
LUCE,LUCECO PLC ORD GBP0.0005,121.2,0.2,0.17,120.2,122.0,120.2,121.0,0.0,1.95,LUCE,uk,科技,电子,仪器设备
REDD,REDDE NORTHGATE PLC ORD 50P,334.5,0.5,0.15,338.0,338.0,331.5,334.0,0.02,7.63,REDD,uk,金融,资产管理,金融租赁
NUM,NUMIS CORPORATION PLC ORD 5P,336.5,0.5,0.15,336.0,336.5,335.0,336.0,0.0,3.7,NUM,uk,金融,资产管理,投资银行
HSBK,JSC HALYK BANK GDR (EACH REPR 4,13.5,0.02,0.15,13.48,13.5,13.02,13.48,0.0,0.39,HSBK,uk,金融,银行,地区银行
SMSN,SAMSUNG ELECTRONICS CO LTD (ATT,1286.0,1.0,0.08,1295.0,1295.0,1279.0,1285.0,0.0,33.02,SMSN,uk,科技,通信,通信设备
ZYT,ZYTRONIC PLC ORD 1P,85.0,0.0,0.0,85.0,90.0,85.0,85.0,0.0,0.09,ZYT,uk,科技,电子,电脑周边
ZEN,ZENITH ENERGY LTD. COM SHS NPV,0.375,0.0,0.0,0.375,0.375,0.375,0.375,0.0,0.07,ZEN,uk,资源,能源,石油
ZED,ZENOVA GROUP PLC ORD GBP0.001,4.975,0.0,0.0,4.975,5.35,4.975,4.975,0.0,0.05,ZED,uk,制造业,化工,特种工业品
ZAIM,ADALAN VENTURES PLC ORD GBP0.01,6.0,0.0,0.0,6.0,6.0,6.0,6.0,0.0,0.28,ZAIM,uk,金融,资产管理,金融租赁
XTR,XTRACT RESOURCES PLC ORD 0.02P,1.35,0.0,0.0,1.35,1.35,1.35,1.35,0.0,0.12,XTR,uk,资源,矿产,贵金属
XSG,XEROS TECHNOLOGY GROUP PLC ORD,2.55,0.0,0.0,2.55,2.55,2.55,2.55,0.0,0.04,XSG,uk,制造业,机械,机械加工设备
XPF,XP FACTORY PLC ORD 1.25P,16.25,0.0,0.0,16.25,16.25,16.25,16.25,0.0,0.28,XPF,uk,消费,可选消费,电影娱乐
XLM,XLMEDIA PLC ORD USD0.000001,11.25,0.0,0.0,11.25,11.75,11.25,11.25,0.0,0.3,XLM,uk,消费,商业服务,广告营销
WSG,WESTMINSTER GROUP PLC ORD 0.1P,1.35,0.0,0.0,1.35,1.35,1.35,1.35,0.0,0.04,WSG,uk,制造业,运输,其他交通
WSBN,WISHBONE GOLD PLC ORD 0.1P (DI),2.35,0.0,0.0,2.35,2.35,2.35,2.35,0.0,0.06,WSBN,uk,资源,矿产,贵金属
WINK,M WINKWORTH PLC ORD 0.5P,145.0,0.0,0.0,140.0,145.0,140.0,145.0,0.0,0.19,WINK,uk,金融,房地产,房地产开发
WATR,WATER INTELLIGENCE PLC ORD 1P,355.0,0.0,0.0,355.0,355.0,355.0,355.0,0.0,0.62,WATR,uk,制造业,建筑业,建筑工程
VRCI,VERICI DX PLC ORD GBP0.001,9.0,0.0,0.0,9.0,9.0,9.0,9.0,0.0,0.15,VRCI,uk,医药,健康服务,健康服务
VP.,VP PLC ORD 5P,522.5,0.0,0.0,522.5,522.5,522.5,522.5,0.0,2.09,VP.,uk,金融,资产管理,金融租赁
