isin,证券名称,证券代码,名称翻译,industry,xetr_industry,category,currency,exchangeId,exchange_degiro,exchange_mic_code,exchange,isShortable,feedQuality,feedQualitySecondary,slug,name.originalValue,name.translations.others,name.translations.en,最新价,涨跌幅,成交额,总市值,overview.dateTimeLastPrice,sector,一级行业,二级行业,三级行业,market,segment.translations.others,instrumentType.originalValue,instrumentType,securityType,originCountryCode,originCountry,industrySector.originalValue,industrySector,subsector,en_name,异动值
US83304A1060,Snap,1SI,,Packaged Software,,D,EUR,194,XET,XETR,Xetra,False,D15,,snap-inc-snapchat,"SNAP INC. CL.A DL-,00001",Snap Inc. (Snapchat),,15.46,0.5855562784,2.59888e-05,250.3411518,2023-12-29T14:05:57+01:00,Technology Services,科技,IT技术,软件开发,Open Market,,1002,Common shares,Registered share,US,USA,174,Internet Service Provider,,Snap,7.049904996229811e-07
NL0012969182,Adyen,1N8,,Packaged Software,Transaction Processing Services,C,EUR,194,XET,XETR,Xetra,False,D15,,adyen,"ADYEN N.V. EO-,01",Adyen,,1181.6,1.3379073756,0.0011445160000000002,366.17784,2023-12-29T14:05:38+01:00,Technology Services,科技,IT技术,软件开发,Open Market,,1002,Common shares,Registered share,NL,Netherlands ,900,Foreign shares,,Adyen,0.000114939781855684
DE000A0M93V6,Advanced Blockchain,BWQ,,Packaged Software,Software,D,EUR,194,XET,XETR,Xetra,False,D15,,advanced-blockchain-ag,ADV.BLOCKCHAIN AG INH ON,Advanced Blockchain AG,,4.65,1.5283842794,0.0003600649,0.176235,2023-12-29T14:05:59+01:00,Technology Services,科技,IT技术,软件开发,Open Market,Scale,1002,Common shares,Bearer share,DE,Germany,180,Holding companies,Software,Advanced Blockchain,0.00026488069542300466
DE0005494165,EQS Group,EQS,,Packaged Software,IT-Services,A,EUR,194,XET,XETR,Xetra,False,D15,,eqs-group-ag,EQS GROUP AG NA O.N.,EQS Group AG,,40.1,0.25,0.000187205,4.01802,2023-12-29T14:06:04+01:00,Technology Services,科技,IT技术,软件开发,Open Market,Scale,1002,Common shares,Registered share,DE,Germany,173,Telecommunication Services,IT-Services,EQS Group,2.7798377087141534e-06
ATFREQUENT09,Frequentis,FQT,,Packaged Software,Communications Technology,D,EUR,194,XET,XETR,Xetra,False,D15,,frequentis-ag,FREQUENTIS AG,Frequentis AG,,27.3,-1.4440433213,0.000204058,3.62544,2023-12-29T14:05:53+01:00,Technology Services,科技,IT技术,软件开发,Regulated Market,General Standard,1002,Common shares,Bearer share,AT,Austria,900,Foreign shares,Communications Technology,Frequentis,6.305696378005168e-05
DE0006618309,Medical Columbus,MCE,,Packaged Software,IT-Services,D,EUR,194,XET,XETR,Xetra,False,D15,,chapters-group-ag,CHAPTERS GROUP INH O.N.,CHAPTERS Group AG,CHAPTERS Group AG,18.3,1.6666666666,0.0009195010000000001,3.32145,2023-12-29T14:06:14+01:00,Technology Services,科技,IT技术,软件开发,Open Market,Basic Board,1002,Common shares,Bearer share,DE,Germany,180,Holding companies,IT-Services,Medical Columbus,0.0003651585991187946
DE0006204589,mVISE,C1V,,Packaged Software,Telecommunication Services,D,EUR,194,XET,XETR,Xetra,False,D15,,mvise-ag,MVISE AG O.N.,mVISE AG,,0.725,2.1126760563,6.669010000000001e-05,0.0718475,2023-12-29T14:06:00+01:00,Technology Services,科技,IT技术,软件开发,Open Market,Scale,1002,Common shares,Bearer share,DE,Germany,171,Trade,Telecommunication Services,mVISE,8.769446256386829e-05
DE0007448508,IVU Traffic Technologies,IVU,,Packaged Software,IT-Services,A,EUR,194,XET,XETR,Xetra,False,D15,,ivu-traffic-technologies-ag,IVU TRAFFIC TECHN.AG O.N.,IVU Traffic Technologies AG,,13.94,1.7518248175,0.0006331224,2.470168,2023-12-29T14:06:10+01:00,Technology Services,科技,IT技术,软件开发,Regulated Market,Prime Standard,1002,Common shares,Bearer share,DE,Germany,170,Traffic,IT-Services,IVU Traffic Technologies,0.00029809008714887106
DE0005932735,Yoc,YOC,,Packaged Software,Telecommunication Services,D,EUR,194,XET,XETR,Xetra,False,D15,,yoc-ag,YOC AG O.N.,YOC AG,,15.0,2.0408163265,0.0006117405,0.522,2023-12-29T14:06:27+01:00,Technology Services,科技,IT技术,软件开发,Regulated Market,Prime Standard,1002,Common shares,Bearer share,DE,Germany,190,Other german shares,Telecommunication Services,Yoc,0.0005748556494979053
DE000A3H2135,Max 21,MA10,,Packaged Software,Private Equity & Venture Capital,D,EUR,194,XET,XETR,Xetra,False,D15,,binect-ag-inh-o-n,BINECT AG INH O.N.,BINECT AG,,2.26,-4.2372881356,0.00032929620000000004,0.072772,2023-12-29T14:06:01+01:00,Technology Services,科技,IT技术,软件开发,Open Market,Basic Board,1002,Common shares,Bearer share,DE,Germany,190,Other german shares,Private Equity & Venture Capital,Max 21,0.001196931712160566
DE0005209589,artec technologies,A6T,,Packaged Software,Software,D,EUR,194,XET,XETR,Xetra,False,D15,,artec-technologies-ag,ARTEC TECHNOLOGIES O.N.,artec technologies AG,,1.86,0.0,3.7145e-05,0.053196,2023-12-29T14:06:16+01:00,Technology Services,科技,IT技术,软件开发,Open Market,Scale,1002,Common shares,Bearer share,DE,Germany,172,Software,Software,artec technologies,0.0
DE000A0BVU28,USU Software,OSP2,,Packaged Software,Software,D,EUR,194,XET,XETR,Xetra,False,D15,,usu-software-ag,USU SOFTWARE AG,USU Software AG,,16.85,0.8982035928,0.0003711395,1.77262,2023-12-29T14:06:01+01:00,Technology Services,科技,IT技术,软件开发,Regulated Market,Prime Standard,1002,Common shares,Bearer share,DE,Germany,180,Holding companies,Software,USU Software,6.69111612672066e-05
DE000A254211,Intershop Communications,ISHA,,Packaged Software,Internet,D,EUR,194,XET,XETR,Xetra,False,D15,,intershop-comm-inh-o-n,INTERSHOP COMM. INH O.N.,,,2.1,-2.3255813954,6.0989999999999995e-06,0.30618,2023-12-29T14:06:23+01:00,Technology Services,科技,IT技术,软件开发,Regulated Market,Prime Standard,1002,Common shares,Bearer share,DE,Germany,172,Software,Internet,Intershop Communications,7.820233034712905e-06
DE000A2G8X31,Serviceware,SJJ,,Packaged Software,Software,D,EUR,194,XET,XETR,Xetra,False,D15,,serviceware-se-inh-o-n,SERVICEWARE SE INH O.N.,,,11.45,0.0,0.0004626475,1.20225,2023-12-29T14:06:04+01:00,Technology Services,科技,IT技术,软件开发,Regulated Market,Prime Standard,1002,Common shares,Bearer share,DE,Germany,172,Software,Software,Serviceware,0.0
DE000A0LBFE4,Mevis Medical Solutions,M3V,,Packaged Software,Software,D,EUR,194,XET,XETR,Xetra,False,D15,,mevis-medical-solutions-ag,MEVIS MEDICAL SOL.NA O.N.,MeVis Medical Solutions AG,,25.2,0.0,6.5e-06,0.45864,2023-12-29T14:06:08+01:00,Technology Services,科技,IT技术,软件开发,Regulated Market,General Standard,1002,Common shares,Registered share,DE,Germany,190,Other german shares,Software,Mevis Medical Solutions,0.0
DE0005859698,InVision,IVX,,Packaged Software,Software,D,EUR,194,XET,XETR,Xetra,False,D15,,invision-ag,INVISION AG,InVision AG,,6.1,0.8264462809,0.0,0.13664,2023-12-29T14:06:11+01:00,Technology Services,科技,IT技术,软件开发,Regulated Market,Prime Standard,1002,Common shares,Bearer share,DE,Germany,180,Holding companies,Software,InVision,0.0
DE0008404005,安联保险,ALV,安联保险,Multi-Line Insurance,Insurance,D,EUR,194,XET,XETR,Xetra,False,D15,,allianz-se,ALLIANZ SE NA O.N.,Allianz SE,,241.95,0.5402036152,0.729167969,947.76654,2023-12-29T14:05:29+01:00,Finance,金融,保险,多险种保险,Regulated Market,Prime Standard,1002,Common shares,Registered share,DE,Germany,180,Holding companies,Insurance,Allianz,0.014299273999153721
FR0000120628,AXA SA,AXA,,Multi-Line Insurance,Full Line Insurance,D,EUR,194,XET,XETR,Xetra,False,D15,,axa-s-a,"AXA S.A. INH. EO 2,29",AXA S.A.,,29.49,0.1188253267,0.0016044954999999998,693.536973,2023-12-29T14:05:51+01:00,Finance,金融,保险,多险种保险,Open Market,,1002,Common shares,Bearer share,FR,France,180,Holding companies,,AXA SA,2.0394246181876276e-06
DE0008051004,Wuestenrot & Wuerttembergische,WUW,,Multi-Line Insurance,Mortgage Banks,D,EUR,194,XET,XETR,Xetra,False,D15,,wuestenrot-wuerttembergische-ag,WUESTENROT+WUERTT.AG O.N.,Wüstenrot & Württembergische AG,,13.34,0.0,0.006670153000000001,12.50625,2023-12-29T14:05:19+01:00,Finance,金融,保险,多险种保险,Regulated Market,Prime Standard,1002,Common shares,Registered share,DE,Germany,180,Holding companies,Mortgage Banks,Wuestenrot & Wuerttembergische,0.0
IT0000062072,Assicurazioni Generali SpA,ASG,,Multi-Line Insurance,Full Line Insurance,D,EUR,194,XET,XETR,Xetra,False,D15,,assicurazioni-generali-s-p-a,GENERALI,Assicurazioni Generali S.p.A.,,19.165,0.3928758512,0.0001197355,304.1159695,2023-12-29T14:05:43+01:00,Finance,金融,保险,多险种保险,Open Market,,1002,Common shares,Registered share,IT,Italy,81,Bank/insurance,,Assicurazioni Generali SpA,1.5681114233368575e-06
AT0000821103,UNIQA Insurance Group,UN9,,Multi-Line Insurance,,D,EUR,194,XET,XETR,Xetra,False,D15,,uniqa-insurance-group-ag,UNIQA INSURANCE GROUP AG,UNIQA Insurance Group AG,,7.45,0.5398110661,0.0,23.0205,2023-12-29T14:05:49+01:00,Finance,金融,保险,多险种保险,Open Market,,1002,Common shares,Bearer share,AT,Austria,81,Bank/insurance,,UNIQA Insurance Group,0.0
DE0007236101,西门子,SIE,西门子,Industrial Machinery,"Industrial, Diversified",C,EUR,194,XET,XETR,Xetra,False,CX,D15,siemens-ag,SIEMENS AG NA O.N.,Siemens AG,,169.92,0.8547008547,0.9698434408,1359.36,2023-12-29T14:12:38+01:00,Producer Manufacturing,制造业,机械,机械加工设备,Regulated Market,Prime Standard,1002,Common shares,Registered share,DE,Germany,61,Electronic engineering,"Industrial, Diversified",Siemens,0.039597699920256704
DE0006602006,GEA Group,G1A,,Industrial Machinery,"Industrial, Diversified",B,EUR,194,XET,XETR,Xetra,False,CX,D15,gea-group-aktiengesellschaft,GEA GROUP AG,GEA Group Aktiengesellschaft,,37.69,1.5902964959,0.0705314711,64.951177,2023-12-29T14:05:20+01:00,Producer Manufacturing,制造业,机械,机械加工设备,Regulated Market,Prime Standard,1002,Common shares,Bearer share,DE,Germany,180,Holding companies,"Industrial, Diversified",GEA Group,0.012364804459585425
DE000KGX8881,Kion Group,KGX,,Industrial Machinery,Heavy Machinery,C,EUR,194,XET,XETR,Xetra,False,D15,,kion-group-ag,KION GROUP AG,KION GROUP AG,,38.67,-0.0258531541,0.0228573616,50.73504,2023-12-29T14:05:10+01:00,Producer Manufacturing,制造业,机械,机械加工设备,Regulated Market,Prime Standard,1002,Common shares,Bearer share,DE,Germany,190,Other german shares,Heavy Machinery,Kion Group,2.2552437319243293e-06
DE0007010803,Rational,RAA,,Industrial Machinery,Industrial Products & Services,D,EUR,194,XET,XETR,Xetra,False,D15,,rational-ag,RATIONAL AG,Rational AG,,699.5,0.7925072046,0.020712775,79.53315,2023-12-29T14:05:00+01:00,Producer Manufacturing,制造业,机械,机械加工设备,Regulated Market,Prime Standard,1002,Common shares,Bearer share,DE,Germany,190,Other german shares,Industrial Products & Services,Rational,0.001136949757727012
