isin,euronext_code,证券名称,degiro_symbol,证券代码,category,currency,exchangeId,exchange_degiro,exchange_mic_code,exchange_name,market,isShortable,feedQuality,feedQualitySecondary,icb_industry,full_symbol,isin_tv,logoid,type,Value.Traded,market_cap_basic,fundamental_currency_code,sector,industry,is_primary,exchange,country,currency_id,forex_rate,总市值,成交额,换手率,地区,is_primary_listing,primary_symbol,ticker_title,code,correct_industry,名称翻译,en_name,dr_name,一级行业,二级行业,三级行业,市场,异动值,exchange_code,trade_currency,最新价,涨跌幅,last_traded_at,close_price,trading_date
DE0005557508,DE0005557508-BGEM,Deutsche Telekom AG,1DTE,1DTE,C,EUR,608,MIL,BGEM,Borsa Italiana S.p.A.,italy,False,D15,,Telecommunications Services,,,,,,,,,,,,,,,,,,,,,,,,,Deutsche Telekom AG,,,,,,,,,,,,,
FR0000121667,FR0000121667-BGEM,(EssilorLuxottica),1EL,1EL,D,EUR,608,MIL,BGEM,Borsa Italiana S.p.A.,italy,False,D15,,Medical Supplies,MIL:1EL,FR0000121667,essilorluxottica,stock,81080.0,97887289757.0183,USD,Health Technology,Medical Specialties,False,MIL,France,EUR,1.07119,978.872897570183,0.000868520852,0.0,欧洲,False,EURONEXT:EL,ESSILORLUXOTTICA,,,,EssilorLuxottica SA,EssilorLuxottica,医药,医疗,医疗器械,意大利,1.6082245420235e-06,,,,,,,
FR0010208488,FR0010208488-BGEM,(Engie),1ENGI,1ENGI,D,EUR,608,MIL,BGEM,Borsa Italiana S.p.A.,italy,False,D15,,Multi-utilities,MIL:1ENGI,FR0010208488,engie,stock,20927.2,41687776252.4082,USD,Utilities,Electric Utilities,False,MIL,France,EUR,1.07119,416.877762524082,0.00022417007368,0.0,欧洲,False,EURONEXT:ENGI,ENGIE,,,,Engie SA,Engie,公用事业,电力,电力公司,意大利,6.816610689815328e-06,,,,,,,
DE000ENAG999,DE000ENAG999-BGEM,(E.ON),1EOAN,1EOAN,C,EUR,608,MIL,BGEM,Borsa Italiana S.p.A.,italy,False,D15,,Multi-utilities,MIL:1EOAN,DE000ENAG999,e-on,stock,4352.25,34821714186.5281,USD,Utilities,Electric Utilities,False,MIL,Germany,EUR,1.07119,348.217141865281,4.6620866775000005e-05,0.0,欧洲,False,XETR:EOAN,E.ON SE NA O.N.,,,,E.ON SE,E.ON,公用事业,电力,电力公司,意大利,7.9272868955833e-09,,,,,,,
DE0005785604,DE0005785604-BGEM,Fresenius SE & Co KGaA,1FRE,1FRE,D,EUR,608,MIL,BGEM,Borsa Italiana S.p.A.,italy,False,D15,,Health Care Services,,,,,,,,,,,,,,,,,,,,,,,,,Fresenius SE & Co KGaA,,,,,,,,,,,,,
FR0000121147,FR0000121147-BGEM,FORVIA,1FRVIA,1FRVI,C,EUR,608,MIL,BGEM,Borsa Italiana S.p.A.,italy,False,D15,,Auto Parts,,,,,,,,,,,,,,,,,,,,,,,,,FORVIA,,,,,,,,,,,,,
FR0000130809,FR0000130809-BGEM,(法国兴业银行),1GLE,1GLE,D,EUR,608,MIL,BGEM,Borsa Italiana S.p.A.,italy,False,D15,,Banks,MIL:1GLE,FR0000130809,societe-generale,stock,1141.65,19625771533.6392,USD,Finance,Major Banks,False,MIL,France,EUR,1.07119,196.257715336392,1.2229240635000002e-05,0.0,欧洲,False,EURONEXT:GLE,Société Générale,,,,Societe Generale SA,法国兴业银行,金融,银行,主要银行,意大利,5.539721409950924e-07,,,,,,,
DE0006047004,DE0006047004-BGEM,HeidelbergCement AG,1HEI,1HEI,D,EUR,608,MIL,BGEM,Borsa Italiana S.p.A.,italy,False,D15,,Cement,MIL:1HEI,DE0006047004,heidelbergcement-i,stock,20437.06,18182847123.1817,USD,Non-Energy Minerals,Construction Materials,False,MIL,Germany,EUR,1.07119,181.82847123181705,0.000218919743014,0.0,欧洲,False,XETR:HEI,HEIDELBERGCEMENT AG O N,,,,HeidelbergCement AG,,制造业,建筑业,建筑材料,意大利,5.319361892115866e-06,,,,,,,
ES0144580Y14,ES0144580Y14-BGEM,(伊比德罗拉),1IBE,1IBE,D,EUR,608,MIL,BGEM,Borsa Italiana S.p.A.,italy,False,D15,,,MIL:1IBE,ES0144580Y14,iberdrola,stock,8618.33,77460150444.436,USD,Utilities,Electric Utilities,False,MIL,Spain,EUR,1.07119,774.6015044443601,9.2318689127e-05,0.0,欧洲,False,BME:IBE,Iberdrola,,,,Iberdrola SA,伊比德罗拉,公用事业,电力,电力公司,意大利,1.3250508631591186e-05,,,,,,,
DE0006231004,DE0006231004-BGEM,(英飞凌),1IFX,1IFX,B,EUR,608,MIL,BGEM,Borsa Italiana S.p.A.,italy,False,D15,,Semiconductors,MIL:1IFX,DE0006231004,infineon-technologies,stock,71678.565,45453289350.7722,USD,Electronic Technology,Semiconductors,False,MIL,Germany,EUR,1.07119,454.532893507722,0.0007678136204235,0.0,欧洲,False,XETR:IFX,INFINEON TECH.AG NA O.N.,,,,Infineon Technologies AG,英飞凌,科技,电子,半导体,意大利,3.039417323655559e-05,,,,,,,
