股票代码,股票简称,PE,扣非PE,PB,扣非ROE,ROE,ROA,股息率,分红比例,毛利率,净利率,扣非净利润增速,营收增速,商誉占净资产比例,资产负债率,扣非PEG,扣非市赚率,市赚率
601096.SH,宏盛华源,54.62,72.07,2.99,3.33,4.15,2.54,0.25,30.18,9.11,2.36,104.69,15.17,,54.4,4.75,21.64,13.16
605369.SH,拱东医疗,26.86,30.65,3.04,8.43,8.37,7.44,1.43,49.21,33.35,16.91,70.42,17.31,11.69,15.66,1.77,3.63,3.21
688097.SH,博众精工,33.45,35.05,2.63,4.65,5.92,3.78,0.39,39.18,34.78,7.6,-2.21,0.91,,51.89,38.48,7.53,5.65
688692.SH,达梦数据,145.8,104.53,11.01,7.08,8.62,6.05,,81.02,86.32,27.15,45.88,40.96,,12.61,2.55,14.76,16.91
000905.SZ,厦门港务,19.89,45.63,1.02,1.46,3.85,3.33,1.39,30.49,2.6,1.31,-20.91,5.74,0.37,53.46,7.96,31.26,5.17
002867.SZ,周大生,11.6,12.57,2.13,13.3,13.08,13.94,6.26,54.14,20.58,7.89,-20.55,-13.49,,24.91,-0.93,0.94,0.89
002984.SZ,森麒麟,11.78,13.13,2.18,13.97,13.83,11.36,1.42,20.07,35.45,27.22,79.43,10.42,,23.73,1.26,0.94,0.85
300288.SZ,朗玛信息,95.56,108.16,3.2,2.5,2.51,2.52,0.27,14.05,36.56,14.61,-38.97,-14.2,34.52,12.83,-7.62,43.31,38.07
300512.SZ,中亚股份,60.66,646.07,1.89,1.75,2.31,1.55,1.19,12.16,26.88,4.27,-44.5,6.07,2.77,38.27,106.52,368.95,26.26
300737.SZ,科顺股份,39.77,-15.49,1.33,0.08,2.51,1.5,,94.59,23.04,2.33,-50.23,-17.7,0.47,65.53,扣非亏损,扣非转亏,15.85
300993.SZ,玉马遮阳,18.41,18.64,2.28,9.0,9.11,9.28,1.64,35.01,40.61,23.26,7.49,15.38,,8.69,1.21,2.07,2.02
600679.SH,上海凤凰,91.99,111.4,2.75,2.18,2.3,1.81,,30.45,14.24,2.81,109.51,42.96,16.29,33.84,2.59,51.13,40.04
600894.SH,广日股份,14.87,13.99,1.25,6.1,5.87,3.13,7.35,277.98,14.99,10.73,9.65,-7.82,1.87,38.96,-1.79,2.29,2.53
601199.SH,江南水务,14.93,16.23,1.39,7.28,7.03,4.97,2.1,11.02,37.55,26.48,14.32,5.94,,38.25,2.73,2.23,2.12
601211.SH,国泰君安,14.7,19.0,1.23,5.42,5.97,,2.69,26.63,,34.18,13.98,7.29,2.35,81.44,2.61,3.51,2.46
603040.SH,新坐标,14.77,17.19,2.39,11.39,12.39,11.96,2.1,24.49,52.45,33.85,15.22,17.57,0.08,12.78,0.98,1.51,1.19
603128.SH,华贸物流,12.99,17.4,1.35,7.86,7.91,6.69,4.47,50.11,10.88,3.39,-11.72,38.64,22.29,41.7,0.45,2.21,1.64
603757.SH,大元泵业,13.36,18.59,2.25,9.21,11.54,7.9,4.95,58.82,30.31,14.67,-37.9,-8.54,,42.0,-2.18,2.02,1.16
603998.SH,方盛制药,17.83,31.03,3.4,10.67,14.94,8.06,2.65,16.04,72.86,16.87,33.87,10.95,16.03,47.92,2.83,2.91,1.19
605123.SH,派克新材,23.15,25.53,1.74,5.39,5.68,3.72,1.4,38.15,20.61,9.95,-36.34,-11.2,,37.58,-2.28,4.73,4.08
