股票代码,股票简称,PE,扣非PE,PB,扣非ROE,ROE,ROA,股息率,分红比例,毛利率,净利率,扣非净利润增速,营收增速,商誉占净资产比例,资产负债率,扣非PEG,扣非市赚率,市赚率
000759.SZ,中百集团,-6.59,-4.57,1.49,-15.74,-15.56,-2.08,,0.0,21.64,-4.08,-547.55,-11.5,0.92,81.83,扣非亏损,扣非亏损,亏损
000761.SZ,本钢板材,-3.52,-3.7,1.17,-21.6,-20.8,-6.26,,0.0,-5.45,-7.85,-149.32,-7.66,,68.67,扣非亏损,扣非亏损,亏损
000762.SZ,西藏矿业,62.35,70.86,4.24,4.6,5.18,2.54,2.03,0.0,49.71,32.12,54.22,5.06,,45.74,14.01,30.79,24.07
000766.SZ,通化金马,472.67,431.15,6.44,0.7,1.03,1.82,,0.0,75.39,2.46,51.15,-7.24,0.08,49.06,-59.51,1225.73,917.8
000767.SZ,晋控电力,-21.48,-11.96,1.52,-3.01,-9.16,1.22,,0.0,6.46,-4.18,-152.94,-21.38,0.15,81.91,扣非亏损,扣非亏损,亏损
000768.SZ,中航西飞,68.26,91.97,4.24,4.45,5.53,1.27,0.45,0.0,7.36,3.27,16.38,1.44,,73.39,64.07,41.35,24.69
000776.SZ,广发证券,15.1,17.79,1.15,4.66,5.26,,2.1,17.44,,39.18,21.53,6.24,0.0,80.78,2.85,3.82,2.87
000777.SZ,中核科技,46.25,37.47,3.5,5.09,5.78,3.5,1.29,10.18,21.81,11.29,-2.34,-8.25,0.06,41.39,-4.54,7.36,8.0
000778.SZ,新兴铸管,25.38,47.8,0.64,0.94,1.88,1.36,1.57,0.0,5.59,1.57,-66.98,-25.44,,47.64,-1.88,101.45,27.0
000779.SZ,甘咨询,16.57,16.33,1.05,4.73,4.84,3.57,0.74,0.0,40.38,13.17,-2.45,-19.32,,29.16,-0.85,6.9,6.85
000782.SZ,恒申新材,-207.4,-138.46,2.02,-0.94,-1.07,-0.26,,0.0,4.1,-0.56,81.79,19.02,,40.28,扣非亏损,扣非亏损,亏损
000783.SZ,长江证券,22.04,24.12,1.27,3.88,4.02,,2.23,0.0,,29.88,21.06,-6.7,0.14,75.71,-3.6,12.44,10.97
000785.SZ,居然之家,19.27,21.79,0.93,4.06,3.64,3.34,1.88,0.0,29.33,7.77,-31.04,-2.72,0.82,58.84,-8.02,10.74,10.59
000786.SZ,北新建材,12.65,13.75,2.11,12.65,13.0,10.53,3.57,0.0,30.65,15.7,13.31,19.44,9.13,27.96,0.71,2.17,1.95
000788.SZ,北大医药,22.29,30.05,2.52,8.76,8.8,6.84,0.39,34.32,27.75,8.49,221.85,-7.32,,34.01,-4.11,3.43,2.53
000789.SZ,万年青,478.23,-33.87,0.66,-0.43,0.1,0.64,1.31,0.0,14.63,0.47,-110.43,-32.87,0.92,37.08,扣非亏损,扣非亏损,9564.58
000790.SZ,华神科技,365.24,217.46,2.68,0.5,0.55,1.61,0.2,0.0,47.92,2.3,-81.3,-1.39,9.73,48.94,-155.96,869.49,1328.14
000791.SZ,甘肃能源,12.67,18.29,1.14,6.83,6.94,5.03,1.97,0.0,45.08,32.78,9.14,9.41,0.18,49.92,1.94,5.36,3.65
000792.SZ,盐湖股份,25.13,16.73,3.0,9.17,9.38,7.74,,0.0,54.46,32.51,-44.22,-33.83,0.01,23.28,-0.49,3.65,5.36
000793.SZ,华闻集团,-47.57,-9.05,7.98,-12.75,-11.72,-1.21,,0.0,21.73,-41.92,-0.22,-41.06,1.88,63.72,扣非亏损,扣非亏损,亏损
000795.SZ,英洛华,54.64,53.89,5.59,7.27,7.72,5.76,0.44,0.0,19.78,7.17,390.49,1.88,,30.75,28.71,14.83,14.16
000796.SZ,凯撒旅业,-318.61,-34.13,8.98,-2.7,-1.78,-0.62,,0.0,22.04,-2.71,83.01,5.08,,51.33,扣非亏损,扣非亏损,亏损
000797.SZ,中国武夷,81.56,60.09,0.97,1.31,0.91,2.64,0.33,0.0,29.88,4.02,5479.35,8.19,0.08,74.56,7.33,91.57,179.26
000798.SZ,中水渔业,137.02,-21.03,6.03,2.32,3.42,1.93,,0.0,3.51,1.35,176.98,16.82,,74.9,扣非亏损,扣非转亏,80.13
000799.SZ,酒鬼酒,266.01,171.05,5.0,1.22,1.31,0.19,1.37,0.0,71.81,4.74,-89.27,-44.41,,20.52,-3.85,280.11,406.12
000800.SZ,一汽解放,90.05,-424.04,1.81,0.27,1.51,-0.7,1.76,0.0,6.72,0.81,-23.07,-6.21,,65.89,扣非亏损,扣非转亏,119.27
000801.SZ,四川九洲,88.85,119.75,4.77,2.54,4.03,2.38,1.3,0.0,22.36,5.61,-14.26,-3.76,,51.51,-31.88,94.14,44.1
000802.SZ,北京文化,-93.5,-26.27,4.11,-3.86,-3.24,-0.87,,0.0,23.61,-40.17,-5.11,-28.06,7.76,53.51,扣非亏损,扣非亏损,亏损
000803.SZ,山高环能,-144.93,-33.42,1.62,-1.61,-0.83,1.68,,0.0,18.52,-1.97,-227.39,-32.06,41.59,72.75,扣非亏损,扣非亏损,亏损
000809.SZ,*ST和展,-19.32,-19.75,0.74,-2.82,-2.8,-1.13,,0.0,5.22,-109.93,7.84,447.61,,19.4,扣非亏损,扣非亏损,亏损
000810.SZ,创维数字,49.07,46.29,2.41,3.15,3.68,1.62,0.95,0.0,14.36,3.44,-52.7,-13.24,1.43,42.31,-3.5,29.43,26.67
000811.SZ,冰轮环境,13.47,18.39,1.45,7.65,8.31,5.1,0.74,0.0,27.34,10.23,-19.24,-11.14,12.97,45.87,-1.65,4.81,3.24
000812.SZ,陕西金叶,45.71,69.21,1.96,2.82,3.24,2.93,0.4,0.0,27.95,6.14,33.35,17.29,19.34,64.5,4.0,49.15,28.21
000813.SZ,德展健康,634.27,-162.03,1.32,0.09,0.15,-0.97,,0.0,61.46,-2.35,123.13,5.77,5.61,2.63,扣非亏损,扣非转亏,8456.91
000815.SZ,美利云,-537.66,-471.72,3.84,-0.5,-0.53,0.32,,0.0,11.74,-1.2,69.09,-4.83,,30.25,扣非亏损,扣非亏损,亏损
000816.SZ,智慧农业,100.16,-52.5,1.94,1.03,1.47,2.39,,0.0,20.2,6.55,304.75,1.61,,29.99,扣非亏损,扣非转亏,136.27
000818.SZ,航锦科技,248.77,235.48,4.01,0.97,1.11,2.44,0.16,0.0,16.62,3.16,-57.91,25.24,23.98,60.59,9.33,483.88,448.24
000819.SZ,岳阳兴长,74.68,79.4,3.33,3.04,3.42,2.76,0.55,0.0,17.52,2.21,-9.56,29.59,0.01,22.91,2.68,52.28,43.67
000820.SZ,神雾节能,-121.82,-136.67,39.94,-22.64,-21.76,-5.58,,0.0,9.78,-11.0,27.77,113.95,108.18,73.38,扣非亏损,扣非亏损,亏损
000821.SZ,京山轻机,15.39,22.32,2.2,9.89,11.25,3.39,0.55,0.0,19.02,7.45,27.46,34.43,15.48,71.69,0.65,4.51,2.74
000822.SZ,山东海化,22.67,10.08,0.99,2.61,3.29,2.69,1.46,0.0,14.55,3.56,-77.41,-23.61,,37.81,-0.43,7.73,13.78
000823.SZ,超声电子,27.05,26.12,1.16,2.94,3.15,2.46,1.04,0.0,17.19,4.23,10.08,3.47,,36.55,7.52,17.76,17.18
000825.SZ,太钢不锈,-29.88,-10.9,0.67,-2.45,-1.66,-0.64,,0.0,1.15,-0.73,-54.57,-6.34,,48.64,扣非亏损,扣非亏损,亏损
000826.SZ,启迪环境,-2.78,-2.08,1.42,-14.39,-31.98,-2.33,,0.0,26.15,-27.39,-190.42,-3.07,3.2,68.88,扣非亏损,扣非亏损,亏损
000829.SZ,天音控股,530.77,-126.04,4.91,-2.36,0.69,2.31,0.26,0.0,2.66,0.05,-211.73,0.11,29.72,86.93,扣非亏损,扣非亏损,1538.46
000830.SZ,鲁西化工,11.12,12.42,1.28,8.92,8.95,5.85,1.3,0.0,15.89,7.3,183.2,20.27,,48.75,0.61,2.78,2.48
000831.SZ,中国稀土,-135.35,-404.88,8.01,-4.54,-4.31,-4.87,0.29,0.0,11.14,-10.12,-231.77,-45.03,,9.02,扣非亏损,扣非亏损,亏损
000833.SZ,粤桂股份,19.14,23.28,1.64,6.66,6.6,5.37,0.92,0.0,27.11,10.91,406.87,-28.86,,35.62,-0.81,6.99,5.8
000837.SZ,秦川机床,133.61,-244.15,2.08,-0.34,1.17,0.94,0.28,0.0,16.57,2.89,-63.32,2.01,,42.35,扣非亏损,扣非亏损,228.4
000838.SZ,财信发展,-448.64,-9.96,5.35,-0.94,-0.89,0.14,,0.0,8.63,-0.55,-111.56,-77.43,,73.66,扣非亏损,扣非亏损,亏损
000839.SZ,中信国安,77.49,-72.12,11.27,-5.03,11.36,4.8,,0.0,14.8,7.76,3.97,17.79,,88.2,扣非亏损,扣非亏损,13.64
000848.SZ,承德露露,17.1,15.62,3.0,13.32,13.24,12.68,5.1,0.0,41.52,19.41,-5.13,6.1,,16.47,2.56,2.34,2.58
000850.SZ,华茂股份,21.17,65.89,0.99,1.57,3.44,3.06,2.62,0.0,12.69,6.0,102.64,3.88,0.01,35.7,16.97,84.1,12.31
000851.SZ,ST高鸿,-47.21,-2.25,1.4,-7.05,-2.19,-0.39,,0.0,5.54,-4.57,-552.61,-62.78,8.9,49.18,扣非亏损,扣非亏损,亏损
000852.SZ,石化机械,50.75,121.3,1.85,2.05,2.79,1.68,,0.0,15.6,1.85,-7.62,-7.88,,68.55,-15.39,118.49,36.38
000856.SZ,冀东装备,121.83,150.35,4.39,0.63,2.71,1.28,,0.0,7.8,0.62,-79.38,-17.24,,79.38,-8.72,474.96,89.91
000858.SZ,五粮液,18.27,18.86,4.45,18.68,18.33,19.2,3.33,0.0,77.06,38.2,9.19,8.6,0.0,18.99,2.19,2.02,1.99
000859.SZ,国风新材,-50.95,-55.91,1.87,-2.87,-2.71,-1.9,,0.0,3.97,-4.63,-141.29,0.9,,31.69,扣非亏损,扣非亏损,亏损
000860.SZ,顺鑫农业,31.1,153.06,2.21,5.47,5.48,4.34,,0.0,36.26,5.32,230.64,-16.92,,48.96,-9.04,55.94,11.35
000862.SZ,银星能源,20.92,45.41,1.22,3.92,4.48,3.46,,0.0,36.0,21.17,9.48,-11.08,,52.75,-4.1,23.18,9.34
000863.SZ,三湘印象,52.64,105.71,1.01,1.36,1.45,1.94,,0.0,52.19,4.27,41.07,10.18,6.1,33.75,10.39,155.76,72.6
000868.SZ,安凯客车,-782.34,-29.52,6.62,-6.92,-0.63,-0.54,,0.0,10.05,-0.74,39.46,20.08,,72.06,扣非亏损,扣非亏损,亏损
000869.SZ,张裕A,73.53,59.47,1.56,1.79,2.12,2.49,2.09,0.0,59.03,10.21,-49.37,-21.56,1.0,13.11,-2.76,66.34,69.36
000876.SZ,新希望,228.69,-70.6,2.19,0.15,0.45,1.31,,0.0,5.67,0.04,100.97,-27.67,3.23,70.85,扣非亏损,扣非转亏,1016.38
000877.SZ,天山股份,-9.33,-14.92,0.58,-5.01,-4.57,-0.42,1.71,0.0,13.37,-6.66,-930.47,-23.55,27.65,67.4,扣非亏损,扣非亏损,亏损
000880.SZ,潍柴重机,18.87,23.46,1.79,6.44,7.27,2.0,1.69,0.0,12.09,5.14,7.86,0.37,,64.38,63.43,7.29,5.19
000881.SZ,中广核技,-43.8,-7.85,1.44,-3.86,-2.44,-0.48,,0.0,12.5,-2.89,-22.68,-1.92,6.31,47.95,扣非亏损,扣非亏损,亏损
000882.SZ,华联股份,143.98,-4311.45,0.84,0.11,0.42,1.79,,0.0,54.82,3.02,77.26,8.63,0.76,46.45,扣非亏损,扣非转亏,685.63
000883.SZ,湖北能源,10.12,13.56,0.97,7.33,7.38,4.43,2.13,0.0,29.24,18.27,44.66,6.73,2.19,58.34,2.01,3.7,2.74
000885.SZ,城发环境,7.86,8.78,1.1,10.87,11.0,5.5,2.22,0.0,42.87,20.43,-1.66,-1.87,0.08,69.0,-4.7,1.61,1.43
000886.SZ,海南高速,123.15,127.06,2.16,1.48,1.31,1.39,1.22,0.0,14.78,28.67,365.2,121.2,1.4,12.72,1.05,171.2,188.01
000887.SZ,中鼎股份,12.87,15.06,1.41,7.63,8.4,6.31,1.62,0.0,22.3,7.3,30.43,13.47,18.92,46.45,1.12,3.95,3.06
000888.SZ,峨眉山A,22.54,33.68,2.79,9.51,9.55,8.42,2.24,0.0,53.12,27.21,-6.0,-1.97,,25.59,-17.14,7.08,4.72
000889.SZ,ST中嘉,-66.27,-40.67,18.12,-19.09,-18.6,-2.44,,0.0,8.88,-2.14,15.92,1.71,97.62,86.75,扣非亏损,扣非亏损,亏损
000890.SZ,法尔胜,-28.38,-5.37,20.23,-77.34,-76.7,-2.06,,0.0,5.9,-20.43,-74.85,-22.63,53.71,85.25,扣非亏损,扣非亏损,亏损
000892.SZ,欢瑞世纪,-44.46,-8.53,3.0,-4.98,-4.97,-4.37,,0.0,70.46,-35.81,-240.38,-48.65,,40.52,扣非亏损,扣非亏损,亏损
000893.SZ,亚钾国际,29.66,26.16,1.76,4.5,4.53,3.5,,0.0,49.12,19.94,-48.79,-14.13,,25.14,-1.85,11.63,13.09
000897.SZ,津滨发展,8.79,10.77,1.42,12.88,12.87,7.44,,0.0,32.99,22.27,-24.81,-24.22,,44.25,-0.44,1.67,1.37
000898.SZ,鞍钢股份,-3.56,-3.85,0.49,-9.75,-9.73,-4.92,,0.0,-3.55,-6.38,-138.35,-7.78,,48.81,扣非亏损,扣非亏损,亏损
000899.SZ,赣能股份,10.28,12.58,1.55,11.27,11.64,5.22,1.95,0.0,16.71,12.47,41.62,-5.17,,64.23,-2.43,2.23,1.77
000900.SZ,现代投资,12.02,13.17,0.59,3.22,3.25,2.45,3.83,0.0,25.48,8.64,-4.22,-4.12,2.41,75.39,-3.2,8.19,7.4
000901.SZ,航天科技,-741.76,-161.81,2.55,-0.53,-0.26,1.3,,0.0,17.98,-0.06,-248.97,5.74,8.53,48.55,扣非亏损,扣非亏损,亏损
000902.SZ,新洋丰,11.34,13.31,1.64,10.75,11.15,8.03,2.63,0.0,16.1,9.04,10.57,4.05,,38.92,3.28,2.48,2.03
000903.SZ,云内动力,-14.47,-5.2,2.37,-12.25,-11.62,-1.52,,0.0,7.9,-7.9,14.32,-3.66,18.44,77.79,扣非亏损,扣非亏损,亏损
000906.SZ,浙商中拓,7.83,37.42,0.91,1.07,7.9,2.79,4.79,0.0,1.11,0.37,-87.95,-3.03,0.08,81.06,-12.36,70.24,1.98
000908.SZ,*ST景峰,-29.85,-16.99,-27.17,,,-7.76,,0.0,59.93,-36.32,20.87,-46.79,-0.04,125.43,扣非亏损,,
000909.SZ,ST数源,33.17,-6.06,1.79,-5.79,4.13,3.81,,0.0,52.64,22.08,-89.6,-60.01,,53.21,扣非亏损,扣非亏损,16.06
000910.SZ,大亚圣象,23.21,20.99,0.62,1.78,1.99,1.58,2.38,0.0,25.93,3.36,-45.59,-15.39,2.72,24.62,-1.36,23.64,23.33
000911.SZ,广农糖业,-82.12,-44.51,42.89,-59.34,-29.2,1.91,,0.0,11.71,-1.43,-41855.18,3.04,,95.54,扣非亏损,扣非亏损,亏损
000912.SZ,泸天化,41.46,-100.61,1.07,0.62,1.95,1.1,,0.0,12.62,3.04,-75.05,-21.19,,38.56,扣非亏损,扣非转亏,42.52
000917.SZ,电广传媒,149.39,91.05,1.18,0.43,0.59,1.99,0.36,0.0,27.51,5.66,-17.62,-6.23,4.46,32.83,-14.62,422.2,506.41
000919.SZ,金陵药业,45.02,88.01,1.13,1.34,2.34,1.58,1.27,0.0,20.26,3.25,-44.81,5.51,0.62,17.15,15.96,131.83,38.48
000921.SZ,海信家电,11.76,16.96,2.96,16.14,19.56,7.1,4.97,0.0,21.12,5.9,10.99,8.75,1.24,73.28,1.94,2.1,1.2
000922.SZ,佳电股份,26.41,28.19,2.22,5.86,6.37,3.29,1.97,0.0,21.8,7.0,-24.07,-3.23,,62.23,-8.72,9.62,8.29
000923.SZ,河钢资源,13.98,12.81,1.12,6.23,6.13,5.12,3.57,0.0,62.48,16.74,-12.99,16.73,,24.0,0.77,4.11,4.56
000926.SZ,福星股份,213.36,85.27,0.39,0.38,0.14,0.61,0.24,0.0,24.8,0.61,-61.05,-48.6,,63.74,-1.75,449.38,3048.07
000927.SZ,中国铁物,29.99,37.86,1.88,4.74,4.8,2.59,0.37,0.0,4.8,1.63,-13.88,-14.33,0.14,53.24,-2.64,15.97,12.5
000928.SZ,中钢国际,11.78,13.06,1.23,7.21,7.9,3.06,4.56,0.0,12.39,5.3,32.55,-26.56,,66.96,-0.49,3.62,2.98
000929.SZ,兰州黄河,-31.62,-32.24,2.98,-4.47,-6.82,-5.72,,0.0,18.45,-33.08,-110.3,-10.41,,17.35,扣非亏损,扣非亏损,亏损
000930.SZ,中粮科技,877.1,-35.13,1.07,-0.38,0.09,1.19,,0.0,7.44,0.14,89.24,2.74,3.36,36.56,扣非亏损,扣非亏损,19491.11
000931.SZ,中关村,57.55,93.81,2.5,2.57,3.31,3.8,,0.0,57.91,3.35,19.97,14.96,12.47,52.44,6.27,73.13,34.77
000932.SZ,华菱钢铁,14.01,15.21,0.62,2.8,3.27,2.41,4.47,0.0,6.97,2.47,-62.65,-7.15,,58.81,-2.13,10.87,8.57
000933.SZ,神火股份,9.37,8.53,2.04,16.46,17.14,9.48,4.76,0.0,24.54,14.42,-15.68,-1.1,0.05,53.38,-7.74,1.04,1.09
000935.SZ,四川双马,40.2,24.86,1.78,3.0,3.31,3.3,1.9,0.0,48.8,32.94,-64.94,-7.61,,9.67,-3.26,16.59,24.29
000938.SZ,紫光股份,38.26,45.72,5.97,5.85,4.92,2.83,0.72,0.0,17.59,3.44,6.91,6.56,84.54,80.55,6.97,15.63,15.55
000948.SZ,南天信息,111.68,110.53,3.14,2.05,2.11,0.64,0.8,0.0,12.78,0.78,8.23,2.44,0.31,68.73,45.36,108.07,105.85
000949.SZ,新乡化纤,24.89,54.82,1.02,3.25,3.36,2.63,,0.0,11.67,3.56,2782.73,1.02,,50.79,53.88,33.76,14.82
000950.SZ,重药控股,25.41,25.33,0.87,2.45,2.57,2.09,1.01,0.0,7.44,0.68,-40.86,2.24,9.63,76.6,11.3,20.72,19.78
000952.SZ,广济药业,-9.99,-8.53,1.76,-13.39,-12.35,-4.3,,0.0,23.01,-37.31,-144.53,-11.54,,60.87,扣非亏损,扣非亏损,亏损
000953.SZ,河化股份,20.68,-287.95,15.1,1.05,75.04,28.3,,0.0,14.01,47.74,133.55,10.16,,55.36,扣非亏损,扣非转亏,0.55
000955.SZ,欣龙控股,-145.31,-74.42,4.13,-2.9,-2.11,-1.46,,0.0,8.29,-3.92,28.45,-3.85,,16.28,扣非亏损,扣非亏损,亏损
000957.SZ,中通客车,26.07,34.12,2.34,6.19,6.93,2.3,0.38,0.0,16.74,4.61,238.19,51.88,,65.07,0.66,11.02,7.52
000958.SZ,电投产融,45.82,35.72,2.36,3.86,3.9,2.89,1.6,0.0,29.32,26.62,6.71,-7.7,1.86,37.68,-4.64,18.5,23.5
000959.SZ,首钢股份,96.47,-69.62,0.53,0.0,0.41,0.96,0.87,0.0,3.74,0.38,-99.75,-3.59,,59.52,扣非亏损,-29625.13,470.6
000960.SZ,锡业股份,15.61,14.5,1.43,7.54,6.9,5.09,1.82,0.0,11.63,4.61,46.44,-13.21,,41.79,-1.1,3.84,4.52
000962.SZ,东方钽业,33.39,38.0,2.71,5.87,6.28,5.43,,0.0,19.32,17.5,20.45,14.63,,14.05,2.6,12.95,10.63
000965.SZ,天保基建,3301.09,448.59,0.72,-0.03,0.02,0.9,0.64,0.0,15.13,-0.35,98.58,2.98,0.17,54.77,150.29,转盈,330108.92
000966.SZ,长源电力,11.51,22.93,1.29,8.61,8.73,4.2,0.88,0.0,13.55,7.17,42.18,21.15,7.49,71.4,1.08,5.32,2.64
000967.SZ,盈峰环境,19.36,30.84,0.9,3.45,3.44,2.57,2.63,0.0,23.89,6.8,11.12,3.19,29.41,37.74,9.66,17.9,11.26
000968.SZ,蓝焰控股,16.31,16.03,1.13,5.27,5.22,3.86,2.39,0.0,33.61,16.56,-24.65,1.99,,46.49,8.07,6.09,6.25
000969.SZ,安泰科技,26.38,42.51,2.18,4.34,6.4,3.53,0.89,0.0,17.89,6.81,36.1,-3.16,9.2,41.87,-13.44,19.57,8.24
000970.SZ,中科三环,-253.68,-288.19,2.21,-0.95,-0.64,-0.08,0.48,0.0,10.5,-0.92,-130.08,-22.37,0.33,25.5,扣非亏损,扣非亏损,亏损
000972.SZ,中基健康,-42.91,-50.0,15.57,-25.43,-23.96,-1.49,,0.0,13.97,-14.41,-209.61,-13.19,,90.25,扣非亏损,扣非亏损,亏损
000973.SZ,佛塑科技,49.69,55.6,1.94,2.66,2.95,2.66,1.37,0.0,23.84,6.35,436.41,-14.61,0.66,24.73,-3.8,41.85,33.69
000975.SZ,山金国际,20.23,22.1,3.73,14.84,14.41,14.45,1.87,0.0,25.92,15.89,64.21,70.14,3.15,21.08,0.32,2.98,2.81
000977.SZ,浪潮信息,44.11,41.28,4.03,6.27,7.01,1.58,0.39,0.0,6.7,1.54,176.67,72.26,0.0,77.19,0.57,13.16,12.59
000978.SZ,桂林旅游,187.97,-194.07,2.34,0.43,0.94,1.46,,0.0,31.06,0.91,-83.49,-6.67,1.48,45.76,扣非亏损,扣非转亏,399.93
000980.SZ,众泰汽车,-33.53,-17.35,12.43,-27.62,-24.41,-3.92,,0.0,15.77,-84.99,26.86,-27.63,,78.49,扣非亏损,扣非亏损,亏损
000981.SZ,山子高科,-18.36,-12.44,9.48,-23.94,-32.52,-4.67,,0.0,20.64,-22.04,48.75,-7.13,27.25,81.07,扣非亏损,扣非亏损,亏损
000983.SZ,山西焦煤,12.87,12.49,1.33,7.43,7.66,5.66,8.1,0.0,31.94,10.78,-51.3,-18.68,1.5,46.05,-0.67,3.36,3.36
000985.SZ,大庆华科,65.72,57.24,4.45,5.23,5.08,4.96,0.11,0.0,7.73,2.07,305.17,4.41,,21.27,12.99,21.9,25.87
000987.SZ,越秀资本,18.8,28.59,1.47,4.12,5.92,1.0,2.82,0.0,61.76,84.73,-36.46,3.05,,79.04,9.36,13.89,6.35
000988.SZ,华工科技,32.01,47.13,4.03,8.12,9.86,5.28,0.5,0.0,20.98,10.44,3.23,23.42,0.0,49.08,2.01,11.6,6.49
000989.SZ,ST九芝,20.2,29.69,1.71,5.61,6.19,5.38,3.95,0.0,59.03,11.61,-19.82,-12.94,3.58,28.23,-2.29,10.59,6.53
000990.SZ,诚志股份,34.8,49.04,0.57,1.09,1.23,2.01,0.61,0.0,15.7,3.67,39.09,-17.76,36.04,30.2,-2.76,89.88,56.58
000993.SZ,闽东电力,28.48,152.36,1.75,4.65,4.63,4.36,1.96,0.0,51.69,25.27,-63.51,-67.74,1.66,30.15,-2.25,65.52,12.3
000995.SZ,皇台酒业,90.33,-431.89,18.75,2.33,16.97,5.77,,0.0,65.9,19.77,-9.42,0.57,,69.89,扣非亏损,扣非转亏,10.65
000997.SZ,新大陆,19.49,20.96,3.04,12.27,12.16,7.1,2.55,0.0,38.03,17.71,-7.75,-5.27,9.73,41.58,-3.98,3.42,3.21
000998.SZ,隆平高科,-24.1,72.38,3.36,-17.23,-9.38,-2.04,0.35,0.0,28.24,-29.72,-113.21,-14.46,52.14,69.3,-5.01,扣非亏损,亏损
000999.SZ,华润三九,21.2,19.86,3.06,13.94,14.99,9.82,3.02,0.0,52.68,16.44,19.48,6.08,19.66,36.07,3.26,2.85,2.83
001201.SZ,东瑞股份,-42.32,-25.37,1.29,-2.26,-2.24,-0.44,,0.0,20.9,-7.27,81.59,32.06,,44.69,扣非亏损,扣非亏损,亏损
001202.SZ,炬申股份,19.02,22.59,2.32,8.9,9.03,7.8,1.71,0.0,20.57,9.47,55.94,-2.87,0.02,44.63,-7.88,5.08,4.21
001205.SZ,盛航股份,21.37,20.78,2.21,7.09,7.66,5.34,0.73,0.0,27.61,14.39,8.53,28.82,4.59,59.44,0.72,5.86,5.58
001208.SZ,华菱线缆,43.08,57.37,3.1,4.39,5.51,2.58,0.54,0.0,11.61,2.78,55.11,20.7,,67.7,2.77,26.16,15.64
001209.SZ,洪兴股份,19.5,42.93,1.45,2.68,5.64,5.63,0.56,0.0,34.28,6.19,-35.02,12.21,0.04,28.87,3.51,32.04,6.91
001211.SZ,双枪科技,70.47,-94.17,1.55,0.74,1.64,1.38,,0.0,32.08,1.53,170.47,37.12,0.73,52.49,扣非亏损,扣非转亏,85.94
001212.SZ,中旗新材,55.17,60.43,1.77,2.06,2.22,1.52,0.63,0.0,18.82,9.48,-46.63,-24.54,,23.76,-2.46,58.73,49.7
001213.SZ,中铁特货,25.37,33.72,1.02,2.85,3.04,3.37,1.38,0.0,10.06,7.28,-6.25,2.74,,10.94,12.32,23.67,16.69
001215.SZ,千味央厨,34.24,30.56,2.08,5.42,4.68,4.97,0.36,0.0,24.25,5.93,-1.25,2.7,0.61,22.3,11.32,11.27,14.63
001216.SZ,华瓷股份,15.69,19.17,2.09,9.26,10.27,9.36,1.99,0.0,33.94,17.14,20.95,9.34,,17.51,2.05,4.14,3.06
001217.SZ,华尔泰,32.53,25.99,1.55,3.39,3.6,2.56,0.71,0.0,14.26,6.65,-14.08,-8.16,,36.92,-3.19,15.35,18.07
001218.SZ,丽臣实业,21.6,22.16,1.01,3.27,3.52,2.33,3.01,0.0,11.42,2.95,-28.08,8.52,,20.05,2.6,13.54,12.27
001219.SZ,青岛食品,27.19,38.44,3.09,7.52,8.68,10.36,1.3,0.0,37.41,21.91,20.39,4.96,,7.59,7.75,10.23,6.26
001222.SZ,源飞宠物,15.58,18.05,1.95,9.3,9.63,8.45,1.36,0.0,22.56,15.17,13.64,27.29,,12.92,0.66,3.88,3.24
001223.SZ,欧克科技,33.5,90.32,1.38,2.37,3.04,2.67,1.3,0.0,35.68,18.08,-17.87,10.61,,7.54,8.51,76.34,22.04
001225.SZ,和泰机电,40.23,37.32,1.61,2.52,2.98,2.1,3.19,0.0,37.62,23.56,-48.89,-37.44,,7.76,-1.0,29.59,27.0
001226.SZ,拓山重工,91.25,-430.52,2.53,0.83,2.1,1.57,1.12,0.0,12.21,3.37,210.57,19.29,,37.33,扣非亏损,扣非转亏,86.9
001227.SZ,兰州银行,7.46,8.37,0.51,4.14,4.61,,3.85,0.0,,25.33,-1.37,-3.02,,92.78,-2.77,4.05,3.24
001228.SZ,永泰运,18.43,32.54,1.28,4.13,5.08,3.46,1.89,0.0,10.12,3.24,-41.34,88.11,12.04,53.93,0.37,15.77,7.26
001229.SZ,魅视科技,38.91,37.82,2.8,5.03,5.33,5.14,1.69,0.0,76.02,44.41,-16.47,-15.99,,5.01,-2.37,15.05,14.6
001230.SZ,劲旅环境,15.51,17.1,1.3,5.96,6.37,5.32,1.49,0.0,26.09,11.45,40.19,10.79,,38.07,1.58,5.74,4.87
001236.SZ,弘业期货,554.22,680.06,6.53,0.75,0.89,,0.04,0.0,,0.83,2338.26,82.17,,84.51,8.28,1812.52,1245.43
001238.SZ,浙江正特,69.79,257.55,2.64,3.23,2.87,1.49,0.29,0.0,26.49,3.21,-32.89,10.69,,27.01,24.1,159.72,48.63
001239.SZ,永达股份,70.03,63.72,3.32,3.29,3.62,3.02,,0.0,20.36,10.56,-24.49,-28.48,,41.19,-2.24,38.75,38.69
001255.SZ,博菲电气,117.55,-894.99,2.68,1.27,1.67,1.36,0.24,0.0,25.55,5.26,-76.83,-0.75,0.64,32.35,扣非亏损,扣非转亏,140.77
001256.SZ,炜冈科技,22.35,25.91,2.11,6.72,7.15,6.09,1.08,0.0,33.25,20.97,41.87,23.01,,19.99,1.13,7.72,6.25
001258.SZ,立新能源,36.47,100.73,2.1,4.38,4.35,2.66,0.99,0.0,55.74,15.86,-34.22,1.84,0.0,76.62,54.77,45.97,16.77
