股票代码,股票简称,港股@最新价,港股@最新涨跌幅,港股@所属恒生行业(二级),港股@所属概念,港股@总市值[20240308],港股@流通市值[20240308],港股@所属恒生行业,market_code,code
1251.HK,华油能源,0.189,11.177,石油及天然气,"天然气[HK],页岩气[HK]",369263663.811,369263663.811,能源业,177,HK1251
1767.HK,TS Wonders,0.220,11.111,食物饮品,,220000000.0,220000000.0,必需性消费,177,HK1767
2315.HK,百奥赛图-B,9.470,10.760,药品及生物科技,生物医药B类[HK],3782303037.4,1049104782.4,医疗保健业,177,HK2315
0686.HK,北京能源国际,0.103,10.753,公用事业,"光伏太阳能[HK],区块链概念[HK],太阳能[HK],碳中和[HK]",2307153694.496,2307153694.496,公用事业,177,HK0686
2207.HK,融信服务,0.620,10.714,地产,物业管理[HK],315024480.0,315024480.0,地产建筑业,177,HK2207
1952.HK,云顶新耀-B,28.450,10.700,药品及生物科技,生物医药B类[HK],9217321186.5,9217321186.5,医疗保健业,177,HK1952
8250.HK,丝路能源,0.208,10.638,农业产品,"meitanhk,稀土永磁[HK]",77922648.128,77922648.128,必需性消费,178,HK8250
0264.HK,中联发展控股,1.250,10.620,纺织及服饰,,515880000.0,515880000.0,非必需性消费,177,HK0264
8121.HK,国恩控股,0.136,10.569,媒体及娱乐,文化传媒[HK],22673920.0,22673920.0,非必需性消费,178,HK8121
0070.HK,金粤控股,0.042,10.526,综合企业,博彩概念[HK],81430552.98,81430552.98,综合企业,177,HK0070
2425.HK,澳亚集团,1.050,10.526,食物饮品,,735486267.6,735486267.6,必需性消费,177,HK2425
6899.HK,联众,0.190,10.465,软件服务,"手机游戏[HK],网络游戏[HK]",204781978.53,204781978.53,资讯科技业,177,HK6899
1046.HK,寰宇娱乐文化,0.370,10.448,媒体及娱乐,影视娱乐[HK],335453942.12,335453942.12,非必需性消费,177,HK1046
1849.HK,秀商时代控股,0.085,10.390,媒体及娱乐,,68000000.0,68000000.0,非必需性消费,177,HK1849
0132.HK,兴业控股,0.118,10.280,综合企业,健康产业[HK],202054838.756,202054838.756,综合企业,177,HK0132
1862.HK,景瑞控股,0.033,10.000,地产,内地房地产[HK],50780836.029,50780836.029,地产建筑业,177,HK1862
3800.HK,协鑫科技,1.220,9.910,工业工程,"光伏太阳能[HK],太阳能[HK],新经济[HK],碳中和[HK],钙钛矿电池[HK]",32865495787.06,32865495787.06,工业,177,HK3800
0292.HK,泛海酒店,0.067,9.836,其他金融,连锁酒店[HK],135208711.959,135208711.959,金融业,177,HK0292
6696.HK,多想云,0.179,9.816,媒体及娱乐,,143200000.0,143200000.0,非必需性消费,177,HK6696
0483.HK,包浩斯国际,0.450,9.756,专业零售,品牌服饰[HK],165321000.0,165321000.0,非必需性消费,177,HK0483
0550.HK,京基智慧文化,0.203,9.730,媒体及娱乐,文化传媒[HK],92473402.0,92473402.0,非必需性消费,177,HK0550
8082.HK,光尚文化控股,0.034,9.677,媒体及娱乐,"影视娱乐[HK],殡葬[HK]",71264532.814,71264532.814,非必需性消费,178,HK8082
2121.HK,创新奇智,7.720,9.659,软件服务,,4362191697.36,4362191697.36,资讯科技业,177,HK2121
2528.HK,尚晋国际控股,0.285,9.615,专业零售,,114000000.0,114000000.0,非必需性消费,177,HK2528
1022.HK,飞鱼科技,0.265,9.504,软件服务,"手机游戏[HK],网络游戏[HK]",463602146.43,463602146.43,资讯科技业,177,HK1022
0968.HK,信义光能,5.910,9.444,工业工程,"MSCI概念[HK],光伏太阳能[HK],太阳能[HK],新经济[HK]",52620345962.58,52620345962.58,工业,177,HK0968
1449.HK,立德教育,0.350,9.375,支援服务,教育服务[HK],233333450.0,233333450.0,非必需性消费,177,HK1449
0159.HK,布莱克万矿业,0.129,9.322,一般金属及矿石,"小金属[HK],铁矿石[HK]",1197149944.899,1197149944.899,原材料业,177,HK0159
1499.HK,欧科云链,0.300,9.091,建筑,,1611153000.0,1611153000.0,地产建筑业,177,HK1499
3650.HK,Keep,4.360,9.000,旅游及消闲设施,次新股[HK],2291929863.32,2291929863.32,非必需性消费,177,HK3650
2320.HK,合丰集团,0.073,8.955,原材料,,59688012.0,59688012.0,原材料业,177,HK2320
0455.HK,天大药业,0.260,8.787,药品及生物科技,"抗癌概念[HK],涉矿[HK],生物医药[HK]",559010889.84,559010889.84,医疗保健业,177,HK0455
2411.HK,百果园集团,2.890,8.647,食物饮品,,4590892160.0,3417761988.45,必需性消费,177,HK2411
0759.HK,CEC国际,0.265,8.607,消费者主要零售商,电子信息[HK],176540561.47,176540561.47,必需性消费,177,HK0759
6882.HK,东瀛游,0.640,8.475,旅游及消闲设施,"旅游及观光[HK],现代服务业[HK]",321568000.0,321568000.0,非必需性消费,177,HK6882
1621.HK,域高国际控股,0.077,8.451,石油及天然气,,77000000.0,77000000.0,能源业,177,HK1621
0436.HK,新宇环保,0.052,8.333,工业工程,,157856244.936,157856244.936,工业,177,HK0436
2018.HK,瑞声科技,22.100,8.333,工业工程,"5G[HK],CDR概念[HK],元宇宙[HK],数字经济[HK],新IT概念[HK],新经济[HK],智能穿戴[HK],电子信息[HK],知名公司[HK],苹果概念[HK]",26486850000.0,26486850000.0,工业,177,HK2018
9686.HK,东软熙康,1.050,8.247,医疗保健设备和服务,次新股[HK],883970645.25,883970645.25,医疗保健业,177,HK9686
0928.HK,帝王国际投资,0.079,8.219,药品及生物科技,品牌服饰[HK],146183579.74,146183579.74,医疗保健业,177,HK0928
2789.HK,远大中国,0.053,8.163,建筑,节能环保[HK],329062902.0,329062902.0,地产建筑业,177,HK2789
8418.HK,傲迪玛汽车,0.670,8.065,支援服务,,569500000.0,569500000.0,非必需性消费,178,HK8418
6193.HK,泰林科建,0.335,8.065,建筑,,134000000.0,134000000.0,地产建筑业,177,HK6193
2885.HK,彼岸控股,0.470,8.046,工业工程,,188000000.0,188000000.0,工业,177,HK2885
1263.HK,栢能集团,3.090,8.042,资讯科技器材,"元宇宙[HK],电子信息[HK]",1198560534.12,1198560534.12,资讯科技业,177,HK1263
1962.HK,训修实业,0.540,8.000,纺织及服饰,,354052080.0,354052080.0,非必需性消费,177,HK1962
0274.HK,复兴亚洲,0.068,7.937,黄金及贵金属,健康产业[HK],143658530.124,143658530.124,原材料业,177,HK0274
0750.HK,水发兴业能源,0.340,7.937,建筑,"光伏太阳能[HK],太阳能[HK],碳中和[HK]",857167805.2,857167805.2,地产建筑业,177,HK0750
1927.HK,久久王,0.136,7.937,食物饮品,,107712000.0,107712000.0,必需性消费,177,HK1927
2159.HK,麦迪卫康,0.410,7.895,医疗保健设备和服务,互联网医疗[HK],82000000.0,82000000.0,医疗保健业,177,HK2159
9929.HK,澳达控股,0.055,7.843,建筑,,110000000.0,110000000.0,地产建筑业,177,HK9929
1150.HK,米兰站,0.097,7.778,纺织及服饰,香港概念[HK],85436305.05,85436305.05,非必需性消费,177,HK1150
3301.HK,融信中国,0.194,7.778,地产,内地房地产[HK],326585694.898,326585694.898,地产建筑业,177,HK3301
3318.HK,中国波顿,0.970,7.778,食物饮品,"烟草[HK],食品添加剂[HK]",1048096781.62,1048096781.62,必需性消费,177,HK3318
0933.HK,非凡领越,0.700,7.692,纺织及服饰,体育[HK],6805593708.9,6805593708.9,非必需性消费,177,HK0933
1799.HK,新特能源,11.260,7.648,工业工程,"光伏太阳能[HK],太阳能[HK],碳中和[HK],绿色电力[HK],钙钛矿电池[HK]",16101800000.0,4235682712.56,工业,177,HK1799
2314.HK,理文造纸,2.400,7.623,原材料,"MSCI概念[HK],人民币升值[HK],纸业股[HK]",10308770400.0,10308770400.0,原材料业,177,HK2314
0763.HK,中兴通讯,17.920,7.563,资讯科技器材,"5G[HK],京东概念[HK],人工智能[HK],信息安全[HK],国企改革[HK],数字经济[HK],新IT概念[HK],新经济[HK],智能穿戴[HK],物联网[HK],电讯设备[HK],知名公司[HK],移动支付[HK],紫光系[HK],网络安全[HK],芯片替代[HK]",147464089200.65,13538605409.28,资讯科技业,177,HK0763
1148.HK,新晨动力,0.285,7.547,汽车,"汽车制造[HK],红筹股[HK]",365430361.29,365430361.29,非必需性消费,177,HK1148
1200.HK,美联集团,1.140,7.547,地产,"房地产服务[HK],现代服务业[HK]",817478045.7,817478045.7,地产建筑业,177,HK1200
6088.HK,鸿腾精密科技,1.140,7.547,资讯科技器材,"台资企业[HK],富士康概念[HK],新经济[HK],电讯设备[HK]",8310541372.08,8310541372.08,资讯科技业,177,HK6088
1292.HK,长安民生物流,2.150,7.500,工用运输,"军工股[HK],国企改革[HK],物流[HK]",348437600.0,279166320.0,工业,177,HK1292
1385.HK,上海复旦,12.960,7.463,半导体,"F5G概念[HK],国企改革[HK],新经济[HK],移动支付[HK],芯片替代[HK],高校[HK]",25141294443.365,3684916800.0,资讯科技业,177,HK1385
0531.HK,顺诚,0.190,7.345,家庭电器及用品,"台资企业[HK],家具[HK]",574904806.87,574904806.87,非必需性消费,177,HK0531
1079.HK,松景科技,0.044,7.317,资讯科技器材,"台资企业[HK],电子信息[HK]",58374876.516,58374876.516,资讯科技业,177,HK1079
8137.HK,洪桥集团,0.295,7.273,工业工程,"太阳能[HK],锂电池[HK]",2907087413.77,2907087413.77,工业,178,HK8137
1448.HK,福寿园,5.480,7.241,支援服务,殡葬[HK],12712851552.56,12712851552.56,非必需性消费,177,HK1448
6660.HK,艾美疫苗,7.850,7.240,药品及生物科技,,9506841402.15,3863563631.35,医疗保健业,177,HK6660
0712.HK,卡姆丹克太阳能,0.163,7.237,工业工程,"光伏太阳能[HK],太阳能[HK],碳中和[HK]",172767516.156,172767516.156,工业,177,HK0712
6969.HK,思摩尔国际,5.800,7.209,家庭电器及用品,"消费电子[HK],烟草[HK]",35598652576.0,35598652576.0,非必需性消费,177,HK6969
0627.HK,日本共生,1.500,7.143,地产,香港房地产[HK],2131009893.0,2131009893.0,地产建筑业,177,HK0627
0841.HK,木薯资源,0.150,7.143,工业工程,农业现代化[HK],87709007.25,87709007.25,工业,177,HK0841
1107.HK,当代置业,0.030,7.143,地产,内地房地产[HK],83849839.5,83849839.5,地产建筑业,177,HK1107
1188.HK,正道集团,0.015,7.143,汽车,,305293091.205,305293091.205,非必需性消费,177,HK1188
1917.HK,豆盟科技,0.060,7.143,媒体及娱乐,,138000000.0,138000000.0,非必需性消费,177,HK1917
2363.HK,通达宏泰,0.060,7.143,资讯科技器材,,40844814.84,40844814.84,资讯科技业,177,HK2363
8537.HK,创辉珠宝,0.030,7.143,纺织及服饰,,22500000.0,22500000.0,非必需性消费,178,HK8537
2125.HK,稻草熊娱乐,0.450,7.143,媒体及娱乐,"影视娱乐[HK],电影概念[HK]",315177390.0,315177390.0,非必需性消费,177,HK2125
2198.HK,中国三江化工,1.360,7.087,原材料,现代服务业[HK],1618400000.0,1618400000.0,原材料业,177,HK2198
0918.HK,国能国际资产,0.530,7.071,纺织及服饰,品牌服饰[HK],590456654.27,590456654.27,非必需性消费,177,HK0918
3382.HK,天津港发展,0.530,7.071,工用运输,"物流[HK],自由贸易港[HK],雄安概念股[HK]",3263740000.0,3263740000.0,工业,177,HK3382
1233.HK,时代中国控股,0.229,7.009,地产,"内地房地产[HK],粤港澳[HK]",481315872.931,481315872.931,地产建筑业,177,HK1233
8516.HK,广骏集团控股,0.123,6.957,建筑,基础建设[HK],16853460.0,16853460.0,地产建筑业,178,HK8516
3700.HK,映宇宙,0.770,6.944,媒体及娱乐,"人工智能[HK],新经济概念[HK],独角兽[HK],知名公司[HK],短视频[HK],网络直播[HK]",1492494850.0,1492494850.0,非必需性消费,177,HK3700
1717.HK,澳优,2.470,6.926,食物饮品,"三胎[HK],乳业[HK]",4396876247.27,4396876247.27,必需性消费,177,HK1717
1660.HK,兆邦基生活,0.187,6.857,工业工程,,1158465000.0,1158465000.0,工业,177,HK1660
2086.HK,高维科技,0.780,6.849,资讯科技器材,海航系[HK],249260615.76,249260615.76,资讯科技业,177,HK2086
1478.HK,丘钛科技,3.130,6.826,工业工程,"小米概念[HK],抖音概念[HK],新经济[HK],电子信息[HK],苹果概念[HK]",3707605426.75,3707605426.75,工业,177,HK1478
1418.HK,盛诺集团,0.142,6.767,家庭电器及用品,"健康产业[HK],家具[HK]",248500284.0,248500284.0,非必需性消费,177,HK1418
1301.HK,德基科技控股,0.790,6.757,工业工程,,505132320.0,505132320.0,工业,177,HK1301
0097.HK,恒基发展,0.128,6.667,专业零售,物业投资[HK],390057906.56,390057906.56,非必需性消费,177,HK0097
9899.HK,云音乐,90.450,6.663,媒体及娱乐,"影视娱乐[HK],知名公司[HK],网络直播[HK]",19393861714.2,19393861714.2,非必需性消费,177,HK9899
1401.HK,Sprocomm Intel,2.090,6.633,工业工程,,2090000000.0,2090000000.0,工业,177,HK1401
