股票代码,股票简称,美股@最新价,美股@最新涨跌幅,美股@gics行业(三级),美股@所属概念,美股@总市值[20240308],美股@gics行业(一级),美股@gics行业(二级),美股@gics行业(四级),美股@上市日期,美股@总股本[20240308],美股@流通股[20240308],美股@上市板块,market_code,code
VRSN.O,威瑞信,191.020,-0.846,信息技术服务,"互联网+[US],巴菲特持股[US],网络安全[US]",19273918000.0,信息技术,软件与服务,互联网服务和基础设施,19980129,100900000.0,100900000.0,Nasdaq Global Select Market,185,VRSN
ERIE.O,伊瑞保险,415.870,-0.355,保险,,19209704850.7,金融,保险,财产与意外伤害保险,19951002,46191610.0,46191610.0,Nasdaq Global Select Market,185,ERIE
BAH.N,博思艾伦咨询,147.170,-0.842,专业服务,军工[US],19090805840.4,工业,商业和专业服务,调查和咨询服务,20101117,129745860.0,129745860.0,主板,169,BAH
PHG.N,飞利浦,20.835,-0.478,医疗保健提供商与服务,"智能家居[US],明星股[US],信息技术板块",18889441771.04,医疗保健,医疗保健设备与服务,保健护理服务,19870414,906403156.0,906403156.0,主板,169,PHG
ALNY.O,阿尔尼拉姆制药,149.820,-0.027,制药,,18869198707.26,医疗保健,制药、生物科技和生命科学,制药,20040528,125945793.0,125945793.0,Nasdaq Global Select Market,185,ALNY
PFG.O,信安金融,79.970,0.000,保险,财产管理[US],18862402905.39,金融,保险,人寿与健康保险,20171218,235868487.0,235868487.0,Nasdaq Global Select Market,185,PFG
NMR.N,野村控股,6.245,0.160,资本市场,日本概念[US],18846242800.0,金融,金融服务,资产管理与托管银行,20011217,3015398848.0,3015398848.0,主板,169,NMR
CHKP.O,Check Point软件,160.000,1.004,软件,互联网板块,18718999840.0,信息技术,软件与服务,系统软件,19960628,116993749.0,116993749.0,Nasdaq Global Select Market,185,CHKP
HRL.N,荷美尔食品,34.120,0.412,食品,,18681623285.58,日常消费品,食品、饮料与烟草,包装食品与肉类,19900116,547687578.0,547687578.0,主板,169,HRL
ERIC.O,爱立信,5.560,-0.358,通信设备,"5G[US],明星股[US],元宇宙[US],信息技术板块",18592640000.0,信息技术,技术硬件与设备,通信设备,,3344000000.0,3344000000.0,Nasdaq Global Select Market,185,ERIC
K.N,家乐氏,54.200,1.138,食品,,18526766990.94,日常消费品,食品、饮料与烟草,包装食品与肉类,19520109,341759214.0,341759214.0,主板,169,K
EXPE.O,Expedia,135.780,1.761,酒店、餐馆与休闲,"在线旅游[US],旅游观光[US]",18505246963.02,非日常生活消费品,消费者服务,酒店、度假村与豪华游轮,20050809,136288459.0,136288459.0,Nasdaq Global Select Market,185,EXPE
OKTA.O,Okta,110.300,-1.067,信息技术服务,SaaS概念[US],18463907078.9,信息技术,软件与服务,互联网服务和基础设施,20170407,167397163.0,167397163.0,Nasdaq Global Select Market,185,OKTA
J.N,雅各布工程,146.960,-1.210,专业服务,,18461898050.61,工业,商业和专业服务,调查和咨询服务,19891215,125650977.0,125650977.0,主板,169,J
MKC.N,味好美,68.590,0.278,食品,,18395704981.44,日常消费品,食品、饮料与烟草,包装食品与肉类,19990525,268237168.0,268237168.0,主板,169,MKC
CINF.O,辛辛那提金融,117.290,0.051,保险,,18375239961.22,金融,保险,财产与意外伤害保险,19500802,156665018.0,156665018.0,Nasdaq Global Select Market,185,CINF
RS.N,Reliance,319.760,-0.677,金属与采矿,钢铁概念[US],18364650915.0,原材料,原材料,钢铁,19940916,57425425.0,57425425.0,主板,169,RS
CCL.N,嘉年华邮轮,16.375,4.534,酒店、餐馆与休闲,"在线旅游[US],旅游观光[US],邮轮[US]",18327270161.09,非日常生活消费品,消费者服务,酒店、度假村与豪华游轮,19870724,1119564457.0,1119564457.0,主板,169,CCL
LH.N,徕博科,217.610,-0.394,医疗保健提供商与服务,"生物疫苗[US],医疗保健板块",18291750000.0,医疗保健,医疗保健设备与服务,保健护理服务,19910424,84100000.0,84100000.0,主板,169,LH
WBA.O,沃尔格林联合博姿,21.160,1.051,日常消费品分销和零售,"健康产业[US],明星股[US],高分红概念[US],美股概念板块",18247866151.32,日常消费品,日常消费品分销和零售,药品零售,20141231,862375527.0,862375527.0,Nasdaq Global Select Market,185,WBA
MKC.V.N,味好美 V,,0.192,食品,,18173068132.0,日常消费品,食品、饮料与烟草,包装食品与肉类,20010921,268237168.0,268237168.0,主板,169,MKC.V
WLK.N,Westlake,141.720,-0.645,化学制品,,18165672207.76,原材料,原材料,商品化工,20040811,128216207.0,128216207.0,主板,169,WLK
OMC.N,宏盟集团,91.690,-1.132,媒体,文化传媒[US],18153952221.73,通讯业务,媒体与娱乐,广告,19900627,197992717.0,197992717.0,主板,169,OMC
RPRX.O,Royalty Pharma,30.370,1.099,制药,巴菲特持股[US],18144094602.67,医疗保健,制药、生物科技和生命科学,制药,20200616,597434791.0,597434791.0,Nasdaq Global Select Market,185,RPRX
RF.N,地区金融,19.690,0.716,商业银行,财产管理[US],18092433105.12,金融,银行,区域性银行,20040701,918864048.0,918864048.0,主板,169,RF
HOLX.O,豪洛捷,77.050,0.957,医疗保健设备与用品,,18086063693.05,医疗保健,医疗保健设备与服务,医疗保健设备,19900302,234731521.0,234731521.0,Nasdaq Global Select Market,185,HOLX
TME.N,腾讯音乐,10.530,1.641,娱乐,"NFT概念[US],腾讯概念[US],数字音乐[US],SEC确定摘牌名单[US],回港中概股[US],中概股指数[US],热门中概股[US],美国中资概念股",18070292184.165,通讯业务,媒体与娱乐,电影和娱乐,20181212,1716077130.5,1716077130.5,主板,169,TME
IEX.N,IDEX,238.460,-0.059,机械制造,,18048057997.86,工业,资本品,工业机械和用品及零部件,19890602,75644654.0,75644654.0,主板,169,IEX
JHX.N,詹姆斯哈迪,41.300,-0.337,建筑材料,,18041788483.14,原材料,原材料,建筑材料,20011022,435686754.0,435686754.0,主板,169,JHX
SHG.N,新韩金融,35.020,0.804,金融服务,,17992506945.71,金融,金融服务,综合金融服务,20030916,512753119.0,512753119.0,主板,169,SHG
CCJ.N,Cameco,41.230,-6.444,石油、天然气与消费用燃料,金属铀[US],17901066296.19,能源,能源,煤与消费用燃料,19960315,434175753.0,434175753.0,主板,169,CCJ
CNP.N,中点能源,28.340,0.071,复合型公用事业,天然气[US],17893078020.98,公用事业,公用事业,复合型公用事业,19430816,631594706.0,631594706.0,主板,169,CNP
EPAM.N,Epam Systems,309.380,-1.662,信息技术服务,,17891827881.2,信息技术,软件与服务,信息科技咨询与其它服务,20120208,57827498.0,57827498.0,主板,169,EPAM
VTR.N,芬塔,44.425,2.021,多元化REIT,财产管理[US],17877343339.18,房地产,房地产投资信托（REITs）,多样化房地产投资信托,19920204,402461579.0,402461579.0,主板,169,VTR
