,标题,摘要
能源,['2024-05-20 || 油价若要继续上行，还需更多需求利好支撑'],['原油油价展望：此前我们预期布油短期将在80美元/桶附近止跌，由于斯洛伐克总理遇袭、美国CPI增速下降、中国工业增加值增速超预期以及中国房地产政策刺激，油价提前找到利好，5月15日布油下探至81.05美元/桶后开始回升，略强于我们的预期。我们认为，目前供应端较稳定，影响油价的因素主要集中在需求端和地缘政治，需求端受制于美国成品油需求不足和国内社零数据，依靠目前的政策利好和经济数据上行空间有限，布油或将在82-85美元/桶内运行，若需求端出现更多经济现实数据支撑，则油价有望继续上行。本周行情：2024年5月17日，布伦特期货价(连续)为83.98美元/桶，本周上涨1.19美元/桶（+1.44%）。WTI期货价(连续)收于80.06美元/桶，本周上涨1.80美元/桶（+2.30%）。供给端：我们预计OPEC+将至少在2024年Q3延长自愿减产，OPEC+的原油供应量较稳定，在截至5月11日的一周内，OPEC+原油海运出口量为2446万桶/天，占全球出口量的61.33%，近2周出口量较低。需求端：中国4月工业增加值同比+6.7%，高于预期；4月社零同比+2.3%，低于预期。在截至5月10日的一周内，美国车用汽油和馏分油表需分别为887.5和383.1万桶/天，两种成品油的消费量虽略有增长但仍然处于较低水平。地缘政治：巴以未达成停火协议，符合我们预期，斯洛伐克总理遇袭后有较低的风险溢价被重新计入油价中。天然气气价展望：美国天然气生产规模维持低位，美国天然气需求改善，欧洲库存增速放缓，我们上调2024年秋冬季亨利中心气价目标至3美元/MMBtu以上。本周行情：2024年5月17日，TTF连一为9.80美元/MMBtu，较上周上涨0.37美元/MMBtu（+3.92%）。JKM连一为11美元/MMBtu，本周价格上涨1美元/MMBtu（+10%）。HH连一为2.63美元/MMBtu，较上周上涨0.38美元/MMBtu（+16.89%）。供给端：美国近一周天然气减产规模稳定，近5周美国天然气产量走平。在截至2024年5月17日的一周内，美国干天然气产量为27.56亿立方米/天，环比持平，同比下降1.45亿立方米/天，此前我们预计美国天然气减产会在4月或5月见底，从目前的气价和减产规模来看美国天然气产量变化符合我们预期。需求端：看好欧美天然气需求从秋季开始恢复，我们从美国电力部门用气量中已经看到了需求恢复的迹象，在截至5月17日的一周内，四行业天然气消费量为18.14亿立方米/天，同比持平。煤炭本周行情：2024年5月16日，秦皇岛Q5500动力煤平仓价为860元/吨，本周价格稳定。2024年5月17日，纽卡斯尔港Q5500动力煤FOB价为650.18元/吨，本周上涨7.19元/吨（+1.12%）。供给端：国内煤炭产量小幅回升。据煤炭运销协会统计，2024年4月下旬，样本企业煤炭产量为5541万吨，同比+2.80%。需求端：近期国内电厂耗煤量下滑。在截至2024年5月9日的一周内，重点电厂煤炭日耗量为402.07万吨，同比-6.93%。据ECMWF预测，2024年夏季北半球均温将比历史同期均值高0-2℃，可刺激用电需求。']
有色金属,"['2024-05-20 || 降息预期加强及宏观利好政策提振有色市场，继续推荐金铜铝锑', '2024-05-20 || 海内外锑价创历史新高，硬缺口下继续看涨', '2024-05-20 || 地产支持政策有望扭转电解铝板块预期差', '2024-05-19 || 钼:中长期增量或不及预期，供需格局有望改善']","['投资要点：贵金属：美核心CPI降温，美元美债回落，金价新一轮上涨可期。本周美元美债下跌，沪金价格再次冲高至560元/克以上。数据方面，美国4月未季调CPI年率录得3.4%，低于前月的3.5%，符合市场预期；4月核心CPI月率如期回落至0.3%，为去年12月以来新低；美国4月零售销售月率', '本周（5.13-5.17）沪深300指数上涨0.36%，其中有色指数上涨0.44%。个股层面，本周华阳新材、雅化集团涨幅较大，分别上涨9.63%、5.00%；洛阳钼业、屹通新材跌幅较大，分别下跌6.16%、5.51%。稀土：氧化镨钕本周价格为40.06万元/吨，环比下降1.40%。氧化镝本周价格208万元/吨，环比上涨0.48%；氧化铽本周价格657万元/吨，环比下降0.61%；氧化铈本周价格0.73万元/吨，环比持平；氧化镧本周价格0.40万元/吨，环比持平。市场逐步进入淡季，交投转淡，价格有所回调。1-4月稀土进口矿累计下滑18.1%，较3月跌幅扩大，进口走弱持续兑现。4月26日七部门联合印发《汽车以旧换新补贴实施细则》，明确了补贴范围和标准；此前财政部、工信部发布《关于开展制造业新型技术改造城市试点工作的通知》，工信部、金融监管总局等七部门联合印发《推动工业领域设备更新实施方案》、明确提出要“加大财税支持”“加强金融支持”；考虑政策配套持续落地，稀土磁材作为新能源车和工业设备电机的较优选择或有望持续受益于制造升级和更新改造。中长期来看，考虑国内配额增速放缓，稀土价格中枢有望逐步上行。资源端建议关注北方稀土（轻稀土龙头）。锑：本周锑锭价格为11.91万元/吨，环比上涨14.48%；锑精矿价格为9.61万元/吨，环比上涨9.13%。本周锑锭库存为3300吨，环比上涨0.92%；氧化锑库存为5910吨，环比上涨0.17%。本周锑精矿、锑锭和氧化锑开工率分别环比+0.64pct/-1.11pct/-0.44pct。本周海外锑价周度环比上涨4%至1.64万美元/吨，催化国内价格进一步上涨。目前锑锭库存处于历史低位、氧化锑库存由年初的相对较高位置加速去化至历史中低位，我们认为原料的紧缺正逐步向下游传导，锑锭、氧化锑开工率持续下降，产业链供应将进一步收缩；1-4月光伏玻璃产量累计同比增长56%，而锑精矿产量同比下降6%，在阻燃剂需求相对持稳的情况下，供需错配进一步加剧。根据我们测算1-3月国内锑实际消费量和终端消费量同比增幅分别为7%、16%，终端消费强于实际消费量，表明隐性库存持续去化。需求旺盛，产能周期驱动原料紧缺叠加环保督查限产，我们认为价格有望创造近20年新高。中长期海外锑矿供应收紧预期加强，国内政策限制下难有增量项目且供给扰动频繁，光伏需求有望持续景气，锑供需格局向好，库存持续低位的情况下锑价中枢有望持续抬升，建议关注弹性较大的标的：湖南黄金。钼：钼精矿本周价格为3730元/吨，环比下降0.53%；钼铁本周价格23.80万元/吨，环比下降2.06%。钼精矿本周库存为8500吨，环比下降17.48%；钼铁本周库存为5140吨，环比下降0.58%。本周紫金矿业下调2025年钼矿产量指引，中长期增量或不及预期。随着油气、火电和化工投资高增，造船和钢结构景气延续，海外矿放量减速、国内大矿投放时点仍存在较大不确定性，钼供需中长期偏紧，钼价中枢有望持续上行。盈利占比高的稀缺资源标的有望充分受益，建议关注金钼股份。锡：锡锭本周价格为27.43万元/吨，环比上涨4.73%；锡锭本周库存为17373吨，环比上涨4.09%。本周云南及广东地区部分冶炼厂减产，价格上行。中长期看海外地缘政治扰动持续、印尼锡矿供紧担忧，需求端有望收益消费电子复苏和以旧换新行动，锡供需格局将长期向好。建议关注锡业股份。钨：钨精矿本周价格15.41万元/吨，环比上涨4.40%；仲钨酸铵本周价格22.77万元/吨，环比上涨4.38%。钨精矿本周库存440吨，环比下降8.33%；仲钨酸铵本周库存255吨，环比下降12.07%。本周矿山产量持续偏低，原料紧缺加剧，价格上涨。建议关注中钨高新。其他小金属：五氧化二钒本周价格为8万元/吨，环比下降3.61%；金属锗本周价格9750元/公斤，环比持平。', '本周（5.13-5.17）内A股上涨，沪深300指数收涨0.32%，有色金属跑输大盘，收跌0.91%。个股层面，北方铜业、丰华股份、济南高新涨幅领先；新威凌、有研粉材、屹通新材跌幅靠前。工业金属：铜：本周LME铜价格+6.72%至10715美元/吨，沪铜价格+4.05%至8.43万元/吨。全球铜库存累库1.66万吨至62.3万吨，其中LME累库0.02万吨至10.37万吨，国内社会库存累库0.82万吨至41.04万吨，COMEX去库0.13万吨至1.82万吨，保税区库存累库0.95万吨至9.07万吨。本周COMEX期铜出现逼仓，周三COMEX7月交割的铜期货大幅上涨3.6%至5.0695美元/磅。当前COMEX市场铜库存处于历史低位，仅为1.82万吨，而合约持仓量较高，在交割品不足的预期下COMEX铜价强势拉涨。COMEX可交割品牌主要为智利、秘鲁以及北美等地区产品。截至4月底，LME的9.47万吨铜库存中约82%的比例无法在COMEX交割。基于跨市场利差，预计逼仓后续将主要通过智利等地产量更多向北美发运、LME库存交割至COMEX以及国内库存运至LME北美仓库交仓来缓解，目前逼仓传导至LME和SHFE交易所的概率较低。在矿端维持紧缩、再生铜隐性库存持续去化以及美国经济软着陆的背景下，国内地产端政策持续发力有望维持中美经济共振向上状态，铜价长期中枢有望上移。节奏方面来看，二季度消费旺季下，需求因素对定价作用较小，而随着国内三季度消费淡季的来临，需求定价占比将有所上升，国内社库的顺利去化需要考虑下游对价格的承接力度，价格的小幅调整或更有利于国内社库逐步去化，此后价格有望迎来新一轮上涨。建议关注铜矿产量持续增长的紫金矿业等标的。铝：本周LME铝价格+3.99%至2621.00美元/吨，沪铝价格+1.3%至2.10万元/吨。全球铝库存累库14.3万吨至230.28万吨，其中LME累库18.94万吨至109.33万吨，国内铝社会库存去库3.1万吨至74.7万吨，铝棒库存去库1.54万吨至46.25万吨。5月14日，美方发布对华加征301关税四年期复审结果，宣布在原有对华301关税基础上，进一步提高对自华进口的电动汽车、锂电池、光伏电池、关键矿产、半导体以及钢铝、港口起重机、个人防护装备等产品的加征关税，其中铝关税从0-7.5%提至25%。本次税率提高针对铝相关产品主要为氧化铝、未锻轧铝及铝合金、铝条杆型材、铝线、铝板带、铝箔、铝管以及剩余铝制品，近年来中国向美国出口铝及铝材产品显著下降，占出口总量4%左右，上述关税政策对直接出口影响不大，但由于存在通过其他产品的间接出口，实际影响比例会高于这一比例。周五中国央行连续发布三条新政：取消全国层面首套住房和二套住房商业性个人住房贷款利率政策下限、下调个人住房公积金贷款利率、降低个人住房贷款最低首付款比例，房地产支持政策有望持续提振铝价。权益市场对于电解铝在地产端消费拖累程度是目前的核心预期差，地产支持政策有望逐步打消市场对于电解铝在地产端消费的悲观预期，相关公司估值有望迎来修复。在国内产能红线的背景下，25年国内电解铝有望迎来产量达峰，产量增速显著下滑，而需求端增速基于新能源车、特高压以及光伏等产业带动，预计依然维持稳健增长，电解铝环节供给缺口将在25年逐步放大，在国内电解铝行业纳入碳排放权交易市场后，供需缺口和成本端抬升有望共同推动铝价迎来趋势性上涨。在国内铝土矿资源缺乏、氧化铝价格高企的背景下，建议关注具备丰富上游铝土矿资源的中国铝业、中国宏桥、天山铝业等标的。贵金属：本周COMEX黄金价格+2.23%至2419.80美元/盎司，美债10年期TIPS下跌6BP至2.1%。COMEX黄金库存去库0.16百万金衡盎司至17.46百万金衡盎司。美国4月CPI同比3.4%，符合预期，低于前值的3.5%，核心CPI同比3.6%，符合预期，低于前值的3.8%，4月通胀有所放缓，市场降息预期再度强化，周内实际利率下降，推动黄金价格上涨。当前市场定价美联储首次降息时间为9月，Fed Watch工具显示9月降息25BP概率为49%，降息概率较上周有所提升。我们预计Q2在美联储资产负债表结构调整、黄金股业绩兑现等因素影响下，将迎来黄金股主升浪。建议关注吨资源量市值较低的山东黄金等标的。', '事件：截至5月17日，钼精矿（45%）价格为3695元/吨度，周度、月度涨幅为1%、12%。点评：钢招景气持续，钼价持续上行。2024年1-4月钼铁钢招量为5.5万吨，同比+135%；同比增幅较高的原因需考虑2023年1-3月份的低基数效应，但对比2021-2022年同期量增幅亦分别达到77%/55%。产业链开工率较高，后续提升空间较小。截至5月10日，钼精矿、钼铁和氧化钼开工率分别为76%、69%、95%；分别处于历史同期的较高水平。我们认为在供需持续向好、价格持续上涨的过程中，由于目前产业链开工率已出历史较高位置，因而供应增量空间相对有限。库存转向去化。截至5月10日，国内钼精矿、钼铁和氧化钼的库存分别为5170/10300/1470吨，较峰值（2024年2月中旬）去化幅度分别为13%、21%、58%。我们认为，随着下游需求景气，钼产业链开工面临瓶颈，产业链库存转入被动去化的阶段。头部矿企下调2025年钼产量指引，中长期增量或不及预期。5月16日紫金矿业发布公告，公布2025年矿产钼、矿产铜产量为1/122万吨，2028年矿产钼、矿产铜产量范围分别为150-160/2.5-3.5万吨。紫金矿业于3月23日公布的2023年报中披露，预计2025年矿产钼、矿产铜产量为1.6、117万吨；本次发布的产量指引为1/122万吨，调整幅度分别为-0.6/+5万吨。沙坪沟钼矿进展仍需关注。紫金矿业于2022年10月完成对金寨沙坪沟钼矿84%股权的收购，该项目建设期4.5年，总投资预计72亿元，其中建设投资64亿元，建成达产后年均产钼精矿含钼2.72万吨；安徽省环境厅于2024年4月上旬受理了《安徽金沙钼业有限公司金寨县沙坪沟钼矿采选项目环境影响报告书》。含钼钢产量景气，终端需求良好。直接需求来看，需求量占比较大的含钼钢种316不锈钢、双相不锈钢以及中厚板2024年3月产量累计同比增速分别为6%、58%和3%。终端需求来看，应用场景需求占比较高的油气、化学品制造投资3月累计同比增速分别为12%、7%。得益于造船和能化（火电、油气和化工）、钢结构领域景气延续，我们预计2026年全球钼需求量有望达到34.5万吨，3年CAGR为5%。新矿投放仍存在较大不确定性，钼供需有望持续偏紧。海外的主要增量项目为QuebradaBlanca铜矿二期项目，国内主要为季德钼矿、紫金矿业掌控的巨龙铜矿二期、沙坪沟钼矿等；根据紫金矿业公布的最新产量指引，我们测算2026年全球钼供应为29.5万金属吨，3年CAGR为3%。钼供应将长期偏紧，缺口分别为-4.1/-4.3/-5.0万吨，钼价中枢将逐步上行。投资建议随着能化与造船行业景气度延续；钼较大比例作为铜伴生矿面临品位下滑问题、且新矿山的投放仍然存在较大不确定性，我们认为钼价中枢有望持续上行；价格上涨，稀缺的钼资源标的有望充分受益，推荐金钼股份。']"
钢铁,"['2024-05-20 || 利好政策加码叠加消费继续好转，市场信心提振', '2024-05-20 || 矿山开工有所恢复，“迎峰度夏”有望提前']","['投资要点：投资策略：本周钢厂保持复产节奏，日均铁水产量237万吨，周环比提升1.02%。本周五大品种产量周环比继续增长，钢材消费保持高位，库存水平进一步下降。分品种来看，长材供需双弱持续降库，板材供需双旺保持高库存。受今年下游项目开工情况偏缓，前期消费受到抑制的影响，在利好政策支持下下游钢材消费不断恢复，目前钢材消费“淡季不淡”的趋势在增强。国内方面，2024年超长期特别国债发行，市场投资预期和情绪升高，项目资金到位有望加快，项目开展进度加快；政策加大力度支持房地产发展，央行宣布下调首套房贷最低首付降至15%，二套房最低首付降至25%，取消全国层面首套房和二套房贷款利率政策下限，并下调公积金贷款利率0.25个百分点，政策持续加码稳固地产预期。海外方面，美国4月CPI同比上升3.4%，预估为3.4%，前值为3.5%；美国4月CPI环比上升0.3%，预估为0.4%，前值为0.4%；核心CPI月率出现6个月来首次降温，降息预期有所升温。整体来看，1）原料端：铁矿石到港量保持高位，日均疏港量虽有所上升，港口库存仍有去库压力；焦炭价格持稳运行，市场信心有所恢复，原料端对钢价仍有支撑。2）供给端：钢厂保持复产步伐，虽然日均铁水产量增长空间相对有限，但供需矛盾大幅缓解，库存压力较小，钢厂生产积极性提升。3）需求端：政策利好持续释放，市场情绪提振，叠加钢材表观消费处于高位，钢材供需关系改善，基本面支撑钢价偏强运行。产业链：1.供需情况：本周，五大品种钢材产量合计889.52万吨，环比上周增长3.73万吨；消费量合计961.07万吨，环比上周增长30.87万吨；库存合计1813.07万吨，环比上周减少71.55万吨。2.上游原料：1）年内澳巴铁矿石累计发运量同比+1.49%，国内铁矿石累计到港量同比+6.48%，日均疏港量周环比+1.42%/同比+7%，港口铁矿石库存周环比+0.89%/同比+15.79%。2）炼焦煤库存1744万吨，周环比+14万吨；焦炭库存851万吨，周环比-6万吨，焦炭库存低位，市场情绪偏弱。3.生产冶炼：1）本周，钢厂高炉开工率为81.5%，周环比持平；钢厂电炉开工率为68.53%，周环比+4.35pct；日均铁水产量237万吨，周环比+1.02%。2）5月上旬，重点统计钢企粗钢日产219.15万吨，环比下降0.36%，同比下降2.63%；生铁日产193.65万吨，环比增长0.64%，同比下降3.45%。4.下游需求：1）2024年超长期特别国债发行。2）央行宣布下调首套房贷最低首付降至15%，二套房最低首付降至25%，取消全国层面首套房和二套房贷款利率政策下限，并下调公积金贷款利率0.25个百分点。3）五部门发布关于开展2024年新能源汽车下乡活动的通知。建议关注：普钢板块建议关注低估值、高股息、盈利稳定的公司，如南钢股份、华菱钢铁、新兴铸管等；特钢板块建议关注兼具盈利弹性和高股息的公司，如中信特钢、常宝股份、甬金股份等。', '动力煤方面1、产地方面，产地矿山开工有所恢复，生产积极性提高，但安全生产检查仍较严格，产量增量空间短期预计有限，价格维持稳定。2、港口方面，1）环渤海港煤炭周调入量1,302万吨，周环比-1.24%。2）本周环渤海港煤炭库存合计2,465万吨，周环比+3.64%/同比-14.13%，贸易商备货较积极，港口库存提升。3、下游方面，1）需求释放比较有限，本周全国电厂日耗205万吨，周环比-3.76%，电厂库存周环比+2.53%。2）非电行业需求表现一般，水泥熟料开工率57.94%，周环比+2.51pct/同比-8.42pct；甲醇开工率为76.27%，周环比-5.18pct/同比+5.72%；尿素开工率为81.23%，周环比-4.29pct/同比+1.05pct。4、短期来看，下周气温将明显升高，“迎峰度夏”有望提前到来，下游电厂或将陆续开启补库；宏观政策利好偏多，非电需求有一定增长预期；需求整体预计有所增长，考虑到电厂库存高位和新能源水电等出力提升，短期需求的拉动较为有限。旺季逐渐临近，煤炭消费开始提升，叠加产地安监仍然较严，市场情绪逐渐增强。5、中长期来看，2024年动力煤供需或将回到紧平衡，煤价有上升空间。1）4月进口煤炭0.45亿吨，环比+9.4%/同比+11.2%；1-4月累计进口煤炭1.61亿吨，同比+13.1%。2）4月原煤产量3.72亿吨，同比-2.9%；1-4月原煤产量14.76亿吨，同比-3.5%。3）4月火电发电量4,579亿千瓦时，同比+1.3%；1-4月火电发电量20,622亿千瓦时，同比+5.5%。4）2024年煤炭长协方案量价整体维持稳定，长协煤发挥压舱石作用，稳定市场供需和煤价，同时2024年动力煤供需或将回到紧平衡，煤价有上升空间。炼焦煤方面1、焦煤方面，1）本周矿山开工率87.49%，周环比+0.41pct/同比-9.52pct；洗煤厂开工率67.92%，周环比+3.82pct/同比-7.75pct。2）本周炼焦煤库存合计1,744万吨，周环比+0.81%/同比+10.31%，焦化厂和港口补库较快，钢厂补库较温和。2、焦炭方面，1）本周钢厂焦炭日均产量47.12万吨，周环比持平/同比+0.34%；产能利用率87.61%，周环比持平/同比+1.05pct，以按需生产为主。2）焦炭库存处在底部，本周焦炭库存合计851万吨，周环比-0.7%/同比-8.89%。3、钢铁方面，1）旺季尾声钢材消费仍处于相对高位，五大品种消费量周环比+3.32%。2）钢材库存继续下降，五大品种库存周环比-3.8%。3）本周高炉开工率81.5%，周环比持平/同比-0.86pct；日均铁水产量提升至237万吨，周环比+1.02%/同比-1.03%，钢厂保持复产态势。4、短期来看，山西召开煤矿企业安全生产和提质增效会议，但预计增量落地还需要时间，目前铁水保持增产但钢厂以按需采购为主，供需边际增量均相对有限，短期在高铁水以及焦炭市场继续博弈下，对价格仍有一定支撑。当前钢厂利润承压，焦钢博弈加剧，市场情绪转弱，保持关注钢铁下游消费形势以及钢厂生产节奏。5、中长期来看，2024年炼焦煤供需或进一步收紧，多重因素对炼焦煤价格形成支撑。1）下游需求有所收缩。4月焦炭产量3,849万吨，同比-6.9%，1-4月产量15,848，同比-2.1%；4月生铁产量7,163，同比-8%，1-4月产量28,499万吨，同比-4.3%；4月粗钢产量8,594，同比-7.2%，1-4月产量34,367，同比-3%。3）山西煤炭生产转向稳产保供，炼焦煤供给收缩幅度或大于需求，叠加双焦库存处于历史低位、海外需求旺盛以及贸易关税政策变化等因素，对炼焦煤价格形成较强支撑。建议关注：当前煤炭生产基调逐渐向“稳”发展，政策强调矿山安全生产，安监形势趋严，煤炭供给收缩预期增强。1）在动力煤板块，关注市值管理考核推动央国企估值修复的机会，业绩稳定、长协煤占比较高且重视分红回报的公司关注：中国神华、陕西煤业、中煤能源。2）经济持续向好发展叠加算力崛起，电力需求旺盛火电仍有机会，需求提振下具备高弹性的公司关注：兖矿能源、广汇能源。3）在炼焦煤板块，用钢需求韧性充足，炼焦煤供给收紧预期下供需存在缺口，叠加双焦库存低位有一定补库空间，业绩稳健且持续高分红的公司关注：潞安环能、山西焦煤、冀中能源。']"
