证券代码,证券名称,流通市值,总市值,最新价,涨跌幅,振幅,成交额,换手率,市盈率,市净率,EPS,ROE,每股净资产,股息率,资产负债率,所属同花顺行业,三级行业,二级行业,一级行业,主营产品,投资逻辑,公司亮点,沪深指数,所属概念,异动值
836699.BJ,海达尔,2.54,9.19,20.15,30.0,16.58,1.15,47.85,14.3,3.38,-,6.08,5.970276563,-,41.5734443527,家用电器-小家电-小家电Ⅲ,小家电,家电,可选消费,精密滑轨制造,家电领域国内知名的滑轨供应商,主营精密滑轨,,华为,26.21731265271659
837592.BJ,华信永道,3.11,11.29,18.17,29.97,23.32,1.4,49.15,-31.28,3.07,-,-2.42,5.924113664,-,17.7158224141,计算机-计算机应用-软件开发,电子政务,计算机,科技,软件定制与开发,深耕住房公积金行业信息化领域，服务的缴存人数及客户数量市占率行业居前,深耕住房公积金行业信息化领域，服务的缴存人数及客户数量市占率行业居前,,"互联网金融,供应链金融,信创,AIGC,蚂蚁金服,金融科技",29.904981188899853
300169.SZ,天晟新材,16.78,18.12,5.56,20.09,16.63,2.39,15.32,-112.29,16.61,-0.012379175,-3.65,0.334730705,-,88.8972338794,基础化工-化学制品-其他化学制品,化学制品,化学制品,化工,结构发泡材料,全国知名的高分子发泡材料专业生产商,专业的高分子发泡材料生产商,,"高端装备,快手,建筑节能,土壤修复,华为,露营经济,新能源汽车,锂电池,噪声防治,智能穿戴,医疗器械,小米,OLED,新材料,污水处理",19.196713414905666
300419.SZ,浩丰科技,28.17,28.17,7.66,20.06,23.67,6.74,26.46,157.76,4.51,0.036415474,2.16,1.700328267,-,37.2082506877,计算机-计算机应用-IT服务,金融科技,计算机,科技,金融软件,国内领先的营销信息化解决方案提供商,国内领先的营销信息化解决方案提供商,,"快手,国产软件,军工,网络安全,抖音,量子科技,大数据,华为,互联网金融,数据要素,云计算,金融科技,VPN,数据中心",59.09316179900417
301299.SZ,卓创资讯,16.82,28.69,47.81,20.01,9.56,2.62,15.79,28.9,4.11,0.413537383,3.62,11.642771252,0.84,29.0216317398,传媒-传媒-数字媒体,数字媒体,传媒,科技,大宗商品信息服务,国内领先的大宗商品信息服务企业,国内领先的大宗商品信息服务企业,中证2000,"大数据,数据要素,互联网金融,期货",20.92540621108961
688578.SH,艾力斯,255.1,255.1,56.69,20.0,11.24,8.99,3.61,20.84,5.9,0.680116798,7.37,9.601772911,-,8.0781865544,医药生物-化学制药-化学制剂,制药,生物,生物医药,肿瘤小分子靶向药,专注于肿瘤治疗领域的创新药企业,专注于肿瘤治疗领域的创新药企业,中证1000,"生物医药,抗肿瘤,年报预增,创新药",42.53793564257035
688318.SH,财富趋势,160.26,160.26,122.64,20.0,16.67,7.67,5.14,51.58,4.67,2.377805832,9.43,26.266052469,-,5.5805053958,计算机-计算机应用-软件开发,金融科技,计算机,科技,证券软件,国内证券行情交易系统软件和证券信息服务的重要供应商,产品“通达信”为知名证券行情软件,中证1000,"国产软件,ChatGPT,互联网金融,大数据,人工智能,数字经济,年报预增,金融科技,鸿蒙",39.05173388886126
300563.SZ,神宇股份,22.0,31.86,17.88,20.0,15.84,4.55,21.86,15.85,3.06,0.281938695,4.84,5.846691438,0.5,19.395145312,通信-通信设备-通信线缆及配套,光缆,通信,科技,细微射频同轴电缆,射频同轴电缆新贵,已掌握了射频同轴电缆生产的多个核心技术,,"5G,EDR,军工,卫星导航,航空航天,国产替代,WiFi 6,消费电子,新能源汽车,华为,新基建,数字经济,芯片,虚拟现实,医疗器械,苹果,专精特新,汽车电子",34.075954961881735
300210.SZ,森远股份,53.4,53.46,11.04,20.0,17.72,6.85,13.38,-83.38,12.18,-0.033101788,-3.59,0.906167355,-,59.24680358,机械设备-专用设备-其他专用设备,工程机械,工程机械,建筑业,公路养护设备,国内领先的提供沥青路面就地再生技术解决方案的企业,新型公路养护机械的技术开发和制造的企业,,"PPP,沥青,地下管网,新能源汽车,除雪,雄安新区,3D打印,公路建设",42.462009608831586
300520.SZ,科大国创,46.33,57.88,19.88,19.98,21.61,5.6,12.87,245.89,3.08,0.020212609,0.31,6.448162419,-,58.4089432321,计算机-计算机应用-软件开发,云计算,计算机,科技,综合软件开发,国内领先的数据智能高科技上市企业,致力于云计算、大数据、人工智能领域的研发及应用,中证2000,"数字乡村,ChatGPT,华为,大数据,锂电池,智能物流,比亚迪,人工智能,边缘计算,农业信息化,信创,AIGC,储能,数据要素,智慧城市,5G,军工,量子科技,新能源汽车,无人驾驶,数字经济,智慧政务,东数西算（算力）,国产软件,互联网医疗,网络安全,区块链,ETC,数字孪生,机器人,数据中心,汽车热管理,MLOps",39.39793090362921
300397.SZ,天和防务,44.12,56.32,10.88,19.96,19.85,5.19,12.18,201.2,3.42,0.013519182,0.43,3.179832319,-,35.3210221434,国防军工-国防军工-军工电子,军工电子,军工,公共事业,军工装备,公司军工装备为新一代综合进程防御系统,在军民融合综合电子信息领域，拥有先进的技术、成熟的生产工艺,,"5G,军工,卫星导航,华为,大数据,无人驾驶,军民融合,人工智能,芯片,通用航空,海工装备,东数西算（算力）,算力租赁,时空大数据,低空经济,边缘计算,安防,雷达,机器人,数据中心,超材料,毫米波雷达",33.33809459664616
688027.SH,国盾量子,176.82,176.82,220.0,18.6,21.47,17.91,10.6,-106.59,12.01,-0.516005459,-2.8,18.317408762,-,14.3535604727,通信-通信设备-通信终端及配件,通信终端,通信,科技,量子保密通信产品,国内一流的量子技术企业,全球领先的量子通信设备制造商和量子安全解决方案供应商,中证1000,"军工,专精特新,量子科技,芯片",98.20668261663333
688201.SH,信安世纪,36.72,38.49,17.9,18.54,22.52,3.76,10.83,-32.32,2.89,-0.13844459,-2.18,6.200579068,-,10.9192460181,计算机-计算机应用-软件开发,信息安全,计算机,科技,信息安全,密码领域第一梯队企业,国内较早从事基于密码技术研发、生产的专业信息安全厂商之一,中证2000,"跨境支付（CIPS）,国产软件,网络安全,数字货币,数据安全,信创,AIGC,专精特新,车联网,鸿蒙",29.237226878764968
300757.SZ,罗博特科,134.16,142.4,129.0,17.7,19.16,17.75,14.36,603.59,14.38,0.053429991,0.6,8.970915789,0.08,63.6113234026,机械设备-自动化设备-其他自动化设备,光伏加工设备,光伏,电力设备,智能自动化设备,国内少数能够提供自动化装备和制造系统软件的企业之一,公司产品主要运用于光伏领域，智能制造技术提供商,中证2000,"高端装备,BC电池,年报预增,华为,养老金持股,新能源汽车,工业互联网,集成电路,TOPCON电池,芯片,工业4.0,光伏,HJT电池,新型工业化",88.1243113014359
830799.BJ,艾融软件,13.36,23.25,11.05,16.81,22.2,1.25,9.73,50.52,5.82,-,2.89,1.89744817,-,56.4500793776,计算机-计算机应用-软件开发,金融科技,计算机,科技,金融软件,国内领先的银行软件服务商,国内领先的金融IT解决方案供应商,,"ChatGPT,大数据,虚拟数字人,人工智能,上海自贸区,跨境支付（CIPS）,国产软件,星闪,华为欧拉,数字货币,互联网金融,信创,华为鲲鹏,虚拟现实,百度,金融科技,汽车电子",12.061038468914585
300768.SZ,迪普科技,55.78,85.37,13.26,14.71,17.99,2.49,4.71,58.18,2.67,0.056981151,1.13,4.973069425,0.6,15.2588517892,计算机-计算机应用-软件开发,信息安全,计算机,科技,安全防护产品,企业级网络通信领域的领导者,多家交通，水利，钢铁，汽车，制药，食品领域的大型企业,中证1000,"数字水印,华为,量子科技,数据安全,IPV6,工业互联网,人工智能,态势感知,智慧政务,国产操作系统,鸿蒙,工业4.0,国产软件,网络安全,安防,信创,密码安全管理,华为鲲鹏,物联网,云计算,数据中心,VPN,新型工业化",13.369168867140388
688233.SH,神工股份,33.14,33.14,19.46,14.13,11.55,1.33,4.11,566.88,1.89,0.008582,0.08,10.298264557,-,6.0815252409,电子-半导体及元件-半导体材料,材料,半导体,科技,半导体级单晶硅,业界领先的集成电路刻蚀用单晶硅材料供应商,国内领先的半导体单晶硅材料供应商,中证2000,"集成电路,专精特新,中芯国际,芯片",5.818829396718182
300307.SZ,慈星股份,44.85,45.46,5.77,14.03,7.71,4.54,9.84,5.01,1.43,0.288056025,7.47,4.034803293,-,37.5783548061,机械设备-专用设备-纺织服装设备,纺织设备,纺织,可选消费,电脑针织横机,我国电脑针织机械领域领先企业,我国电脑针织机械领域领先企业,中证2000,"5G,军工,C2M,国产替代,华为,锂电池,6G,中瑞自贸协定,工业机器人,网络游戏,工业互联网,人工智能,比亚迪,芯片,工业4.0,光伏,机器人,锂电设备,边缘计算,虚拟现实,电子商务,储能,机器视觉,HJT电池",18.477766318510763
300895.SZ,铜牛信息,41.41,42.42,30.13,13.91,10.81,4.03,9.65,-69.8,4.45,-0.107919533,-1.58,6.767220941,-,9.8665676777,通信-通信服务-通信服务Ⅲ,IDC/服务器,计算机,科技,IDC及增值服务,IDC云平台龙头,北京市国资委下属二级企业,中证2000,"京津冀一体化,国资云,国企改革,量子科技,数据安全,北京国企改革,数字经济,冬奥会,东数西算（算力）,算力租赁,边缘计算,网络安全,数据确权,SAAS,地方国企改革,核电,物联网,数字孪生,数据要素,云计算,数据中心",16.486644828829668
688685.SH,迈信林,21.97,43.4,38.8,13.78,16.3,3.42,15.93,136.02,6.19,0.07131382,1.14,6.272018791,-,48.0171317394,国防军工-国防军工-航空装备,飞机,军工,公共事业,航空装备零部件,具有综合配套加工能力的民营航空航天零部件制造商,同时具备机体零部件、发动机零部件和机载设备零部件综合配套加工能力的民营航空航天零部件制造商,,"高端装备,军工,共封装光学（CPO）,航空发动机,军民融合,独角兽,专精特新",19.720799179618023
688195.SH,腾景科技,38.18,38.18,29.52,13.1,12.87,3.65,9.93,84.82,4.23,0.087009469,1.24,6.977685385,-,23.1323891946,电子-光学光电子-光学元件,光学电子,消费电子,科技,精密光学元件、光纤器件,精密光学元件和光纤器件领域的高新技术企业,公司精密光学元件等优势产品在细分领域具有较高的市场影响力,中证2000,"光纤,共封装光学（CPO）,华为,海峡两岸,福建自贸区,光刻胶,养老金持股,医疗器械,光刻机,无人驾驶,专精特新",14.04534241446147
300492.SZ,华图山鼎,135.5,135.5,96.45,12.75,11.84,1.89,1.42,46.69,48.02,0.516479304,28.99,2.008541288,0.02,81.9406417828,建筑装饰-建筑装饰-工程咨询服务,工程设计,工程设计,建筑业,建筑工程设计,拥有较为全面的建筑设计能力及客户服务能力,拥有较为全面的建筑设计能力及客户服务能力,,"节能环保,跨境电商,精装修",5.539306190964323
300308.SZ,中际旭创,1383.71,1484.1,184.86,12.62,10.59,73.23,5.43,36.76,9.45,1.257141645,6.82,19.561650065,0.11,25.4453602387,通信-通信设备-通信网络设备及器件,光模块,通信,科技,光模块、电机绕组,数据中心领域的光模块全球龙头,全球领先的光模块解决方案提供商，2021年全球光模块供应商TOP1,沪深300,"5G,光纤,共封装光学（CPO）,人民币贬值受益,无人驾驶,芯片,F5G,云计算,MSCI,年报预增,数据中心,汽车电子",152.17789736623186
301517.SZ,陕西华达,11.9,57.57,53.29,12.54,20.32,4.11,34.99,142.47,4.3,0.093508221,0.76,12.382924949,-,40.3838458062,国防军工-国防军工-军工电子,军工电子,军工,公共事业,0,0,陕西国资委旗下电连接器厂商，在军用射频同轴连接器及电缆组件领域国内领先,,"5G,军工,卫星导航,国企改革,华为,6G,地方国企改革,太赫兹,军民融合,毫米波雷达",36.51430049247337
300316.SZ,晶盛机电,415.03,441.31,33.7,12.52,13.12,13.69,3.36,10.31,2.75,0.816838432,6.91,12.234598484,1.34,52.2618630533,电力设备-电力设备-光伏设备,光伏加工设备,光伏,电力设备,单晶炉,国内单晶炉龙头企业之一,主营晶体硅生长设备，是国际领先的高端光伏装备供应商,沪深300,"硅晶圆,多晶硅,碳化硅,工业机器人,太阳能,TOPCON电池,工业4.0,光伏,机器人,蓝宝石,集成电路,MSCI,年报预增,培育钻石,第三代半导体",35.04697543955461
301315.SZ,威士顿,11.33,45.3,51.48,12.4,12.42,2.33,21.44,148.81,4.45,0.086487904,0.75,11.562918368,-,8.9457495781,计算机-计算机应用-软件开发,金融科技,计算机,科技,制造业和金融业信息化,工业和金融领域优质信息化服务商,在烟草行业的信息化领域具有一定知名度，兼营商业银行数据管理信息化,中证2000,"华为,大数据,智能制造,工业互联网,人工智能,数字经济,工业4.0,ERP,国产软件,互联网金融,AIGC,烟草,数据要素,机器人,数据中心,新型工业化",11.116395807330482
300529.SZ,健帆生物,136.33,211.18,26.15,12.23,10.34,8.36,6.29,18.54,6.79,0.352627416,8.97,3.851197169,2.56,44.7587934132,医药生物-医疗器械-医疗耗材,医疗耗材,医疗器械,生物医药,血液灌流器,血液灌流器行业主导地位,血液净化全面解决方案的专业提供商,中证500,"肝炎,医疗器械,血液制品,横琴新区",23.180263272965963
688162.SH,巨一科技,11.08,31.31,22.8,12.04,10.07,0.56,5.17,30.52,1.33,0.186733002,1.1,17.205668078,-,66.5331036862,机械设备-专用设备-其他专用设备,汽车电气,汽车零部件,汽车,智能装备整体方案,国内先进制造领域智能装备整体解决方案的主流供应商,国内领先的汽车智能制造成套装备和新能源汽车电驱动系统解决方案专家,中证2000,"特斯拉,燃料电池,新能源汽车,小米,长安汽车,比亚迪,华为汽车,蔚来汽车,理想汽车,数字孪生,机器人,小米汽车,减速器,新型工业化",2.58032638688071
300133.SZ,华策影视,130.26,152.09,8.0,11.73,17.04,22.28,17.69,126.68,2.15,0.015787796,0.43,3.716526109,0.28,28.1235788468,传媒-传媒-影视院线,影视,传媒,科技,影视,影视制作行业龙头企业，头部内容市场绝对领先地位,全网剧的产能规模稳居全行业第一,中证1000,"网红经济,多模态AI,Sora(文生视频),网络直播,大数据,华为,网络游戏,人工智能,元宇宙,VR影视,知识产权保护,旅游,动漫,文化传媒,短剧游戏,AIGC,虚拟现实,影视娱乐,NFT,百度,数据要素,IP,手机游戏,新媒体,网络视频",95.6785387461962
300067.SZ,安诺其,40.05,59.91,5.19,11.61,16.99,9.93,25.64,289.01,2.31,0.00448943,0.21,2.248111444,-,22.6983068519,基础化工-化学制品-纺织化学用品,纺织原料,纺织,可选消费,染料,专注于新型纺织面料和个性化需求面料的染料产品,国内高端染料行业领跑者,,"军工,Sora(文生视频),英伟达,C2M,柔性屏,染料,独角兽,人工智能,芯片,东数西算（算力）,算力租赁,长三角一体化,PPP,节能环保,区块链,AIGC,电子商务,百度,电子纸,新材料,污水处理,海工装备",52.95621948240117
688337.SH,普源精电,22.29,62.11,33.55,11.46,19.8,1.94,8.87,57.53,2.15,0.583141288,4.0,15.607053498,-,11.5274956136,机械设备-仪器仪表-仪器仪表Ⅲ,仪器仪表,机械设备,机械,电子测量仪器,示波器领域国内授权专利数量居于行业首位,示波器领域国内授权专利数量居于行业首位,中证1000,国产替代,14.301077741988426
300803.SZ,指南针,183.94,186.12,45.51,11.41,12.9,10.43,5.9,277.14,9.78,0.041052589,0.89,4.651933091,-,71.1626161372,计算机-计算机应用-软件开发,金融科技,计算机,科技,金融信息服务,专业的金融数据分析和证券咨询服务商,国内最早的证券分析软件开发商和证券信息服务商之一,中证1000,"国产软件,互联网金融,大数据,互联网券商",29.52335551920318
688651.SH,盛邦安全,5.39,24.17,32.06,11.13,14.63,0.93,17.99,-109.29,2.44,-0.07333846,-0.55,13.134626865,-,13.5190769982,计算机-计算机应用-软件开发,信息安全,计算机,科技,0,国家级专精特新“小巨人”，漏洞检测产品国内市占率居前,国家级专精特新“小巨人”，漏洞检测产品国内市占率居前,,"空间计算,网络安全,华为,大数据,数据安全,数据要素,专精特新,金融科技,国产操作系统,智慧城市",6.7548741164191854
300380.SZ,安硕信息,20.99,22.81,16.48,11.05,7.95,1.47,7.18,221.5,6.2,0.018600587,0.7,2.660016831,-,65.5491394828,计算机-计算机应用-软件开发,金融科技,计算机,科技,信贷管理,信贷风险管理领域信息化知名企业,为金融机构提供信贷资产管理及风险管理领域的一体化IT解决方案,中证2000,"国产软件,华为,大数据,征信,信创,百度,数据要素,鸿蒙",5.165198711297866
301085.SZ,亚康股份,20.46,45.08,51.95,11.0,12.39,4.48,21.51,49.66,4.01,0.261533696,2.03,12.947552072,0.24,44.2546036862,计算机-计算机应用-IT服务,IDC/服务器,计算机,科技,IT设备销售及运维服务,国内重要的IT设备销售及云服务运维服务商,领先的算力基础设施全产业链综合服务商,中证2000,"阿里巴巴,腾讯,抖音,共封装光学（CPO）,华为,大数据,数字经济,智慧政务,东数西算（算力）,算力租赁,滴滴,华为鲲鹏,华为昇腾,百度,一带一路,云计算,数据中心",18.40279812186166
837821.BJ,则成电子,2.36,9.11,12.9,10.82,12.46,0.41,17.99,63.62,1.79,-,0.71,7.208831485,-,29.5369351245,电子-半导体及元件-印制电路板,PCB,半导体,科技,FPC,国内FPC领域重要企业,主要从事基于柔性应用的定制化智能电子模组及印制电路板相关业务,,"PCB,消费电子,新能源汽车,虚拟现实,传感器,专精特新,汽车电子",3.118910818873821
688205.SH,德科立,24.58,43.86,43.54,10.51,13.25,1.5,6.16,47.65,2.0,0.228415677,1.05,21.793232002,-,12.1458930858,通信-通信设备-通信网络设备及器件,光模块,通信,科技,光收发模块和光放大器,专业从事光电子产品研发的高新技术企业,光模块厂商，最大客户为中兴通讯,中证2000,"5G,共封装光学（CPO）,F5G,专精特新,芯片,东数西算（算力）",6.447146491727791
301202.SZ,朗威股份,11.77,47.1,34.53,10.35,14.32,4.73,41.02,121.5,3.95,0.071051399,0.82,8.746145627,1.16,22.2719641993,通信-通信设备-其他通信设备,IDC/服务器,计算机,科技,综合布线产品和机柜,数据中心机柜国内市占率10%以上,数据中心机柜国内市占率10%以上,中证2000,"阿里巴巴,液冷服务器,腾讯,机器人,换电,云计算,数据中心,东数西算（算力）",26.892914583462062
688262.SH,国芯科技,58.34,74.16,22.07,10.35,18.15,3.47,6.12,-40.0,3.14,-0.137939349,-1.93,7.031689122,-,19.04855206,电子-半导体及元件-集成电路设计,EDA/IP,半导体,科技,国产嵌入式CPU,中国国产嵌入式CPU核的重要供应商,国产嵌入式CPU产业化应用领先企业之一,中证1000,"量子科技,MCU芯片,存储芯片,芯片设计,长安汽车,比亚迪,先进封装,芯片,东数西算（算力）,汽车芯片,边缘计算,星闪,数字货币,国家大基金持股,数据存储,信创,电子身份证,汽车电子",18.679720014210417
688498.SH,源杰科技,91.67,132.08,154.55,10.23,9.04,10.43,11.44,313.43,6.25,0.123271253,0.5,24.723452471,-,5.3129623092,电子-半导体及元件-集成电路设计,光模块,通信,科技,光芯片,10G激光器芯片市场份额全球第一,10G激光器芯片市场份额全球第一,,"共封装光学（CPO）,华为,芯片",24.489013132266475
000560.SZ,我爱我家,38.91,40.75,1.73,10.19,8.92,1.49,3.97,40.14,0.43,0.01077423,0.27,4.033653766,-,70.0933853252,房地产-房地产服务-房地产服务Ⅲ,房产服务,房地产,金融,房地产综合服务,房地产经纪龙头，拥有我爱我家、相寓等多个品牌,房地产经纪龙头企业，拥有我爱我家、相寓、昆百大外等多个品牌,中证1000,"住房租赁,ChatGPT,华为,大消费,新零售,人工智能,数字经济,鸿蒙,AIGC,电子商务,租售同权,一元股",4.105918061928517
300427.SZ,*ST红相,16.13,17.92,4.65,10.19,12.09,0.52,3.33,-28.1,1.15,-0.124123582,-2.93,4.039343782,-,60.7949484166,电力设备-电力设备-电气自控设备,电控设备,电气设备,电力设备,电力检测设备,国内较早推广电力设备状态检测、监测产品的企业,"公司旗下拥有""红相""、""红相力""、""REDPHASE""等知名品牌",,"风电,军工,电力物联网,能源互联网,福建自贸区,轨道交通,区块链,智能电网,特高压,新基建,军民融合,专精特新,电力改革,光伏",2.1899825148755174
603389.SH,亚振家居,12.32,12.32,4.69,10.09,11.74,0.78,6.58,-10.9,3.54,-0.107579137,-7.8,1.326010796,-,45.50287417,轻工制造-家用轻工-家具,家具,家居装修,建筑业,橱柜和沙发,欧式家具龙头，中高端欧式家具优质厂商,唯一连续五届与世博会合作的长期家具供应商，中国驰名商标,,"智能家居,新零售,金刚石（线）,培育钻石",3.382413722651385
600203.SH,福日电子,39.49,39.49,6.66,10.08,10.25,4.25,11.15,-13.79,1.94,-0.482837346,-12.97,3.440938983,-,72.5577453355,电子-消费电子-消费电子零部件及组装,光学电子,消费电子,科技,LED及智慧家电,国内领先的全方位节能解决方案提供商,4-6英寸芯片制造国内龙头企业，彩显FBT产品产销量全国行业前三,中证2000,"元器件,海峡两岸,国企改革,华为,透明工厂,无线耳机,消费电子,指纹技术,小米,超清视频,节能照明,MiniLED,福建自贸区,福建物联网,地方国企改革,物联网,机器人,无人机",11.766668177352116
002231.SZ,奥维通信,18.04,21.23,6.12,10.07,15.65,7.14,41.26,-221.72,6.71,-0.006900532,-0.75,0.912482198,-,43.2084413695,国防军工-国防军工-军工电子,军工电子,军工,公共事业,通信网络优化设备,主要为运营商提供移动通信网络优化覆盖设备及系统,聚焦军用电子信息技术，致力于打造国防科工产业知名品牌,中证2000,"5G,军工,振兴东北,军民融合,国产替代,专精特新,电子信息",40.9264094133979
002426.SZ,胜利精密,55.93,56.35,1.64,10.07,5.37,1.21,2.19,31.79,1.66,0.01289903,1.31,0.989245694,-,54.3448144791,电子-消费电子-消费电子零部件及组装,电子结构件,消费电子,科技,精密结构件及模组,中国3C行业结构模组系统解决方案提供商,为消费电子厂商提供精密结构模组,,"特斯拉,联想,华为,锂电池,消费电子,PET铜箔,新能源汽车,人民币贬值受益,智能穿戴,小米,智能终端,三星,一体化压铸,苹果,一带一路,一元股,新型工业化",3.051175191684541
002305.SZ,南国置业,28.44,28.44,1.64,10.07,11.41,1.7,6.32,2.71,3.81,0.151169939,42.56,0.43079855,-,90.068080147,房地产-房地产开发-商业地产,商业地产,房地产,金融,湖北武汉地产,中国电建集团旗下，以商业地产为引导的综合性开发企业,中国电建集团旗下，以商业地产为引导的综合性物业开发企业,中证2000,"国企改革,武汉自贸区,央企国企改革,雄安新区,租售同权,特色小镇,土地增值,一元股,物业管理",5.815908231558826
002298.SZ,中电兴发,32.87,38.04,5.14,10.06,6.21,2.11,6.55,29.73,1.05,0.043216019,0.89,4.904869288,-,43.4195823307,计算机-计算机应用-软件开发,智慧城市,计算机,科技,智慧城市,具有“九甲”资质的智慧中国全面解决方案提供商,智慧城市、反恐与公共安全的一体化解决方案供应商,中证2000,"智能交通,数字乡村,光纤,轨道交通,华为,大数据,消费电子,工业互联网,人工智能,共享汽车,碳中和,边缘计算,共享经济,信创,AIGC,电子商务,传感器,虚拟电厂,人脸识别,数据要素,储能,智慧城市,无人机,5G,元器件,军工,电力物联网,数据安全,充电桩,数字经济,智慧政务,冬奥会,东数西算（算力）,PPP,国产软件,时空大数据,网络安全,数据存储,安防,高铁,安徽自贸区,无线充电,锌电池,物联网,云计算,数据中心,智能电网,反恐",5.9237746007369685
002035.SZ,华帝股份,54.64,59.34,7.0,10.06,6.13,4.52,8.45,11.96,1.62,0.146361238,3.35,4.327428267,1.43,47.2544130064,家用电器-厨卫电器-厨卫电器Ⅲ,厨卫电器,家电,可选消费,烟机、灶具,国内厨卫行业的龙头企业之一，灶具知名品牌,中国灶具第一品牌，中国高端智能厨电的代表企业,中证2000,"家用电器,世界杯,棚户区改造,粤港澳大湾区,太阳能热水器,空气能热泵,电子商务,净水,年报预增,恒大,智能家居",11.434763370588067
002670.SZ,国盛金控,160.06,190.8,9.86,10.04,2.23,7.45,4.66,207.33,1.74,0.011889247,0.21,5.670663965,-,70.8682126133,非银金融-证券-证券Ⅲ,证券,非银金融,金融,证券业务,国内大型综合金融投资控股集团,江西省交通运输厅旗下，主要通过全资子公司国盛证券开展业务,中证500,"国企改革,区块链,地方国企改革,期货,消费金融,金融科技",15.512357428244616
000586.SZ,汇源通信,19.71,19.71,10.19,10.04,13.71,2.11,11.0,-246.43,5.95,-0.010337709,-0.6,1.712253331,-,38.3464182927,通信-通信设备-通信线缆及配套,光缆,通信,科技,光纤光缆,国内电力光缆的主流制造商、气吹微缆行业的领先者,拥有世界先进水平的中心管式异型铠装光缆和带状光缆两项国家专利,,"5G,光纤,共封装光学（CPO）,安防,特高压,光纤光缆,专精特新,电子信息,成渝特区,TMT",9.977495511941058
603188.SH,亚邦股份,16.25,16.25,2.85,10.04,11.58,0.69,4.42,-4.77,1.3,-0.448541485,-18.59,2.18832678,-,52.6919598078,基础化工-化学制品-纺织化学用品,纺织原料,纺织,可选消费,染料,国内最大的蒽醌结构分散和还原染料生产企业,打造了原材料-中间体-商品的纵向完整的产业链,,染料,2.7412594891197855
000532.SZ,华金资本,39.16,39.3,11.4,10.04,0.0,0.69,1.76,9.04,2.69,0.315178071,7.73,4.234783554,0.53,36.456913009,非银金融-保险及其他-多元金融,资产管理,非银金融,金融,投资与管理,构建了“创投+实业”双轮驱动的产业新格局,构建了“创投+实业”双轮驱动的产业新格局,中证2000,"澳交所,元器件,国企改革,锂电池,IPV6,独角兽,粤港澳大湾区,石墨烯,珠海国企改革,地方国企改革,广东国企改革,横琴新区,污水处理",1.8619261444564317
600783.SH,鲁信创投,86.49,86.49,11.62,10.04,5.78,1.43,1.67,220.61,1.96,0.039504434,0.66,5.915287719,1.98,46.2267792987,非银金融-保险及其他-多元金融,资产管理,非银金融,金融,磨料磨具,国内最早开展创投的机构之一,国内最早开展创投的机构之一，具备完善的投资管理和风控体系,中证1000,"国企改革,OGS触控屏,地方国企改革,山东国企改革,军民融合,代糖,新兴板",3.3096320142507727
001330.SZ,博纳影业,68.27,88.93,6.47,10.03,10.2,1.36,2.03,-28.24,1.37,-0.171849231,-3.55,4.738876944,-,59.9518623392,传媒-传媒-影视院线,影视,传媒,科技,电影,国内首家电影发行民营企业，全国民营发行公司排名前三,国内首家从事电影发行业务的民营企业，全国民营发行公司排名前三,,"影视娱乐,阿里巴巴,腾讯,新疆振兴,文化传媒,IP",3.357537521884998
603232.SH,格尔软件,30.7,30.7,13.16,10.03,11.96,1.65,5.55,-14.9,2.29,-0.220736363,-3.74,5.749759908,-,15.8260846058,计算机-计算机应用-软件开发,信息安全,计算机,科技,PKI安全应用产品,中国信息安全数字证书领域的先行者和领导者,国内首批商用密码产品定点生产与销售单位，中国身份和数字信任软件市场占比前四,中证2000,"军工,量子科技,大数据,数据安全,云办公,智慧政务,芯片,汽车芯片,金融科技,国产软件,网络安全,数字货币,区块链,信创,华为鲲鹏,百度,车联网,电子身份证,Web3.0",5.904990413420037
601099.SH,太平洋,224.26,224.26,3.29,10.03,7.69,17.66,8.14,160.96,2.36,0.005110043,0.37,1.395550004,-,41.3698598463,非银金融-证券-证券Ⅲ,证券,非银金融,金融,CCC级券商,公司经纪业务在云南市场占有率排名第一,公司作为云南本土的上市券商，经纪业务在云南市场占有率排名第一,中证1000,"互联网金融,互联网券商,MSCI",34.8032460604325
002326.SZ,永太科技,79.36,90.19,9.87,10.03,8.14,2.74,3.51,115.59,2.82,0.021346501,0.62,3.50400608,1.01,69.1390411518,基础化工-化学制品-氟化工,氟,新能源,化工,锂电材料,国内产品链最完善、产能最大的氟精细化学品生产商之一,氟苯精细化学品行业龙头，六氟磷酸锂生产企业,中证500,"生物医药,电解液,锂电池,仿制药一致性评价,氟化工,宁德时代,钠离子电池,中医药,儿童医药医疗,新材料,萤石,盐野义,六氟磷酸锂",6.433109363915297
600617.SH,国新能源,44.52,48.37,3.51,10.03,2.19,0.33,0.74,9.92,1.27,0.08841636,3.25,2.760163257,-,85.490011947,公用事业-燃气-燃气Ⅲ,燃气,石油,资源,天然气,山西省内规模最大的天然气管网运营企业,山西省内规模最大的天然气管网运营企业,中证2000,"天然气,国企改革,山西国企改革,地方国企改革,LNG加气站",0.866187339334108
