证券代码,证券名称,流通市值,总市值,最新价,涨跌幅,振幅,成交额,换手率,市盈率,市净率,EPS,ROE,每股净资产,股息率,资产负债率,所属同花顺行业,三级行业,二级行业,一级行业,主营产品,投资逻辑,公司亮点,沪深指数,所属概念,异动值
601066.SH,中信建投,860.22,1750.69,22.57,5.42,4.9,5.99,0.71,24.89,2.41,0.906892257,8.59,9.355984819,1.2,81.343663643,非银金融-证券-证券Ⅲ,证券,非银金融,金融,AA级券商,投行业务行业领先，财富管理业务保持市场前列,投行业务行业领先，财富管理业务保持市场前列,沪深300,"腾讯,北交所,北京自贸区,MSCI,同花顺中特估100",4.2406536182496675
688020.SH,方邦股份,24.34,24.34,30.17,5.42,10.27,0.42,1.74,-42.84,1.66,-0.176078624,-0.97,18.184759292,-,23.6901050861,电子-电子化学品-电子化学品Ⅲ,膜材料,合成材料,化工,电磁屏蔽膜,规模仅次于拓自达的电磁屏蔽膜厂商,高端电子材料行业，主要收入来源电磁屏蔽膜属于高性能复合材料,中证2000,"5G,华为,PET铜箔,小米,三星,稀土永磁,先进封装,专精特新",1.294924995663515
688609.SH,九联科技,51.65,51.65,10.33,5.41,7.65,2.23,4.34,285.47,5.0,0.009046523,0.44,2.066430742,-,67.9031168934,家用电器-黑色家电-其他黑色家电,电视,家电,可选消费,机顶盒,机顶盒领域领军企业,推动我国数字电视行业发展的重要参与者之一,中证2000,"5G,ChatGPT,共封装光学（CPO）,华为,WiFi 6,超清视频,工业互联网,人工智能,鸿蒙,元宇宙,边缘计算,星闪,信创,虚拟现实,VR设备,物联网,智能医疗,智慧城市",3.9544632297447992
601375.SH,中原证券,127.9,172.25,3.71,5.4,4.55,2.89,2.3,32.93,1.23,0.028170035,0.94,3.023063267,0.19,70.8838920461,非银金融-证券-证券Ⅲ,证券,非银金融,金融,A级券商,以河南为中心的中等券商,以证券业务为基础的金融综合经营企业，正牵头组建中原人寿公司,中证1000,"国企改革,数据交易中心,地方国企改革,河南国企改革,期货,年报预增,债转股(AMC)",2.695378450343959
002939.SZ,长城证券,265.76,307.42,7.62,5.39,4.84,3.64,1.4,21.37,1.08,0.356549458,5.12,7.086386403,1.31,74.8627547556,非银金融-证券-证券Ⅲ,证券,非银金融,金融,B级券商,国内较早成立的综合类证券公司之一,拥有全牌照、综合性业务平台，债券承销业务居于行业领先水平,中证500,"国企改革,央企国企改革,期货,MSCI,年报预增",3.012227817614349
600030.SH,中信证券,2177.86,2839.62,19.16,5.39,4.95,42.48,1.98,14.32,1.1,0.334574336,1.88,17.350179013,2.56,81.7584813886,非银金融-证券-证券Ⅲ,证券,非银金融,金融,AA级券商,券商业综合实力排名第一,券商业综合实力排名第一,"上证50,沪深300","MSCI,期货,同花顺漂亮100,同花顺中特估100,百度金融",26.654345681823756
600136.SH,*ST明诚,26.62,27.96,1.37,5.38,0.0,0.03,0.1,-1.08,1.08,-0.948192706,0.0,1.270610013,-,465.9207476383,社会服务-其他社会服务-体育,体育,社会服务,可选消费,影视+体育,“影视+体育”双栖领先企业,湖北省第一家荣膺“国家体育产业示范单位”称号的上市公司,,"足球,国企改革,文化传媒,地方国企改革,体育产业,影视娱乐,世界杯,湖北国企改革,一元股,奥运会",0.03776559219227677
600906.SH,财达证券,92.53,228.77,7.05,5.38,5.38,4.32,4.76,51.49,1.96,0.034228231,0.95,3.603355905,0.71,76.0646249674,非银金融-证券-证券Ⅲ,证券,非银金融,金融,BBB级券商,公司是唯一一家河北省内注册的法人证券公司,公司是唯一一家河北省内注册的法人证券公司,中证500,"京津冀一体化,国企改革,地方国企改革,雄安新区,百度,期货,年报预增",4.240535158376756
002821.SZ,凯莱英,266.15,299.23,80.99,5.37,6.35,6.43,2.45,26.53,1.7,0.763171792,1.6,47.578520561,2.22,11.2616146568,医药生物-医疗服务-医疗研发外包,CRO,医疗服务,生物医药,CDMO,中国最大的商业化阶段化学药物CDMO公司,行业领先的全球创新药CDMO解决方案提供商,沪深300,"生物医药,创新药,CRO,MSCI,辉瑞,抗癌",6.66862514303408
688316.SH,青云科技-U,12.63,16.79,35.14,5.37,3.21,0.58,4.67,-55.29,9.76,-0.158882001,-4.32,3.601005162,-,68.1158885243,计算机-计算机应用-IT服务,云计算,计算机,科技,混合云,混合云行业领先企业,一家具有广义云计算服务能力的平台级混合云ICT厂商和服务商,,"网络安全,边缘计算,英伟达,华为,SAAS,华为欧拉,信创,华为鲲鹏,物联网,云计算,数据中心,东数西算（算力）,算力租赁",0.8706386922449815
