isin,slug,name.originalValue,name.translations.others,name.translations.en,overview.lastPrice,changeToPrevDay,turnover,marketCapitalisation,overview.dateTimeLastPrice,market.originalValue,market.translations.de,market.translations.en,segment.originalValue,segment.translations.others,industrySector.originalValue,industrySector.translations.others,instrumentType.originalValue,instrumentType.translations.de,instrumentType.translations.en,securityType.originalValue,securityType.translations.de,securityType.translations.en,originCountry.originalValue,originCountry.translations.de,originCountry.translations.en,sector.originalValue,subsector.originalValue,subsector.translations.others,industrySector.translations.de,industrySector.translations.en,subsector.translations.de,subsector.translations.en,segment,sector,subsector,originCountry.translations.others
DE0007664039,volkswagen-ag-vz,VOLKSWAGEN AG VZO O.N.,Volkswagen AG Vz,,124.06,0.2424046541,83800195.38,62191278000.0,2023-07-20T17:41:50+02:00,REGULATED,Regulierter Markt,Regulated Market,PRIME,Prime Standard,91,,1003,Vorzugsaktien,Preffered shares,BEARER_SHARES,Inhaberaktie,Bearer share,DE,Deutschland,Germany,Automobile,Automobile Manufacturers,,Fahrzeug- und Maschinenbau,Automotive and mechanical engineering,Automobilhersteller,Automobile Manufacturers,,,,
DE0008430026,muenchener-rueck-ag,MUENCH.RUECKVERS.VNA O.N.,Münchener Rück AG,,338.1,1.6842105263,82016341.7,46140507000.0,2023-07-20T17:35:25+02:00,REGULATED,Regulierter Markt,Regulated Market,PRIME,Prime Standard,81,,1002,Stammaktien,Common shares,REGISTERED_SHARES,Namensaktie,Registered share,DE,Deutschland,Germany,Insurance,Re-Insurance,,Banken und Versicherungen,Bank/insurance,Rückversicherung,Re-Insurance,,,,
DE000A1EWWW0,adidas-ag,ADIDAS AG NA O.N.,adidas AG,,171.0,-0.7544979687,80143435.4,30780000000.0,2023-07-20T17:35:26+02:00,REGULATED,Regulierter Markt,Regulated Market,PRIME,Prime Standard,150,,1002,Stammaktien,Common shares,REGISTERED_SHARES,Namensaktie,Registered share,DE,Deutschland,Germany,Consumer,Clothing & Footwear,,"Verbrauchsgüter, Nahrungsmittel, Brauereien, Papier",Consumer goods/food/breweries/paper,Bekleidung & Schuhware,Clothing & Footwear,,,,
DE0005190003,bmw-ag-st,BAY.MOTOREN WERKE AG ST,BMW AG St,,107.68,0.447761194,77076817.94,62432864000.0,2023-07-20T17:41:14+02:00,REGULATED,Regulierter Markt,Regulated Market,PRIME,Prime Standard,91,,1002,Stammaktien,Common shares,BEARER_SHARES,Inhaberaktie,Bearer share,DE,Deutschland,Germany,Automobile,Automobile Manufacturers,,Fahrzeug- und Maschinenbau,Automotive and mechanical engineering,Automobilhersteller,Automobile Manufacturers,,,,
DE000CBK1001,commerzbank-ag,COMMERZBANK AG,Commerzbank AG,,11.21,1.0365029292,74133895.94,14038955600.0,2023-07-20T17:44:57+02:00,REGULATED,Regulierter Markt,Regulated Market,PRIME,Prime Standard,81,,1002,Stammaktien,Common shares,BEARER_SHARES,Inhaberaktie,Bearer share,DE,Deutschland,Germany,Banks,Credit Banks,,Banken und Versicherungen,Bank/insurance,Kreditbanken,Credit Banks,,,,
US88160R1014,tesla-inc,"TESLA INC. DL -,001",Tesla Inc.,,244.0,-8.5457271365,65754038.75,772016000000.0,2023-07-20T17:35:40+02:00,OPEN,Freiverkehr,Open Market,,,91,,1002,Stammaktien,Common shares,REGISTERED_SHARES,Namensaktie,Registered share,US,,,,,,Fahrzeug- und Maschinenbau,Automotive and mechanical engineering,,,,,,USA
DE000A161408,hellofresh-se,HELLOFRESH SE INH O.N.,HelloFresh SE,,22.29,-7.125,47768010.06,3838338000.0,2023-07-20T17:35:05+02:00,REGULATED,Regulierter Markt,Regulated Market,PRIME,Prime Standard,171,,1002,Stammaktien,Common shares,BEARER_SHARES,Inhaberaktie,Bearer share,DE,Deutschland,Germany,Retail,"Retail, Internet",,Handel,Trade,"Einzelhandel, Internet","Retail, Internet",,,,
DE000ENAG999,e-on-se,E.ON SE NA O.N.,E.ON SE,,11.475,0.9678838539,43307311.39,30309147000.0,2023-07-20T17:38:23+02:00,REGULATED,Regulierter Markt,Regulated Market,PRIME,Prime Standard,70,,1002,Stammaktien,Common shares,REGISTERED_SHARES,Namensaktie,Registered share,DE,Deutschland,Germany,Utilities,Multi-Utilities,,Versorgung und Energie,Service/energy,Versorgungsunternehmen,Multi-Utilities,,,,
DE000DTR0CK8,daimler-truck-holding-ag,DAIMLER TRUCK HLDG NA ON,Daimler Truck Holding AG,,33.18,1.0968921389,42985469.29,27305481000.0,2023-07-20T17:35:07+02:00,REGULATED,Regulierter Markt,Regulated Market,PRIME,Prime Standard,91,,1002,Stammaktien,Common shares,REGISTERED_SHARES,Namensaktie,Registered share,DE,Deutschland,Germany,Industrial,Heavy Machinery,,Fahrzeug- und Maschinenbau,Automotive and mechanical engineering,Schwermaschinen,Heavy Machinery,,,,
DE0005810055,deutsche-boerse-ag,DEUTSCHE BOERSE NA O.N.,Deutsche Börse AG,,167.05,1.0892586989,40570375.75,31739500000.0,2023-07-20T17:35:55+02:00,REGULATED,Regulierter Markt,Regulated Market,PRIME,Prime Standard,190,,1002,Stammaktien,Common shares,REGISTERED_SHARES,Namensaktie,Registered share,DE,Deutschland,Germany,Financial Services,Securities Brokers,,Sonstige deutsche Aktien,Other german shares,Wertpapier Broker,Securities Brokers,,,,
