,brand,model,name
9,建设雅马哈,飞致YS150,建设雅马哈 飞致YS150
10,新大洲本田,NS125LA,新大洲本田 NS125LA
11,骁胜HYOSUNG,奥罗拉150,骁胜HYOSUNG 奥罗拉150
12,新大洲本田,NS125RX,新大洲本田 NS125RX
13,新大洲本田,战神,新大洲本田 战神
14,济南铃木,极客飒 Gixxer 155 NK,济南铃木 极客飒 Gixxer 155 NK
15,标致,SpeedFight125,标致 SpeedFight125
16,五羊本田,SCR110 佳御,五羊本田 SCR110 佳御
17,五羊本田,NSP,五羊本田 NSP
18,济南铃木,极客飒 Gixxer 155,济南铃木 极客飒 Gixxer 155
19,本田WING,Cross Cub,本田WING Cross Cub
20,五羊本田,RR150 幻影,五羊本田 RR150 幻影
21,建设雅马哈,GT150 Fazer,建设雅马哈 GT150 Fazer
22,标致,Django Classic,标致 Django Classic
23,标致,SpeedFight 4+,标致 SpeedFight 4+
0,宗申阿普利亚,SR 150,宗申阿普利亚 SR 150
1,宗申比亚乔,CITY FLY 150,宗申比亚乔 CITY FLY 150
2,骁胜HYOSUNG,U侠 大脚攀爬者,骁胜HYOSUNG U侠 大脚攀爬者
3,五羊本田,猛鸷 CB190X,五羊本田 猛鸷 CB190X
4,五羊本田,鸷道 CB190SS,五羊本田 鸷道 CB190SS
5,宗申阿普利亚,RA1,宗申阿普利亚 RA1
6,新大洲本田,CBF190X,新大洲本田 CBF190X
7,济南铃木,酷道,济南铃木 酷道
8,宗申阿普利亚,Cafe 150,宗申阿普利亚 Cafe 150
9,新大洲本田,CBF190R,新大洲本田 CBF190R
10,宗申阿普利亚,Terra 150,宗申阿普利亚 Terra 150
11,本田WING,Lead125,本田WING Lead125
12,新大洲本田,CBF190TR,新大洲本田 CBF190TR
13,阿普利亚,APR150-5A,阿普利亚 APR150-5A
14,新大洲本田,CRF190L,新大洲本田 CRF190L
15,骁胜HYOSUNG,GV300S,骁胜HYOSUNG GV300S
16,骁胜HYOSUNG,U侠 N.P.J,骁胜HYOSUNG U侠 N.P.J
17,骁胜HYOSUNG,U侠 Black 7,骁胜HYOSUNG U侠 Black 7
18,建设雅马哈,飞致YS250,建设雅马哈 飞致YS250
19,宗申阿普利亚,GPR125,宗申阿普利亚 GPR125
20,宗申阿普利亚,GPR150R,宗申阿普利亚 GPR150R
21,宗申比亚乔,X7,宗申比亚乔 X7
22,骁胜HYOSUNG,坦影,骁胜HYOSUNG 坦影
23,建设雅马哈,天剑王JYM250,建设雅马哈 天剑王JYM250
0,豪爵铃木,骊驰 GW250,豪爵铃木 骊驰 GW250
1,豪爵铃木,DL250,豪爵铃木 DL250
2,豪爵铃木,GSX250R,豪爵铃木 GSX250R
3,宗申阿普利亚,Pagani 150,宗申阿普利亚 Pagani 150
4,ADIVA,Fortune 150,ADIVA Fortune 150
5,骁胜HYOSUNG,GV125S,骁胜HYOSUNG GV125S
6,宗申阿普利亚,GPR250S,宗申阿普利亚 GPR250S
7,骁胜HYOSUNG,驯风300,骁胜HYOSUNG 驯风300
8,标致,Django EVO,标致 Django EVO
9,宗申阿普利亚,GPR250R,宗申阿普利亚 GPR250R
10,五羊本田,PCX,五羊本田 PCX
11,新大洲本田,PCX,新大洲本田 PCX
12,豪爵铃木,骊驰 GW 250F,豪爵铃木 骊驰 GW 250F
13,豪爵铃木,骊驰 GW 250S,豪爵铃木 骊驰 GW 250S
14,标致,城市之星 CityStar 200,标致 城市之星 CityStar 200
15,骁胜HYOSUNG,GV250DR,骁胜HYOSUNG GV250DR
16,宗申阿普利亚,SR Max 250,宗申阿普利亚 SR Max 250
17,ADIVA,AD1 200,ADIVA AD1 200
18,本田WING,CM300,本田WING CM300
19,ADIVA,AJ 201,ADIVA AJ 201
20,意塔杰特ITALJET,Dragster 300,意塔杰特ITALJET Dragster 300
21,意塔杰特ITALJET,Dragster 200,意塔杰特ITALJET Dragster 200
22,本田WING,CB400F,本田WING CB400F
23,哈雷戴维森,X 350,哈雷戴维森 X 350
0,本田WING,CL300,本田WING CL300
1,本田WING,NX400,本田WING NX400
2,本田WING,CBR400R,本田WING CBR400R
3,骁胜HYOSUNG,GV650巡风,骁胜HYOSUNG GV650巡风
4,宗申阿普利亚,SR Max 300,宗申阿普利亚 SR Max 300
5,本田WING,CB400X,本田WING CB400X
6,哈雷戴维森,X 500,哈雷戴维森 X 500
7,SWM,SM 500,SWM SM 500
8,本田WING,NSS350,本田WING NSS350
9,标致,XP400,标致 XP400
10,KTMR2R,250 SX-F,KTMR2R 250 SX-F
11,KTMR2R,790 Duke,KTMR2R 790 Duke
12,KTMR2R,790 Adventure,KTMR2R 790 Adventure
13,天鹰,Vertigo 300,天鹰 Vertigo 300
14,HUSQVARNA,TE 250,HUSQVARNA TE 250
15,KTMR2R,300 EXC TPI,KTMR2R 300 EXC TPI
16,HUSQVARNA,FE 250,HUSQVARNA FE 250
17,KTMR2R,350 EXC-F,KTMR2R 350 EXC-F
18,KTMR2R,890 Duke,KTMR2R 890 Duke
19,KTMR2R,450 EXC-F,KTMR2R 450 EXC-F
