证券代码,证券名称,199006,199012,199106,199112,199206,199212,199303,199306,199312,199403,199406,199412,199503,199506,199509,199512,199603,199606,199609,199612,199703,199706,199712,199803,199806,199812,199903,199906,199912,200003,200006,200009,200012,200103,200106,200109,200112,200203,200206,200209,200212,200303,200306,200309,200312,200403,200406,200409,200412,200503,200506,200509,200512,200603,200606,200609,200612,200703,200706,200709,200712,200803,200806,200809,200812,200903,200906,200909,200912,201003,201006,201009,201012,201103,201106,201109,201112,201203,201206,201209,201212,201303,201306,201309,201312,201403,201406,201409,201412,201503,201506,201509,201512,201603,201606,201609,201612,201703,201706,201709,201712,201803,201806,201809,201812,201903,201906,201909,201912,202003,202006,202009,202012,202103,202106,202109,202112,202203,202206,202209,202212,202303,202306,202309,202312,202403
000001.SZ,平安银行,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,423410711.36,0.0,0.0,481662938.07,0.0,493984235.6,0.0,478051807.79,0.0,482552087.94,0.0,552750597.74,0.0,444134224.22,489277051.38,0.0,581328567.28,569730595.89,0.0,552275477.38,525928242.0,0.0,520448249.0,0.0,309717258.0,0.0,397029908.0,0.0,475151128.0,408257865.0,93360363.0,13516316.0,35467348.0,30509710.0,37814164.0,44466104.0,17648804.0,51774322.0,17670478.0,25547645.0,11792846.0,14529120.0,12274606.0,17584082.0,4592695.0,6605240.0,6220050.0,12381339.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000002.SZ,万  科A,0.0,0.0,0.0,0.0,0.0,219893301.2,0.0,0.0,570163906.76,0.0,0.0,867093603.77,0.0,0.0,0.0,1222124277.41,0.0,0.0,0.0,1361356458.61,0.0,0.0,1713988281.59,0.0,2043032759.72,2349936093.6,0.0,2658693058.11,2462246944.42,0.0,2981956708.8,0.0,3499234666.67,0.0,4070841071.0,0.0,4730238890.26,4976530580.19,5387605145.25,5911263699.17,5976170097.26,6591749781.25,7058135501.43,8491801407.5,8670928242.49,9509622544.4,10123366314.21,11013097092.33,10545591392.27,11521818524.81,13206873838.7,14857671696.02,14869180803.88,16657955904.96,20325745083.01,29897247490.08,30808300181.88,34681890561.76,43356097103.32,62937531296.33,66744147111.63,72703253184.22,81559470506.33,87670139424.58,86087283547.85,84491041667.57,84402409255.38,86857527349.08,90678502539.65,104167952763.25,112251647771.12,123944315727.99,134097740186.51,151655904376.87,172264668237.99,193864309445.21,209041046162.72,215553332906.4,227286190016.91,247733156835.5,256215231811.0,290915284751.36,312366192302.02,340145649517.45,332046890056.09,341510130078.72,342624157846.74,352035670049.93,319559859071.57,337494701482.09,333836861510.69,351950701687.99,368720289419.21,413524991410.0,428288871457.15,447437513027.69,468126648694.83,492509602992.22,497163374390.11,551617228657.02,599110068512.17,631136692892.26,639613747224.32,709053938223.26,752215634917.98,780775161797.65,794765743051.76,864829081436.84,901198875146.44,910016812771.89,935075480682.7,957760572479.33,1005299858491.51,1024029044094.86,1051670669261.56,1116758134240.58,1079015166055.08,1079987474968.78,1026916793266.09,985243518730.41,908906655731.77,879878399092.07,839529689887.13,817907070153.33,704616161084.39,0.0
000004.SZ,国华网安,0.0,0.0,0.0,2280080.1,0.0,7578034.56,0.0,0.0,15933921.87,0.0,0.0,19534163.73,0.0,0.0,0.0,12211666.7,0.0,0.0,0.0,8025087.81,0.0,0.0,5458144.95,0.0,10798050.73,1338545.27,0.0,969860.6,879597.99,0.0,874791.79,0.0,670485.58,0.0,6045455.19,0.0,16665349.75,26664512.82,20870784.3,21037692.46,21226968.8,0.0,30753105.17,29692831.96,27879209.16,32180130.17,32566248.86,33390177.49,28018054.7,28052722.49,29214524.25,27881150.27,8623760.59,0.0,30603212.8,27845791.75,23071600.8,24745703.85,26718162.54,31624844.57,32534489.79,34850873.38,35858992.78,33576325.68,45293965.83,37880417.03,42038766.74,44354038.11,67168025.74,58917918.76,73425215.78,46008224.6,63564458.86,60372714.62,60514665.55,46145837.7,53090597.24,53734234.75,60089399.0,57450170.05,49260277.86,46280247.92,54793291.75,61541084.99,82722543.84,113188731.26,121921752.01,125652245.34,196112016.5,195106057.56,222069463.57,222217567.51,250564190.21,262824956.11,218187884.26,149056546.98,8027933.8,12573274.28,13736145.49,12890304.47,20189118.27,17776942.09,20143599.3,26499298.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4911172.57,4911172.57,0.0,0.0,20604174.61,20604174.61,20604174.61,20604174.61,1150435.67,1150435.67,1159727.71,1159727.71,0.0,0.0
000006.SZ,深振业A,0.0,0.0,0.0,77271545.97,0.0,90591214.24,0.0,0.0,100508451.85,0.0,0.0,123746771.45,0.0,0.0,0.0,333044182.07,0.0,0.0,0.0,445450035.67,0.0,0.0,1183429040.14,0.0,1322124932.8,1343928047.04,0.0,1366198753.47,1387523246.31,0.0,1603200519.74,0.0,1586820559.93,0.0,1807576369.42,0.0,1619744716.27,0.0,1747398001.54,1709913619.22,1771826114.2,1825567822.32,1734299027.16,1811633164.05,1672767589.19,1799899667.45,1770727052.63,1698823130.44,1492348188.36,1482316950.03,1569298757.57,1322287149.05,1205784583.23,1321894475.34,1141744717.18,1210666746.01,1993487920.93,2236357718.17,2342107473.05,2906033419.38,3548558255.11,3526819750.26,4770798208.81,4949152185.73,4924900394.92,5162545628.76,5292379490.3,5605373833.18,5415580550.94,5564739213.49,5550296760.61,5724264403.12,5876571126.2,6066701557.62,6020799055.7,6087687440.04,6239459218.65,6400126381.03,6071637950.55,6027996062.91,5764410435.77,5796917609.59,5542330854.0,6942753049.56,5511612130.89,5672359972.74,6327275935.78,7028108313.58,6813363544.68,6085103097.85,6133344942.04,8662583879.23,8406020914.07,8262908950.2,8365341096.66,8785580868.09,7700201149.6,7133181934.46,6960564108.43,6904448799.62,6980027894.39,6996077587.47,6897922111.58,6763350090.51,6437030722.52,6582305206.52,7426439235.45,7110329215.02,7958945656.74,7733379480.87,7625792666.78,7679008012.18,7798243608.66,7536558229.64,10710606421.6,12771172988.17,16117334568.62,16223919717.09,16244331341.25,17123433107.18,16843671743.31,16938987489.83,18178917455.66,18537916030.31,17037116344.96,17137075814.53
000007.SZ,*ST全新,0.0,0.0,0.0,27702002.56,0.0,50356327.68,0.0,71730918.33,57438952.24,0.0,0.0,52528365.32,0.0,0.0,0.0,47215952.35,0.0,0.0,0.0,35706060.16,0.0,0.0,46807654.3,0.0,51630995.9,212656246.91,0.0,163220444.44,168535890.72,0.0,183860285.18,0.0,123285822.86,0.0,275626644.5,286693203.0,592390897.92,564804146.9,368388571.92,368406780.27,285978697.87,244675585.26,210699444.04,213756535.57,234253243.49,230859847.18,266235202.0,288072439.19,313351605.67,341218929.76,339585067.61,0.0,175177808.88,173140841.32,176225224.15,176751232.6,56124482.67,56310119.94,55895722.54,52096690.22,21405509.24,22769539.34,21106557.75,21186482.69,20974759.23,20409723.97,20398655.12,20482193.6,20439680.75,20129960.27,19842035.46,19981565.07,19571936.46,19635150.12,19420771.89,19412836.04,19302039.44,19066999.04,19080803.45,46103005.43,18734902.17,18224456.49,18359530.84,17885747.03,18071808.9,17836215.17,58989351.27,73414685.16,17382406.51,17328538.48,16653067.04,15543682.8,15429192.2,15302844.2,15173198.5,15050579.35,14927395.79,119630.39,116390.88,113233.96,1666409.45,128948.1,127943.3,101442.4,104980.6,109036.7,127762.6,116226.5,135107.08,1475071.05,1439247.88,1473026.71,1424409.12,1392682.49,13260341.79,18542206.36,26674534.79,23948740.4,26008273.98,21875947.08,32591335.42,30867893.42,23436231.68,28406311.89,29718839.06,35738249.79
000008.SZ,神州高铁,0.0,0.0,0.0,8729.58,0.0,11307.58,0.0,29669597.57,28579.23,0.0,0.0,3506737.23,0.0,0.0,0.0,215701.89,0.0,0.0,0.0,224836.89,0.0,0.0,2909840.04,0.0,838712.89,1771691.0,0.0,122906.29,126271.0,0.0,9466481.0,0.0,7372784.0,0.0,7022435.0,0.0,3664258.89,0.0,2490550.78,1997376.58,357344.28,357344.28,357344.28,0.0,0.0,0.0,0.0,0.0,3879812.83,242269.02,6330805.44,14644161.03,4223839.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154575.17,4165188.0,221028.35,311553.55,287627.95,225020.26,165918.54,220881.76,10699817.15,9335763.71,9247210.35,9070255.24,9682765.4,8800409.81,8528641.54,8201691.05,8691239.34,321658746.61,335598299.03,367000706.3,313033319.52,524393640.3,574234246.21,616418954.77,590808019.68,646485688.86,669791377.37,897144294.71,710824572.45,795344568.4,949697072.28,814786497.32,725739137.67,801563750.82,881173771.69,889539134.14,885190163.32,991741919.79,1023235118.53,1008354524.87,1114887130.31,1480252061.24,1547266492.77,1715683149.7,1863267118.36,1960020798.44,1932766912.14,2025244042.85,1892678146.91,1906731514.17,2011660809.16,1997050600.9,1602907719.16,0.0
000009.SZ,中国宝安,0.0,0.0,0.0,194447355.11,0.0,196776928.01,0.0,30725153.73,760748921.11,0.0,0.0,1052635143.36,0.0,0.0,0.0,1384086649.01,0.0,0.0,0.0,1701364658.42,0.0,0.0,2005734939.67,0.0,2101446803.92,2561794523.0,0.0,2665887497.84,3025882515.77,0.0,2778104844.7,0.0,2602626310.8,0.0,2663688831.2,0.0,2284024770.52,2146381837.75,2154007710.09,2363549564.8,2428899607.48,0.0,2446669292.24,2606050730.95,2661971194.11,2759365547.84,2738498080.44,2818073071.21,2502586573.41,2510405904.96,2509251958.13,2498696954.44,2214344264.2,2270309828.03,2298978616.71,2372992834.62,2213414949.56,2578329999.9,2266763035.21,2489955255.75,2183335953.77,2277233393.13,2369322489.81,2584390692.28,2360925857.52,2213219994.86,1999662316.62,2216703855.69,2151823156.72,2062895083.03,1986092388.7,2797608464.09,4340281000.79,4258840183.77,4440227369.44,4825852199.46,5914468334.05,5954849559.61,5139148498.57,5192087340.52,6117596832.55,6062928578.09,6197544251.37,6155154464.23,6261573573.31,6401082691.19,6377055826.96,6567831084.72,6894122002.66,7008951727.97,7144775772.77,7332145946.43,6921766693.13,7088745112.0,7062044952.15,7085397143.84,8290779104.39,8387501970.25,8671096516.3,9109346604.41,9607419175.4,9966940475.78,9958112817.16,10642781615.95,10741501615.09,11171402519.74,11009497476.02,10962489778.97,9881792019.9,10121954325.81,9553075438.27,9580715636.27,9309633339.9,9925512116.72,9986342376.72,11719609912.67,12274332639.42,13807152594.63,15159693163.05,15351601236.8,14885369235.8,14405554186.14,13300464438.49,13572379666.32,13696010207.78,0.0
000010.SZ,美丽生态,0.0,0.0,0.0,0.0,0.0,6105001.8,0.0,0.0,14180268.61,0.0,0.0,11965881.93,0.0,17228464.53,0.0,12423054.16,0.0,0.0,0.0,12199792.97,0.0,0.0,15236703.12,0.0,16361692.78,27850638.0,0.0,19415737.57,47235530.81,0.0,45908210.84,0.0,61821389.09,0.0,62066505.03,0.0,57291646.15,0.0,47860831.44,85857099.73,110089678.39,114614533.76,111482821.6,115795246.01,133815826.4,109212574.77,146433778.39,157071867.48,213736987.07,245781238.73,258652376.91,284660494.71,42267348.14,0.0,44620396.67,58729806.17,46848922.15,62096650.51,61577336.72,69763184.23,31015626.72,33354575.24,44482307.52,54221420.3,56959162.63,58915182.78,58004173.21,68670507.14,71782581.6,74719547.39,72810875.07,82353054.68,72085448.07,77894058.18,97166540.99,93421334.1,68932749.97,76825951.04,80546305.61,103196408.56,72531340.01,83573505.76,339303386.56,352105079.25,287366115.92,202524465.95,215897244.77,217628857.27,137262689.68,164164147.04,225729867.1,225310305.99,1448199553.9,1283951659.63,1552828073.42,1559235102.98,1799716655.82,1668431969.42,1704228443.75,2010233911.14,1887876470.45,1683423491.14,1678525630.89,1843892476.53,1233711315.27,1308212895.7,1374415543.52,1614867155.09,1526216823.32,214694062.33,187331489.8,181779631.5,204031910.77,185269817.07,191184296.18,200281351.57,175363248.31,158978089.35,163537334.77,164803898.57,113170881.49,115351941.2,109506127.8,111186193.14,96039044.51,98819587.19
000011.SZ,深物业A,0.0,0.0,0.0,0.0,0.0,1159549310.53,0.0,0.0,1728160042.13,0.0,0.0,1526203001.15,0.0,0.0,0.0,1733734594.43,0.0,0.0,0.0,1492588942.71,0.0,0.0,1415025472.53,0.0,1471129154.73,1596331400.91,0.0,1663721626.06,1374833158.86,0.0,1449489534.84,0.0,1437232114.25,1471100000.0,1568636231.68,0.0,1339638085.0,0.0,1369393749.66,1580840338.39,1461647084.64,1616912765.34,1652221602.32,1742558532.74,1422357820.15,1564731107.55,1556347658.71,1559397655.26,1385022250.79,1412485789.81,1240438311.95,1154093591.41,965717024.06,965214015.73,946449321.14,958175839.14,919351851.69,940454976.4,952696859.98,964577840.61,974256614.17,1048715645.47,1139485661.07,1193314473.13,1153726292.83,1192080251.62,1163183546.01,1198822375.06,1255676772.24,1328305714.33,1319061182.89,1310674712.84,1576183305.38,1397577646.79,1414805616.5,1705931969.45,1814992629.34,1853723686.05,1719018413.68,1702689661.53,2300731551.14,2116502490.28,2005171496.86,2040302719.7,2101399879.93,2160918309.67,2223340330.98,2303165610.0,2323472671.2,2430579478.72,2493227840.13,2541038867.73,2466342278.85,2566174994.39,2602147091.53,2878336618.82,2585658521.65,2504760590.69,2466473592.96,1791881804.12,1850672044.36,1511319681.72,1448191666.93,1403219359.96,1181762531.67,2882596178.45,3800808133.57,4091290659.03,4913510876.66,5283561318.69,5369131564.81,5450892937.29,5312489258.2,5329071962.25,5289628100.91,7491518350.13,9123926016.15,9816803373.14,9887020742.83,10333640762.38,10975334223.37,11106509106.85,10848296900.64,11139345094.64,11098209095.74,11339348856.29
