,0,1,2,3,4,5,6,7,8,9
10,,<a href='/en/product/equities/NL0000852564-XAMS/aalberts-nv/aalb/quotes' data-order='AALBERTS NV' data-title-hover='AALBERTS N.V.'>AALBERTS NV</a>,NL0000852564,AALB,<div class='nowrap pointer' title='Euronext Amsterdam' >XAMS</div>,<div class='text-right pd_currency_es'>EUR <span class='pd_last_price_es'>38.44</span></div>,<div class='text-right pd_percent'><span class=red>-1.31%</span></div>,"<div class='text-right pointer tooltipDesign' >17:35 CEST<span class=""tooltiptext"">17 Jul 2023</span></div>","<div class=""text-right"">38.44</div>","<div class=""text-right"">17 Jul 2023</div>"
11,,<a href='/en/product/equities/NO0010672181-MERK/aasen-sparebank/aasb/quotes' data-order='AASEN SPAREBANK' data-title-hover='AASEN SPAREBANK'>AASEN SPAREBANK</a>,NO0010672181,AASB,<div class='nowrap pointer' title='Euronext Growth Oslo' >MERK</div>,<div class='text-right pd_currency_es'>NOK <span class='pd_last_price_es'>113.00</span></div>,<div class='text-right pd_percent'><span class=text-brand-kelly-green>0.89%</span></div>,"<div class='text-right pointer tooltipDesign' >16:17 CEST<span class=""tooltiptext"">17 Jul 2023</span></div>","<div class=""text-right"">113.00</div>","<div class=""text-right"">17 Jul 2023</div>"
12,,<a href='/en/product/equities/IT0005548521-EXGM/aatech/aat/quotes' data-order='AATECH' data-title-hover='AATECH'>AATECH</a>,IT0005548521,AAT,<div class='nowrap pointer' title='Euronext Growth Milan' >EXGM</div>,<div class='text-right pd_currency_es'>EUR <span class='pd_last_price_es'>1.445</span></div>,<div class='text-right pd_percent'><span class=red>-1.70%</span></div>,"<div class='text-right pointer tooltipDesign' >17:35 CEST<span class=""tooltiptext"">17 Jul 2023</span></div>","<div class=""text-right"">1.445</div>","<div class=""text-right"">17 Jul 2023</div>"
13,,<a href='/en/product/equities/BE0974293251-XBRU/ab-inbev/abi/quotes' data-order='AB INBEV' data-title-hover='AB INBEV'>AB INBEV</a>,BE0974293251,ABI,<div class='nowrap pointer' title='Euronext Brussels' >XBRU</div>,<div class='text-right pd_currency_es'>EUR <span class='pd_last_price_es'>51.29</span></div>,<div class='text-right pd_percent'><span class=red>-0.89%</span></div>,"<div class='text-right pointer tooltipDesign' >17:35 CEST<span class=""tooltiptext"">17 Jul 2023</span></div>","<div class=""text-right"">51.29</div>","<div class=""text-right"">17 Jul 2023</div>"
14,,<a href='/en/product/equities/FR0010557264-XPAR/ab-science/ab/quotes' data-order='AB SCIENCE' data-title-hover='AB SCIENCE'>AB SCIENCE</a>,FR0010557264,AB,<div class='nowrap pointer' title='Euronext Paris' >XPAR</div>,<div class='text-right pd_currency_es'>EUR <span class='pd_last_price_es'>3.915</span></div>,<div class='text-right pd_percent'><span class=red>-1.76%</span></div>,"<div class='text-right pointer tooltipDesign' >17:35 CEST<span class=""tooltiptext"">17 Jul 2023</span></div>","<div class=""text-right"">3.915</div>","<div class=""text-right"">17 Jul 2023</div>"
15,,<a href='/en/product/equities/BE0946377455-VPXB/abattoir/quotes' data-order='ABATTOIR' data-title-hover='ABATTOIR'>ABATTOIR</a>,BE0946377455,,<div class='nowrap pointer' title='Euronext Expert Market' >VPXB</div>,<div class='text-right pd_currency_es'>EUR <span class='pd_last_price_es'>47.70</span></div>,<div class='text-right pd_percent'><span class=red>-10.00%</span></div>,"<div class='text-right pointer tooltipDesign' >24 Jan 2017<span class=""tooltiptext"">11:30 CET</span></div>","<div class=""text-right"">47.80</div>","<div class=""text-right"">17 Jul 2023</div>"
16,,<a href='/en/product/equities/FR0004040608-XPAR/abc-arbitrage/abca/quotes' data-order='ABC ARBITRAGE' data-title-hover='ABC ARBITRAGE'>ABC ARBITRAGE</a>,FR0004040608,ABCA,<div class='nowrap pointer' title='Euronext Paris' >XPAR</div>,<div class='text-right pd_currency_es'>EUR <span class='pd_last_price_es'>5.85</span></div>,<div class='text-right pd_percent'><span class=red>-0.85%</span></div>,"<div class='text-right pointer tooltipDesign' >17:35 CEST<span class=""tooltiptext"">17 Jul 2023</span></div>","<div class=""text-right"">5.85</div>","<div class=""text-right"">17 Jul 2023</div>"
17,,<a href='/en/product/equities/IT0005466294-EXGM/abc-company/abc/quotes' data-order='ABC COMPANY' data-title-hover='ABC COMPANY'>ABC COMPANY</a>,IT0005466294,ABC,<div class='nowrap pointer' title='Euronext Growth Milan' >EXGM</div>,<div class='text-right pd_currency_es'>EUR <span class='pd_last_price_es'>3.38</span></div>,<div class='text-right pd_percent'><span class=red>-0.59%</span></div>,"<div class='text-right pointer tooltipDesign' >27 Jun 2023<span class=""tooltiptext"">17:35 CEST</span></div>","<div class=""text-right"">3.38</div>","<div class=""text-right"">17 Jul 2023</div>"
18,,<a href='/en/product/equities/FR0013185857-XPAR/abeo/abeo/quotes' data-order='ABEO' data-title-hover='ABEO'>ABEO</a>,FR0013185857,ABEO,<div class='nowrap pointer' title='Euronext Paris' >XPAR</div>,<div class='text-right pd_currency_es'>EUR <span class='pd_last_price_es'>17.60</span></div>,<div class='text-right pd_percent'><span class=text-brand-kelly-green>0.57%</span></div>,"<div class='text-right pointer tooltipDesign' >17:23 CEST<span class=""tooltiptext"">17 Jul 2023</span></div>","<div class=""text-right"">17.60</div>","<div class=""text-right"">17 Jul 2023</div>"
19,,<a href='/en/product/equities/NO0003021909-XOSL/abg-sundal-collier/abg/quotes' data-order='ABG SUNDAL COLLIER' data-title-hover='ABG SUNDAL COLLIER HOLDING'>ABG SUNDAL COLLIER</a>,NO0003021909,ABG,<div class='nowrap pointer' title='Oslo Børs' >XOSL</div>,<div class='text-right pd_currency_es'>NOK <span class='pd_last_price_es'>5.50</span></div>,<div class='text-right pd_percent'><span class=red>-0.90%</span></div>,"<div class='text-right pointer tooltipDesign' >16:25 CEST<span class=""tooltiptext"">17 Jul 2023</span></div>","<div class=""text-right"">5.50</div>","<div class=""text-right"">17 Jul 2023</div>"
20,,<a href='/en/product/equities/FR0012616852-XPAR/abionyx-pharma/abnx/quotes' data-order='ABIONYX PHARMA' data-title-hover='ABIONYX PHARMA'>ABIONYX PHARMA</a>,FR0012616852,ABNX,<div class='nowrap pointer' title='Euronext Paris' >XPAR</div>,<div class='text-right pd_currency_es'>EUR <span class='pd_last_price_es'>1.25</span></div>,<div class='text-right pd_percent'><span class=text-brand-kelly-green>0.32%</span></div>,"<div class='text-right pointer tooltipDesign' >17:36 CEST<span class=""tooltiptext"">17 Jul 2023</span></div>","<div class=""text-right"">1.25</div>","<div class=""text-right"">17 Jul 2023</div>"
21,,<a href='/en/product/equities/IT0005445280-MTAA/abitare-in/abt/quotes' data-order='ABITARE IN' data-title-hover='ABITARE IN'>ABITARE IN</a>,IT0005445280,ABT,<div class='nowrap pointer' title='Euronext Milan' >MTAA</div>,<div class='text-right pd_currency_es'>EUR <span class='pd_last_price_es'>5.42</span></div>,<div class='text-right pd_percent'><span class=text-brand-kelly-green>1.12%</span></div>,"<div class='text-right pointer tooltipDesign' >17:29 CEST<span class=""tooltiptext"">17 Jul 2023</span></div>","<div class=""text-right"">5.40</div>","<div class=""text-right"">17 Jul 2023</div>"
22,"<button type='button' class='btn btn-link p-0 ml-auto' role='button' data-toggle='popover' data-placement='bottom' data-trigger='focus' data-html='true' data-content='<img class=""tech_logo_large mb-2"" src=""/sites/default/files/tech_leaders/euronext_tech_leaders_full.svg"" width=""160"" height=""48""><br>
Euronext Initiative dedicated to highlighting the visibility and attractiveness of high-growth and leading Tech companies towards international investors<br>
<a href=""https://www.euronext.com/en/raise-capital/euronext-tech-leaders"" target=""_blank"">More info</a>'><img class='lookup_instrument_logo' src='/sites/default/files/tech_leaders/euronext_tech_leaders_small.svg' alt=''></button>",<a href='/en/product/equities/FR0012333284-XPAR/abivax/abvx/quotes' data-order='ABIVAX' data-title-hover='ABIVAX'>ABIVAX</a>,FR0012333284,ABVX,<div class='nowrap pointer' title='Euronext Paris' >XPAR</div>,<div class='text-right pd_currency_es'>EUR <span class='pd_last_price_es'>15.90</span></div>,<div class='text-right pd_percent'><span class=red>-1.24%</span></div>,"<div class='text-right pointer tooltipDesign' >17:35 CEST<span class=""tooltiptext"">17 Jul 2023</span></div>","<div class=""text-right"">15.90</div>","<div class=""text-right"">17 Jul 2023</div>"
23,,<a href='/en/product/equities/FR001400AHX6-XPAR/abl-diagnostics/abld/quotes' data-order='ABL Diagnostics' data-title-hover='ABL Diagnostics'>ABL Diagnostics</a>,FR001400AHX6,ABLD,<div class='nowrap pointer' title='Euronext Paris' >XPAR</div>,<div class='text-right pd_currency_es'>EUR <span class='pd_last_price_es'>8.80</span></div>,<div class='text-right pd_percent'><span class=red>-1.68%</span></div>,"<div class='text-right pointer tooltipDesign' >11:30 CEST<span class=""tooltiptext"">17 Jul 2023</span></div>","<div class=""text-right"">8.80</div>","<div class=""text-right"">17 Jul 2023</div>"
24,,<a href='/en/product/equities/NO0010715394-XOSL/abl-group/abl/quotes' data-order='ABL GROUP' data-title-hover='ABL GROUP ASA'>ABL GROUP</a>,NO0010715394,ABL,<div class='nowrap pointer' title='Oslo Børs' >XOSL</div>,<div class='text-right pd_currency_es'>NOK <span class='pd_last_price_es'>15.25</span></div>,<div class='text-right pd_percent'><span class=red>-1.29%</span></div>,"<div class='text-right pointer tooltipDesign' >15:42 CEST<span class=""tooltiptext"">17 Jul 2023</span></div>","<div class=""text-right"">15.25</div>","<div class=""text-right"">17 Jul 2023</div>"
25,,<a href='/en/product/equities/NL0011540547-XAMS/abn-amro-bank-nv/abn/quotes' data-order='ABN AMRO BANK N.V.' data-title-hover='ABN AMRO BANK N.V.'>ABN AMRO BANK N.V.</a>,NL0011540547,ABN,<div class='nowrap pointer' title='Euronext Amsterdam' >XAMS</div>,<div class='text-right pd_currency_es'>EUR <span class='pd_last_price_es'>15.10</span></div>,<div class='text-right pd_percent'><span class=text-brand-kelly-green>0.67%</span></div>,"<div class='text-right pointer tooltipDesign' >17:35 CEST<span class=""tooltiptext"">17 Jul 2023</span></div>","<div class=""text-right"">15.10</div>","<div class=""text-right"">17 Jul 2023</div>"
26,,<a href='/en/product/equities/BE0974278104-XBRU/abo-group/abo/quotes' data-order='ABO GROUP' data-title-hover='ABO GROUP ENVIRONMENT'>ABO GROUP</a>,BE0974278104,ABO,"<div class='nowrap pointer' title='Euronext Brussels, Paris' >XBRU, XPAR</div>",<div class='text-right pd_currency_es'>EUR <span class='pd_last_price_es'>6.90</span></div>,<div class='text-right pd_percent'>-</div>,"<div class='text-right pointer tooltipDesign' >12:50 CEST<span class=""tooltiptext"">17 Jul 2023</span></div>","<div class=""text-right"">6.90</div>","<div class=""text-right"">17 Jul 2023</div>"
27,,<a href='/en/product/equities/FR0000064602-XPAR/acanthe-dev/acan/quotes' data-order='ACANTHE DEV.' data-title-hover='ACANTHE DEV.'>ACANTHE DEV.</a>,FR0000064602,ACAN,<div class='nowrap pointer' title='Euronext Paris' >XPAR</div>,<div class='text-right pd_currency_es'>EUR <span class='pd_last_price_es'>0.36</span></div>,<div class='text-right pd_percent'><span class=red>-2.70%</span></div>,"<div class='text-right pointer tooltipDesign' >16:09 CEST<span class=""tooltiptext"">17 Jul 2023</span></div>","<div class=""text-right"">0.36</div>","<div class=""text-right"">17 Jul 2023</div>"
