,brand,model,name
14,标致,大都会 Metropolis 400i,标致 大都会 Metropolis 400i
15,摩托古兹,V7 Cafe Classic,摩托古兹 V7 Cafe Classic
16,川崎,Z800,川崎 Z800
17,阿普利亚,Tuono 660,阿普利亚 Tuono 660
18,宝马,F 850 GS,宝马 F 850 GS
19,凯旋,Bonneville T120,凯旋 Bonneville T120
20,HUSQVARNA,Norden 901,HUSQVARNA Norden 901
21,庞巴迪,GTX,庞巴迪 GTX
22,铃木,V-Strom 800,铃木 V-Strom 800
23,凯旋,Tiger 900,凯旋 Tiger 900
0,阿普利亚,RS 660,阿普利亚 RS 660
1,摩托古兹,V85 TT,摩托古兹 V85 TT
2,宝马,F 900 XR,宝马 F 900 XR
3,阿普利亚,Tuareg 660,阿普利亚 Tuareg 660
4,庞巴迪,守卫者,庞巴迪 守卫者
5,庞巴迪,滑水艇,庞巴迪 滑水艇
6,杜卡迪,Monster 821,杜卡迪 Monster 821
7,杜卡迪,Hypermotard 950,杜卡迪 Hypermotard 950
8,哈雷戴维森,硬汉 lron 1200,哈雷戴维森 硬汉 lron 1200
9,凯旋,Scrambler 1200,凯旋 Scrambler 1200
10,KTMR2R,790 Duke,KTMR2R 790 Duke
11,本田DREAMWING,NSS750,本田DREAMWING NSS750
12,摩托古兹,V7 Stone,摩托古兹 V7 Stone
13,摩托古兹,V7 Classic,摩托古兹 V7 Classic
14,KTMR2R,150 SX,KTMR2R 150 SX
15,KTMR2R,250 SX-F(海外),KTMR2R 250 SX-F(海外)
16,KTMR2R,350 SX-F,KTMR2R 350 SX-F
17,KTMR2R,250 EXC,KTMR2R 250 EXC
18,杜卡迪,SuperSport,杜卡迪 SuperSport
19,VESPA,946,VESPA 946
20,凯旋,Bonneville Bobber,凯旋 Bonneville Bobber
21,凯旋,Bonneville Speedmaster,凯旋 Bonneville Speedmaster
22,凯旋,Speed Twin 1200,凯旋 Speed Twin 1200
23,雅马哈,MT-09,雅马哈 MT-09
0,本田DREAMWING,X-ADV 750,本田DREAMWING X-ADV 750
1,KTMR2R,890 Adventure,KTMR2R 890 Adventure
2,摩托古兹,V7 II SPECIAL,摩托古兹 V7 II SPECIAL
3,摩托古兹,V7 lll Special,摩托古兹 V7 lll Special
4,雅马哈,XS900R,雅马哈 XS900R
5,哈雷戴维森,1200 Custom,哈雷戴维森 1200 Custom
6,杜卡迪,Multistrada V2,杜卡迪 Multistrada V2
7,哈雷戴维森,Sportster S,哈雷戴维森 Sportster S
8,哈雷戴维森,Forty-Eight 运动者,哈雷戴维森 Forty-Eight 运动者
9,庞巴迪,GTR,庞巴迪 GTR
10,KTMR2R,450 SX-F,KTMR2R 450 SX-F
11,杜卡迪,Scrambler 1100,杜卡迪 Scrambler 1100
12,KTMR2R,790 Adventure,KTMR2R 790 Adventure
13,宝马,C 650 Sport,宝马 C 650 Sport
14,川崎,Z900RS,川崎 Z900RS
15,KTMR2R,Freeride 350,KTMR2R Freeride 350
16,雅马哈,TMAX,雅马哈 TMAX
17,雅马哈,Tracer 900GT,雅马哈 Tracer 900GT
18,雅马哈,Tracer 9GT,雅马哈 Tracer 9GT
19,宝马,C 650GT,宝马 C 650GT
20,本田DREAMWING,CB1100,本田DREAMWING CB1100
21,杜卡迪,Multistrada 950,杜卡迪 Multistrada 950
22,哈雷戴维森,ROADSTER 路锋,哈雷戴维森 ROADSTER 路锋
23,杜卡迪,Desert X,杜卡迪 Desert X
0,庞巴迪,指挥官,庞巴迪 指挥官
1,摩托古兹,V7 Racer,摩托古兹 V7 Racer
2,摩托古兹,V7 ll Stornello,摩托古兹 V7 ll Stornello
3,宝马,R NineT,宝马 R NineT
4,本田DREAMWING,CRF1100L Africa Twin,本田DREAMWING CRF1100L Africa Twin
5,杜卡迪,Street Fighter V2,杜卡迪 Street Fighter V2
6,铃木,Burgman 650,铃木 Burgman 650
7,贝纳利,TNT899(进口),贝纳利 TNT899(进口)
8,摩托古兹,V100 Mandello,摩托古兹 V100 Mandello
9,凯旋,Tiger 800,凯旋 Tiger 800
10,KTMR2R,250 EXC-F,KTMR2R 250 EXC-F
11,奥古斯塔,Brutale 800,奥古斯塔 Brutale 800
12,铃木,Burgman 650 Executive,铃木 Burgman 650 Executive
13,本田DREAMWING,CB1300 Super Four,本田DREAMWING CB1300 Super Four
14,铃木,V-Strom 1050,铃木 V-Strom 1050
15,本田DREAMWING,NT1100,本田DREAMWING NT1100
16,川崎,Z1000,川崎 Z1000
17,本田DREAMWING,CB1000R,本田DREAMWING CB1000R
18,印第安,侦察兵 Scout,印第安 侦察兵 Scout
19,阿普利亚,Mana 850,阿普利亚 Mana 850
20,阿普利亚,Tuono V4,阿普利亚 Tuono V4
21,奥古斯塔,Brutale 675,奥古斯塔 Brutale 675
22,KTMR2R,450 EXC,KTMR2R 450 EXC
23,铃木,GSX-R 600,铃木 GSX-R 600
0,铃木,GSX-R 750,铃木 GSX-R 750
1,川崎,Versys 1000,川崎 Versys 1000
2,KTMR2R,1290 Super Duke,KTMR2R 1290 Super Duke
3,印第安,FTR 1200,印第安 FTR 1200
4,北极星,运动家1000,北极星 运动家1000
5,奥古斯塔,Brutale 1090R,奥古斯塔 Brutale 1090R
6,本田DREAMWING,CB1300 Super Bol D'or,本田DREAMWING CB1300 Super Bol D'or
7,KTMR2R,1290 Super Adventure,KTMR2R 1290 Super Adventure
8,摩托古兹,Griso 8V,摩托古兹 Griso 8V
9,KTMR2R,1090 Adventure,KTMR2R 1090 Adventure
10,哈雷戴维森,Softail Standard,哈雷戴维森 Softail Standard
11,宝马,R 18,宝马 R 18
12,宝马,S 1000 R,宝马 S 1000 R
13,凯旋,Thruxton,凯旋 Thruxton
14,杜卡迪,Multistrada V4,杜卡迪 Multistrada V4
15,杜卡迪,Panigale V2,杜卡迪 Panigale V2
16,铃木,V-Strom 1000,铃木 V-Strom 1000
17,杜卡迪,Panigale 959,杜卡迪 Panigale 959
18,哈雷戴维森,街霸 Street Bob,哈雷戴维森 街霸 Street Bob
19,哈雷戴维森,Pan America 1250 Adventure,哈雷戴维森 Pan America 1250 Adventure
20,庞巴迪,RXP-X,庞巴迪 RXP-X
21,KTMR2R,RC8,KTMR2R RC8
22,KTMR2R,690 Enduro,KTMR2R 690 Enduro
23,川崎,Ninja 1000SX,川崎 Ninja 1000SX
0,凯旋,Tiger 1200,凯旋 Tiger 1200
1,庞巴迪,钓鱼艇,庞巴迪 钓鱼艇
2,北极星,横行者1000,北极星 横行者1000
3,乌拉尔,旅行家,乌拉尔 旅行家
4,北极星,游侠570,北极星 游侠570
5,凯旋,Speed Triple 1200 RS,凯旋 Speed Triple 1200 RS
6,凯旋,Daytona 675,凯旋 Daytona 675
7,杜卡迪,Street Fighter V4,杜卡迪 Street Fighter V4
8,庞巴迪,RXT-X,庞巴迪 RXT-X
9,杜卡迪,Multistrada 1260,杜卡迪 Multistrada 1260
10,哈雷戴维森,路威 Low Rider,哈雷戴维森 路威 Low Rider
11,奥古斯塔,F4 R,奥古斯塔 F4 R
12,凯旋,Thunderbird,凯旋 Thunderbird
13,乌拉尔,装甲兵,乌拉尔 装甲兵
14,奥古斯塔,F3 800,奥古斯塔 F3 800
15,摩托古兹,Norge 1200GT 8V,摩托古兹 Norge 1200GT 8V
16,川崎,JET SKI ULTRA 310,川崎 JET SKI ULTRA 310
17,宝马,R 1200 GS,宝马 R 1200 GS
18,北极星,RZR XP1000,北极星 RZR XP1000
19,庞巴迪,独行侠,庞巴迪 独行侠
20,杜卡迪,Diavel,杜卡迪 Diavel
21,雅马哈,FJR 1300A,雅马哈 FJR 1300A
22,庞巴迪,探索家,庞巴迪 探索家
23,宝马,S 1000 XR,宝马 S 1000 XR
0,北极星,剃刀 1000,北极星 剃刀 1000
1,杜卡迪,XDiavel,杜卡迪 XDiavel
2,庞巴迪,远征,庞巴迪 远征
3,宝马,R 1250 GS,宝马 R 1250 GS
4,阿普利亚,Caponord 1200,阿普利亚 Caponord 1200
5,凯旋,Daytona 675R,凯旋 Daytona 675R
6,北极星,游侠 800,北极星 游侠 800
7,北极星,剃刀 900,北极星 剃刀 900
8,本田DREAMWING,CBR 1000 RR,本田DREAMWING CBR 1000 RR
9,阿普利亚,Caponord 1200 RALLY,阿普利亚 Caponord 1200 RALLY
10,奥古斯塔,Dragster 800,奥古斯塔 Dragster 800
11,奥古斯塔,F3 675,奥古斯塔 F3 675
12,哈雷戴维森,路威 Low Rider S,哈雷戴维森 路威 Low Rider S
13,KTMR2R,1290 Super Duke GT,KTMR2R 1290 Super Duke GT
14,雅马哈,MT-10,雅马哈 MT-10
15,杜卡迪,Multistrada 1200S,杜卡迪 Multistrada 1200S
16,凯旋,Speed Triple 1200 RR,凯旋 Speed Triple 1200 RR
17,摩托古兹,Audace,摩托古兹 Audace
18,杜卡迪,Monster 1100 EVO,杜卡迪 Monster 1100 EVO
